dates,nzd0256-0000,nzd0256-0001,nzd0256-0002,nzd0256-0003,nzd0256-0004,nzd0256-0005,nzd0256-0006,nzd0256-0007,nzd0256-0008,nzd0256-0009,nzd0256-0010,nzd0256-0011,nzd0256-0012,nzd0256-0013,nzd0256-0014,nzd0256-0015,nzd0256-0016,nzd0256-0017,nzd0256-0018,nzd0256-0019,nzd0256-0020,nzd0256-0021,nzd0256-0022,nzd0256-0023,nzd0256-0024,nzd0256-0025,nzd0256-0026,nzd0256-0027,nzd0256-0028,nzd0256-0029,nzd0256-0030,satname
1999-08-05 21:46:59+00:00,250.38,248.68,247.75,257.16,264.29,275.41,277.50,280.79,299.80,312.21,293.74,262.95,248.65,231.31,,303.64,344.19,370.64,407.44,428.83,,,,,,,,,,,,L7
1999-08-21 21:46:56+00:00,268.13,256.65,260.31,265.02,278.95,280.13,281.44,299.25,309.84,334.32,313.17,269.91,238.05,235.75,,308.11,340.20,356.15,393.96,420.93,416.32,405.10,396.99,392.36,385.20,377.42,358.63,345.90,328.63,315.61,301.65,L7
1999-09-06 21:46:59+00:00,267.62,265.46,275.55,281.00,301.73,289.27,304.54,314.52,318.59,339.33,,,,,186.77,,347.87,381.47,416.46,430.59,420.10,414.02,415.46,409.88,404.28,386.39,364.10,348.85,328.04,313.55,302.31,L7
1999-10-08 21:47:06+00:00,271.15,269.27,263.47,265.89,274.62,282.56,286.22,290.59,302.28,320.20,335.72,,,,,318.29,336.11,356.18,390.34,404.24,406.34,400.03,392.12,385.61,381.23,362.92,340.53,332.43,319.17,310.34,300.53,L7
2000-02-13 21:46:48+00:00,245.58,242.90,248.35,252.85,256.85,264.21,278.18,285.53,304.90,327.54,318.08,306.27,271.91,,185.92,257.73,367.15,389.27,413.28,419.41,411.38,406.88,396.43,387.70,380.43,369.54,361.96,344.20,332.87,317.07,306.09,L7
2000-04-01 21:46:34+00:00,274.80,270.15,267.01,271.94,275.76,292.32,299.22,318.79,333.04,335.13,328.39,312.69,313.64,279.60,,264.94,348.20,383.75,427.09,433.58,421.65,415.66,402.29,396.89,393.57,385.32,363.95,349.44,327.31,309.76,304.84,L7
2000-05-19 21:46:07+00:00,285.40,277.96,278.26,281.57,285.52,293.75,305.92,313.90,323.33,335.07,320.16,301.63,283.90,257.31,160.47,232.65,330.61,373.72,409.69,426.37,420.11,418.07,411.59,406.46,394.98,384.24,370.11,354.08,326.61,312.87,302.06,L7
2000-08-07 21:45:08+00:00,279.98,278.26,271.12,256.59,274.49,284.96,295.76,306.96,311.77,306.61,293.44,295.83,269.94,232.78,,251.88,310.14,344.95,397.84,412.35,402.83,398.38,389.47,385.58,387.63,378.02,369.11,347.06,330.00,317.52,299.46,L7
2000-12-13 21:44:28+00:00,,,,,,288.62,294.70,291.87,298.37,302.26,302.20,303.00,310.31,183.91,162.61,280.41,,404.99,421.67,424.80,412.27,398.85,386.84,376.31,375.43,371.10,361.91,345.49,,322.02,306.30,L7
2001-04-04 21:44:06+00:00,272.91,271.62,268.70,268.33,286.64,292.64,286.71,291.94,290.77,315.06,316.08,298.44,278.79,161.88,,,,369.72,407.35,416.82,403.08,405.23,403.58,395.96,386.97,375.54,364.35,354.11,340.65,322.28,317.33,L7
2001-04-20 21:44:10+00:00,286.31,275.49,273.21,269.86,286.78,293.49,279.51,286.93,304.87,322.90,304.34,295.64,269.16,136.09,,,,390.38,408.39,418.71,402.32,398.45,398.04,389.82,384.22,375.73,359.44,349.96,333.54,321.25,308.90,L7
2001-05-22 21:43:54+00:00,274.33,274.29,272.11,276.44,279.41,283.26,280.00,299.75,304.76,305.15,302.03,282.66,255.87,96.62,,321.53,345.54,372.69,407.13,412.94,406.25,399.45,395.93,378.73,377.06,363.71,353.78,338.93,314.93,305.46,295.28,L7
2001-07-25 21:43:18+00:00,296.13,290.08,290.50,294.99,295.89,301.96,306.54,308.52,330.83,326.47,316.80,,242.29,183.72,180.39,316.66,367.56,403.91,423.53,430.65,425.14,417.75,413.51,413.49,403.48,393.73,378.80,355.85,343.57,331.75,314.94,L7
2001-08-10 21:43:00+00:00,286.40,280.39,273.31,276.30,273.97,286.88,289.81,296.84,319.28,315.30,296.25,,200.83,152.22,163.15,286.17,335.13,374.50,396.80,410.01,399.82,400.87,395.44,386.32,381.87,368.55,354.47,338.31,,308.08,302.20,L7
2001-09-27 21:42:29+00:00,319.16,311.64,309.22,307.66,309.55,305.40,309.16,321.04,324.24,323.16,300.24,288.40,240.74,207.82,,377.45,384.04,410.50,427.84,425.01,414.28,410.52,412.85,407.23,399.32,393.21,380.29,363.28,347.97,333.59,323.78,L7
2001-10-13 21:42:15+00:00,296.17,300.24,290.58,290.68,304.59,307.90,318.34,302.10,324.18,347.61,323.85,,218.77,221.44,,352.51,372.44,397.63,442.43,445.27,418.93,411.56,404.45,404.39,391.50,383.63,374.10,358.06,341.97,319.46,315.55,L7
2001-10-29 21:42:21+00:00,309.47,305.07,300.48,302.26,301.92,298.26,314.20,310.18,319.61,334.79,,,223.13,208.19,,323.13,366.59,390.33,431.85,436.40,413.74,409.57,394.54,396.74,392.78,383.80,374.08,359.10,339.25,325.62,312.15,L7
2002-01-17 21:42:52+00:00,296.34,290.93,289.20,297.18,300.63,306.28,303.01,308.83,323.38,319.31,308.92,291.78,247.81,184.85,133.81,359.23,388.88,411.33,423.72,435.10,431.71,415.81,406.48,400.27,387.73,383.97,364.19,353.71,331.79,323.81,308.81,L7
2002-02-02 21:42:54+00:00,268.03,249.41,256.99,276.43,300.51,295.54,285.86,293.44,307.68,303.04,296.58,,,147.10,145.68,312.85,380.30,405.08,410.04,424.77,418.15,403.67,397.50,392.68,380.73,371.08,355.93,338.68,,306.65,292.79,L7
2002-02-18 21:42:54+00:00,288.90,282.38,286.35,289.05,296.82,300.20,302.31,303.43,317.19,314.29,297.93,290.73,240.33,147.32,149.17,336.43,378.13,405.89,417.22,432.02,425.37,410.75,403.81,396.56,386.25,378.88,360.30,343.62,334.11,321.57,306.46,L7
2002-04-07 21:42:52+00:00,309.17,307.74,303.99,306.20,311.53,312.87,315.44,317.61,311.15,316.59,303.02,324.37,,109.18,154.84,351.48,368.60,396.44,428.98,434.83,428.42,420.35,416.63,400.03,390.32,380.69,365.74,351.48,332.95,316.48,306.76,L7
2002-09-14 21:41:55+00:00,291.16,288.34,283.46,284.60,291.91,292.77,298.42,306.95,317.72,332.20,299.10,268.89,252.15,209.67,,335.32,372.19,388.69,417.98,434.31,423.63,408.50,400.25,389.91,394.44,389.50,375.31,352.12,331.64,317.49,305.25,L7
2002-11-01 21:41:54+00:00,306.92,305.06,302.09,297.19,293.43,296.77,295.63,297.66,301.24,301.97,279.68,246.29,247.05,233.02,,379.12,353.72,361.26,399.21,408.47,391.56,376.85,371.90,368.53,364.98,365.55,354.67,339.92,317.61,306.99,299.07,L7
2003-01-20 21:42:33+00:00,290.97,289.87,281.48,283.31,283.46,290.50,293.22,293.62,300.20,296.73,276.82,267.49,264.00,250.87,,370.60,394.32,415.70,427.04,442.09,428.69,408.63,401.04,393.17,384.94,388.69,373.82,354.06,331.43,325.07,310.04,L7
2003-02-05 21:42:41+00:00,290.42,286.90,275.13,273.71,271.31,272.80,278.83,285.17,295.30,297.93,264.34,261.11,267.03,246.84,,360.26,380.72,403.99,409.77,422.10,415.44,404.18,397.08,387.08,376.39,368.64,358.54,342.95,325.55,315.17,302.87,L7
2003-02-21 21:42:44+00:00,278.92,272.00,272.82,272.57,275.06,276.65,282.52,294.07,300.71,292.43,272.69,280.33,273.93,262.60,,365.50,396.70,421.33,426.71,434.90,424.40,409.23,401.29,392.77,384.56,380.50,366.79,347.13,333.42,320.94,313.32,L7
2003-05-12 21:42:48+00:00,283.34,277.35,274.41,272.66,277.83,268.97,265.02,266.94,283.01,296.58,,,,,,,,,396.36,402.45,403.13,403.57,389.56,378.37,368.71,362.15,352.20,335.27,319.12,318.58,312.95,L7
2003-07-15 21:42:38+00:00,,285.02,280.37,283.07,284.15,284.74,285.38,283.56,292.31,292.49,289.22,266.86,,,,301.60,339.01,379.18,417.94,425.02,415.84,405.42,398.40,394.15,383.04,380.86,369.89,348.65,332.17,323.52,315.69,L7
2003-08-16 21:42:28+00:00,260.43,,256.38,256.62,256.30,264.07,267.59,270.94,276.78,282.47,278.83,260.63,,,,,331.66,374.47,408.09,416.88,405.60,394.14,385.36,385.01,376.03,365.71,348.16,331.42,,306.49,299.48,L7
2003-09-09 21:31:29+00:00,265.11,258.68,256.29,242.66,258.21,266.12,254.19,245.93,266.89,288.86,,,,,,,,,,,,,,,,,,,,307.57,299.60,L5
2003-09-25 21:31:42+00:00,274.10,267.48,263.54,264.14,264.10,270.51,268.95,273.55,288.60,301.81,298.76,,,201.80,180.81,329.38,318.72,376.23,402.78,417.80,403.20,404.94,388.40,373.20,376.04,364.35,339.42,332.38,317.47,310.24,301.48,L5
2003-10-19 21:42:20+00:00,281.38,279.00,277.41,279.69,279.97,283.89,289.42,,,309.21,308.97,,,213.12,207.58,364.81,372.84,387.89,414.02,428.58,421.95,411.91,404.12,386.06,,,,,332.09,320.96,311.19,L7
2003-11-04 21:42:27+00:00,293.79,283.84,,,284.07,295.68,303.40,301.35,294.53,298.42,,,,187.77,,,,,415.70,419.24,414.22,412.88,402.47,385.52,386.70,378.40,356.55,346.05,329.68,321.82,315.09,L7
2003-11-20 21:42:43+00:00,,269.58,268.44,258.23,262.86,281.48,292.16,279.38,284.17,289.83,298.29,,,,,301.70,337.14,360.24,397.69,408.02,403.85,395.70,388.96,375.63,383.49,367.59,346.97,338.38,321.64,307.91,299.10,L7
2003-11-28 21:32:34+00:00,274.04,263.09,269.27,273.25,281.80,293.13,297.81,294.03,305.50,302.04,300.27,292.12,251.73,184.29,175.66,295.28,,410.36,425.14,438.45,429.28,417.94,407.67,400.58,392.45,385.76,353.50,335.65,324.18,314.40,301.56,L5
