dates,nzd0256-0000,nzd0256-0001,nzd0256-0002,nzd0256-0003,nzd0256-0004,nzd0256-0005,nzd0256-0006,nzd0256-0007,nzd0256-0008,nzd0256-0009,nzd0256-0010,nzd0256-0011,nzd0256-0012,nzd0256-0013,nzd0256-0014,nzd0256-0015,nzd0256-0016,nzd0256-0017,nzd0256-0018,nzd0256-0019,nzd0256-0020,nzd0256-0021,nzd0256-0022,nzd0256-0023,nzd0256-0024,nzd0256-0025,nzd0256-0026,nzd0256-0027,nzd0256-0028,nzd0256-0029,nzd0256-0030,satname
1999-08-05 21:46:59+00:00,250.38,248.68,247.75,257.16,264.29,275.41,277.50,280.79,299.80,312.21,293.74,262.95,248.65,231.31,,303.64,344.19,370.64,407.44,428.83,,,,,,,,,,,,L7
1999-08-21 21:46:56+00:00,259.25,252.66,254.03,261.09,271.62,277.77,279.47,290.02,304.82,323.26,303.46,266.43,243.35,233.53,,305.88,342.19,363.39,400.70,424.88,416.32,405.10,396.99,392.36,385.20,377.42,358.63,345.90,328.63,315.61,301.65,L7
1999-09-06 21:46:59+00:00,262.04,256.93,261.20,267.73,281.66,281.60,287.83,298.19,309.41,328.62,303.46,266.43,243.35,233.53,186.77,305.88,344.09,369.42,405.95,426.78,418.21,409.56,406.23,401.12,394.74,381.90,361.37,347.38,328.34,314.58,301.98,L7
1999-10-08 21:47:06+00:00,264.32,260.01,261.77,267.27,279.90,281.84,287.43,296.29,307.63,326.51,314.21,266.43,243.35,233.53,186.77,310.01,342.09,366.11,402.05,421.15,414.25,406.38,401.52,395.95,390.24,375.58,354.42,342.39,325.28,313.17,301.50,L7
2000-02-13 21:46:48+00:00,263.12,258.57,261.92,266.19,278.04,279.04,287.60,297.47,308.90,330.35,322.32,288.09,254.98,235.75,186.34,294.71,347.83,370.77,403.51,418.79,413.53,406.51,400.25,393.89,387.78,374.07,356.31,342.85,327.18,314.14,302.64,L7
2000-04-01 21:46:34+00:00,263.84,260.77,259.61,263.56,269.08,279.70,287.87,298.30,313.41,327.62,327.40,309.48,292.77,279.60,185.92,280.32,350.49,376.40,410.24,419.08,413.12,407.52,396.95,390.07,385.08,372.59,355.48,342.02,326.45,312.39,303.82,L7
2000-05-19 21:46:07+00:00,268.59,263.67,264.54,268.79,272.71,283.43,294.44,306.07,320.42,332.58,322.21,306.86,289.82,268.46,173.19,251.77,348.65,382.25,416.69,426.45,417.71,413.54,403.44,397.02,389.66,379.70,365.34,349.24,328.93,313.23,304.33,L7
2000-08-07 21:45:08+00:00,271.44,267.32,266.19,265.74,273.15,283.81,294.77,306.29,318.26,326.09,315.02,304.11,284.85,256.56,173.19,251.80,339.02,372.92,411.97,422.93,413.99,409.75,399.95,394.16,389.15,379.28,366.28,348.69,329.20,314.31,303.11,L7
2000-12-13 21:44:28+00:00,279.98,278.26,271.12,256.59,274.49,286.79,295.23,299.41,305.07,304.44,297.82,299.41,290.12,208.34,162.61,266.15,310.14,374.97,409.75,418.58,407.55,398.62,388.15,380.94,381.53,374.56,365.51,346.27,330.00,319.77,302.88,L7
2001-04-04 21:44:06+00:00,272.91,271.62,268.70,268.33,286.64,290.63,290.70,291.90,294.57,308.66,309.14,300.72,294.55,172.89,162.61,280.41,,387.36,414.51,420.81,407.67,402.04,395.21,386.13,381.20,373.32,363.13,349.80,340.65,322.15,311.81,L7
2001-04-20 21:44:10+00:00,279.61,273.56,270.95,269.10,286.71,291.58,286.97,290.25,298.00,313.41,307.54,299.03,286.09,160.63,162.61,280.41,,388.36,412.47,420.11,405.89,400.84,396.15,387.36,382.21,374.12,361.90,349.85,337.10,321.85,310.84,L7
2001-05-22 21:43:54+00:00,277.85,273.80,271.34,271.54,284.28,289.50,285.23,292.62,299.69,311.34,306.16,294.94,278.53,144.62,162.61,300.97,345.54,384.44,411.13,418.32,405.98,400.50,396.10,385.20,380.92,371.52,359.87,347.12,329.71,317.75,306.95,L7
2001-07-25 21:43:18+00:00,282.42,277.87,276.13,277.40,287.18,292.84,288.19,296.78,307.81,317.39,309.81,292.25,261.53,144.58,180.39,319.10,356.55,384.18,411.60,419.78,409.20,405.22,402.76,394.50,387.93,377.18,364.09,349.71,333.17,320.19,309.11,L7
2001-08-10 21:43:00+00:00,283.22,278.37,275.57,277.18,284.54,291.65,288.51,296.80,310.10,316.98,307.10,292.25,249.39,146.11,171.77,308.12,349.41,382.24,408.64,417.83,407.32,404.35,401.30,392.86,386.72,375.45,362.17,347.43,333.17,317.76,307.73,L7
2001-09-27 21:42:29+00:00,289.21,283.92,281.18,282.26,288.71,293.94,291.95,300.84,312.46,318.01,305.96,291.28,247.95,156.39,171.77,325.45,358.07,386.95,411.84,419.02,408.48,405.38,403.22,395.26,388.82,378.41,365.19,350.07,336.13,320.40,310.40,L7
2001-10-13 21:42:15+00:00,293.08,288.69,284.82,285.99,291.70,296.48,297.23,302.53,318.03,323.43,307.25,288.90,237.94,166.32,171.77,330.86,360.94,391.60,417.69,423.76,411.12,406.43,403.37,396.66,389.57,379.76,366.81,350.73,336.40,319.93,310.11,L7
2001-10-29 21:42:21+00:00,296.94,293.62,289.37,291.39,294.22,297.28,303.01,306.41,320.48,325.41,307.83,285.53,230.27,178.34,171.77,329.57,361.88,391.59,421.60,426.71,413.03,408.29,402.79,397.82,391.00,381.11,369.25,352.26,337.54,320.66,310.65,L7
2002-01-17 21:42:52+00:00,300.61,296.39,292.21,294.84,297.76,301.11,306.84,307.92,323.59,327.77,309.21,290.09,228.93,193.04,159.12,335.86,369.11,398.03,424.36,430.41,417.27,411.01,404.55,401.41,392.78,384.48,370.99,354.72,340.91,323.72,312.90,L7
