dates,satname,nzd0256-0000,nzd0256-0001,nzd0256-0002,nzd0256-0003,nzd0256-0004,nzd0256-0005,nzd0256-0006,nzd0256-0007,nzd0256-0008,nzd0256-0009,nzd0256-0010,nzd0256-0011,nzd0256-0012,nzd0256-0013,nzd0256-0014,nzd0256-0015,nzd0256-0016,nzd0256-0017,nzd0256-0018,nzd0256-0019,nzd0256-0020,nzd0256-0021,nzd0256-0022,nzd0256-0023,nzd0256-0024,nzd0256-0025,nzd0256-0026,nzd0256-0027,nzd0256-0028,nzd0256-0029,nzd0256-0030
1999-08-05 21:46:59+00:00,L7,249.38,247.79,246.86,256.16,263.29,274.41,276.50,279.79,298.66,311.21,292.60,261.62,247.05,229.71,,302.04,342.19,368.64,406.11,427.50,,,,,,,,,,,
1999-08-21 21:46:56+00:00,L7,276.13,263.76,267.42,273.02,286.95,288.13,289.44,307.25,318.98,342.32,322.31,280.58,250.85,248.55,,320.91,356.20,372.15,404.63,431.60,426.99,414.24,406.13,403.03,394.34,386.56,367.77,353.90,337.77,324.75,310.79
1999-09-06 21:46:59+00:00,L7,284.37,280.35,290.44,297.75,318.48,306.02,321.29,331.27,337.73,356.08,,,398.18,455.48,231.44,441.94,381.37,414.97,438.79,452.92,442.43,433.16,434.60,432.21,423.42,405.53,383.24,365.60,347.18,332.69,321.45
1999-10-08 21:47:06+00:00,L7,281.15,278.16,272.36,275.89,284.62,292.56,296.22,300.59,313.71,330.20,347.15,,373.39,199.07,,334.29,356.11,376.18,403.67,417.57,419.67,411.46,403.55,398.94,392.66,374.35,351.96,342.43,330.60,321.77,311.96
2000-02-13 21:46:48+00:00,L7,242.58,240.23,245.68,249.85,253.85,261.21,275.18,282.53,301.47,324.54,314.65,302.27,267.11,110.30,177.92,252.93,361.15,383.27,409.28,415.41,407.38,403.45,393.00,383.70,377.00,366.11,358.53,341.20,329.44,313.64,302.66
2000-04-01 21:46:34+00:00,L7,287.80,281.71,278.57,284.94,288.76,305.32,312.22,331.79,347.90,348.13,343.25,330.02,334.44,300.40,87.76,285.74,374.20,409.75,444.42,450.91,438.98,430.52,417.15,414.22,408.43,400.18,378.81,362.44,342.17,324.62,319.70
2000-05-19 21:46:07+00:00,L7,282.15,275.07,275.37,278.32,282.27,290.50,302.67,310.65,319.62,331.82,316.45,297.30,278.70,252.11,151.80,227.45,324.11,367.22,405.36,422.04,415.78,414.36,407.88,402.13,391.27,380.53,366.40,350.83,322.90,309.16,298.35
2000-08-07 21:45:08+00:00,L7,278.23,276.70,269.56,254.84,272.74,283.21,294.01,305.21,309.77,304.86,291.44,293.50,267.14,229.98,199.19,249.08,306.64,341.45,395.51,410.02,400.50,396.38,387.47,383.25,385.63,376.02,367.11,345.31,328.00,315.52,297.46
2000-12-13 21:44:28+00:00,L7,,,,,,272.37,278.45,275.62,279.80,286.01,283.63,281.33,284.31,157.91,119.28,254.41,327.52,372.49,400.00,403.13,390.60,380.28,368.27,354.64,356.86,352.53,343.34,329.24,,303.45,287.73
2001-04-04 21:44:06+00:00,L7,289.91,286.73,283.81,285.33,303.64,309.64,303.71,308.94,310.20,332.06,335.51,321.11,305.99,189.08,117.69,396.34,435.03,403.72,430.02,439.49,425.75,424.66,423.01,418.63,406.40,394.97,383.78,371.11,360.08,341.71,336.76
2001-04-20 21:44:10+00:00,L7,298.81,286.60,284.32,282.36,299.28,305.99,292.01,299.43,319.16,335.40,318.63,312.31,289.16,156.09,,381.84,416.42,415.38,425.06,435.38,418.99,412.74,412.33,406.49,398.51,390.02,373.73,362.46,347.83,335.54,323.19
2001-05-22 21:43:54+00:00,L7,281.83,280.96,278.78,283.94,286.91,290.76,287.50,307.25,313.33,312.65,310.60,292.66,267.87,108.62,,333.53,360.54,387.69,417.13,422.94,416.25,408.02,404.50,388.73,385.63,372.28,362.35,346.43,323.50,314.03,303.85
2001-07-25 21:43:18+00:00,L7,278.38,274.30,274.72,277.24,278.14,284.21,288.79,290.77,310.54,308.72,296.51,,213.89,155.32,133.06,288.26,332.06,368.41,399.86,406.98,401.47,397.46,393.22,389.82,383.19,373.44,358.51,338.10,323.28,311.46,294.65
2001-08-10 21:43:00+00:00,L7,276.40,271.50,264.42,266.30,263.97,276.88,279.81,286.84,307.85,305.30,284.82,,184.83,136.22,136.48,270.17,315.13,354.50,383.47,396.68,386.49,389.44,384.01,372.99,370.44,357.12,343.04,328.31,,296.65,290.77
2001-09-27 21:42:29+00:00,L7,329.66,320.97,318.55,318.16,320.05,315.90,319.66,331.54,336.24,333.66,312.24,302.40,257.54,224.62,417.56,394.25,405.04,431.50,441.84,439.01,428.28,422.52,424.85,421.23,411.32,405.21,392.29,373.78,359.97,345.59,335.78
2001-10-13 21:42:15+00:00,L7,312.67,314.91,305.25,307.18,321.09,324.40,334.84,318.60,343.04,364.11,342.71,,245.17,247.84,389.33,378.91,405.44,430.63,464.43,467.27,440.93,430.42,423.31,426.39,410.36,402.49,392.96,374.56,360.83,338.32,334.41
2001-10-29 21:42:21+00:00,L7,320.47,314.85,310.26,313.26,312.92,309.26,325.20,321.18,332.18,345.79,,,240.73,225.79,328.12,340.73,388.59,412.33,446.52,451.07,428.41,422.14,407.11,411.41,405.35,396.37,386.65,370.10,351.82,338.19,324.72
2002-01-17 21:42:52+00:00,L7,279.34,275.82,274.09,280.18,283.63,289.28,286.01,291.83,303.95,302.31,289.49,269.11,220.61,157.65,88.48,332.03,354.88,377.33,401.05,412.43,409.04,396.38,387.05,377.60,368.30,364.54,344.76,336.71,312.36,304.38,289.38
2002-02-02 21:42:54+00:00,L7,246.53,230.30,237.88,254.93,279.01,274.04,264.36,271.94,283.11,281.54,272.01,,171.47,112.70,88.35,278.45,337.30,362.08,381.37,396.10,389.48,379.10,372.93,364.01,356.16,346.51,331.36,317.18,,282.08,268.22
2002-02-18 21:42:54+00:00,L7,277.15,271.94,275.91,277.30,285.07,288.45,290.56,291.68,303.76,302.54,284.50,275.06,221.53,128.52,117.84,317.63,354.63,382.39,401.55,416.35,409.70,397.32,390.38,380.89,372.82,365.45,346.87,331.87,320.68,308.14,293.03
2002-04-07 21:42:52+00:00,L7,320.67,317.96,314.21,317.70,323.03,324.37,326.94,329.11,324.29,328.09,316.16,339.70,341.19,127.58,185.51,369.88,391.60,419.44,444.31,450.16,443.75,433.49,429.77,415.36,403.46,393.83,378.88,362.98,346.09,329.62,319.90
2002-09-14 21:41:55+00:00,L7,290.41,287.67,282.79,283.85,291.16,292.02,297.67,306.20,316.86,331.45,298.24,267.89,250.95,208.47,261.10,334.12,370.69,387.19,416.98,433.31,422.63,407.64,399.39,388.91,393.58,388.64,374.45,351.37,330.78,316.63,304.39
2002-11-01 21:41:54+00:00,L7,322.17,318.62,315.65,312.44,308.68,312.02,310.88,312.91,318.67,317.22,297.11,266.62,271.45,257.42,418.06,403.52,384.22,391.76,419.54,428.80,411.89,394.28,389.33,388.86,382.41,382.98,372.10,355.17,335.04,324.42,316.50
