,dates,usa_HI_0030-0000,usa_HI_0030-0001,usa_HI_0030-0002,usa_HI_0030-0003,usa_HI_0030-0004,usa_HI_0030-0005,usa_HI_0030-0006,usa_HI_0030-0007,usa_HI_0030-0008,usa_HI_0030-0009,usa_HI_0030-0010,usa_HI_0030-0011,usa_HI_0030-0012,usa_HI_0030-0013,usa_HI_0030-0014,usa_HI_0030-0015,usa_HI_0030-0016,usa_HI_0030-0017
0,2000-01-25 20:59:13+00:00,,221.9742083964543,219.95082753026972,211.72567520032862,198.57640865626857,191.11579616025304,211.9507368070463,229.704704866741,210.35269381550808,206.05177242719802,205.70810593358834,218.43675055829627,215.04866941308674,216.8264740088788,215.36808777195418,208.42998272554013,212.52991280841377,209.75158725500322
1,2000-02-26 20:59:03+00:00,,196.41547944353323,206.10319807453973,207.61759815677866,209.39048457506985,205.26891771034272,213.5788084833383,206.61167163773626,186.14254353358987,191.84376969227182,186.5297808635293,198.94967670602853,211.2918160766441,216.9211471026249,214.7130582779498,212.92916924307815,225.03661223451886,226.0657958957894
2,2000-06-01 20:58:19+00:00,238.95258629174828,217.36504794475098,224.55353320577635,218.25210867108927,209.08159736481963,209.27200244011192,214.5487605788902,227.46065086652442,215.579622245325,218.86495457119952,220.99081510554782,226.1854075340981,233.6704905988493,230.23205120758703,229.51722621462434,230.16531385337044,230.81646856794717,227.1752819290286
3,2000-07-19 20:57:48+00:00,230.53712519159026,208.264652205713,210.0450816882191,205.92751829042535,192.93489327572328,186.37805430553024,205.96983624056477,226.68934977975425,209.56630705300174,213.68613410412001,208.88734336037405,210.95622382354318,219.76258743949094,216.39798905278,216.14516777968905,214.53763491933282,210.63426945719647,208.65414127838
4,2000-11-08 20:56:43+00:00,203.2349216446205,201.01553468409097,201.890855002119,204.22864483428788,193.55868873381021,195.80573334129147,203.29897966326186,197.8405892408358,191.12366313298293,198.14069943975738,194.8714814029822,197.50084033263016,201.48241612022707,209.9664196818899,203.92628712377333,202.7594111453422,211.11821370870246,209.98217576160454
5,2000-12-26 20:56:52+00:00,183.9267983332639,188.07243089973576,202.6661913447764,202.76724940263168,202.59707138941374,198.718258557552,198.68513939566188,193.09848288390435,176.772111638092,185.41736960933568,186.79992151542092,195.47074200623555,199.4677432607044,209.29210863270012,200.9058003632158,197.67445397014703,212.0306813973744,210.91211847309864
6,2001-01-27 20:56:56+00:00,205.17359198172312,197.9658367189999,210.29039301207868,206.00199401785022,200.36611978909008,202.09290987314154,210.52495047497874,209.58413218950457,195.81960106065858,198.4644386559233,203.19418992758136,217.04847039729412,210.0450255611184,217.03550626486856,221.8109341010449,215.82269930943824,232.42661045691295,236.05402098891062
7,2001-02-12 20:56:50+00:00,217.25449835052893,222.03873931027908,216.31448034482824,208.03599766940084,200.73164073690722,195.5403078172589,199.12098415875715,216.35063301045554,206.01451856673899,203.40446413102447,203.95070971556544,217.9019189686934,220.3699363243935,219.5268234375535,220.9314963621943,222.14206281787722,227.88987913195086,217.15548301282337
8,2001-02-28 20:56:44+00:00,190.10763124706017,183.26767952408534,182.11707153754818,195.08566721424134,191.3626873212399,193.97659367566112,197.05409412714974,193.60626953392847,185.20754096210112,193.809974025997,196.0944656579345,201.46554624715117,205.95067180945892,213.28709013770575,207.31933144352072,210.4821016110005,218.7491319647488,214.65759975257
9,2001-03-16 20:56:40+00:00,200.14257712309455,195.59698896076088,199.20015610165046,200.00328550074244,208.84787410699133,207.28227076589832,209.2966858126007,213.26165747800616,189.5232420861435,195.07408071035172,195.91197201004323,204.25740582210645,210.5710030695456,219.05149524707534,223.5503302918789,223.09434810038636,222.9060097935213,221.5698973480792
10,2001-04-17 20:56:32+00:00,203.26933436424048,194.3075758985111,205.1294492530855,,,,,222.748335516106,199.4950468973202,195.87992638890037,203.7822593704294,205.86201999038803,216.83861375476067,215.88800628803855,220.43558562906887,217.78988108396547,222.0388629666781,213.35541384015715
11,2001-10-26 20:54:43+00:00,239.66021259342267,227.55573784669951,223.3076417639158,217.74009139567056,200.2907994362164,191.7677077058372,210.38797588841254,232.64978519526437,220.3160040973695,213.20609883872575,211.5374018135686,215.76884713914777,211.4561300058098,204.45230368882878,204.03782755402082,201.73738142398662,206.16445472985106,197.93445597819212
12,2001-11-11 20:54:53+00:00,224.23764641753183,219.46220595493537,219.41061700152275,211.67440169215425,194.138640097797,,,216.93607607434956,203.16181615343572,200.34705290042274,192.69901162560896,198.1329131373119,205.2822943028881,203.6837576519842,198.59495103816147,195.33293979795482,207.50843975048693,199.40907362061475
13,2001-12-29 20:55:02+00:00,196.942126702031,189.576675457266,,,176.07086375531296,177.24796546145714,191.6643822488315,186.73894162072267,181.1650569227055,193.1253056415162,198.41032620755135,199.67725123482046,206.97863869608025,202.51686996251192,198.46356794082476,197.06715594849263,205.4360467552977,202.99326197597563
14,2002-01-14 20:55:11+00:00,203.60559018585857,202.59904375812752,220.33988067380332,218.07062243853656,,,219.65837591049373,216.12186301046276,199.70169516859613,198.30952367992182,204.93908277020537,215.46254996719657,211.54795673036347,220.28632708280034,224.14793203921087,222.43524018585623,230.4845902440874,232.94806332589005
15,2002-02-15 20:55:18+00:00,,,,204.45817444754044,186.36312298406042,176.29329524403877,175.56998974625583,189.96011882282798,180.6893449442129,184.14061424174,196.87098651909687,206.57053460528257,203.8571573534126,195.84056882536785,189.84131689098064,194.0538648294455,200.79380697400185,197.7338702461468
16,2002-03-03 20:55:22+00:00,193.63660309093078,186.42848405061264,191.01334393332502,184.16663346589013,183.1304041545727,183.53679037472537,188.57936118022027,196.77472334894074,193.218420605276,206.0989452409244,207.73592617445155,206.9503248471337,209.7882458498693,214.58977062931808,207.12798855519816,208.98956847665488,215.93424087217375,207.6675813351487
17,2002-04-04 20:55:11+00:00,206.734483394787,204.21928922292898,208.51077419727514,206.69090474019117,201.18149878102344,194.96962086547617,206.44776208742522,204.22801879181117,199.22498146579133,200.09474819086861,206.41219974605974,206.52982381047724,209.95200071538457,209.41288156023472,199.42401084509322,204.20514320724348,212.24385927595978,214.25207713972446
18,2002-05-22 20:55:06+00:00,221.20119148559246,212.96731035382155,222.3771433920394,219.102175426953,218.99955933751602,207.44475780001173,213.8806497923492,230.7149274217743,210.1944891727125,209.57343360099478,212.1256826059934,219.1565788025764,222.2005766898474,221.2807309404592,220.24391741206077,224.19406333085925,226.64613180944863,224.66313469166508
19,2003-01-01 20:54:45+00:00,191.4375970886676,192.2359063618141,204.83871281504446,203.6886023773273,199.9704301851382,198.24800109671284,203.46692014838533,198.91802417752913,181.94446957348387,190.94680737242922,189.38550683123668,201.35449751828816,205.3583567361575,209.07151670881683,209.02881681299246,209.0451666213636,215.9737896738846,213.07260424880468
