,dates,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0044,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049
0,1999-09-18 22:13:39+00:00,115.64593539127034,135.15390876436345,142.55562523696216,141.33565676226988,135.23013515750534,127.77567795661817,122.65830189013556,129.02769788131525,128.60223802218746,130.51038665483512,128.61659176225464,120.51120223268117,123.76947933421383,123.98877560718167,120.93979519751593,124.62265719577678,130.26930795503614,127.45676685779273,125.65663960845578,121.47175674483186,121.38960201709793,126.42152261834181,135.34328191676033,139.98843388627515,137.99770623131315,139.84866373925917,146.2880203444851,151.66327967118312,141.89922756333885,125.14886440946981,115.18396106597689,117.0864114421338,117.7558371404923,120.33772842688785,117.64287960376818,111.49893423343804,108.75762227930706,102.40536839270459,97.16743882335564,97.83377686250483,102.04503800236492,105.16336639438214,106.8100062638338,114.43320389159013,121.42097985393988,121.12668472176821,114.60517546448429,106.65701268555821,105.68034511053783,108.90431408811652
1,1999-09-27 22:07:36+00:00,146.8289244537761,150.36875605071546,154.51868147761877,149.38817285464364,151.38008687624702,142.05339795272045,134.85502255979824,133.1358248273788,135.28998030895096,143.78271770261526,136.3354479985381,129.3668234389429,134.84588573478723,134.44360147025577,135.56446675036537,137.58913360114025,137.6218173432212,137.1320168126099,131.2405453106211,129.3455403565592,136.17026571914434,139.936847490096,141.05871308866784,148.04578454527737,148.8315804197698,157.44932978879407,158.0512363335665,159.8251968033258,158.31350618367776,150.04101826406915,134.4478068384475,129.19812225160382,126.01983972117695,125.10719112686151,129.88574788649967,132.43467542667597,121.7051537937731,110.25280890491621,101.96170409434069,115.15228649227502,113.0685403589435,113.9099831954594,116.65999461153275,127.28786247293957,130.33608218683497,126.95311562065132,122.94315559479301,118.04845941254223,120.06429876200255,121.94793968053744
2,1999-10-04 22:13:49+00:00,88.46304782005542,,113.18006476336373,,110.8186062074972,107.82805503794347,101.22505608381195,105.60135467859946,105.2397706647718,111.56111309140253,112.63569430200857,95.03256628025831,111.2384430769111,112.99986369252429,110.58575781988917,112.85151985821406,114.9356495013789,111.17104545142587,114.4674222936265,110.3510030126544,114.43808801350045,114.29287421424013,118.76783713824686,123.48689540350308,123.12022568798204,127.34075657066224,133.96774971930458,138.4209439585064,133.92367355746632,124.91794681925155,115.93399116209326,110.72231241344289,106.4386918216056,104.51686912000545,109.55963494058459,111.402063177663,105.22974152782307,89.54182397449895,84.40334040525892,80.28947956306175,76.65490085888625,86.6195673969747,90.22859405419547,102.17409597527339,109.19474612248834,108.80868056253438,104.97520005886726,92.76000330194925,90.35179952197657,95.36897591086222
3,1999-10-13 22:07:36+00:00,117.05182986606485,135.14767473706843,141.47228904972738,159.76617594065317,146.93444060853412,139.00405103921884,130.8816257476602,135.8511894975001,138.3966474947319,140.62963970263638,140.08876194988022,131.09576320021114,131.25966911995297,131.27741060466155,135.10075406234387,138.63246609437368,144.46605998983807,141.57435997947707,145.48384386002573,145.53962074224995,150.8842622812764,152.17367349116893,149.90474836286035,154.91343205247964,153.62931047727892,145.73390783238546,148.19451237077192,152.7756806451216,150.1259576168527,146.94693901724602,134.9833590909364,134.29381699123914,129.59196696675576,125.8597701978494,136.14423353937377,135.91603450507836,125.61271913455289,120.03109545916769,117.6720415955848,117.93281159834612,120.26004283034722,120.84477718040962,128.40893837948258,,,,,,,
4,1999-12-07 22:13:41+00:00,140.87024540011515,148.6809355590841,151.64916188462763,153.6502268950868,159.36669624874122,154.17779257484378,146.2614865257646,151.31586195309904,152.9339125548608,159.08153383626612,155.27213660306356,136.26372171825847,139.71490455569614,141.99608968229157,142.97877619515552,148.57601209184236,149.62508494068828,144.56796474781027,147.32126040682851,151.53685863650227,152.74709217413437,133.54144225120513,143.44352998496714,153.13791134515577,156.09312702921446,157.60326674497162,163.44559860047283,158.41862705702752,154.4552068236278,147.45485805540193,145.7580720386546,143.01196946849296,131.232544494823,126.83229488526409,130.13946295973324,135.15649357743618,132.98448171776397,125.82196729855457,119.72243958832982,120.91536852323506,125.8738921223891,124.53651298012643,133.39175293514432,133.27140447474108,126.73008257026503,133.1463653813729,139.79378308063775,136.7814049024782,130.24510552981167,138.02954453365936
5,1999-12-16 22:07:33+00:00,123.26592965680628,134.41479575527578,137.496246474531,145.70695490629907,145.61454743125398,142.3297460376204,131.16401072803507,134.12623214928624,138.74445687893888,146.06062100846538,135.92552167618538,128.99281487842507,128.75821899806311,132.11686876080395,131.4909306754983,130.86008757951123,132.54314060545175,129.59380067514712,131.72787259385228,132.4000334554824,128.85149726557808,123.92608664915534,129.85960472457376,140.89572125584408,143.22378005757798,146.4259356250376,142.1974412456677,141.0492295595811,137.7149275171073,135.58592122177885,129.49720752900924,118.83520475281779,119.28994325125362,113.60270584674423,116.34099820734338,123.1753138921701,120.90690252771961,112.98291601863393,105.69075842767548,106.27150962148005,111.25137234816972,109.66066339841288,111.7557727004728,111.20535289146542,117.95564855291477,120.94198272497135,118.16234284357637,119.44015497427657,116.13019988796775,120.82940948586786
6,2000-02-18 22:07:16+00:00,153.56447175683252,126.47052224999221,155.98718732464903,155.5644734499861,152.58455985528732,153.22123775959204,146.7615267546251,149.88891494301896,149.54532360220438,146.35788113093105,145.89325814764527,147.60704139036605,153.10436503440673,137.71584433664032,141.32765669743065,146.05265717110274,147.8785556026089,143.13437875575426,146.52166386930068,150.39764348628248,149.07193751945766,151.78438379590034,155.634368152781,155.53606052980967,158.04705780940157,159.1326611126496,165.74589773254434,164.3160056743933,158.1572572366258,151.8999178337628,142.87232912905324,139.46822025623766,139.7973093683877,139.40641741876357,138.34512857162667,135.0532660476283,129.86784320818748,123.31436744956719,121.36023017946603,124.5179873861239,123.1083613857821,123.51028219214047,128.53931720839978,136.66573602669115,139.1379391838749,135.36944286070923,128.87673876246674,127.82555704779315,127.8316142939805,134.4799483829847
7,2000-02-25 22:13:25+00:00,111.71200320913192,121.5311772916476,130.25457254131422,139.6334439062855,126.72394830564684,124.19172415260007,128.452873576731,131.9827651966874,137.84649735889528,140.88364929254152,149.37724424416461,159.42632172666134,144.67357482542587,165.2152122230308,138.7026738608584,126.10452054384949,122.19400859570315,126.89100941431205,,,,,,,,146.47247718138343,145.20543960171258,148.39425598944936,145.4828727200953,145.98152860089294,131.83077386522987,126.56618358474147,115.35341426736701,123.79948026028148,121.3009494214356,115.84645778268668,112.91340158534783,100.32071368551433,97.86250129978659,100.80740969227196,87.95734232236177,83.41159739730318,83.38212641179331,100.25802219181787,86.23253275768054,76.47285655345928,113.4754551264327,113.44137737714775,113.28043716886287,122.8994663204014
8,2000-04-13 22:13:06+00:00,102.53292440640912,104.62774650314188,119.85819751521647,122.04056483254983,127.17764623521322,124.61220624110348,121.36541226175933,125.55058229827698,131.03466915516958,122.98401602500573,125.57061498088531,117.72948178469188,115.65825745948506,116.34544143349265,118.89592394571642,121.23090291683567,123.49097843186544,124.79417417723457,127.06977685073217,122.60359370333033,119.97044929230017,118.22214795458991,128.60101403605643,135.21645054360755,134.2937441932188,130.27224802314075,133.71557597276097,141.27276643985726,139.3145248385294,132.10713791593355,121.82289350282937,115.1028504986883,114.62146316850976,110.45206451911965,113.28993996860424,114.8713360914837,112.99405176678891,102.69540273674633,92.47909569278767,83.24050714090997,86.83059459530836,93.97541800608954,102.85614188848757,109.5318004750558,110.44871014773724,109.66789208782865,106.6245419156129,102.33363088230325,102.50396309386664,102.58829279377628
9,2000-05-08 22:06:44+00:00,116.69173735896402,111.06883501709486,135.5238605276877,143.77207250642553,142.11895121092488,144.48328975760086,137.74099267579288,133.3921874543426,140.30282265178028,143.99498445269134,141.53609427823227,135.08306743802737,136.56190395850416,133.6185682137353,130.67410702582833,137.63447945005782,141.44481355484464,142.36155116081943,139.16930381863693,134.83059993206552,145.0441652872539,152.09451465400474,158.0199937964848,158.958920262483,155.6778878450627,153.53208969825278,155.01335613359626,158.21754080578518,152.26407481936567,149.07276639248215,138.49396624760698,134.9453600850083,131.02511249914772,129.9143425420117,134.9005449116307,133.64864260905344,133.1433700305009,119.8896583559071,117.5008143129456,116.755077798276,115.34881781537098,125.57051487477938,127.73958555464631,135.4834634029112,135.39426466459167,130.14733558053453,125.88364127266874,124.37824203811533,123.60069617669473,135.35564897852396
