,dates,aus0258-0000,aus0258-0001,aus0258-0002,aus0258-0003,aus0258-0004,aus0258-0005,aus0258-0006,aus0258-0007,aus0258-0008
0,1987-05-22 23:08:08+00:00,196.80808815308845,206.77561737809083,200.01329747692625,211.07804800066677,218.27674423509427,214.2197037608255,210.90170992011429,218.13154980699971,218.5554723326576
1,1987-09-02 23:16:50+00:00,207.42400494615612,203.91994856469586,200.88496006423054,220.20162300937932,217.88136142042205,212.1482318452185,211.72113283841207,213.28770662491598,212.68789419662005
2,1987-09-18 23:17:14+00:00,206.10458189840836,208.58525799075272,212.68343644851325,218.9817199234218,231.93057192888503,216.82795750125962,215.08284199277054,219.4476302742592,220.20013758795437
3,1987-09-27 23:11:15+00:00,201.85580231041942,199.699227032004,215.47447200922687,213.4315265856087,220.89405598009455,206.86461751901163,215.63180860433664,213.21476910041423,213.7335806865466
4,1987-10-04 23:17:34+00:00,190.06607607080397,193.07491317092666,203.84432392691988,203.67370104935304,217.9640518478771,206.51586781207908,201.02769621246924,205.33261204470924,205.9306020405382
5,1987-11-14 23:12:11+00:00,206.02314590434742,205.1337307829076,213.01535087559364,216.5813749442027,229.00886728517315,212.49926705169148,220.6979216194158,215.08540133568007,215.7987874804803
6,1987-11-21 23:18:29+00:00,182.75790587484076,179.2643128044725,180.17613595335723,197.28112065100999,209.1970371352553,195.6892916414726,197.38487344639015,200.08163291307184,198.8451766935656
7,1988-01-08 23:19:14+00:00,202.485202615253,201.83337502594557,201.96027640898086,210.07364498590823,222.152589284639,206.6205418125525,207.418827622437,215.70399886427086,213.8875118403303
8,1988-01-24 23:19:32+00:00,204.2796271057976,202.111186793339,200.37543908855437,212.62907086292628,218.31881084679594,216.42349771607778,212.13262992968208,222.03853715226464,221.64500592542504
9,1988-02-09 23:19:50+00:00,186.6230771574194,190.41401275838635,193.4204397607125,217.03767320535167,214.99210521660177,210.12631247867236,206.96447386312013,205.93063895314708,205.44195036948275
