dates,satname,sar2330-0000,sar2330-0001,sar2330-0002
1984-04-13 09:26:43+00:00,L5,249.93,201.90,227.47
1984-05-06 09:33:03+00:00,L5,251.92,205.92,227.56
1984-05-31 09:27:59+00:00,L5,,,
1984-07-18 09:28:22+00:00,L5,253.57,214.54,237.34
1984-08-03 09:29:20+00:00,L5,256.02,215.53,234.15
1984-08-19 09:29:51+00:00,L5,248.98,210.68,227.93
1984-09-04 09:29:37+00:00,L5,253.44,207.47,227.10
1984-09-11 09:35:50+00:00,L5,246.49,203.24,233.99
1984-09-20 09:30:04+00:00,L5,249.54,213.92,230.22
1984-10-22 09:30:00+00:00,L5,254.48,216.31,233.11
1984-11-07 09:29:29+00:00,L5,254.72,212.70,239.50
1984-12-09 09:29:58+00:00,L5,250.78,210.08,237.67
1985-01-17 09:36:05+00:00,L5,251.40,207.65,234.96
1985-04-23 09:35:59+00:00,L5,,,
1985-06-03 09:30:04+00:00,L5,254.89,199.00,221.12
1985-06-26 09:35:47+00:00,L5,,,
1985-07-12 09:35:41+00:00,L5,,,
1985-08-13 09:35:25+00:00,L5,,,
1985-08-22 09:29:32+00:00,L5,250.58,211.75,224.96
1985-11-10 09:28:33+00:00,L5,255.34,220.50,234.22
1985-12-03 09:33:55+00:00,L5,253.04,213.54,243.03
1986-01-04 09:33:20+00:00,L5,254.85,208.64,241.95
1986-01-13 09:27:22+00:00,L5,255.28,206.64,238.50
1986-02-21 09:32:17+00:00,L5,251.51,203.86,236.60
1986-03-18 09:25:58+00:00,L5,245.47,195.20,238.55
1986-03-25 09:31:37+00:00,L5,250.02,208.43,219.75
1986-05-12 09:30:29+00:00,L5,,,
1986-05-21 09:24:03+00:00,L5,244.54,201.94,220.97
1986-05-28 09:30:02+00:00,L5,245.15,211.03,224.10
1986-06-22 09:23:04+00:00,L5,241.64,200.24,224.31
1986-07-08 09:22:57+00:00,L5,,,
1986-07-24 09:21:59+00:00,L5,,,
1986-07-31 09:27:55+00:00,L5,,,
1986-08-16 09:27:20+00:00,L5,255.00,204.74,227.83
1986-09-17 09:26:13+00:00,L5,243.92,201.78,228.29
1986-12-31 09:18:50+00:00,L5,255.66,208.72,225.96
1987-01-07 09:25:13+00:00,L5,246.17,211.75,241.84
1987-01-16 09:19:18+00:00,L5,258.87,213.69,242.21
1987-02-08 09:26:31+00:00,L5,263.64,209.49,243.04
1987-02-17 09:20:35+00:00,L5,,,
1987-03-21 09:22:02+00:00,L5,253.79,210.45,234.25
1987-04-29 09:29:06+00:00,L5,250.91,208.74,226.01
1987-05-08 09:23:35+00:00,L5,246.17,223.90,226.99
1987-05-15 09:29:33+00:00,L5,,,
1987-06-09 09:23:59+00:00,L5,244.41,203.40,226.24
1987-06-25 09:24:44+00:00,L5,260.24,205.71,227.91
1987-07-02 09:30:39+00:00,L5,,,
1987-07-11 09:25:03+00:00,L5,251.29,201.31,231.35
1987-07-18 09:30:57+00:00,L5,,,
1987-07-27 09:25:25+00:00,L5,247.67,212.09,227.73
1987-08-03 09:31:25+00:00,L5,245.10,203.96,229.45
1987-08-12 09:25:31+00:00,L5,246.79,201.31,231.74
1987-08-19 09:31:54+00:00,L5,,,
1987-09-04 09:32:19+00:00,L5,257.30,197.08,231.28
1987-09-13 09:26:45+00:00,L5,244.71,201.00,228.07
1987-09-20 09:32:42+00:00,L5,249.33,199.79,228.13
1987-10-06 09:33:02+00:00,L5,246.16,207.75,239.60
1987-10-31 09:27:16+00:00,L5,242.56,203.88,219.29
1987-11-07 09:33:38+00:00,L5,239.94,203.25,134.81
1987-11-16 09:28:03+00:00,L5,252.79,211.66,238.83
1987-12-02 09:27:54+00:00,L5,261.96,222.69,238.65
1988-01-10 09:34:42+00:00,L5,251.30,208.48,240.69
1988-01-19 09:28:41+00:00,L5,284.93,52.57,288.84
1988-02-11 09:35:17+00:00,L5,246.73,209.29,231.13
1988-02-20 09:29:14+00:00,L5,252.34,203.45,233.87
1988-03-14 09:35:39+00:00,L5,244.52,202.26,239.07
1988-04-15 09:35:50+00:00,L5,241.25,200.44,242.48
1988-04-24 09:30:07+00:00,L5,,,
1988-05-01 09:35:57+00:00,L5,,,
1988-05-17 09:36:08+00:00,L5,,,
1988-06-02 09:36:14+00:00,L5,,,
1988-06-11 09:30:05+00:00,L5,250.13,195.48,238.71
1988-06-18 09:36:19+00:00,L5,,,
1988-07-04 09:36:24+00:00,L5,,,
1988-07-13 09:30:39+00:00,L5,255.27,206.58,231.44
1988-08-05 09:36:28+00:00,L5,255.91,212.11,218.17
1988-08-14 09:30:16+00:00,L5,250.85,198.24,237.32
1988-08-21 09:36:29+00:00,L5,,,
1988-09-06 09:36:31+00:00,L5,,,
1988-09-22 09:36:26+00:00,L5,252.90,201.05,232.47
1988-10-08 09:36:21+00:00,L5,,,
1988-11-02 09:30:34+00:00,L5,243.76,199.46,235.30
1988-12-04 09:30:05+00:00,L5,264.69,212.67,236.35
1988-12-11 09:36:09+00:00,L5,248.67,225.09,220.48
1989-01-12 09:35:56+00:00,L5,252.51,212.79,232.39
1989-01-28 09:35:43+00:00,L5,249.04,205.26,241.79
1989-03-17 09:34:52+00:00,L5,248.68,212.90,223.24
1989-03-26 09:28:29+00:00,L5,252.21,195.16,245.53
1989-04-02 09:34:48+00:00,L5,249.24,212.57,230.17
1989-05-20 09:34:09+00:00,L5,240.74,205.56,230.53
1989-05-29 09:28:17+00:00,L5,254.18,191.03,231.75
1989-06-14 09:27:46+00:00,L5,,,
1989-06-21 09:33:31+00:00,L5,,,
1989-07-16 09:27:19+00:00,L5,254.04,227.36,219.29
1989-07-23 09:32:57+00:00,L5,,,
1989-08-01 09:26:59+00:00,L5,,,
1989-08-24 09:32:15+00:00,L5,245.63,204.35,227.12
1989-09-25 09:31:28+00:00,L5,265.03,215.89,218.91
1989-10-11 09:31:06+00:00,L5,247.11,205.42,235.93
1989-10-27 09:30:27+00:00,L5,,,
1989-11-12 09:30:07+00:00,L5,254.52,204.33,242.11
1989-11-28 09:29:40+00:00,L5,259.40,213.93,231.73
1989-12-14 09:29:14+00:00,L5,264.11,203.76,247.88
1990-01-31 09:27:43+00:00,L5,260.30,223.31,222.79
1990-02-16 09:27:12+00:00,L5,,,
1990-03-04 09:26:38+00:00,L5,,,
1990-05-07 09:25:55+00:00,L5,250.57,206.99,221.49
1990-05-16 09:20:13+00:00,L5,256.14,209.18,237.50
1990-06-01 09:20:08+00:00,L5,256.80,213.79,238.12
1990-06-08 09:25:55+00:00,L5,,,
1990-06-17 09:19:42+00:00,L5,247.65,205.74,224.96
1990-06-24 09:25:54+00:00,L5,,,
1990-07-10 09:25:52+00:00,L5,,,
1990-07-26 09:25:48+00:00,L5,,,
1990-08-04 09:19:56+00:00,L5,247.64,192.56,243.21
1990-08-11 09:25:43+00:00,L5,249.42,200.48,239.00
1990-08-20 09:19:30+00:00,L5,253.52,207.26,227.51
1990-09-12 09:25:35+00:00,L5,,,
1990-09-28 09:25:26+00:00,L5,,,
1990-10-30 09:25:11+00:00,L5,264.46,214.65,232.03
1990-11-15 09:25:13+00:00,L5,250.15,200.36,249.84
1991-01-11 09:19:39+00:00,L5,257.85,203.79,241.61
1991-02-12 09:20:19+00:00,L5,256.05,201.46,246.11
1991-02-28 09:21:00+00:00,L5,,,
1991-04-08 09:27:30+00:00,L5,250.07,207.91,229.17
1991-04-24 09:27:46+00:00,L5,246.55,199.50,231.01
1991-05-26 09:28:22+00:00,L5,243.03,206.57,232.50
1991-06-20 09:22:30+00:00,L5,236.65,202.05,218.53
1991-06-27 09:28:49+00:00,L5,,,
1991-07-06 09:23:10+00:00,L5,249.04,197.17,237.23
1991-07-13 09:28:57+00:00,L5,,,
1991-07-29 09:29:13+00:00,L5,,,
1991-08-07 09:23:04+00:00,L5,246.08,201.32,236.80
1991-08-14 09:29:15+00:00,L5,243.25,210.98,220.29
1991-08-23 09:23:10+00:00,L5,236.71,203.18,236.39
1991-09-08 09:23:48+00:00,L5,249.30,205.33,239.43
1991-09-24 09:23:31+00:00,L5,262.83,205.45,235.06
1991-10-01 09:29:43+00:00,L5,,,
1991-10-17 09:29:54+00:00,L5,255.97,206.96,232.58
1991-11-11 09:23:45+00:00,L5,248.13,196.65,247.17
1992-01-05 09:29:59+00:00,L5,246.30,210.94,227.23
1992-01-14 09:24:13+00:00,L5,251.54,215.29,228.17
1992-01-30 09:24:18+00:00,L5,237.41,208.77,235.02
1992-02-06 09:29:56+00:00,L5,246.52,205.71,225.00
1992-02-15 09:24:02+00:00,L5,242.00,203.58,232.21
1992-04-26 09:29:34+00:00,L5,249.33,209.05,207.24
1992-05-12 09:29:27+00:00,L5,,,
1992-05-28 09:29:18+00:00,L5,,,
1992-06-13 09:29:08+00:00,L5,,,
1992-06-29 09:28:56+00:00,L5,,,
