,dates,usa_CA_0302-0000,usa_CA_0302-0001,usa_CA_0302-0002,usa_CA_0302-0003,usa_CA_0302-0004,usa_CA_0302-0005,usa_CA_0302-0006,usa_CA_0302-0007,usa_CA_0302-0008,usa_CA_0302-0009,usa_CA_0302-0010,usa_CA_0302-0011,usa_CA_0302-0012,usa_CA_0302-0013,usa_CA_0302-0014,usa_CA_0302-0015,usa_CA_0302-0016,usa_CA_0302-0017,usa_CA_0302-0018,usa_CA_0302-0019,usa_CA_0302-0020,usa_CA_0302-0021,usa_CA_0302-0022,usa_CA_0302-0023,usa_CA_0302-0024,usa_CA_0302-0025,usa_CA_0302-0026,usa_CA_0302-0027,usa_CA_0302-0028,usa_CA_0302-0029,usa_CA_0302-0030,usa_CA_0302-0031,usa_CA_0302-0032,usa_CA_0302-0033,usa_CA_0302-0034,usa_CA_0302-0035,usa_CA_0302-0036,usa_CA_0302-0037,usa_CA_0302-0038,usa_CA_0302-0039,usa_CA_0302-0040,usa_CA_0302-0041,usa_CA_0302-0042,usa_CA_0302-0043,usa_CA_0302-0044,usa_CA_0302-0045,usa_CA_0302-0046,usa_CA_0302-0047,usa_CA_0302-0048,usa_CA_0302-0049,usa_CA_0302-0050,usa_CA_0302-0051,usa_CA_0302-0052,usa_CA_0302-0053
0,1984-04-14 18:24:25+00:00,174.43622795650666,,185.035052453162,195.45339095432402,192.0387457294544,184.25304207272373,,169.69530272855414,172.90268377465839,184.20839669208692,186.21399781976675,188.84933670579392,186.21998780798404,188.15525741856766,193.54017907990732,192.05169300174697,190.84606185783122,191.21607858758318,194.6379309555784,205.13905537108218,207.60747594401613,190.11763885880512,194.09644059703663,196.5632858069126,189.61250201425048,,,196.87580519848134,191.74169544054365,,,,,,,,,,,,,,,,,,,,,,,,,
1,1984-05-16 18:24:53+00:00,187.91923594052952,200.55766735829906,199.54384349374925,208.04568776562513,208.34813158175743,203.51399302845402,198.76991698292068,190.8090142803265,192.39288212090935,201.4674409116708,205.12537494283526,195.67837150640946,196.95538907657556,191.83902833676595,198.3713880631832,202.78183843260524,201.9630707051043,206.17456692446518,201.6153212565236,207.70543871712994,205.5427205692196,201.03187706350425,206.5738141446255,204.03892590490045,203.00530716752908,204.47588621716497,206.7235634021062,206.01148146492037,202.15728625211617,206.80454080427674,218.59619846644006,221.42438247644125,222.6028627040744,220.97730219484058,215.5677910006691,219.91372461109202,221.83479885801106,230.37451657176828,228.10703311286102,227.44606834126392,218.4034952825682,235.24215609662548,222.05491322109384,222.7327283425611,228.6601803057388,231.27449676256234,237.29038766282406,242.7919709002846,239.2188556364467,250.4076779624909,251.29280738608057,253.00726158119897,247.9225762311729,255.47115997972114
2,1984-06-01 18:25:17+00:00,197.70321169999204,201.10622969000266,199.37773221620276,214.386244545054,212.5766628154241,206.97263331724707,201.77076036499156,198.56186568806208,201.38655522745228,202.84683100441492,205.43133382656814,205.88447911924536,192.1510199270366,192.45742838834465,197.57996801420845,207.81041781652576,206.2705294267111,200.47296020629244,207.77384128245413,203.21966660877402,195.753732677911,194.55113182421672,203.91833126078063,198.97250349775442,211.01247530180916,206.6786381547217,204.37058556654648,206.52681445411275,202.7610595536867,211.50310062341754,212.24402671145205,219.06859933949437,223.55439331798965,222.2440673457446,218.8084906104595,216.41606125028386,229.43944493990853,241.1474880125675,233.5693150867752,230.43476019274655,200.61703964989437,237.54478133462743,224.6569447056416,230.6070194041916,232.24605508055726,241.2766944563813,245.5632130183669,241.70471603510973,260.2604552626541,254.2877543888909,260.2585592416614,265.72326419704103,263.57438457037654,270.09633449081605
3,1984-06-17 18:25:35+00:00,203.24413468348556,196.47597249735026,199.17083173540365,211.74471268662987,212.88075096465602,198.9758017397417,187.11782805421336,192.26134273397267,213.60697570392557,202.3655843487897,197.76999812750088,196.94594713369355,200.57610551065022,198.24230823665633,205.46168676821208,195.49403705618897,202.77735812980143,214.05424594787635,225.12411551464922,201.92919810955718,224.15417373083525,200.69671175852773,212.59882575844728,,,240.3758897482059,224.27377967381398,238.7049185141226,227.64746089965374,,233.3652765323986,,,241.1125125408595,241.28237481855854,,,,,250.44166866407707,,,,,,260.16873694390205,,,275.96212997798676,,,281.77956472568854,,
4,1984-07-03 18:25:46+00:00,204.59487467406888,192.51380396564767,207.44355230858346,215.67509908579243,210.01908278950947,201.57183776125973,191.35534363178618,195.7647940963334,205.9815136937576,197.14665806722022,194.62497819548153,204.3295747373707,204.96262465310664,218.7204623152479,217.11019935585068,214.3433840622933,223.68716731286986,226.25273011023498,212.7278886955766,217.13009507310548,208.57946289938576,213.66595631384973,212.42720047623527,,,235.67095001794812,233.97878477773264,233.38945662182488,225.23603016885215,,246.88227610176716,,,233.61489748507142,234.96170602665336,,,,,273.09404134260024,,,,,,,,,286.1348025149007,,,294.10018524072376,,
5,1984-09-21 18:27:21+00:00,204.46869486530255,223.4290020388925,232.4752392598732,233.6142560721578,226.9212486337984,224.09037779958493,212.84759827440655,203.5527980419013,210.33972431942053,216.25277888332315,208.76469679311919,209.56269143527143,216.24889528898183,215.96045314461168,221.70539606494546,224.41838120705208,222.27357647746416,217.34015900562966,212.9010728522332,217.70540510593628,220.46063624016395,224.05699970166404,224.38747772276628,229.3576577147326,234.51362470067798,232.8888690209942,236.84847642161995,239.11302893545997,239.18408207790392,237.39639435420958,241.51370569749184,249.59930477847462,247.9025694983594,246.6316360576564,243.49068241568884,244.19157477902962,250.35804644465645,254.03035232616242,254.7267846392624,,260.6833579804301,255.34614101579808,254.5474435477169,258.07358522189907,266.6284478450154,271.0390662878885,266.87484485177504,258.58637640269507,,252.65288489816592,264.5940441813995,,276.0838785274065,278.75819233380093
6,1984-10-23 18:27:16+00:00,,201.75041328358049,214.05940522546175,225.41455605021056,216.4440906634038,211.69652748615442,194.71304766648095,195.78722596334526,195.38871205011662,205.18216268334584,199.11659775467334,202.23144515224087,200.44397003786452,198.73003986977042,208.6163847009183,213.97739205061953,210.94261076991592,206.24065873185998,204.31049468578394,215.10278925308606,218.65790388622565,211.89604600530066,215.41149365829756,212.49089153020478,,208.1957992165695,,,220.83051901471282,224.98212033441666,237.70353024259316,240.381172527945,232.94718344493896,235.06928644838007,225.24432317372032,,,,238.86845777596272,,,248.47016587409183,243.78644366624314,,,,252.04514451475194,257.05273154502646,,259.24878437794337,265.3290303197063,,,265.74868607310293
7,1985-02-28 18:27:41+00:00,,207.5066168370859,202.41079957523723,227.15611672087965,215.0045904311254,208.0051812017152,207.50980972310856,,186.70613285910073,,206.04308230287793,205.4693565952896,,209.93554440089844,205.70821907626296,207.8370608591751,208.09116545662746,206.1915753385278,204.08024672557696,200.4123144090684,203.60667606746762,196.79350417061428,214.43707683197675,,211.04795974263274,200.41063070231857,207.74508886742805,219.1656641447959,219.29916486617643,221.76806949364936,220.66249982387018,,,,,235.7509454171777,229.44791550957225,227.75987055452674,217.55605112041258,231.35995603736083,212.64078518921798,,229.10646447873705,229.82196453302427,235.85084708237585,243.728144451582,,,255.88461912316868,251.59669624595423,255.3101015300457,,252.7303659256615,
8,1985-04-01 18:27:36+00:00,,,201.0476908524977,199.9375175825071,193.10862573481535,200.41026994787893,191.8805110827069,171.5889541885972,149.32730297972324,185.36146970166502,198.0217390202693,183.5909575147667,176.73506709579817,189.57230926114767,196.47879143808566,194.84627918067574,207.96562540811152,192.3800361208534,191.85734026198665,214.36637890836963,204.91008837004736,,204.99577489925,164.92624555978287,177.19047356201798,190.2194216270284,193.1102818280619,201.48268802121066,207.2546433634656,206.8651513113357,,,,,,210.03987485325786,,,205.2211531094288,213.4698921159714,185.25370237499797,201.32755577464692,211.54191060395195,210.18028615597837,218.4981734047248,215.6642923870657,213.37361852495445,192.14391391573233,220.84359109305626,233.7023354432259,250.77775956999986,,230.80175191810906,229.30257238431977
9,1985-04-17 18:27:31+00:00,,,,246.0554132212076,223.63789872886903,230.25717010269474,200.10804647297775,179.41926497872137,198.28434607980196,215.2567536009003,211.47457352142553,210.36295773681232,205.99833227040142,212.3272987867364,216.41324649055983,217.0695877516308,214.48204353985207,204.7687313543266,199.81518802588596,201.8122507093402,203.04810354916017,196.5620134522462,200.7516556197784,196.20183295685854,195.22478538436175,195.26097464281284,205.42448622562168,235.64846490019855,227.37191434093808,220.8365759273827,222.04225213931412,220.92010452607116,216.9712008118587,215.14223427632805,214.53221655133285,210.5076602690184,,,217.07317312030924,214.43332194433805,203.66493596806595,219.86563625283586,222.64223517355575,225.9913827872172,229.76404786160302,230.1592754234333,226.87575037744526,225.76097213903347,234.46867376441668,236.14303197443738,239.29437406631817,,220.31312337980566,232.24757356271246
