,dates,chi0388-0000,chi0388-0001,chi0388-0002,chi0388-0003,chi0388-0004,chi0388-0005,chi0388-0006,chi0388-0007,chi0388-0008,chi0388-0009,chi0388-0010,chi0388-0011,chi0388-0012,chi0388-0013,chi0388-0014,chi0388-0015,chi0388-0016,chi0388-0017,chi0388-0018,chi0388-0019,chi0388-0020,chi0388-0021,chi0388-0022,chi0388-0023,chi0388-0024,chi0388-0025,chi0388-0026,chi0388-0027,chi0388-0028,chi0388-0029,chi0388-0030,chi0388-0031,chi0388-0032,chi0388-0033
0,1986-02-04 14:07:35+00:00,177.24992209773305,183.61594724099956,185.87688265342464,177.1098028256549,172.85118048625046,,153.51323656854046,190.8244063029688,181.82467649745564,174.24642909167648,188.3358972019147,186.39693473874237,213.02059033025967,215.56838302673663,192.944875205279,174.71485549743983,174.17172188076648,160.7470805320022,176.7993843331472,187.70114015194042,191.60016950289767,193.9222339969562,198.24008017465857,195.6453271085327,190.7449825087664,,173.32812650951195,169.84482912383748,174.8343906209843,173.64245291534763,176.34039978226068,,,
1,1986-08-15 14:02:17+00:00,171.26453844824644,177.5623653916478,180.77171066624717,171.94910619323576,166.9760331256815,,146.25416981702008,190.78069693443203,157.46672820045444,147.58365071561346,176.1892765188354,162.64482957544456,178.979010080705,215.9896153167118,164.90135351122638,170.3714932711131,,188.65950710220562,162.07800380958628,183.1622269238284,181.7900441810936,189.21990620161233,187.0793091638106,184.81081570058925,171.9000074566762,155.26058248465407,159.3148457772342,168.62504156811926,146.54455938905386,153.4723155182994,149.1688099178845,,,
2,1986-09-16 14:01:09+00:00,151.05097510973985,,,,,126.38272821393468,133.0499473380985,,160.43286355604113,144.42627892336657,168.04307576872972,173.6241998369388,190.06825816567593,222.94567235239893,171.9014527252745,172.1502949300243,164.97907337754094,146.41962588768692,126.19841924455234,,,,153.6313815101126,162.52912743751253,169.50821143497984,150.36929856546195,147.64069236852612,148.31674984112652,147.3069324770799,136.86651330045055,107.3213827948562,,,
3,1986-11-03 13:59:34+00:00,,,,,,123.45106664375223,145.45202794986582,,152.5279913513777,134.22674912018854,162.32339920559767,163.48483679008012,,203.8752546968425,151.53953694368604,145.70856777217818,157.17844589697714,146.81858793305722,134.16611568389973,,,,159.67022630314568,157.22549018885272,151.92055816189884,136.88362673104064,142.0823267695313,135.90009529137507,141.55463454386415,121.67874888236179,112.06611801213096,,,
4,1986-12-21 13:59:37+00:00,159.3625076628733,167.69311032131787,170.92420474318547,175.46675068074003,162.07645084981087,156.45545465061795,160.96260002433988,192.143435760975,166.81815759348447,162.3643172087903,180.74831951249422,180.76956644281634,207.25691867167,210.13895836658736,174.75644842113695,163.08080860004029,165.43476869950476,161.08059783489227,148.84930441227024,180.82778802529114,184.74622932472175,182.7207924767707,187.681535521161,194.8049893475944,188.3375117731368,165.82157963025392,173.7362841848247,159.4768440752732,168.69040264537392,160.2912638296772,145.51482737802843,,159.6031084388286,169.97904766439993
5,1987-01-06 14:00:06+00:00,166.30557737238078,165.34743918409148,174.942757814164,166.4619892607642,170.46428650727762,165.09380107569922,170.2580055025642,193.71580098173925,188.26787471250037,175.12281065994452,187.88355510377335,189.358756917144,208.73773260986505,222.73801165641294,176.1315026525982,182.26209440332707,175.34624880405653,168.36872860462736,169.7659538002012,176.60666888234525,182.54477945469526,202.4499518767745,212.48370646316374,201.7489694947279,192.99131431820106,192.60698372191538,181.74505081055756,173.94410460361118,173.60614242428244,163.13426285066663,156.18090314724702,156.7823387431576,144.563484249003,168.95185953922442
6,1987-01-22 14:00:34+00:00,166.44453366091216,171.36388760407308,171.21126256581883,171.15296232100383,171.71436428364225,156.7262765187157,158.11568304031252,184.9605434625072,175.58577314961553,165.60225214464407,174.80075739701132,184.70192593747078,210.82067622980617,222.3000940875876,178.16853818895947,183.3143730322909,164.01345931588693,153.18371305381763,154.47055681010468,163.16292793626823,179.36320307344792,186.5814495990425,186.5497653274649,191.02369857962736,181.71097072152298,186.87468679698105,162.66120917632082,165.55760725349967,155.06306980678926,148.1194807588914,153.82718234306665,162.35671347242163,157.90126018964892,160.0989798213871
7,1987-02-07 14:01:09+00:00,178.0739016315263,184.79845102881455,191.494245598013,184.8952648913192,176.57048667167888,160.86983034639988,164.0080370704812,193.1714599690014,193.83462341686152,192.5088924371943,202.95303468605485,197.67784614024097,213.19965795688202,227.05018379757811,193.60200148156952,185.10614634239653,180.4634632206475,178.40141393862052,183.91187922737424,184.9110143286511,181.43265062914637,195.49708631603548,197.48845838312377,196.81546634256958,193.90489756899285,193.6536784823418,186.60756289851614,175.78873537227253,181.82215195017946,188.90842027989487,182.3006152437281,169.84720615061778,176.93236458022895,179.1157544592607
8,1998-02-21 14:16:53+00:00,178.80528277022614,192.6117047186134,196.9716509428968,185.68513966836377,163.2956394985971,151.2675106236547,160.25513769645607,199.45607947216158,193.94206215424416,178.39271135727958,192.59356109967808,186.515590479402,194.22085891748955,199.51713011706588,188.77964531842758,191.06951757099907,180.6388099431364,192.5941663618617,173.73731429214737,178.8924488106501,196.35292047967002,218.9536679925655,226.89982290946165,207.66519245345688,194.14800325711062,187.2563899355608,210.8287871335466,194.10556266096424,170.56335108932794,169.43084977501775,161.42781316597018,137.97412604984103,148.81497838463656,148.039231436156
9,1998-03-25 14:17:23+00:00,,,,,,,,184.92203025050986,133.07489044692542,,162.15438774807953,165.83797411646555,156.3182661698601,212.8999486437712,,,,,,,,,,,,,,118.76671940934129,118.13166692392915,131.73977273736347,,,,
