,dates,mex0491-0000,mex0491-0001,mex0491-0002,mex0491-0003,mex0491-0004,mex0491-0005,mex0491-0006,mex0491-0007,mex0491-0008,mex0491-0009,mex0491-0010,mex0491-0011,mex0491-0012,mex0491-0013,mex0491-0014,mex0491-0015,mex0491-0016,mex0491-0017,mex0491-0018,mex0491-0019,mex0491-0020,mex0491-0021,mex0491-0022,mex0491-0023,mex0491-0024,mex0491-0025,mex0491-0026,mex0491-0027,mex0491-0028,mex0491-0029,mex0491-0030,mex0491-0031,mex0491-0032,mex0491-0033,mex0491-0034,mex0491-0035,mex0491-0036,mex0491-0037,mex0491-0038,mex0491-0039,mex0491-0040,mex0491-0041,mex0491-0042,mex0491-0043,mex0491-0044,mex0491-0045,mex0491-0046,mex0491-0047,mex0491-0048,mex0491-0049,mex0491-0050,mex0491-0051,mex0491-0052,mex0491-0053,mex0491-0054,mex0491-0055,mex0491-0056,mex0491-0057,mex0491-0058,mex0491-0059,mex0491-0060,mex0491-0061,mex0491-0062,mex0491-0063,mex0491-0064,mex0491-0065,mex0491-0066,mex0491-0067,mex0491-0068,mex0491-0069,mex0491-0070,mex0491-0071,mex0491-0072,mex0491-0073,mex0491-0074,mex0491-0075,mex0491-0076,mex0491-0077,mex0491-0078,mex0491-0079,mex0491-0080,mex0491-0081,mex0491-0082
0,1986-04-21 17:30:52+00:00,229.3782384177663,225.7210617876645,221.2712566109504,224.2643051223559,228.040176531936,223.10317001211996,221.8326687175539,228.428175775773,228.61726282428594,233.15255864521313,235.53590115063153,239.918047647922,239.9472863043266,238.08096783246233,237.79054455381353,239.56220066450615,243.74352358201347,245.0591236833651,251.22220675287852,248.63311957624705,247.21634925346964,246.32998402405593,249.78429386812786,251.08640053907774,253.55044168603692,251.9405204805362,254.5381115855281,256.2043141969944,253.1635856545558,255.03581755398466,253.6750401536558,256.6798462069623,255.1415608403039,255.48577495386542,254.0704844100385,253.42408034084076,247.14880481380018,248.1819950553425,255.35559087210697,257.3748813211118,258.636942612791,254.5953329041877,251.53369823712427,249.59920968787827,246.73347221560806,248.72238331068584,253.1562694040428,256.59495383435365,257.22373167428134,256.6681639842027,253.1693278691553,251.4669167959811,255.7271819991509,257.28568942090783,267.5444389659811,273.5626284995303,265.36951016571186,262.11429915504243,263.1711689521976,267.2300159793975,272.0333617631487,276.6873272955414,271.99724762229914,267.42238014375505,263.3432963680442,257.8847280419566,251.42284306302304,248.922657617885,241.80332753462548,240.47992674005022,236.436351973829,238.1591249744675,235.68108045981177,232.58268968968846,222.8854043136111,217.90231845133846,212.92599913552237,217.1896607140197,213.93991376797618,221.9749713739451,227.78799618793423,211.53337692012155,210.62161341200905
1,1987-06-27 17:30:26+00:00,218.13257323057067,214.24072684826274,219.35309052130907,223.9190453513378,221.47202021175175,222.0400393493515,223.97052226868468,228.456944403193,234.0665807046641,226.2430156561982,227.14491090753222,236.6769665682772,236.02854273618084,234.27518279219797,234.7952451948148,237.42191799765902,236.44368503495994,236.55137001880328,242.5127331857181,246.17036240519923,240.51886168618088,234.19962915653826,235.74091328669454,243.18054986501744,242.12169885435284,241.13606652908666,240.26148355893125,245.065328807667,230.46946139612248,239.72131537025953,243.35154998180997,239.4397775301626,246.58833820585875,240.42795673950616,244.2349932982604,242.34612062915494,238.45990528879858,245.2322800727774,242.67240151176853,242.5781673725623,247.05928101791312,246.63944894383712,237.77661662472732,241.75576970470576,235.31267178762934,244.85046834289042,239.75245798906474,240.75956261055603,247.67687784155706,246.50915042995567,243.02801902933436,243.52127254087776,243.25800037012084,249.48131483902597,258.05364862113004,255.5468413803433,254.44866415240446,247.83927836610937,248.64642951398162,257.7641469365782,258.69283952390407,266.5087765622006,267.2154169791702,257.86330710636736,253.930891784547,251.72921897642505,250.31197619538705,243.50114775772857,236.950459602812,241.61890358487113,242.68689081933033,239.16997109695308,240.9874010058747,239.31031315410215,225.83704591982712,219.65480871970666,222.373878843175,224.25992255131158,219.0512794675326,221.17302844856562,232.18463608486618,220.5925533344352,216.33610858037326
2,1987-07-13 17:30:44+00:00,220.40162728455874,221.8542458208537,231.9625681900478,231.44204444573796,230.77013392769607,224.33425794813314,224.5998943005061,234.35153429346545,228.84328241615185,229.33766823938734,225.2678129046656,236.78871001929204,232.0008521115623,238.6140815850626,233.31651817453522,239.50229849459748,235.3749716320626,238.0694080625493,243.33194833593663,245.56719905190866,240.30826189640203,237.3834085582642,241.28594658880857,244.287270080486,246.5247641877609,244.70996805968323,250.36700585756614,241.87709643072725,243.61165673535868,247.39769765060328,248.00311568533562,247.05220090965656,251.5894502821821,255.02852409227228,248.99489527621927,247.06634907114164,250.50427934889365,244.95340144411165,243.26550742024693,246.96455870368737,252.08496040789538,248.8319352012876,249.18002786501705,241.16842630406427,244.6807590311331,243.17768966874934,247.4229586766879,249.61550172675476,255.5383787196365,252.05838368814193,250.10660747746655,252.88088440092025,248.36160038362453,253.1508779873663,258.9938816861802,262.91268928555104,262.17656535155254,263.3429736856085,253.90303963558247,255.54544908031895,263.7394672467773,270.3006252546306,272.56983379871923,265.44478303278225,257.43003128825546,257.14675139355734,249.76789561991228,248.7286010298506,247.02314712198628,249.08979717622827,247.7835257025663,245.16661949612688,245.23611697422416,246.80095577054945,237.36941395775943,233.44354065735286,227.07281482574518,224.96254422214295,224.10064173331378,229.15509118894033,235.76424395817637,223.9952304224867,227.42671762830878
3,1990-05-02 17:25:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,263.75181598264817,268.5762631594011,265.81329949318587,,261.16611205163673,265.74272627976103,266.58214994370627,265.0073806633474,268.18225553606453,269.3629819754023,268.82138602610877,261.17667745049704,265.457441694313,264.16287708256107,267.16326399667616,267.6136863343669,266.9755249109272,256.0483845076612,257.36061923922927,258.1147688578472,259.15325834612173,260.2248712394468,263.8924572047245,271.6721589570383,267.75104623408,259.90384846235173,259.26690601634874,256.06214685056585,264.6412995577637,273.0837584693285,275.4691411970663,277.66319869871927,275.7068366120793,,,,,292.7633844202929,278.05772790342934,268.6042530905765,265.80708786042675,259.8786823638876,262.53297824845436,258.4758922052348,262.3591588837932,260.9074884949777,258.6472985640621,256.2745709645851,248.18814625745622,242.14413353656303,236.49655058029217,233.39867282031852,236.57483689568312,235.25857665379084,231.83180372682463,236.52708571277466,226.99972613327952,226.8690759705406
4,1991-04-03 17:27:15+00:00,236.88150025926626,235.80248367484933,239.1172002849489,238.22244005179132,244.49027295642406,244.80180255998437,245.91348419540597,251.89162759595862,251.70544432137956,250.70899725733017,245.02821321550718,253.1225342194828,248.75817671585892,249.38793245662725,246.61410941605757,251.82990091174293,250.96431058501835,260.64142171343667,260.12345042783704,257.9959650991625,253.94553980039174,245.85047469625925,248.8327281375957,250.3560132838886,258.224652923277,255.53904262815632,261.10817557941675,252.72975281917306,254.9662513624856,248.4833878584445,253.646448667196,257.0059340606542,256.86507026237484,259.25729052801745,261.64661945137436,256.2742659013561,252.82025758090433,256.7959202352082,254.9984795887703,259.4320522879321,262.78541709777664,259.3119532418832,253.1820368985365,252.49208834730172,252.67050049616276,249.75478591169093,252.65700603256087,257.0949849169484,261.55566263073155,254.02657634391727,257.25807710694096,255.50085629180168,256.7865975065672,261.51793147053706,268.240621618604,275.9605243997367,268.8756303422913,267.0332592391422,268.5077910245502,271.1503575275437,280.03479213961486,284.813992888847,286.7769292989632,277.3910297287918,273.4852870821317,266.25083547979125,255.54705699730536,255.56135122866942,257.78199898736955,262.10992650095324,260.54333266854826,258.91780512959156,254.60870030983742,253.9041372251521,243.1181317505452,239.3671861997859,237.21303411087212,238.24918308019227,237.73056840386786,238.96704309705945,240.7441059978871,224.29589118896266,220.65627229156325
5,1992-08-27 17:27:58+00:00,209.22578419374668,194.34799087058428,,200.31414610480758,196.64831810024756,195.07675642134794,198.58529884871825,,,,,,,,,,,,,,,,,,,,,218.02032388360922,,,212.86900117032437,215.00824218043087,215.08690090132376,211.9508116939823,220.05464414201563,220.37773691030318,217.49752747411142,216.29760347072974,217.9797159820129,223.2332122262833,223.07808871719044,,218.53856204708438,217.7351133458169,213.98104753882075,212.37375772777148,216.2176571240114,218.0464357556355,223.68766925674305,222.08902337909493,,,,,,,,,,,236.50976426262787,,,,,,223.334950912887,222.6785667141125,223.32519374010525,223.7837346954372,220.0578707326108,213.33347749120122,213.30980560714994,220.6289767728993,,198.10000422329344,205.9997596804114,211.54540322389252,206.7094957499507,209.27323840823826,216.26410380193863,207.7578940761406,209.1375315003774
6,1993-02-03 17:27:27+00:00,213.00588779490178,207.5499652134138,217.34574616765047,215.60932473772405,218.17871901745033,217.80430969160858,212.56618130979203,222.46759122798912,227.15397560318561,229.02764670531604,234.05102286813883,237.2264960534375,241.25625045745429,237.42205728001505,239.95564724037058,236.96081804434843,242.26885604440545,239.1322469516382,245.84398520420908,244.0586486748641,243.84727021599053,237.2946905575935,241.5786537372681,239.68268702881858,238.4651904406226,246.2680574649804,246.01177567989467,245.11565540959927,241.8659843419696,244.45318051008977,240.40540196206945,243.75257539979108,231.66267169575522,228.45797498721018,232.74660293574388,232.55278681265628,235.40712664934776,232.10493129587212,238.7534868284607,245.10609487949375,242.43358983594268,250.9029797306003,240.00638837912499,245.92218286294204,238.46486737780123,241.40185821253704,243.3772096181773,247.29723836181677,247.37924696336734,249.49074759475064,250.35679777633283,246.3957820242175,250.4804282635694,253.22318106920258,263.256201517369,262.0319896350271,256.39850006820666,256.77300372459047,256.9152019527414,261.9399615324679,261.08202485225,273.6149575868073,277.560371925095,269.4461804479831,265.6652030852882,259.7639944063792,256.52645042346774,242.50044411035705,238.12988564571964,240.90793833638912,246.42081278461984,240.0216741632291,239.96808039906955,239.76407342241978,238.76490577236316,225.12142478392968,223.67270551720017,227.79264307229153,227.81236970140702,228.44222470146036,237.03906451741997,218.96051897456414,214.20153991945625
7,1993-03-07 17:27:44+00:00,217.0429835444708,212.37573960027808,213.9768535347707,216.65143399078283,220.04876540799225,213.93592434231758,218.74642566050554,219.00300191251827,221.4038889403857,217.57861609056886,224.51617690869233,223.61757546609044,227.93039696086677,225.45645255861837,228.06226987855982,231.6285890047362,232.63055115096304,240.1845141092355,238.86627848545805,242.6457189343146,232.96392398158068,234.57743818159557,231.6191143481007,238.1920690529773,235.07732832933831,239.19514980042894,236.92222220178357,234.9124962095505,232.14187217479864,234.95276056482763,239.41215245700724,238.8245223290008,238.46013352763478,238.45057595393916,241.63963652497364,240.08586021395104,238.9474405279496,234.45772305027828,239.54528986880536,240.08894690113766,242.56619930059216,243.20141410935497,243.6159507048724,239.0920736645582,231.92595598699288,234.41527138407255,238.08039048314967,242.66512289470853,242.52138789543807,247.4401179054756,233.74955031033534,228.45685141987448,239.05353391240794,239.6200749194641,244.3953973337543,248.20507182365597,247.0722073941408,254.47274603318746,251.19458539594345,256.2518121096961,259.6317249722192,269.4710384641172,268.73812345411756,264.4993138005779,242.99835380167687,243.42455792380585,234.58730014243434,236.30078865932387,230.77289658283337,234.51904210903984,232.4089111563769,229.79850409303603,231.76455035696992,232.1133361425152,224.4229285680207,216.59130905956752,220.41078521191977,224.1038155219447,219.47846770196855,218.49286414176538,225.66158401152524,216.12036878382472,213.7296832781703
8,1993-04-08 17:27:52+00:00,209.92017240836043,222.02529655221457,218.59497063167808,225.49250453925455,224.82064489367684,227.09406166897466,224.1614966831661,227.978563606032,225.4903922178985,230.35914062246292,231.091893943393,239.22591158488532,236.94317592989688,237.82464137446362,234.69959659755912,238.43923670910416,242.4280059859723,244.98581152800602,250.67568290862388,249.18091663168775,250.15873846808293,236.69136173122428,244.6473115290293,245.39082588824274,250.6245097269482,247.19016861489763,251.2053834588558,252.17810903789157,245.1356625115837,243.41840330777654,244.16620126674854,246.97459126659754,245.7463879163801,250.23263093118902,252.53117745172082,252.75226328123864,254.83703386192252,255.64134424762432,243.94968926068702,240.8441981317048,242.39887861954128,250.60007308383538,236.66697268328903,236.36724451279525,231.21409537147147,235.4187185666501,238.6467092251532,245.6451914864892,244.06752317597926,249.38430151213427,241.20033167244924,244.2375612443351,245.42975085731223,253.37543671765047,254.90640574611382,263.14695713101963,265.1398934068179,256.1350011482851,254.12831216746275,251.8527041386136,256.5274592033731,272.0798017338832,265.6944685053269,261.2183284081021,257.1212465435802,251.86425791362626,254.35096590659458,241.6701298124588,241.02382118530213,235.64349237763682,241.99967150324414,241.70873065796587,236.1371433795373,245.4559003919096,236.7775594670145,233.04563056342138,224.52391589595837,225.47866626967306,226.52018815889087,228.17596920698185,235.0982699008746,221.61033817116643,221.0692166816487
9,1993-05-10 17:28:04+00:00,207.10186512068728,207.65170157717282,209.51264988653014,211.08964170904935,208.55261997777498,209.6590886743082,206.53135897339948,206.88012351851458,211.55521489524287,215.20568471542757,219.47524088296606,218.13425259515233,226.61240913584652,221.1959960223168,222.54154861432556,223.55911129471482,226.11391554304103,227.39863651920876,230.55376916286403,237.9514692772194,230.96565919941963,229.36239087057632,230.2926270834905,236.05374704151666,235.15390234890748,240.3752264576526,237.52171943158618,241.83989855240037,228.46030318832226,235.2599611234983,232.36387723270153,239.43480254544457,237.16964075025945,239.3085014949591,242.92325074887694,239.73982849643536,245.25321648325593,237.21371744744178,243.69251199712895,241.66105622817895,248.1409043483407,241.93848236085492,,,239.04359686591246,237.57620904049364,238.54272370017375,244.11922016710983,247.3837951066493,247.55896162186062,240.76439144262812,242.57096768361126,237.0025594526022,239.8420860332638,253.12736835620828,251.0903904123799,250.2553507683796,250.9440766626728,248.54639629420106,254.67655244668376,257.3143422057867,266.85495536706514,262.08351060443965,253.68813314792885,243.0683775736075,232.97719613143278,225.7306530702104,224.46221037627208,230.07503818531575,221.94517579644094,219.7596702129888,215.2528388161976,215.56066704258456,207.58355721243265,199.10557658433908,195.92603349328488,201.9260763072105,214.20486570833148,218.46585099577547,219.9083278010128,215.763285408928,202.259075372939,204.97050068517447
