,dates,chi0324-0000,chi0324-0001,chi0324-0002,chi0324-0003,chi0324-0004,chi0324-0005,chi0324-0006,chi0324-0007,chi0324-0008,chi0324-0009,chi0324-0010,chi0324-0011
0,1985-01-25 14:04:03+00:00,235.02256740882888,219.08361829878763,218.7485477205226,216.17974249525864,214.15027428883337,213.21054054852465,220.63450566382946,219.03977715839096,217.05984608346242,214.2355792107385,223.57011058064575,210.47473366051582
1,1986-03-17 13:59:42+00:00,235.59551221631784,233.4929381098854,231.30966450503215,232.77335040640122,225.0329040709926,232.48584886685904,231.1457136238843,228.74679331472933,218.37351482105447,219.98489878561702,221.9928476795382,213.87871369377567
2,1986-04-02 13:59:23+00:00,229.46219019748472,234.8165629499694,235.82425970682178,231.21116299138293,228.09271913027092,230.11365273996591,216.70305633816878,214.82348575150058,214.99483826020412,213.30922706252522,210.79727907699245,222.36299246107214
3,1986-05-04 13:58:38+00:00,194.7578332460136,193.8500709437533,200.34941366805353,200.2649426103879,186.4524812902335,185.45805649375038,173.28020350799275,176.58097839909834,176.77390641419228,184.62717792543754,179.6441812817306,189.28462670586111
4,1986-06-05 13:57:43+00:00,188.09222383154534,198.56841913713902,193.98395663026366,193.5354913179075,194.81449622128613,196.4118175657238,157.52023588012122,,,,,
5,1986-07-30 14:02:04+00:00,,,,,,,,,,193.29446625959156,181.4022808729288,180.73133232031435
6,1986-08-15 14:01:29+00:00,,,164.90767600030193,159.51217600954953,162.31467487267034,171.6197823993678,186.90672500733177,175.95207175688282,172.54412984444534,184.38728862036493,154.1915273169393,181.41111458047558
7,1986-08-31 14:00:53+00:00,,,,,,,,,192.21949885496724,182.93661219832916,195.31497410098126,177.53625070132938
8,1986-09-16 14:00:22+00:00,202.55625109787286,209.66510152955684,219.13386134913273,210.94315216950477,207.40450676972435,206.73260865453963,202.87882428858703,201.08070694811877,200.1893472466586,198.97042599573956,197.52427143279286,197.21852126417485
9,1986-11-03 13:58:46+00:00,216.96065500775575,218.95231910268905,225.5962507417472,221.8993731027378,217.6967521939343,224.17614531169153,214.7989277579578,210.5227520951288,214.57866789397517,213.5251948536618,212.04996755917202,203.7821181653483
10,1986-11-12 13:52:14+00:00,202.60072662552483,203.7282864383128,208.11368667743113,205.56875993564847,206.94720290820774,211.87740656824175,205.1675170849255,204.33636596758396,205.31229767959636,194.7524581995212,196.05535005025257,191.48346511262594
11,1986-11-28 13:51:58+00:00,202.22822289721478,197.97688940703105,202.01937287258602,205.33070056876846,201.33360677733143,213.41004548608302,206.33054743807276,211.2374428874292,208.07824827041222,204.6839267512875,203.5237871960273,202.06176803364028
12,1986-12-14 13:52:25+00:00,226.4130719321811,211.84911842509365,217.48374459046485,217.20990611927164,216.844078535625,220.29167065200247,222.76026973773384,217.87635000628944,215.12864995002997,211.0714536189686,211.1774096791821,206.02601815856832
13,1986-12-30 13:52:55+00:00,221.6658558876568,222.03565426718646,224.77172152936134,216.6279633418689,217.94100116640996,216.08745209238867,216.31289739589482,211.69735615166556,212.49231730355228,212.2821275915874,202.48229750845434,206.75837621642043
14,1987-01-31 13:53:53+00:00,231.47027384792358,229.5980921082161,228.48398728714304,225.76022728516259,217.78566846569854,209.91909585578088,206.7990031621705,207.36155960441937,203.59895303541478,201.11895683773292,206.44193923349448,210.69504227011547
15,1987-02-07 14:00:21+00:00,216.50271636590625,215.21016397656535,219.94248864365414,222.5164870220621,219.24844799571235,216.0322174285228,209.78771807004526,211.83867504365185,208.02803504024627,202.23438789796222,204.2294770333689,203.51384042619188
16,1987-03-27 14:02:09+00:00,239.1277463576211,234.74207651678776,235.60497164976312,229.0850908338164,226.67708456065583,224.64804812063156,221.96833764148576,222.42478683223192,217.91612832918025,215.64390684829655,207.6164282981994,205.84426496955328
17,1987-10-21 14:07:25+00:00,215.55822061357995,221.73605049609688,223.75988296135117,215.95216304564988,209.3976317109281,205.58487522632123,201.32153608381788,197.06562903593255,192.27578945014517,180.86919233410572,182.1374798675087,183.44457448100505
18,1987-11-06 14:07:44+00:00,220.31450347785628,215.13083539080242,218.16343619743492,216.61190845914572,205.23380061885015,202.61562834306864,196.05797515233235,195.4838990041049,191.75344701343653,182.49928714941592,194.24679234754157,195.813949454148
19,1987-12-08 14:08:17+00:00,218.45522056766686,219.4750391090687,220.74486694866303,217.05187464833588,213.53034509886837,215.77089670416194,208.90611577672675,208.14750077743452,206.93491827555133,199.85352675501184,202.88589208097795,203.8549085583372
20,1987-12-24 14:08:32+00:00,211.04880094800407,214.17821297282617,217.0665756058821,217.65115785910703,206.8074560323671,207.30774482670125,204.6445003932273,199.64642487931286,197.12911595649604,195.59846337162872,199.9109960229011,195.05900697159254
21,1988-01-02 14:02:30+00:00,212.56226672532537,203.84720644554585,213.00655254505753,214.5315680949849,212.40605274156397,208.80806923771456,204.6248010947932,204.90094558006675,197.45936894406304,195.3849515542816,200.30221796127626,199.5465151098462
22,1988-01-18 14:02:48+00:00,223.45857499654326,218.90672587050216,228.52460851747972,229.349777377582,224.6940828245886,223.31515367319656,223.0776637886288,224.32139265862185,223.69865642170504,214.19290413012686,217.60562750732092,206.60877696132047
23,1988-02-26 14:09:36+00:00,236.32061336697976,221.0456630851475,234.6676087959537,232.9927944344831,227.81152148878115,226.03601025256526,226.53937143523677,224.94488767661107,217.05129475847275,215.39702835035044,215.63418965871577,212.1184533034356
24,1988-04-07 14:03:45+00:00,221.57591384725743,218.03435195234448,223.21916038453045,214.78838331470465,214.4661101886337,210.99689691482794,210.8844837438818,209.12849139869715,210.09021223914186,202.56146091315549,208.3688223962747,202.310566209429
25,1988-04-30 14:10:04+00:00,221.360794295221,216.96724313570093,219.36656630678317,214.1367854986741,211.22653972833396,213.6051124935305,212.01951283795455,210.38060794608018,212.50841580156964,208.03057035265618,213.40665171502616,214.04593143084432
26,1988-05-25 14:04:07+00:00,208.10832309860282,205.1432113267881,209.4340337312382,207.05230038287203,,210.57923680699795,202.55855696775055,208.50262153108,209.62567429397933,205.9241340997364,209.90391476927533,211.4935403201231
27,1988-06-01 14:10:21+00:00,213.52273971010115,209.76893674237687,212.9072153840187,221.2269717824454,212.77352727045155,212.88259152528798,215.48374088257137,212.3859714714603,216.86624323585502,212.3657896820275,216.7778453778459,210.03600275916116
28,1988-06-10 14:04:12+00:00,198.5073864840938,195.11542539434026,195.42918955018945,198.23657022946918,,193.43241056397432,193.96260813498162,196.28742610384845,199.42642540139715,199.32943164188168,204.30879130460897,204.87717649685737
29,1988-07-19 14:10:33+00:00,214.0170484780408,208.62702283504123,217.6016799091234,213.55525853953998,207.3255855440999,213.66808095660093,210.313849567128,205.72769545027057,205.82688327191727,203.97890061602888,208.3572844945399,211.98603328937875
30,1988-08-04 14:10:35+00:00,217.91410635876068,222.48154581003035,221.76356556799507,220.27483048786667,213.86145762073863,208.8520115855554,209.16021595926412,210.49223110139448,204.415081317051,204.24280211062487,206.2525990999794,207.84459268100835
31,1988-08-20 14:10:36+00:00,204.73317198418508,209.56937045976366,219.06701919778087,205.1582718776013,197.5552309607935,200.93563245486354,191.0385887575963,191.97894359689704,193.03845836070113,190.82288755739185,194.79390074778166,200.34136031319707
