,dates,aus0088-0000,aus0088-0001,aus0088-0002,aus0088-0003,aus0088-0004,aus0088-0005,aus0088-0006,aus0088-0007
0,1987-09-11 23:09:41+00:00,186.08203625041313,193.9303508745133,199.77073851363053,203.1159560940554,210.1662202187431,209.52664505882632,250.8437986348705,196.80448102045622
1,1987-09-27 23:10:03+00:00,195.8501784161846,206.99746074576655,210.68143620623198,205.6344878829781,207.11686280904365,207.51639317962557,248.14430051756446,194.97279936798768
2,1987-10-06 23:04:03+00:00,192.4708205735326,206.41980487782627,211.53905300896653,207.77118851819216,205.79688410234982,211.94876533242146,267.1682018549079,204.6131405076171
3,1987-12-16 23:11:29+00:00,194.1713742524422,192.56311109080463,204.1490466622356,204.50054820496925,200.5159791178682,210.0098862345134,,
4,1988-01-17 23:12:02+00:00,,174.75046857717118,186.57457975300008,184.9014609327778,179.45356527382734,184.96852033055976,240.4725816956263,188.1627531842438
5,1988-02-18 23:12:35+00:00,,182.85810694104356,193.49038256806887,197.19231239559946,183.02063100590652,192.456563712462,274.80563069050993,187.42923835199628
6,1988-04-22 23:13:04+00:00,186.75600343921144,204.03549714780704,201.97673517959373,196.88900358523742,196.49591254432858,199.66323777531372,298.26402307468675,
7,1988-05-08 23:13:14+00:00,174.78312777468327,197.41837674129883,199.46270239288341,201.46678849205733,186.3717546837501,189.3302552151219,274.06903471614123,
8,1988-05-24 23:13:21+00:00,188.35325840744693,195.35855120788955,206.90882168033858,203.4055587852888,194.9636191862152,191.95603515163413,281.8186359485385,
9,1988-06-09 23:13:27+00:00,177.4383032778617,202.478499053516,202.53491967700347,206.3013179865539,196.98192811796207,208.9301618842904,274.30919377701997,
10,1988-06-18 23:07:20+00:00,185.8847465939791,199.64951935227228,209.2478065849339,201.48881400909016,202.19768356414468,202.65474772270053,221.16048556500158,201.9559720619262
11,1988-07-27 23:13:38+00:00,175.7451138510954,190.5972925728944,205.34129165560083,199.46081578141613,189.81613238553322,199.04717811182545,215.19811031470803,196.11540608915683
12,1988-08-12 23:13:37+00:00,190.20746256729714,204.62547724353232,212.17815751420017,204.61411351947217,199.74482782530865,208.7062871070826,245.77179886213054,199.80222374210763
