,dates,per0228-0000,per0228-0001,per0228-0002,per0228-0003,per0228-0004,per0228-0005,per0228-0006,per0228-0007,per0228-0008,per0228-0009,per0228-0010,per0228-0011,per0228-0012,per0228-0013,per0228-0014,per0228-0015,per0228-0016,per0228-0017,per0228-0018,per0228-0019,per0228-0020,per0228-0021,per0228-0022,per0228-0023,per0228-0024,per0228-0025,per0228-0026,per0228-0027,per0228-0028,per0228-0029,per0228-0030,per0228-0031,per0228-0032,per0228-0033,per0228-0034,per0228-0035,per0228-0036,per0228-0037,per0228-0038,per0228-0039,per0228-0040,per0228-0041,per0228-0042,per0228-0043,per0228-0044,per0228-0045,per0228-0046,per0228-0047,per0228-0048,per0228-0049,per0228-0050,per0228-0051,per0228-0052,per0228-0053,per0228-0054,per0228-0055,per0228-0056,per0228-0057,per0228-0058,per0228-0059,per0228-0060,per0228-0061,per0228-0062,per0228-0063,per0228-0064,per0228-0065,per0228-0066,per0228-0067,per0228-0068,per0228-0069,per0228-0070,per0228-0071,per0228-0072,per0228-0073,per0228-0074,per0228-0075,per0228-0076,per0228-0077,per0228-0078,per0228-0079,per0228-0080,per0228-0081,per0228-0082,per0228-0083,per0228-0084,per0228-0085,per0228-0086,per0228-0087,per0228-0088,per0228-0089,per0228-0090,per0228-0091,per0228-0092,per0228-0093,per0228-0094,per0228-0095,per0228-0096,per0228-0097,per0228-0098,per0228-0099,per0228-0100,per0228-0101,per0228-0102,per0228-0103,per0228-0104,per0228-0105,per0228-0106,per0228-0107,per0228-0108,per0228-0109,per0228-0110,per0228-0111,per0228-0112,per0228-0113,per0228-0114,per0228-0115,per0228-0116,per0228-0117,per0228-0118,per0228-0119,per0228-0120,per0228-0121,per0228-0122,per0228-0123,per0228-0124,per0228-0125,per0228-0126,per0228-0127,per0228-0128,per0228-0129,per0228-0130,per0228-0131,per0228-0132,per0228-0133,per0228-0134,per0228-0135,per0228-0136,per0228-0137,per0228-0138,per0228-0139,per0228-0140
0,1984-11-11 14:17:42+00:00,194.65152404315972,163.72689473195845,139.0146736779746,155.89750992030736,148.70798669793888,140.44592894377564,131.02807224178326,118.1845329196798,135.16304121566003,156.4627386478377,164.84105131200198,132.63993536074628,155.5920949478828,139.9271054866684,138.26268246561023,142.35430544804495,132.87552267429677,114.99497526594804,130.72742091961078,158.83571244168908,166.46482255925878,142.36340345447434,148.44119263228075,138.36203922818567,134.68098955678317,143.62486435862678,152.8076808933891,161.86392580617496,158.3708354956936,145.80253169971883,137.73524117687845,116.68059865681163,131.95607552934882,129.36113089173926,153.17979868102555,162.24077323194774,132.35886619216927,122.95700560357149,133.79985224659725,145.96644926347756,155.73564795666363,154.65690123460735,146.73956168566176,134.3268601152947,137.92228714202764,161.2813232214077,176.19279457363905,166.90451048152624,167.151997731781,150.39650706701383,158.22554000907382,168.8498217788751,159.87424402123673,162.75817355969667,154.59600434374408,161.00177313148373,158.9485101686417,164.88193864401478,164.15132871151434,159.17324183567715,165.87489633844302,161.85233716173127,162.00387140720727,165.49389080080755,163.95063980052154,167.02481079074371,172.448575760714,174.87790388020275,176.78421685951525,177.03417828377,179.94239991810252,176.7070745318439,169.8670968150862,174.73896215850553,178.63859132278168,187.33431898318173,187.41026400762948,188.49370108392378,187.15969711145806,183.81210120147546,181.65508234217825,179.9691839961271,178.33295294561879,166.08573261896277,169.42040578804728,169.9316880097329,175.0942233022684,170.31599381871285,176.5435628529188,178.78936122940357,185.9882850417846,188.4619562622189,187.54127545989098,187.65522538643185,184.63177632642186,184.70505649703313,184.77908366776364,176.72128634446136,182.08984817100048,176.60692279750515,179.45784677289262,182.1461510260731,174.2656598492931,178.8424159596719,179.2382185927864,184.33445010236704,178.69178414882785,179.0796111454322,178.25472944402324,180.04867133046145,184.01970124873097,186.18263926795058,188.05575384089724,169.8917291866171,173.49380326182444,181.22314896843992,191.213342272291,181.56462636720863,183.00098214185812,188.96162148773834,188.30771151280385,192.18808700767107,188.91396019569459,183.08313233575612,177.8297961256025,196.58045927050284,180.07377193474224,179.90403080769403,185.74508957759124,188.08618794197847,184.6659036829502,165.17812873440434,177.7410329080708,175.94496379023394,172.2249734814197,161.45561159504138,160.98538898582552,166.94389282985253,155.8700083293308,150.71639257878692,162.2800673627587
1,1985-03-03 14:18:15+00:00,191.15462760545623,173.7451517547184,160.3634058552355,151.73722083467038,149.33224713040457,143.00270679382896,143.79395048908367,136.30670273311983,136.13889148190205,150.79354357070582,149.23302855696056,140.63628893922822,141.29967906105583,138.30201722482064,140.0679059565806,137.76702294037958,137.9419914743521,147.47335042137456,153.25763230236407,152.85253331234688,152.82023601729497,153.43845498231502,154.75030528206753,157.38134420060535,147.81562726600765,146.58596287123032,144.98466908082543,149.7061484843362,139.58770233673326,139.16072860131595,143.50907386218512,146.61010197817012,149.13646932638846,145.0409687436486,146.670308418905,152.8893555129282,154.24782723773637,143.65070962837544,128.21314666288595,134.3540982303299,140.29995233526097,147.71659922052834,154.14023613491068,154.24238965694872,150.44307935953026,154.78957897222685,161.59264486556674,161.24584995165003,162.01283732759092,158.5820678800898,152.2279879951212,156.75690303368037,157.74393284544666,153.07723636681203,156.9383133010919,155.55157676474593,155.1689606759438,155.59731270279838,153.7455262362282,158.01335157348962,163.08694308344457,162.08740403689018,160.61992768934107,163.01113816810886,170.32164952496265,174.19804745407592,171.81085800731574,172.19649259634824,174.41274997619564,169.57161554444747,171.51477212832384,174.44928164189173,173.54706122000096,173.20156595000083,175.85694874377086,184.16579358151364,186.8837240297957,180.09579343950497,179.17233954003288,179.8717233966608,169.8012333967082,166.12527559900371,171.38799206129488,173.25366461756846,163.00594424187284,170.45635709625307,173.29664174063555,174.2259096264238,173.56509765281103,181.20687187250638,185.74167058988056,186.67635879907172,189.75026640009003,188.8073365808201,188.5883025151711,185.89744894936,185.84186828893564,182.50567054564033,181.97384040565785,179.54321925873097,179.4424451676337,180.80093883465997,177.75648734868264,181.15505770374088,182.52345229855118,183.84893508547634,178.8442717494587,183.08978456210977,180.65537681815334,182.1586802166325,185.81420742591018,182.71010482965556,178.45476057513906,182.12544210536907,185.18422908045912,185.13448677936339,186.5210558000537,189.31686757399703,184.27980815778463,190.4519348796137,196.67424948775505,198.74032464995764,187.08131067506315,186.90589589253,193.74402562584666,197.8962019548257,181.79408865415357,185.29233935686278,181.6315604525802,183.38269140108935,183.32901059022666,184.656640551583,168.0302511644954,188.52513976593417,181.73710326304655,158.62595633056574,166.26893585108104,161.55081856840383,156.45371626591566,157.86971563003522,160.18490222645573
2,1985-03-19 14:18:14+00:00,177.6511797961675,159.2866570625953,133.06177069516357,133.03269010552668,140.30116370433532,144.8084431880162,132.59268997900293,134.6992016054412,143.76935022838194,140.09516610017994,126.74900166278394,104.99125551554238,125.6547645161807,134.91890309424588,133.62509331558115,118.34035914785048,129.87312611286123,130.94068514674896,132.09209361476292,135.12656674499618,151.16806513382332,158.4713539608959,147.3876904010785,137.88637196695277,141.86626726910356,133.94036532863444,128.57092013588425,130.0774833343616,125.5006477197559,141.78054972330386,139.41186727945797,132.24138201225475,133.1989764409231,135.10894729541337,138.93718117628111,147.09327645257468,145.46947432765705,137.37753136360178,137.08152972110545,129.67485628165613,127.29204579310979,135.8931566971573,146.59911515827824,143.6174338318835,140.38342820072592,144.28003829977652,158.0205132777172,160.52220268941912,149.1941616990464,144.3924346417586,147.25617325729138,156.35841090471556,146.8554857482585,134.98769665928833,145.68792395082053,147.1653137427134,151.62036883277196,159.97134920743173,149.57920609807255,150.27557511757897,156.74276231133658,156.29925166468013,155.0173894106484,158.492186856312,153.29656017574376,157.61064268615092,165.52180411436024,156.41230460914073,158.3951012660521,160.19818546637782,152.88148229339748,157.77574967928973,161.5799138224555,166.18407657482956,161.32693622673872,157.1359962013115,165.91933425099973,167.20171967043666,162.68910486026064,161.7390779388108,160.68234538365988,161.07671306735517,159.15265467908011,160.98503532025552,158.02127454144505,158.57503767994154,160.7619408436039,157.23370143693728,169.09858028156134,165.19969047941004,170.4704781629404,171.5182490750489,176.4999794489496,173.92568058903558,169.5054437574098,171.04900135261698,175.14394435863375,173.50351033557965,167.58747546449175,165.15439114479383,165.43091476471744,159.03175133033216,165.1399131282023,164.03354036607996,172.13774543484863,170.65570099873946,178.67393012539895,174.6323099845162,170.20839645997748,173.53062090483408,177.93844397599912,176.52381743754137,175.61284992813285,175.60236000375951,175.02018875157847,175.75635400321454,179.54792541189886,180.3849331912756,179.39635205858548,174.22585658558575,185.94156004103624,182.29466004706197,176.4564272334522,178.7115290731033,177.61362037719564,185.419851714988,180.45110674550352,183.40037865383152,175.98568643391843,168.15666070493137,172.00988817993806,168.15088942199782,172.610128413596,172.53339150966212,167.61555594857657,157.11850126712443,153.95947639227302,147.5064209683325,152.73271202854727,154.11620283165774,151.64419047692598
3,1986-12-19 14:06:44+00:00,194.84530075294248,174.2025704733702,154.22277394275542,151.6726935295527,143.52484267886945,143.3640418133931,148.16069245868292,151.98728534641342,163.29227673569454,159.739176778264,147.24808012696562,142.83763668024346,151.82392292956376,163.41114217601512,162.8714850039895,155.25886307660565,143.6696632358404,143.62406225442453,139.51812449758992,144.92090766998558,149.3080898784019,150.89500972358616,150.39929522101636,141.71011361314075,142.04153067963722,138.45012483470612,139.81258872319654,150.26973442698437,154.02051960097918,155.9836526741052,155.1697114381363,144.1173191346145,128.22262824065737,136.0462182652138,149.48687934542158,153.7123484895144,148.49680376314842,149.74983686576257,157.85200930867404,147.6564586194829,155.78941357107306,154.76691476207534,151.8141592725117,147.2533365816625,157.30006774135484,164.414906513024,165.38760715190045,173.7599990816359,174.8405239608163,173.27035472771303,171.44882090731363,161.70998011868417,156.55523369874766,151.34983829147595,151.7831671574936,155.04310381559836,158.43251884143578,165.42743289457442,167.83670926602397,172.56506460825202,164.28866219944092,160.15907483871223,155.71825353038705,160.44740562834835,168.74677902466925,177.75998619628527,177.83859523886346,189.07603138181096,192.98208047998753,193.9259357767007,206.71538788109675,197.27418808983236,197.06555999168523,196.1174501881616,197.5877479294224,135.3508996759811,,,,,128.14728776892545,148.08467798299205,156.6445182510768,174.66522495250945,172.19375749538008,136.20675147859544,173.22034220286235,184.54928804214933,181.4477408525326,193.85009100196655,188.38186096879582,183.58165292137954,181.52562881026572,189.0789760314546,185.09191798805543,156.56095081410268,158.00729001789807,187.3587320568413,,,152.18239151623794,157.68245228725624,185.38112044591924,,,,171.82762555644305,182.95605752837523,180.57492105337758,173.84737061973658,180.28722261226568,179.70685136625474,178.524498771663,174.34643439827587,181.19931993727366,181.80793912301857,184.83471782042366,184.19562381101701,178.83810648250244,182.13244279153673,179.0326172952762,181.6316037385302,184.28104554697245,179.19667539516118,186.22423847909502,188.957691857246,198.1127452192299,191.4470396544181,185.28064421721808,181.9897299171929,179.7382140668525,173.2534298907319,174.02309574599622,182.19702823787344,178.15561583950353,169.6286820733928,161.01986915764562,156.89253685719405,140.0087649487806,139.39574971922198,152.12945439695903
4,1987-02-21 14:08:52+00:00,233.09864167186458,174.23353898075942,180.5617759168298,173.4612769839333,175.02474188615057,143.52314941764973,146.20325858044407,152.18285567939188,153.69987701048365,170.87845025641406,136.7749381255019,159.25249696574906,170.22462816411775,163.5213796377672,137.79236432136196,147.9279197790935,148.3282554781568,171.5678063318329,174.69323416160103,145.5444541366831,145.55592768181742,189.96997382982403,181.73317829663011,156.89909933772543,137.44454350993425,158.46722381840598,150.63796066077524,147.57657507210587,137.8501621841874,170.89262646746326,156.76361532413614,156.75137260313755,150.20911747964442,168.4343671976745,180.1264909821605,169.33052802317482,151.96638549652175,155.25241494728948,152.51879774714453,161.28073598678802,164.97526320778195,165.22675478471342,171.54951771011093,177.05110727058675,173.43509090511398,177.76070174715204,179.79164472352446,169.5996590675634,171.5681855886706,174.9274293975188,178.23406566768122,166.97768713972602,168.46913231706685,166.82229090659175,168.76584164781656,167.5877942510917,170.70038799492266,176.71069225839273,174.06241660677517,172.69536954351994,175.47751023191904,174.3349143687191,174.22113379872667,184.41423785332177,185.64345163685894,185.84532418972367,192.6434985070689,188.40869323753847,187.498511102448,190.4270278140748,188.8066547828306,191.630553049252,188.38784334419933,190.78917352206727,192.1583718786316,,204.55442306110473,204.7235424762536,202.98191480147287,198.46434484258307,,193.85310777988303,191.75814239892358,188.45079294076788,189.9382393517844,191.96515935605723,190.066020332504,192.96718550946707,197.1334419973822,204.5316709775808,208.02594728394024,206.80651029671003,212.40272077688695,207.6336241653308,206.2004649154511,,199.40962923515397,200.33078339428923,198.2675412425785,198.49703619658183,195.93898172569317,195.40741953216553,197.17403738836828,193.9435048748908,193.57795596242264,194.48609525521726,196.64498362415523,194.80070101180564,190.51001260497054,192.80927702171607,199.55553611126732,195.87012236476818,193.0860611961739,198.12502497371798,196.53669843997247,200.08145667912893,195.31051028901578,207.5376675332312,202.65415312823373,205.49551492921037,203.8768300842292,205.98573012605198,205.69420129561342,203.39102493222094,207.48740921274634,204.19685991822735,208.15096411873301,202.65546750162855,199.42365238407024,194.78373005019438,199.10863713423026,194.7017233914263,198.51668388421487,196.74396233151606,176.84349240653114,178.06409098821572,175.26011440173448,171.08318534006474,171.88782446897488,159.56418025560305,157.59439447936916
5,1987-12-06 14:16:14+00:00,164.50645311100013,161.27753775744395,129.2224401326545,122.06983181928436,,108.42540532138591,117.9510110329739,136.80968662724206,143.77376715279243,136.1447713361652,122.18818929729812,115.98188825569824,120.44963390480041,117.39633294999246,104.73937685366708,,113.41311166477993,120.31854671500764,119.8603342945764,115.11104874280218,122.82686207348802,134.85512907576583,139.03062228011086,118.22822437108849,108.71776971976234,,123.32969994120211,133.75393778023775,125.04549727833353,109.15402595267206,105.92853946498111,90.6255701109037,,112.25638550274067,134.33190871321725,123.29785400624144,120.86751393007688,119.19238513403839,,,140.9386499812037,135.96804529479357,132.09087708510177,,128.13790232205403,136.35981639487107,135.54868429317065,132.0885672224218,,133.11024447325443,135.7009624124844,135.6107649408242,142.00598688897526,132.74354379774934,136.5823957888088,132.81664175071185,137.36984268222824,142.00870283067744,138.04761628642416,128.40089638631224,137.56375711887625,137.27260158028776,,140.8236820976531,132.61155274793177,134.14539562537652,141.15259559713124,138.78847036241973,132.43873590163466,138.71975537053692,154.55658055730606,143.33235740062247,138.0966220381231,140.90628113284066,144.86496772382,149.84796632439458,158.801419442404,167.32777159470666,163.54668696443144,153.7554768818107,149.7176004978094,161.61916698107834,145.60747515562045,149.70439139792595,140.5827504587003,154.3921325591751,157.28337048385703,149.41308774149397,151.0274170565386,159.59249124865727,176.52190787043187,170.02433378814197,163.7239664467576,173.37598527890032,167.84187565565273,162.8968912216873,159.52798100337105,162.07491820157801,172.86092640844424,166.97391990544918,158.12632589979677,163.6136539408652,171.53421822289076,168.19295874530428,165.4453167422451,166.96800083409846,184.67025227886774,177.8977137912434,179.90673193655635,169.3602375956482,171.58178846092872,175.2312651547994,176.02328722909544,172.57743216104876,160.9280085502822,173.5475457927853,178.9728162795513,181.17803819003507,172.33428460697885,169.74806001513878,171.4234105862934,174.24258832971157,,,181.99349478336424,178.05436647178817,143.997028703521,,157.16825430107082,159.2427439927323,150.04075139369417,165.83081556575556,155.31520570002306,,144.5462242645294,150.88281783635958,148.9603040950877,,,122.01654480373372,118.06936003750131
6,1988-02-08 14:17:20+00:00,193.18994323329366,169.69975293733683,158.14631554816182,155.4307538389886,157.30158325421047,158.08006632625813,165.9413244883041,144.6062443917948,144.11143601308618,141.81115297978678,147.86920146053544,142.58126154852707,157.74216113773963,148.88369033612344,140.36104523990696,147.36865991782696,156.39582740534763,133.01331594459106,137.95086266241714,161.1556536940781,143.1959976256299,141.71035908671948,163.97612771676287,159.64354703102896,156.04523831832842,156.11601985524334,139.48845601530667,133.66814590603872,150.7170527025495,140.54865995882884,136.3666162767003,126.35940605831578,150.86849153266255,148.22058028020203,133.3767248874801,149.01141138954574,139.10435388582601,163.97623322186422,165.81671387430924,157.37429876939774,148.20801238353118,156.53861456196466,135.170884196626,160.72350805994793,160.20575127764448,153.35046110598677,160.30983148153888,169.64058136758632,170.76857745403038,155.1247604929289,151.41532680224174,153.94281374316733,160.1525705207018,147.1322979251241,136.65843762868212,156.34795607066616,157.5558842110069,169.23693187520547,153.41042859044566,157.59198576957817,158.9069851937689,167.28487395480272,173.94201544639748,164.9620649373394,167.4717826205549,172.0697318083931,166.74506813827065,162.80029084083057,170.35909593931808,177.20512814916702,172.70121438706005,168.32529544432137,176.9424433968416,179.13805630182284,173.91386770156467,169.536973980845,186.35965683030355,180.75249595111796,179.3824798544942,179.4787533014078,184.13674400776094,181.56181529708772,171.73277192248594,163.98877771567328,175.03530731315362,172.89939495347141,169.79252989566993,172.2169747913239,174.72282652399844,172.884239200723,175.93158168709854,179.39200410101333,184.76195047643392,187.21832906506984,184.32459621239732,181.97778134782618,186.43463860712353,181.4912061183178,178.63647953718947,179.7197817401929,173.30429097945338,179.2746893306269,180.26274692100438,177.65404096826268,183.40403231414203,181.57344436709695,183.36317122566982,193.48988070611,191.21981748180593,195.4179085285661,198.14707360249744,198.14638460681272,194.0690083385369,200.63429104554177,197.4775740587452,196.3565302842624,192.47559946343645,190.01549820032875,198.12330749560442,194.9830350975874,193.18159869907163,199.65777154901588,206.0732334538527,204.24721003638285,200.0814344133027,198.79270768307245,180.85591691020443,197.99018303764683,190.0749058783997,183.84099865746455,178.64233406965388,174.32226700297053,191.95543041567544,188.25598424749245,183.9981247108038,168.2346379577966,159.48683617180842,174.34517268363894,167.04121999062193,166.991282054789,162.181411275969
7,1988-02-24 14:17:33+00:00,230.8019837927888,169.88836252573108,165.48851632345156,165.28700145739725,163.1575552353689,157.0530395386507,155.42214462539883,154.5352044717366,159.37355421129638,154.40127064544754,159.32970988548905,146.61268503524735,141.15236024979626,153.907319277919,155.9291190351579,136.90994919379156,150.49475024782592,149.8726329488854,150.1858627965668,149.44382886405816,155.13791059249604,155.64327514211703,152.57265618893706,148.0239573453983,155.84396199692924,156.33828313285926,153.27592001954613,143.07068396075786,139.75913970614647,144.25188766201177,137.19857555149122,127.7350452971299,132.47169216264433,153.62118812270305,148.37482216405093,141.7175553537109,140.3935410782391,142.21069785271192,145.05150823709045,152.13390237713372,150.17930685197825,155.5404345403319,158.05738891284832,151.95125833184414,158.99155117665592,158.24912567289348,159.10575257572964,167.89169376124045,168.52560706344082,161.34936444636048,160.0480872121772,149.59705636355557,158.25097688808344,164.05955074117009,155.1571011666856,160.03842334457053,163.61983120957575,160.4135395580139,160.5370451464985,161.71784869931022,163.77143019549143,165.01221291509356,167.5958451644226,173.0691894404029,174.41245042473577,173.43251665534297,168.57399459509747,169.06174781315116,171.41596283063893,170.0465873934755,174.60088557852157,173.39099958413928,179.1701275089968,182.2948606318202,181.96220700278602,182.24425286337546,196.3619867460036,190.59014333405023,191.64775729188557,190.47792820799563,185.474682548287,175.29386737531934,177.6875503616219,173.18792051857724,170.00971070669783,165.36653738068645,172.81373707862048,174.71552549898882,172.53592222804176,180.86186589279185,186.21398476383536,190.8361317998989,189.1441725120406,186.825167292616,183.08234247978945,180.8072867339198,183.03760412061604,182.53215622702584,183.38523695076165,174.74227551389737,177.3998182328353,183.28552195448506,180.41700504329015,188.24947199486644,185.32631200737777,191.86543791693282,190.71452972486105,197.8054242006611,197.0046138399556,194.36952739649917,196.91075879593106,194.15579830837984,198.908140226585,192.57442129691142,196.00935682199676,195.40010411405652,194.24418870888195,198.81728369478282,197.8689714789494,198.05278459302318,192.64620570111393,199.287935229997,201.67513031595655,203.49122040607145,203.7900582988193,196.3583311133844,196.65748230756054,190.87682929988074,185.22485407413689,188.0409610114781,185.11972298048104,182.27191924878736,184.40409116808658,192.84062384516747,185.19335210795168,188.69098356848235,160.66878601161665,178.70028524865353,164.16302995261023,163.64809502871472,164.35415700700082
8,1988-03-11 14:17:43+00:00,230.73575675597345,175.48578998815685,163.8200696850478,154.85686053210037,156.99834820682184,164.73355487606474,168.11392138053134,148.91038507665272,162.893343026262,163.2288372935444,148.90817639792618,153.06075661187504,159.57426484884243,150.43987077736054,149.80886115693482,161.61127800497724,153.67449236735263,144.25797050227249,154.23141977824187,159.30235022803058,154.081372466556,158.88556519732072,164.65671679898492,156.94570791503642,149.67921952741685,152.61716001950512,163.41792520774882,157.46035481779072,145.62980730420134,137.43107616531304,133.57121922785427,150.32162195167737,150.28861695731203,155.99029824378354,150.70867507973725,153.11557561148152,143.98819658402851,140.95311950831504,148.48011853033387,159.1912330497941,154.35442447738535,159.9092941342236,154.4314395294961,155.06607488407752,153.06230242354482,155.64404989537792,157.57479937227023,160.3365007415506,154.86202196476108,157.4437516745533,159.94806382315534,160.9874213393658,150.32009907935054,151.5286461456378,160.27708997663626,154.8883547195225,148.9835090607672,152.5845386624068,153.69968619232515,159.30218623839488,157.3311057891207,160.87641904942717,162.23526889970552,168.15505637981786,163.17967751115492,164.99469877918426,160.7319939725733,157.5734482063711,163.86625705644434,163.4995396744797,170.22409043047946,171.1860363390629,166.74046246246564,176.04062517352577,180.2208925582759,191.23155992604825,194.8242604536843,186.86738145775786,188.74049544169915,189.4545145758599,183.6216630932656,183.9121382423205,184.05697129853806,180.44588422451145,174.85995754632773,176.8439009543925,178.3594924816613,182.9522368438944,186.90371339840323,190.04772476746732,191.01283867406016,190.98535480444576,194.85839774968719,188.00891959464212,188.48148476557677,180.6947310818873,185.2747452767877,178.09269812821643,180.83978252693007,177.0100337166425,185.13467618406267,183.8668024284287,177.8610575559586,186.67206714935432,182.37904730293204,188.89130444074402,191.5239044136908,192.41091388948428,188.59703649484754,187.6239713403383,190.03934217352884,187.56324197062506,193.38322138422393,184.26388951379428,193.92413840470323,192.29549039657536,189.4322343195436,193.06320597624864,188.11938288433007,187.99833478082178,185.56548565928927,189.57051822485315,192.33971946333278,192.82423128650157,197.76547293897227,193.7533256818458,198.73812407102395,189.65439861606532,186.47723555139882,185.2090307095209,190.05445628952617,190.25344584175005,186.36666952760578,185.8496107041153,167.4892434908181,176.30143512409444,164.57494617237623,169.74768341915583,161.86658433176842,158.15258915725354,168.24801261653099
9,1988-03-27 14:17:51+00:00,230.48425631938136,178.1965694162734,165.69631405364777,146.50455200056243,141.73422388634086,141.2038685219366,140.72204638902167,135.01294238627054,148.92286622251527,143.53088601718997,153.36874161615776,146.9774716641769,141.104123184575,137.32646257915397,138.7523981847846,149.8313512467284,140.89434590369262,143.13177177394357,146.6253469299864,136.15391102367067,140.45233661576057,154.42121974267116,154.48339448024865,148.57621607778418,140.18069715628977,126.32774805760778,125.04642701462134,148.62958073550863,137.6364559726813,131.67242838502378,138.26056372011698,130.70535951849936,116.53911807662867,127.64057775363354,151.72575672161815,154.55951905126636,146.72668678426953,135.10883608477033,132.0466163728804,143.8000690530397,144.9531113840514,153.3002818718748,160.5585946611942,151.31114337143913,136.95910015752543,132.75147064136002,138.99066567338983,162.9411635163915,149.74421929570076,140.75830811313614,151.8657612817518,140.7026773382317,146.86732987856925,154.94550781596413,151.6608629474252,143.89968910757705,142.94650722787964,141.55246846938348,131.8583451949618,151.60332929730566,139.6186039199783,148.6143089543201,153.47040517936898,159.10070985496114,153.28540319732426,139.6351208970001,148.31274841145455,155.87234543273004,160.14320213635588,151.96812741226933,162.05226041278058,142.14460449475234,151.32843488776362,165.90629885555794,170.5676037985516,161.69906809887314,160.38461922713617,173.69699822315232,171.55560634965047,166.1890382819982,164.2821828168266,155.70476194204178,164.2238996072803,162.12727311176684,159.49050515618563,148.48975320851682,165.01518253887608,166.29774560262427,163.8386593774585,174.4838670240579,163.08639201280437,161.7068554182607,174.1340980432183,183.12966909833548,175.71698654199736,165.47139793486207,172.928464672272,163.73333847441452,168.51217253204396,156.39541166200422,177.83372246988966,173.4858573037813,168.02016132184983,174.52391637921028,171.19856950165325,166.62361587384342,173.72916794885518,181.73711842427565,181.94977462648103,182.082799789172,174.40729281599968,178.98363843603613,175.7174063150818,181.5726028663102,188.64134347021226,178.50625888944015,187.37559301508134,178.1349527148762,188.34094286165075,179.58482452959083,175.9349055736018,190.61033730507575,182.6144392201552,194.54435501153407,188.66368993574565,179.2643031147643,179.99880401486263,189.303399594187,180.3629974873245,176.23259990063187,197.45904041653088,176.02113777893405,174.65325993071258,193.5820817124463,169.0063551671702,164.88408736244406,146.49207733442609,163.74485500357426,150.5177342103871,155.06499729393573,153.26995668218564
