,dates,chi0362-0000,chi0362-0001,chi0362-0002,chi0362-0003,chi0362-0004,chi0362-0005,chi0362-0006,chi0362-0007,chi0362-0008,chi0362-0009,chi0362-0010,chi0362-0011,chi0362-0012,chi0362-0013,chi0362-0014,chi0362-0015,chi0362-0016,chi0362-0017,chi0362-0018,chi0362-0019,chi0362-0020,chi0362-0021,chi0362-0022
0,1985-01-25 14:04:27+00:00,195.44297287361394,190.55967833060822,192.83124918571306,191.52595442187848,203.24551424614086,200.61860490934387,205.3607635567979,210.10707867278668,224.0397228490032,217.82803030194395,222.22171504289273,209.30489525672823,202.02698230586046,200.45805834793194,196.48697075313166,183.16069615770024,192.3286554575556,206.7232156361851,217.18140371222708,213.12892787937068,216.1172397657747,219.426115494569,218.31340074012817
1,1986-01-28 14:01:10+00:00,188.5698251066971,180.22266985401797,166.40155535132314,161.18279935055128,166.77130921960838,193.94227178680214,200.28197154254227,192.95663023325724,188.75602927486784,196.38533743913422,218.95961597622994,197.49542569667497,173.21677879338847,172.4894001488752,191.86812029627094,194.61847013374015,187.49127575285763,196.73153432247278,197.52919399722998,193.41689681225736,191.85784773499816,209.6195720696714,216.53000253692363
2,1986-08-15 14:01:53+00:00,227.39398802550392,204.31655043461308,176.50906689294442,176.6868647498281,167.92885195527606,189.2761972243126,186.91760145025518,192.95882797456576,184.91005450816849,190.41601286582872,205.61979064474986,188.6580706905198,193.8919761045467,177.76131927004067,175.10192968634627,180.0034062146165,183.3893706462313,184.9171231228898,184.65256220044768,171.9775296995962,197.70755984825163,208.9288162670348,
3,1986-09-25 13:54:18+00:00,,,,,,,,,,,,,,,,,,132.04186506274124,156.5450308836332,151.2609168087094,,,
4,1986-10-11 13:53:47+00:00,210.96026561621827,188.01424964312224,181.72600816129636,189.2301835049247,178.52501130168278,187.55710243161064,191.43364918289365,174.5982875053946,173.13380796043543,176.82819523646046,195.4409158544534,186.76997736293322,175.55807669723654,189.6826063170763,176.8040862472775,177.59394654620638,172.2188910641728,168.87171574509145,165.67437036005805,174.8086938177113,170.86342507085942,184.02624540209527,209.27572844904444
5,1986-10-18 13:59:44+00:00,184.40371656481173,169.89283438147325,167.87780234097096,168.87142924027665,167.77213127398892,169.65917622540462,168.26468452891078,167.11331573191669,154.34977684918883,147.04870523184252,172.3830992478198,168.54404405520518,178.8758313074453,164.8888278550617,163.85689769181604,168.22126835102634,164.27430326494374,155.7032785315214,154.11102062703972,153.20469008148513,165.41373114216134,175.06916940934414,194.00623685201072
6,1986-11-03 13:59:10+00:00,190.6831895824086,183.24251722531136,185.0016254711874,184.46524261390667,189.53481804820262,197.05864424763783,188.16671648619365,182.11935297473374,178.31211449306625,183.1681408512549,183.69991850290594,189.43206715994023,184.07007272483258,182.17230054868668,183.61829657404067,188.46627730084583,176.4567909599649,164.22256589971468,169.71627697770697,167.10690494172397,172.00681553008684,204.97757161730084,215.12337124572042
7,1986-11-12 13:52:38+00:00,185.29653160193556,178.22447434645943,182.8599141506219,187.83258532716223,187.86213768290455,196.94508943203115,184.49075367099107,174.38478418829018,177.56407888145387,187.5101620495382,182.3369727057713,193.84046344568046,198.77473208432693,191.5222027674082,187.19413512351875,196.49691227815447,181.91356264295064,172.7608612389063,163.50864696444444,172.5506408850909,175.78070496680832,207.28757275070893,217.4763627420959
8,1986-12-21 13:59:13+00:00,192.84581527175212,177.96685668405723,162.5609324929645,170.3561008645338,190.09331601117884,227.6543044128551,201.0338824130204,183.91618976975764,168.96066111904486,181.28730652647903,207.18397716773896,207.53229691604832,208.52444101368678,213.59121822141358,208.36518276190256,197.66542402146194,195.76691909474343,189.31331977128292,184.30243329412372,177.17146178186465,187.63347940639886,199.37243359574603,218.76964451091442
9,1986-12-30 13:53:19+00:00,202.41645877251267,180.24586081774692,166.5719163415179,162.26644598536643,178.90562701871218,214.0403598677499,213.7254225396941,190.84666951369803,173.03937941406696,176.74094108188157,196.01594835488487,207.86362953181452,189.99174192713588,201.7483781390487,194.7072036177403,186.54330668899343,186.0692982173955,180.47731969727127,192.75783129493243,190.65963320190988,187.17089856553898,206.2521283971296,214.4932503707206
