,dates,per0018-0000,per0018-0001,per0018-0002,per0018-0003,per0018-0004,per0018-0005,per0018-0006,per0018-0007,per0018-0008,per0018-0009,per0018-0010,per0018-0011,per0018-0012,per0018-0013,per0018-0014,per0018-0015,per0018-0016,per0018-0017,per0018-0018,per0018-0019,per0018-0020,per0018-0021,per0018-0022,per0018-0023
0,1985-09-03 15:03:06+00:00,214.5485750737345,195.78702424177067,198.76018332269277,213.88892920202758,200.95932255782603,211.4673434849837,228.95578225080732,242.58648410374664,244.26513701937546,219.66376785089395,241.5743779317726,225.6985603806142,208.8729546148763,205.79285625791894,218.28246687676187,221.30074054374623,227.70043874148908,228.16706618378225,233.89417726999497,235.2385455277601,237.57533202955295,226.38739356220188,222.78960879197265,212.58536042874096
1,1985-10-05 15:02:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,
2,1985-12-08 15:01:45+00:00,220.3633386548898,212.06826003152824,207.11995691075612,207.010220564577,213.0842819129818,207.1985473183098,215.85524219880136,223.0381175136356,222.65964084514317,208.69160071403235,241.06377103140912,222.71431485045616,212.4374352059469,210.05382427350622,214.6779924278773,206.51972648285107,210.74647142332617,218.63373005099027,226.178527990409,221.15898963328766,216.35466578283967,207.7607697388442,198.1892735475034,193.99950467525986
3,1986-03-14 14:59:46+00:00,266.67647706096403,,243.45932594583337,229.21430503883,226.44415016886055,216.14561283871078,214.8193714432808,225.86391220848375,232.21693237871438,201.37303199837484,240.344196149817,236.6298453653293,248.27803234588674,249.10173825676986,250.97667206551412,232.7488310673732,226.35290717439756,224.53723840015238,221.62578254277898,200.8219265085917,174.85605553360546,150.49663986090167,164.95390535918958,181.78473315715678
4,1986-05-17 14:58:17+00:00,234.52865065611948,224.1239599787734,216.75275779342118,218.6012901544703,210.2202341230133,214.3407659779035,229.027240047845,236.7311279726205,244.71971838873986,212.30197539794543,244.35933844041128,236.65400560764775,234.18860646212394,226.51196094266547,226.18624553246244,225.26179940916882,227.21077411462852,219.814082892941,210.94066545435618,197.38282381400109,185.87441798380357,183.30149335030566,163.94357058662996,177.28069083491266
5,1986-07-04 14:56:48+00:00,219.7652681244675,219.97427212054748,214.4640862636658,224.49311850826868,218.4803001255908,228.06675543858856,236.58428061477926,241.4135164397881,243.8337355977365,229.55371258641418,251.23810917768867,241.2150557959096,227.1194667470052,225.99882040749824,228.96322172356759,229.92761469942397,225.31699390070568,222.461177975411,220.69835611983538,216.75032721159127,211.97003772847594,210.03399150042358,206.32971809868593,203.9476839608212
6,1986-07-20 14:56:15+00:00,201.74747567415898,197.41886289641926,208.90873170060328,221.17624963556224,209.38144775373485,223.40545008897536,242.59286594266476,244.34079658435073,249.7735237267904,219.4577610291148,245.42597350761355,232.89676114141375,229.34094727810324,220.10101157068786,227.76166345503054,240.5064515021739,235.76266332866086,234.82694054346047,229.30599193163772,224.19248488846395,217.2907016294464,211.63264248586796,214.8887348778718,219.78922991654312
7,1986-09-06 14:54:29+00:00,192.1348968247928,179.88821653191417,181.96319777344317,198.2077285211515,191.41487865812954,207.96872918329206,224.05093341388843,237.12919918592183,239.3173641647512,215.14239914421663,245.28306948506042,237.2959983580383,229.8857007509385,217.124760225206,217.97750075818607,223.63110853788885,226.17080447518626,229.37400033484585,227.8013261968564,228.22215740116462,233.86091104545736,228.29343479088266,222.03206793587842,216.70516489009128
8,1986-11-25 14:51:54+00:00,222.30646735796273,222.5118607711303,209.15206558445863,211.8291922964552,216.604180586198,220.1321965215195,226.4471668816544,234.9903938015327,233.66925106550426,204.82939180814827,239.96798288129062,222.2890068694436,223.1297887369151,234.92026211986456,239.05879158028316,232.5679150784188,233.28908430173803,239.00222352612735,250.30517923872134,247.83044322722412,233.0380552993988,219.23286194525224,208.21844528483717,211.5208820043116
9,1986-12-27 14:52:50+00:00,225.9823367534872,210.01979914373527,202.3844512951767,201.27684606233896,206.52296876351485,198.88521938649575,,,214.95336124324334,188.1843826856722,226.462555269495,220.48934898504024,227.55555452245488,236.3185223367667,237.9984708657005,228.997794402487,217.811482703813,228.72152135612245,233.408989919886,222.85836697384832,206.05405775669132,186.51126088075154,163.042063274384,172.70295521012915
