dates,nzd0593-0000,nzd0593-0001,nzd0593-0002,nzd0593-0003,nzd0593-0004,nzd0593-0005,nzd0593-0006,nzd0593-0007,nzd0593-0008,nzd0593-0009,nzd0593-0010,nzd0593-0011,nzd0593-0012,nzd0593-0013,nzd0593-0014,nzd0593-0015,nzd0593-0016,nzd0593-0017,nzd0593-0018,nzd0593-0019,nzd0593-0020,nzd0593-0021,nzd0593-0022,nzd0593-0023,nzd0593-0024,nzd0593-0025,nzd0593-0026,nzd0593-0027,nzd0593-0028,nzd0593-0029,nzd0593-0030,nzd0593-0031,nzd0593-0032,nzd0593-0033,nzd0593-0034,satname
1999-07-16 22:13:35+00:00,,,,938.30,721.14,651.68,,,,,,,,,,212.01,207.18,209.84,211.37,207.51,229.05,227.61,241.81,,228.41,217.04,231.30,,316.58,,,199.40,186.23,203.24,,L7
1999-08-08 22:19:52+00:00,,,301.85,946.57,735.91,647.77,,936.95,,736.24,984.76,307.34,877.73,926.65,240.41,219.09,217.57,221.99,226.38,224.52,241.03,237.60,236.50,222.76,230.89,229.83,251.19,271.13,300.29,261.12,242.19,216.84,205.80,215.54,254.88,L7
1999-10-04 22:13:49+00:00,,,308.31,946.57,735.91,649.93,,941.75,,756.12,988.90,316.38,867.80,944.07,233.33,215.35,213.28,221.78,226.99,225.48,236.22,236.05,232.31,217.02,226.95,227.53,256.51,270.19,291.57,256.86,238.20,220.82,215.15,220.31,254.88,L7
1999-10-27 22:19:51+00:00,,,308.31,951.98,726.56,645.14,673.42,941.75,,756.12,988.90,316.38,867.80,944.07,224.51,214.73,213.78,224.64,232.19,227.94,236.52,238.56,234.40,218.03,226.03,226.18,264.51,270.19,291.57,256.86,233.34,223.31,219.55,217.96,254.88,L7
1999-11-05 22:13:40+00:00,306.18,,308.31,959.45,725.30,639.75,672.48,941.75,,756.12,988.90,316.38,867.80,944.07,229.74,218.27,218.97,228.11,234.23,233.28,241.39,243.84,237.90,220.30,230.30,226.18,264.51,270.19,291.57,256.86,233.34,223.31,219.55,225.36,254.88,L7
1999-12-07 22:13:41+00:00,309.72,,308.31,965.90,725.30,639.75,672.48,941.75,,756.12,988.90,322.34,867.80,944.07,235.05,219.90,223.91,236.51,234.23,233.28,241.39,253.02,237.90,220.30,230.30,226.18,264.51,270.19,291.57,256.86,233.34,223.31,219.55,225.36,254.88,L7
2000-01-15 22:19:46+00:00,309.72,,299.65,972.79,730.66,637.99,672.48,943.88,,750.15,987.41,315.53,871.89,943.77,234.30,221.27,226.08,239.34,239.18,237.23,243.72,254.54,235.33,219.61,229.01,228.39,269.07,263.39,271.61,252.96,233.02,229.99,228.98,228.82,246.44,L7
2000-04-20 22:19:15+00:00,309.72,,282.33,981.38,721.87,630.61,672.48,948.15,,738.20,984.43,308.55,880.07,943.18,237.05,223.68,231.90,248.86,242.10,239.07,250.90,262.12,243.80,222.04,230.87,238.71,269.02,249.78,256.71,245.17,227.84,231.67,230.74,228.97,242.38,L7
2000-05-31 22:12:42+00:00,310.35,,267.60,975.36,737.83,651.09,,948.15,,738.20,984.43,308.55,874.83,943.18,237.30,223.73,231.40,247.78,231.75,228.58,249.07,258.42,234.24,216.93,220.75,241.03,242.49,243.40,256.71,245.17,228.67,229.42,224.10,222.56,242.38,L7
2000-06-07 22:18:48+00:00,295.18,,267.60,956.80,739.59,646.42,,948.15,,738.20,984.43,295.69,865.91,943.18,225.35,219.85,222.82,233.06,228.51,225.01,243.72,244.94,228.62,214.78,219.21,235.08,232.82,233.14,242.87,235.57,227.41,226.84,219.35,219.63,236.58,L7
2000-08-10 22:18:02+00:00,295.18,,252.87,952.74,738.49,639.38,,949.78,,757.03,986.86,296.28,858.83,,230.66,219.71,222.31,235.15,224.69,221.10,244.73,249.02,228.50,214.10,217.84,238.14,224.47,231.19,241.09,219.46,225.20,227.08,216.34,218.50,232.79,L7
2000-08-19 22:11:49+00:00,295.18,,252.87,952.74,738.49,639.38,,949.78,,757.03,986.86,296.28,858.83,,230.66,219.71,222.31,235.15,224.69,221.10,244.73,249.02,228.50,214.10,217.84,238.14,209.65,231.19,241.09,226.57,219.25,223.22,218.98,218.50,232.79,L7
2000-09-04 22:11:34+00:00,306.85,,248.31,954.14,736.91,636.01,,949.78,,757.03,986.86,296.28,846.40,,228.54,220.72,222.39,232.61,228.53,222.47,243.85,246.20,228.38,215.51,219.31,235.67,209.65,230.53,240.97,228.88,221.16,223.00,219.18,218.58,232.79,L7
2000-09-27 22:17:24+00:00,305.74,,248.31,959.93,734.32,634.77,652.81,949.78,,757.03,986.86,296.28,831.80,,234.00,220.69,224.84,232.61,228.53,222.47,243.85,246.20,228.38,217.37,219.31,235.67,209.65,230.53,240.97,228.88,221.16,223.00,219.18,218.58,239.65,L7
2000-10-29 22:17:19+00:00,304.08,,248.31,953.11,733.36,634.96,652.81,949.78,539.49,757.03,986.86,294.43,831.80,,233.84,218.95,220.91,223.84,230.01,225.52,240.41,244.22,224.71,216.16,220.27,225.46,209.65,230.53,240.97,228.88,221.16,219.22,215.91,215.85,237.28,L7
2000-12-25 22:11:14+00:00,304.66,,243.75,958.99,725.16,627.38,651.64,949.78,557.93,757.03,986.86,306.12,794.02,,241.56,219.58,221.69,224.36,232.22,227.75,244.09,249.66,232.82,220.09,222.69,227.76,180.01,236.25,246.95,229.84,218.54,216.87,220.54,217.46,243.43,L7
2001-02-11 22:11:12+00:00,310.42,,243.75,962.03,720.66,626.27,651.64,,557.93,,,306.12,794.02,,233.51,219.99,221.14,219.28,222.90,222.32,238.22,241.67,231.78,219.51,224.09,227.80,180.01,228.57,240.74,238.29,214.45,211.27,213.34,203.45,260.25,L7
2001-02-27 22:11:06+00:00,316.15,473.19,243.75,964.22,719.36,625.31,651.64,,558.09,,,309.04,795.79,,236.19,220.16,221.62,221.48,224.68,227.53,240.92,245.19,233.67,220.83,227.43,231.06,,228.57,240.74,235.80,229.96,223.66,215.94,214.34,260.25,L7
2001-03-22 22:17:09+00:00,325.36,471.58,,968.49,718.16,626.36,651.64,871.88,558.09,,,309.04,802.39,875.44,240.68,220.32,223.53,225.55,229.44,235.83,246.20,251.30,239.58,222.20,229.15,231.99,,,,,230.54,224.44,213.83,212.06,273.62,L7
2001-04-16 22:10:54+00:00,341.31,471.58,282.80,961.61,723.07,628.38,650.47,885.90,558.09,726.90,945.90,302.27,825.41,895.04,235.76,221.09,221.53,226.08,231.06,235.92,245.42,249.97,237.63,221.43,228.03,230.79,,253.04,259.75,251.69,232.85,225.53,217.29,216.29,268.56,L7
2001-05-02 22:10:51+00:00,352.01,465.72,282.80,958.84,729.48,627.37,665.99,884.99,567.39,726.90,959.12,304.89,841.01,905.67,233.97,221.96,223.05,226.80,231.04,235.32,243.17,246.87,236.78,222.37,226.43,228.51,,258.49,263.33,248.85,232.78,226.48,220.75,216.80,261.75,L7
2001-05-25 22:16:47+00:00,352.01,463.17,282.80,954.70,729.48,627.37,675.50,884.99,554.82,726.90,959.12,304.89,841.01,905.67,230.42,220.66,220.15,222.18,231.04,235.32,239.13,244.10,231.88,220.40,222.55,225.55,149.29,258.49,263.33,248.85,228.02,226.48,220.75,213.82,261.75,L7
2001-06-10 22:16:35+00:00,352.01,463.17,282.80,948.18,729.48,627.37,675.50,884.99,554.82,726.90,959.12,304.89,841.01,905.67,230.42,217.73,217.06,219.31,231.04,235.32,239.13,244.10,225.66,214.58,222.55,225.55,149.29,258.49,263.33,248.85,228.02,226.48,220.75,213.82,261.75,L7
2001-07-05 22:10:09+00:00,364.69,465.22,282.80,946.85,733.28,628.14,688.17,884.99,544.05,726.90,959.12,298.43,858.14,905.67,230.57,218.07,221.43,219.29,232.04,236.15,238.95,243.04,224.82,216.15,222.55,225.55,149.29,252.46,263.33,248.85,228.02,226.48,220.75,213.82,261.75,L7
2001-10-25 22:09:05+00:00,376.39,460.97,304.11,921.35,748.46,613.75,657.48,883.15,529.69,742.75,973.08,,883.33,931.99,221.76,213.00,218.19,208.88,234.31,234.11,226.13,233.41,206.15,209.09,211.88,215.92,149.29,255.31,268.42,250.50,227.01,229.68,229.78,216.79,251.61,L7
2001-11-26 22:09:21+00:00,372.02,473.40,304.83,925.69,736.94,612.77,614.68,,,729.85,966.60,296.95,881.94,936.42,242.15,215.52,225.26,215.95,249.01,241.73,255.34,253.07,209.84,208.93,228.19,236.94,,254.14,271.24,255.01,240.81,230.02,227.74,228.52,255.10,L7
2001-12-19 22:15:37+00:00,372.02,474.25,304.83,948.79,730.31,618.28,614.68,,,729.85,966.60,311.23,881.94,936.42,230.42,220.89,231.94,222.67,236.32,236.51,245.97,245.28,233.76,224.71,227.12,233.57,209.73,254.14,271.24,245.45,240.22,236.04,233.38,230.40,255.10,L7
2002-02-14 22:09:41+00:00,372.02,468.98,304.83,951.85,718.86,617.92,577.78,,544.06,729.85,966.60,311.23,881.94,936.42,234.30,219.19,220.66,224.94,236.32,242.43,247.03,248.54,235.51,223.20,228.09,235.99,261.83,260.99,271.24,245.45,237.50,238.55,234.24,230.44,255.10,L7
2002-03-25 22:15:47+00:00,365.86,468.98,306.90,952.60,722.00,621.87,582.12,898.79,544.06,725.65,964.10,307.99,882.36,932.00,234.30,221.64,221.84,227.37,239.09,243.66,249.07,251.67,234.65,223.65,229.45,237.96,266.44,260.99,271.24,245.45,240.59,238.66,233.85,231.94,263.17,L7
2002-05-21 22:09:29+00:00,353.71,468.98,315.15,947.84,728.78,634.64,582.32,918.23,544.06,717.11,967.31,309.33,901.25,937.70,235.68,220.12,222.23,226.83,236.02,241.49,244.69,247.74,230.72,219.86,227.01,235.24,265.52,263.05,270.08,241.45,238.94,237.57,232.09,229.47,256.87,L7
2002-07-31 22:15:11+00:00,354.11,462.84,319.96,953.12,735.20,637.28,578.39,918.23,544.06,717.26,971.28,307.43,901.54,938.66,235.33,222.11,225.20,229.76,236.93,244.12,246.23,251.99,231.24,220.51,229.34,240.56,277.15,265.70,267.61,243.00,239.62,236.18,230.22,229.93,257.88,L7
