dates,nzd0593-0000,nzd0593-0001,nzd0593-0002,nzd0593-0003,nzd0593-0004,nzd0593-0005,nzd0593-0006,nzd0593-0007,nzd0593-0008,nzd0593-0009,nzd0593-0010,nzd0593-0011,nzd0593-0012,nzd0593-0013,nzd0593-0014,nzd0593-0015,nzd0593-0016,nzd0593-0017,nzd0593-0018,nzd0593-0019,nzd0593-0020,nzd0593-0021,nzd0593-0022,nzd0593-0023,nzd0593-0024,nzd0593-0025,nzd0593-0026,nzd0593-0027,nzd0593-0028,nzd0593-0029,nzd0593-0030,nzd0593-0031,nzd0593-0032,nzd0593-0033,nzd0593-0034,satname
1999-07-16 22:13:35+00:00,,,,938.30,721.14,651.68,,,,,,,,,,212.01,207.18,209.84,211.37,207.51,229.05,227.61,241.81,,228.41,217.04,231.30,,316.58,,,199.40,186.23,203.24,,L7
1999-08-08 22:19:52+00:00,,,301.85,954.84,750.69,643.87,,936.95,,736.24,984.76,307.34,877.73,926.65,240.41,226.18,227.96,234.13,241.38,241.54,253.00,247.58,231.19,222.76,233.38,242.62,271.08,271.13,284.00,261.12,242.19,234.27,225.37,227.84,254.88,L7
1999-10-04 22:13:49+00:00,,,314.78,,,654.25,,946.55,,776.00,993.05,325.43,857.87,961.48,226.25,207.87,204.70,221.36,228.21,227.39,226.62,232.96,223.93,211.28,219.06,222.94,267.16,269.26,274.12,252.60,234.21,228.78,233.84,229.84,,L7
1999-10-27 22:19:51+00:00,,,,962.79,707.86,630.78,673.42,,,,,,,,206.88,212.85,215.27,233.23,247.81,235.33,237.40,246.11,240.66,220.05,223.28,222.12,288.52,,,,223.61,230.79,232.77,210.91,,L7
1999-11-05 22:13:40+00:00,306.18,,,981.88,721.51,618.19,671.55,,,,,,,,245.41,232.43,239.75,241.97,242.37,254.62,260.87,264.96,251.91,227.10,247.37,,,,,,,,,254.95,,L7
1999-12-07 22:13:41+00:00,313.25,,,991.67,,,,,,,,334.26,,,256.29,228.06,248.59,278.55,,,,298.87,,,,,,,,,,,,,,L7
2000-01-15 22:19:46+00:00,,,282.33,,742.58,642.85,,948.15,,738.20,984.43,295.11,880.07,943.18,230.54,220.25,220.21,226.80,236.13,227.27,240.70,236.78,228.96,216.85,221.95,225.89,249.52,249.78,256.71,245.17,232.07,226.10,223.94,220.55,237.99,L7
2000-04-20 22:19:15+00:00,,,,989.17,715.53,,,,,,,296.28,,,246.11,224.83,235.67,263.75,,,264.64,263.86,253.67,224.15,,268.12,,,,,,238.12,235.51,229.47,246.77,L7
2000-05-31 22:12:42+00:00,307.45,,252.87,945.24,755.37,659.32,,,,,,,869.58,,216.27,221.79,221.12,222.02,227.38,229.89,241.86,234.17,220.08,209.80,219.55,229.09,235.45,237.02,,,225.27,224.04,212.86,217.66,,L7
2000-06-07 22:18:48+00:00,282.91,,,935.98,744.89,637.09,,,,,,,848.07,,208.49,212.52,214.28,219.69,222.01,217.88,227.70,,211.76,208.34,216.13,217.22,213.49,212.61,229.03,225.98,224.90,219.09,205.09,210.83,224.99,L7
2000-08-10 22:18:02+00:00,,,,940.56,738.18,621.72,,949.78,,757.03,986.86,,,,251.75,,218.18,,,215.54,,,,,,,,243.93,253.15,212.95,225.43,,211.92,216.02,226.60,L7
2000-08-19 22:11:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,180.01,,,240.77,201.39,211.65,229.54,,,L7
2000-09-04 22:11:34+00:00,330.18,,243.75,959.76,730.57,625.90,,,,,,,821.56,,220.07,223.72,222.71,224.99,236.19,226.57,241.20,240.57,228.03,219.74,222.26,228.26,,228.57,240.74,235.80,228.80,222.09,220.15,218.90,,L7
2000-09-27 22:17:24+00:00,302.41,,,988.86,721.35,629.83,652.81,,,,,,787.98,,261.31,220.61,237.07,,,,,,,224.82,,,,,,,,,,,260.25,L7
2000-10-29 22:17:19+00:00,297.45,,,948.25,709.81,635.91,,,539.49,,,294.43,,,245.15,216.09,212.13,228.67,234.48,237.73,250.88,257.93,238.96,218.10,223.13,227.26,,,,,,,,,,L7
2000-12-25 22:11:14+00:00,288.59,,,957.50,725.90,623.52,650.47,,576.38,,,317.80,772.52,,229.54,217.90,218.35,219.43,226.00,231.18,240.18,250.48,231.48,217.70,,,,,,,,,,,,L7
2001-02-11 22:11:12+00:00,333.49,,,955.80,715.68,616.19,,,,,,,,,211.50,221.63,215.46,204.04,194.93,193.80,220.62,217.70,228.65,217.18,226.87,227.89,,,,,213.16,200.08,190.33,188.00,,L7
2001-02-27 22:11:06+00:00,344.79,473.19,,975.14,712.82,620.49,,,558.40,,,314.90,801.11,,249.55,220.99,223.99,230.29,231.81,248.36,251.71,259.29,241.25,227.42,237.44,240.82,,,,,247.92,248.81,237.33,236.12,,L7
2001-03-22 22:17:09+00:00,385.41,469.97,,985.38,723.41,632.22,,871.88,,,,,847.95,875.44,247.05,224.69,234.16,245.32,259.97,268.10,267.63,271.12,257.56,227.98,,,,,,,,,,,287.00,L7
2001-04-16 22:10:54+00:00,398.11,,282.80,947.61,750.82,641.96,,899.93,,726.90,945.90,281.97,880.06,914.63,231.78,225.27,225.08,228.74,239.20,236.37,241.48,243.28,227.86,220.22,224.66,227.19,,253.04,259.75,251.69,237.48,227.69,224.21,224.76,250.12,L7
2001-05-02 22:10:51+00:00,361.66,453.99,,931.58,748.23,629.84,681.50,883.15,,,972.33,,903.43,926.93,234.41,221.28,221.24,232.97,234.31,234.11,237.41,239.33,233.91,223.74,216.74,218.13,,263.93,266.91,246.01,232.58,229.34,231.11,218.30,248.12,L7
2001-05-25 22:16:47+00:00,,455.53,,929.91,,,694.54,,529.69,,,,,,209.11,212.84,202.77,194.46,,,214.85,227.49,202.44,208.57,207.03,213.71,149.29,,,,208.94,,,201.94,,L7
2001-06-10 22:16:35+00:00,,,,902.56,,,,,,,,,,,,197.25,195.46,199.22,,,,,182.09,173.83,,,,,,,,,,,,L7
2001-07-05 22:10:09+00:00,,473.40,,,748.70,,688.47,,,,,,,,,220.62,253.29,,,,,,,230.22,,,,240.42,,,,,,,,L7
2001-10-25 22:09:05+00:00,391.13,,304.11,,,597.66,565.40,,,742.75,973.83,,863.23,937.05,,,,,,,,,,,,,,261.58,269.92,255.00,239.51,230.02,228.45,230.14,255.10,L7
2001-11-26 22:09:21+00:00,352.91,,305.54,948.82,725.18,627.89,590.16,,,716.95,959.37,296.95,900.66,935.79,242.15,228.69,227.03,232.68,249.01,241.73,255.34,253.07,237.59,222.74,228.19,236.94,,260.41,272.55,255.03,242.12,230.02,227.02,226.91,,L7
2001-12-19 22:15:37+00:00,,475.11,,948.76,717.05,629.30,,,,,,325.51,,,218.68,213.35,215.50,212.65,223.64,231.29,236.60,237.50,229.93,221.17,226.06,230.21,209.73,,,226.33,239.04,248.08,244.66,234.15,,L7
2002-02-14 22:09:41+00:00,,462.84,,957.96,714.36,616.82,,,544.06,,,,,,242.08,215.52,219.45,229.49,,254.27,249.14,255.04,239.01,225.70,230.03,240.81,313.94,,,,229.34,246.09,236.83,230.54,,L7
2002-03-25 22:15:47+00:00,353.54,,311.05,954.87,731.40,637.68,590.81,898.79,,717.26,959.10,301.50,883.19,923.16,,229.00,225.39,234.64,244.61,247.36,255.20,261.06,232.08,224.99,233.52,243.89,275.65,,,,252.93,239.07,232.31,237.94,271.23,L7
2002-05-21 22:09:29+00:00,354.68,,328.86,928.80,755.89,661.50,565.98,937.68,,,983.47,313.36,919.89,954.16,239.81,214.06,223.78,224.71,226.81,232.81,227.18,232.01,214.97,204.72,217.24,224.33,262.78,265.70,267.61,243.00,231.28,224.59,219.63,217.79,242.50,L7
2002-07-31 22:15:11+00:00,,,,970.83,739.15,633.13,,,,,,,,,224.09,229.84,232.19,230.22,239.36,242.04,253.41,259.86,238.90,226.65,236.55,253.23,256.25,,,,244.93,234.95,232.13,233.43,259.90,L7
2002-08-25 22:08:48+00:00,344.54,469.45,,939.34,745.39,652.28,,,567.80,,,,,,191.57,209.62,210.43,200.58,200.51,,221.08,226.19,209.66,201.90,213.06,210.00,,,,,198.69,205.45,194.80,213.01,,L7
2002-09-17 22:14:43+00:00,,,298.33,953.97,730.22,641.95,551.73,884.29,,729.77,946.33,289.95,871.96,908.83,,222.79,223.91,231.52,234.37,239.15,247.55,243.54,227.10,220.91,227.60,231.23,251.43,250.52,257.79,242.48,229.82,221.34,218.23,220.71,244.53,L7
2002-10-03 22:14:41+00:00,364.33,,325.65,956.39,724.21,647.96,634.86,904.31,,,976.36,305.19,898.83,930.75,,225.38,228.42,231.78,241.91,250.31,251.34,253.13,227.61,221.01,231.31,233.65,264.22,262.35,266.96,253.08,243.41,232.26,226.18,224.70,253.42,L7
2002-10-19 22:14:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,253.49,,,,,234.94,221.05,216.21,,299.38,L7
