,dates,chi0016-0000,chi0016-0001,chi0016-0002,chi0016-0003,chi0016-0004,chi0016-0005,chi0016-0006,chi0016-0007,chi0016-0008
0,1985-03-28 14:12:25+00:00,218.16439693404968,209.28632240641372,201.33045050319265,200.73196191654205,200.06668774792115,206.99191714037937,205.38521505025813,197.3625368138533,186.45043611086638
1,1986-11-26 14:00:17+00:00,212.73267375167586,209.30722661728652,200.95290745909887,200.4629243163999,200.19531309525877,216.18173242910285,218.16078967749635,213.49407375994005,199.54860141619565
2,1986-12-28 14:01:13+00:00,210.2753009857493,193.8922977959383,196.2776422910649,194.53963794725593,201.01294954926104,209.12211171495036,206.0107372017057,206.78263667101587,192.3261563467294
3,1987-01-29 14:02:10+00:00,212.51455628259046,202.83402430139762,199.52816352144401,197.17432333070394,196.51715022756338,203.99942870537163,196.7839869817745,188.88267496133145,179.44259882085532
4,1987-03-18 14:04:01+00:00,208.18654148762096,196.26248520085397,190.88816700523728,195.82091050502459,187.67601906767794,202.46228138174092,180.02307853977948,188.7221796832306,
5,1987-11-29 14:10:21+00:00,203.97585458209556,190.64730379514077,183.7195782235327,181.75771911617468,181.65508534064466,206.68905000351742,205.74622747778204,186.97666942644008,166.43536559413525
6,1988-02-01 14:11:26+00:00,214.47685873272985,195.89930410529047,206.53259836398854,201.01511395820012,201.42947209980724,214.74288369705346,206.69197339863246,202.14872722017964,192.2909916196596
7,1988-02-17 14:11:41+00:00,186.60384529034337,181.92034243684228,183.81752416670167,187.75630340326444,193.5660585766532,205.250577334789,203.34597684148082,186.6481661944553,177.95341848436436
8,1988-03-04 14:11:51+00:00,213.29221585993196,197.30214421863803,199.55782460823733,203.90228682885967,201.59380597608964,206.5222177168496,200.72186725344073,207.68324294800544,190.97861404144334
9,1988-04-21 14:12:11+00:00,188.76114933503408,180.01449910699108,175.61350708985464,172.6507682519242,180.15704329507213,188.35743947480006,172.26047056118028,167.92040685529537,149.30596048598085
10,1988-10-14 14:12:36+00:00,202.68070967861894,201.7294397133455,196.42506148378072,194.30591855094164,192.5457268005427,205.19706857537886,199.81422215527238,188.99032813285737,185.20617549914016
11,1988-12-01 14:12:36+00:00,210.04706620969966,201.47368180011128,194.1935317366287,191.72905933752486,187.80215288508776,207.5743726494278,206.0854615429862,187.07464085922325,186.47823851483787
12,1988-12-17 14:12:23+00:00,197.429610193376,185.04682239149173,186.74773568726914,187.27705497740698,193.05492743371514,209.8052195018165,208.98696880607343,200.63955944244134,185.55087438546929
13,1989-03-23 14:10:57+00:00,200.54963977294832,192.3005728444388,189.2181002452645,187.0109690573727,184.1762107737423,198.11014463649505,188.24098751916603,187.36286633239322,173.58777443927937
14,1989-04-24 14:10:54+00:00,205.38547605114195,192.94499625559328,187.05647743574033,181.59241250582983,174.39109074376685,182.13997420403598,175.22056371335503,184.72177304194975,179.64826798061074
15,1989-05-10 14:10:41+00:00,190.6456037071295,185.76365881221807,189.23752814998056,182.08828529853994,185.38334846453557,196.3671116941815,176.03422744391204,185.02512078578206,170.70410863326447
16,1989-09-15 14:07:51+00:00,212.28288357319127,189.9452510852199,184.84896473150695,183.4503563244727,188.343136077594,199.10403166449177,192.9773848802589,186.42004914222943,173.24504300756297
