dates,satname,sar2181-0000,sar2181-0001,sar2181-0002,sar2181-0003,sar2181-0004
1986-07-24 09:22:23+00:00,L5,234.22,198.48,165.77,189.50,228.36
1986-07-31 09:28:19+00:00,L5,240.31,197.70,167.26,188.58,237.54
1986-08-16 09:27:20+00:00,L5,268.44,205.04,179.63,200.41,238.70
1986-09-17 09:26:37+00:00,L5,271.98,205.50,177.49,190.13,235.94
1986-09-26 09:20:09+00:00,L5,41.52,199.69,177.48,209.99,236.15
1986-10-12 09:19:38+00:00,L5,240.45,207.11,177.62,200.59,236.07
1986-12-22 09:24:45+00:00,L5,234.00,203.73,180.13,203.08,234.10
1987-01-16 09:19:41+00:00,L5,236.28,201.04,178.58,202.68,235.45
1987-02-08 09:26:31+00:00,L5,259.53,206.46,173.89,181.95,228.16
1987-02-17 09:20:35+00:00,L5,245.81,199.83,173.41,189.56,232.70
1987-03-21 09:22:02+00:00,L5,248.08,203.89,182.10,195.21,242.37
1987-04-06 09:22:36+00:00,L5,251.70,211.76,176.20,196.63,239.83
1987-04-29 09:29:06+00:00,L5,244.16,200.54,173.68,194.88,245.78
1987-05-08 09:23:35+00:00,L5,255.01,205.09,173.62,192.81,244.19
1987-06-09 09:24:23+00:00,L5,279.77,205.43,177.78,193.03,238.04
1987-06-25 09:24:44+00:00,L5,268.77,211.79,180.33,195.51,231.91
1987-07-11 09:25:03+00:00,L5,250.33,205.92,180.40,194.59,233.70
1987-07-18 09:30:57+00:00,L5,264.55,200.65,179.70,195.87,237.39
1987-07-27 09:25:25+00:00,L5,259.37,205.55,177.93,192.80,237.14
1987-08-03 09:31:25+00:00,L5,280.55,206.75,179.73,195.95,235.76
1987-08-19 09:32:18+00:00,L5,257.55,201.60,177.28,191.20,237.56
1987-08-28 09:26:22+00:00,L5,251.57,199.92,173.09,191.65,235.03
1987-09-13 09:26:45+00:00,L5,237.22,200.85,173.37,190.25,232.31
1987-09-20 09:32:42+00:00,L5,267.56,204.37,177.47,192.56,238.71
1987-10-31 09:27:40+00:00,L5,245.84,199.55,174.03,195.86,244.10
1987-11-07 09:34:02+00:00,L5,282.99,206.67,177.57,192.85,236.00
1987-11-16 09:28:03+00:00,L5,300.15,211.69,178.50,188.71,234.00
1987-12-02 09:28:18+00:00,L5,266.24,202.29,181.73,194.64,237.23
