dates,nzd0046-0000,nzd0046-0001,nzd0046-0002,nzd0046-0003,nzd0046-0004,nzd0046-0005,nzd0046-0006,nzd0046-0007,nzd0046-0008,nzd0046-0009,nzd0046-0010,nzd0046-0011,nzd0046-0012,nzd0046-0013,nzd0046-0014,nzd0046-0015,nzd0046-0016,nzd0046-0017,nzd0046-0018,nzd0046-0019,nzd0046-0020,nzd0046-0021,nzd0046-0022,nzd0046-0023,nzd0046-0024,nzd0046-0025,nzd0046-0026,nzd0046-0027,nzd0046-0028,nzd0046-0029,nzd0046-0030,nzd0046-0031,nzd0046-0032,nzd0046-0033,nzd0046-0034,nzd0046-0035,nzd0046-0036,nzd0046-0037,nzd0046-0038,nzd0046-0039,nzd0046-0040,nzd0046-0041,nzd0046-0042,nzd0046-0043,nzd0046-0044,nzd0046-0045,nzd0046-0046,nzd0046-0047,nzd0046-0048,nzd0046-0049,nzd0046-0050,nzd0046-0051,nzd0046-0052,nzd0046-0053,nzd0046-0054,nzd0046-0055,nzd0046-0056,nzd0046-0057,nzd0046-0058,nzd0046-0059,nzd0046-0060,nzd0046-0061,nzd0046-0062,nzd0046-0063,nzd0046-0064,nzd0046-0065,nzd0046-0066,nzd0046-0067,nzd0046-0068,nzd0046-0069,nzd0046-0070,nzd0046-0071,nzd0046-0072,nzd0046-0073,nzd0046-0074,nzd0046-0075,nzd0046-0076,nzd0046-0077,nzd0046-0078,nzd0046-0079,nzd0046-0080,nzd0046-0081,nzd0046-0082,nzd0046-0083,nzd0046-0084,nzd0046-0085,nzd0046-0086,nzd0046-0087,nzd0046-0088,nzd0046-0089,nzd0046-0090,nzd0046-0091,nzd0046-0092,nzd0046-0093,nzd0046-0094,satname
1999-08-17 22:10:26+00:00,,,,,,,,,,418.74,411.28,407.60,415.06,419.15,415.63,411.22,413.11,414.93,414.27,406.51,407.80,401.24,409.06,407.84,402.24,398.59,399.61,403.00,407.03,413.83,406.47,404.40,405.97,398.28,394.71,391.81,391.24,394.55,399.12,406.55,404.48,399.78,400.48,402.86,400.44,392.36,386.30,383.41,383.67,382.42,383.84,386.60,391.03,391.16,402.88,409.28,413.38,420.19,415.39,402.02,399.66,396.73,398.88,398.21,397.63,399.91,398.72,398.60,400.86,395.37,398.40,395.68,398.55,400.54,410.77,406.45,401.09,403.01,398.46,398.04,399.83,398.48,402.10,404.45,408.96,406.38,404.35,406.28,400.53,398.17,401.60,401.46,396.83,395.32,396.35,L7
2000-02-09 22:10:19+00:00,406.66,405.44,406.98,407.63,413.43,411.77,415.92,415.96,416.86,414.65,410.87,408.53,414.43,416.72,419.01,414.69,418.65,416.79,415.07,410.35,411.10,408.70,409.76,408.89,403.51,395.07,392.00,391.50,394.37,401.20,407.11,407.86,408.72,402.96,400.80,399.02,397.56,396.04,396.15,402.63,401.59,397.21,398.15,398.01,398.62,394.78,392.42,388.83,385.27,383.88,387.53,389.78,394.73,403.34,405.20,409.51,416.78,417.54,413.23,407.37,405.43,396.25,397.95,395.47,393.58,395.67,397.57,397.81,399.20,395.61,400.25,401.37,404.21,404.61,409.50,405.51,403.56,405.88,401.32,400.38,401.35,399.30,400.87,400.87,402.77,403.19,402.65,404.81,403.38,401.54,403.59,406.81,400.92,398.26,395.64,L7
2000-04-29 22:09:53+00:00,410.39,411.40,414.06,412.03,415.33,415.26,418.69,419.14,420.47,416.74,416.10,414.16,417.14,417.93,422.72,422.77,428.40,422.96,423.23,420.44,418.04,417.78,413.53,413.64,410.22,401.39,397.48,393.32,399.74,403.18,412.56,414.45,416.45,414.51,410.14,407.66,405.26,402.84,402.02,405.59,406.08,400.76,402.81,399.16,400.36,402.01,403.27,400.88,396.47,396.91,399.36,402.34,401.76,414.51,411.02,411.60,422.99,418.42,414.07,409.75,405.69,395.78,397.19,396.61,395.37,396.79,399.47,399.41,401.69,402.97,409.58,412.68,413.15,412.88,413.94,410.93,414.39,416.21,414.93,412.28,411.27,407.48,409.11,409.57,410.19,413.04,411.16,410.62,409.00,406.31,404.18,409.31,404.48,398.44,396.67,L7
2000-05-15 22:09:42+00:00,408.62,409.21,411.26,409.80,412.43,413.35,416.76,418.52,419.50,417.27,416.11,416.56,416.67,417.63,423.21,423.25,425.96,421.19,420.24,419.04,417.32,415.94,413.67,414.85,410.24,401.02,395.06,392.58,395.35,399.53,406.85,409.48,413.52,412.06,409.18,406.57,405.56,402.66,403.31,405.20,405.83,401.57,404.38,399.61,401.40,401.65,402.61,400.72,397.09,396.65,399.78,402.41,402.95,416.57,413.12,414.52,425.34,420.34,412.95,409.03,402.92,392.74,393.57,392.58,393.47,394.85,399.54,399.27,400.62,404.97,409.42,413.03,414.32,413.31,414.89,413.36,417.19,419.17,416.15,413.66,413.17,410.43,408.37,408.34,410.98,413.23,411.17,411.14,408.67,407.24,404.53,407.00,404.21,399.39,398.51,L7
2000-08-03 22:08:44+00:00,407.17,407.70,409.21,407.21,410.44,411.57,416.13,417.40,415.85,413.97,413.59,414.87,415.45,415.51,422.44,422.00,419.75,421.19,420.24,419.04,417.32,415.94,413.67,414.85,410.24,401.02,395.06,392.58,395.35,399.53,406.85,409.48,413.52,412.06,409.18,406.57,405.56,402.66,403.31,405.20,405.83,401.57,404.38,399.61,401.40,401.65,402.61,400.72,393.20,392.12,396.46,401.73,402.95,413.49,409.35,414.52,425.34,420.34,412.95,409.03,402.92,392.74,393.57,392.58,393.47,394.85,399.54,399.27,400.62,404.97,409.42,413.03,414.32,413.31,414.89,413.36,417.19,417.42,413.41,411.16,408.21,406.08,407.88,408.11,407.58,410.67,409.50,410.00,408.81,408.80,406.54,408.31,403.89,399.25,397.89,L7
2000-08-19 22:08:38+00:00,403.85,402.66,406.56,403.66,405.28,406.91,412.48,414.72,411.55,411.65,413.31,413.10,414.50,415.05,419.72,418.70,414.19,413.28,413.51,414.47,411.07,409.35,410.29,412.19,406.41,400.67,394.86,392.53,395.21,403.33,402.68,408.56,414.54,409.26,406.36,406.75,406.39,405.23,408.38,408.44,409.39,405.03,408.66,402.84,403.70,403.88,398.94,397.00,391.82,389.54,393.22,398.59,393.03,403.22,403.65,406.23,416.51,419.21,412.03,408.15,402.44,391.86,390.29,389.07,389.81,391.69,401.11,400.40,402.16,409.54,405.61,411.25,410.99,411.09,412.05,409.09,411.84,414.00,411.27,410.03,406.75,404.78,405.00,405.75,406.46,410.08,408.19,409.55,408.43,408.48,405.94,405.20,403.52,398.60,398.87,L7
2000-09-04 22:08:22+00:00,401.84,401.28,404.75,403.05,404.81,407.03,412.43,414.03,409.92,410.74,413.42,413.06,416.15,414.48,417.41,416.02,412.47,411.30,410.75,412.17,408.76,407.04,408.75,411.09,404.71,398.65,390.92,389.82,391.60,401.94,403.88,409.94,414.38,408.86,403.11,402.39,399.92,400.12,402.72,402.26,402.46,402.15,405.29,400.15,398.18,397.18,393.80,393.92,389.13,386.79,389.13,394.41,390.60,401.12,401.30,404.42,414.41,418.60,414.41,412.34,406.43,390.14,393.36,392.27,391.03,392.64,399.31,399.35,403.11,408.19,407.23,410.04,408.29,407.79,409.73,408.24,408.08,411.59,411.81,410.65,406.45,403.12,402.65,404.01,405.26,407.02,407.19,409.24,409.73,410.08,406.98,405.97,405.29,400.42,399.13,L7
2000-10-22 22:07:50+00:00,397.76,397.50,400.70,400.93,402.91,405.67,410.63,412.07,408.85,409.68,412.33,412.04,415.35,415.69,417.83,414.79,411.70,409.57,409.91,409.54,404.56,403.43,406.18,409.04,403.48,398.30,391.91,389.63,393.08,401.93,403.90,407.33,411.39,406.52,401.96,400.48,398.30,400.13,400.81,400.36,401.55,400.56,402.24,398.11,395.40,394.63,391.66,391.16,387.27,385.74,387.36,391.41,387.08,396.38,398.33,403.68,412.82,416.42,413.31,410.55,402.53,386.37,390.09,390.43,388.26,389.33,395.21,396.69,400.87,404.61,405.78,406.93,405.13,405.51,408.29,406.17,405.53,407.53,406.91,406.21,403.13,400.83,400.58,402.23,403.34,404.55,406.05,408.01,407.22,407.29,404.18,403.69,400.92,397.19,398.65,L7
2001-01-26 22:08:07+00:00,393.26,392.73,397.00,397.66,399.78,402.00,409.43,411.02,405.91,406.47,411.14,410.61,415.56,415.48,416.96,410.79,406.69,404.72,403.11,403.10,398.63,398.91,402.05,405.53,399.00,395.51,387.14,385.56,388.30,399.53,402.78,406.40,410.33,404.74,400.67,398.59,397.51,401.30,400.76,398.88,398.86,398.86,399.47,397.19,392.91,391.86,388.56,386.88,382.21,380.39,382.48,387.81,383.23,394.55,393.80,398.94,407.28,415.08,414.80,414.71,406.99,386.33,389.35,389.67,385.12,386.41,390.13,392.42,396.81,399.47,400.62,401.82,399.57,399.06,402.50,400.71,397.99,400.81,401.81,402.02,397.82,396.04,397.55,398.02,398.21,400.13,401.83,405.48,407.88,408.39,406.39,405.26,401.18,398.40,397.82,L7
2001-06-03 22:07:16+00:00,397.15,401.41,405.07,400.72,403.18,401.17,407.86,412.97,410.54,411.94,414.12,415.10,415.95,415.57,419.11,412.89,412.20,409.69,404.25,402.65,403.66,403.93,405.20,409.83,405.08,402.19,391.16,389.87,390.96,398.33,401.93,403.20,408.47,407.46,407.39,404.48,405.31,409.31,410.65,407.46,404.00,402.31,402.02,400.34,397.81,404.81,405.27,399.62,391.80,392.15,396.41,404.88,407.91,428.61,410.82,411.16,420.85,424.35,410.71,413.56,414.24,387.89,387.19,389.84,388.14,388.06,387.91,387.52,389.17,390.44,391.10,396.12,400.55,400.19,402.51,406.89,409.49,406.23,406.18,405.81,402.94,405.71,405.45,403.71,405.22,413.08,405.35,409.42,415.84,415.02,414.88,412.97,407.77,404.61,398.62,L7
