dates,satname,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0005,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029
1999-07-20 21:46:27+00:00,L7,373.58,366.16,352.08,351.52,294.63,328.38,323.47,306.26,301.95,305.72,312.45,315.75,320.73,324.78,327.65,307.49,317.09,316.62,,334.93,,,,,,,304.47,311.31,302.32,291.39
1999-08-05 21:46:35+00:00,L7,,,,,,,,,,,310.76,311.09,313.49,320.09,327.61,322.76,314.69,313.24,310.64,309.79,310.46,315.27,312.98,311.91,313.32,306.37,303.99,304.54,297.29,279.75
1999-08-21 21:46:33+00:00,L7,401.36,385.34,369.46,349.84,358.72,358.29,343.64,337.16,336.75,318.45,331.47,330.90,328.52,337.40,340.98,340.17,337.94,331.16,328.75,325.85,328.80,327.98,325.17,329.66,335.47,327.02,320.39,322.58,319.07,323.75
2000-03-16 21:46:15+00:00,L7,,381.71,370.01,354.59,341.43,354.10,340.92,331.40,319.25,319.74,323.86,327.85,329.46,335.97,338.28,334.17,328.34,321.82,322.31,323.35,321.39,319.44,313.77,319.44,323.97,316.88,321.08,321.07,310.10,311.38
2000-04-01 21:46:10+00:00,L7,392.03,378.80,380.16,352.01,308.67,,312.98,312.77,310.63,313.52,316.56,319.47,323.61,334.32,340.33,331.28,321.37,323.11,322.30,323.02,321.83,319.79,324.25,323.92,327.22,320.86,320.46,323.30,313.69,318.21
2000-05-03 21:45:55+00:00,L7,389.47,380.48,369.28,350.28,339.87,340.26,298.79,299.54,298.31,299.71,305.77,299.01,306.00,305.27,293.47,292.63,295.23,288.98,,,310.35,303.69,314.40,327.83,321.98,319.31,320.92,322.91,317.07,308.23
2000-05-19 21:45:43+00:00,L7,377.25,364.42,352.07,343.34,344.42,336.43,322.08,321.43,311.73,310.27,312.42,309.87,313.52,323.07,328.98,321.09,314.65,310.62,313.22,311.13,313.13,307.95,310.00,307.93,310.81,305.16,304.09,310.65,305.14,277.31
2000-06-04 21:45:32+00:00,L7,,,,,,,,,,,,,304.11,309.47,305.81,299.18,289.95,291.91,290.86,286.11,288.33,283.93,283.74,280.54,285.69,286.01,288.46,289.07,271.18,
2000-08-07 21:44:45+00:00,L7,,,,,,,,,,,,,309.49,317.59,327.35,308.51,309.83,313.22,305.09,304.93,310.54,309.08,304.37,300.61,294.68,299.76,310.43,298.17,301.24,295.86
2000-09-24 21:44:07+00:00,L7,417.60,412.34,415.94,384.80,345.94,350.05,339.79,331.81,323.53,321.18,325.88,325.23,330.14,334.91,337.05,330.30,325.30,,,,,,,,317.14,310.93,317.19,318.85,316.40,317.15
2001-01-14 21:44:09+00:00,L7,367.49,362.78,317.37,283.13,310.60,322.50,311.15,301.11,295.29,293.11,296.81,294.34,299.70,305.63,307.90,299.43,298.20,295.58,294.52,292.86,290.86,288.34,290.46,285.21,289.70,287.49,285.77,288.07,282.33,273.79
2001-04-04 21:43:43+00:00,L7,419.83,427.57,405.90,396.68,350.78,358.97,348.24,336.86,330.28,334.62,333.65,336.99,338.26,341.78,350.04,336.19,332.41,329.25,332.34,329.52,328.90,327.67,318.38,318.04,325.23,324.57,320.75,323.46,320.80,325.56
