dates,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0005,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029,satname
1999-07-20 21:46:27+00:00,371.58,364.41,349.75,349.19,,326.98,322.20,304.26,299.95,303.72,311.18,314.48,319.33,323.51,326.25,306.09,315.69,315.22,,333.18,,,,,,,303.20,309.56,300.57,289.06,L7
1999-08-05 21:46:35+00:00,,,,,,,,,,,307.49,307.82,309.89,316.82,324.01,319.16,311.09,309.64,307.04,305.29,306.46,310.77,308.48,307.41,309.32,302.77,300.72,300.04,292.79,273.75,L7
1999-08-21 21:46:33+00:00,387.93,373.59,353.79,334.17,345.29,348.89,335.09,323.73,323.32,305.02,322.92,322.35,319.12,328.85,331.58,330.77,328.54,321.76,319.35,314.10,318.36,316.23,313.42,317.91,325.03,317.62,311.84,310.83,307.32,308.08,L7
2000-03-16 21:46:15+00:00,,365.46,348.34,332.92,322.86,341.10,329.10,312.83,300.68,301.17,312.04,316.03,316.46,324.15,325.28,321.17,315.34,308.82,309.31,307.10,306.95,303.19,297.52,303.19,309.53,303.88,309.26,304.82,293.85,289.71,L7
2000-04-01 21:46:10+00:00,378.60,367.05,364.49,336.34,295.24,,304.43,299.34,297.20,300.09,308.01,310.92,314.21,325.77,330.93,321.88,311.97,313.71,312.90,311.27,311.39,308.04,312.50,312.17,316.78,311.46,311.91,311.55,301.94,302.54,L7
2000-05-03 21:45:55+00:00,382.90,374.73,361.61,342.61,333.30,335.66,294.61,292.97,291.74,293.14,301.59,294.83,301.40,301.09,,288.03,290.63,284.38,,,305.24,297.94,308.65,322.08,316.87,314.71,316.74,317.16,311.32,300.56,L7
2000-05-19 21:45:43+00:00,385.82,371.92,362.07,353.34,352.99,342.43,327.53,330.00,320.30,318.84,317.87,315.32,319.52,328.52,334.98,327.09,320.65,316.62,319.22,318.63,319.80,315.45,317.50,315.43,317.48,311.16,309.54,318.15,312.64,287.31,L7
2000-06-04 21:45:32+00:00,,,,,,,,,,,,,316.71,320.92,318.41,311.78,302.55,304.51,303.46,301.86,302.33,299.68,299.49,296.29,299.69,298.61,299.91,304.82,286.93,,L7
2000-08-07 21:44:45+00:00,,,,,,,,,,,,,306.09,314.50,323.95,305.11,306.43,309.82,301.69,300.68,306.76,304.83,300.12,296.36,290.90,296.36,307.34,293.92,296.99,290.19,L7
2000-09-24 21:44:07+00:00,395.31,392.84,389.94,358.80,323.65,334.45,325.61,309.52,301.24,298.89,311.70,311.05,314.54,320.73,321.45,314.70,309.70,,,,,,,,299.81,295.33,303.01,299.35,296.90,291.15,L7
2001-01-14 21:44:09+00:00,390.06,382.53,343.70,,333.17,338.30,325.51,323.68,317.86,315.68,311.17,308.70,315.50,319.99,323.70,315.23,314.00,311.38,310.32,312.61,308.42,308.09,310.21,304.96,307.26,303.29,300.13,307.82,302.08,300.12,L7
2001-04-04 21:43:43+00:00,400.12,410.32,382.90,373.68,331.07,345.17,335.69,317.15,310.57,314.91,321.10,324.44,324.46,329.23,336.24,322.39,318.61,315.45,318.54,312.27,313.57,310.42,301.13,300.79,309.90,310.77,308.20,306.21,303.55,302.56,L7
2001-04-20 21:43:46+00:00,395.76,382.36,396.60,380.21,329.63,336.27,326.99,310.96,303.50,305.43,310.61,310.14,316.53,323.49,324.74,322.34,310.07,312.91,311.38,309.37,308.17,305.15,302.03,306.47,307.28,309.77,310.34,314.59,299.84,296.59,L7
2001-05-22 21:43:30+00:00,,,,,,,,,,,,,312.90,327.18,328.65,322.77,317.65,315.13,310.27,311.94,313.63,308.11,306.87,310.12,310.23,308.47,305.13,318.70,301.60,298.09,L7
2001-07-25 21:42:54+00:00,,,,,,,,,,,,,317.16,321.76,327.97,319.81,316.43,309.17,311.25,316.54,311.64,313.10,312.14,310.88,310.36,309.58,307.08,305.15,302.19,298.98,L7
2001-08-10 21:42:36+00:00,,,,,,310.25,310.46,306.27,302.94,300.89,306.27,306.34,313.09,320.36,324.74,315.89,312.56,311.52,307.87,308.20,302.52,305.15,301.87,302.45,304.86,295.83,292.30,299.20,,,L7
2001-08-26 21:42:25+00:00,378.30,387.50,,,335.31,336.75,325.97,308.56,306.71,308.56,312.04,312.55,312.09,323.48,330.20,323.88,318.99,317.32,316.36,311.72,312.38,303.52,303.18,306.81,306.50,307.35,309.90,308.42,301.20,289.48,L7
2001-09-27 21:42:05+00:00,437.04,392.66,403.96,371.82,357.27,350.17,343.55,333.97,323.19,320.22,333.85,333.86,336.27,338.13,341.66,330.37,333.16,325.86,322.13,322.35,325.58,321.36,310.73,316.77,322.77,321.90,320.47,313.55,316.85,328.89,L7
2001-10-13 21:41:51+00:00,399.14,370.32,367.49,353.71,346.25,348.78,336.09,319.91,311.49,316.24,326.58,325.88,326.06,330.08,331.75,324.09,318.84,316.31,316.85,309.74,309.32,303.25,302.22,303.67,310.58,307.73,311.14,307.16,296.54,301.45,L7
2001-10-29 21:41:57+00:00,379.88,353.14,344.44,337.65,336.45,344.30,333.18,316.25,311.74,315.37,321.01,324.47,325.90,329.78,334.77,327.26,320.20,315.99,317.27,313.51,313.82,316.06,,,,,,,,,L7
