dates,satname,sar2467-0000,sar2467-0001,sar2467-0002,sar2467-0003
1984-04-13 09:26:43+00:00,L5,260.03,229.98,186.95,223.88
1984-05-06 09:33:03+00:00,L5,261.58,235.34,188.66,216.73
1984-05-31 09:27:59+00:00,L5,,,,
1984-06-07 09:33:54+00:00,L5,259.29,225.20,184.16,220.89
1984-07-18 09:28:22+00:00,L5,261.05,233.21,194.87,229.25
1984-08-03 09:29:20+00:00,L5,274.28,238.19,187.49,224.58
1984-08-26 09:35:45+00:00,L5,258.86,231.95,186.40,222.97
1984-09-04 09:29:37+00:00,L5,260.35,233.28,181.66,226.22
1984-09-11 09:35:50+00:00,L5,273.53,235.30,185.85,226.66
1984-09-20 09:30:04+00:00,L5,274.62,241.36,188.28,220.66
1984-10-13 09:35:49+00:00,L5,254.93,227.04,180.82,223.60
1984-10-22 09:30:00+00:00,L5,273.63,238.11,249.88,217.17
1984-11-07 09:29:53+00:00,L5,274.42,233.32,184.43,218.65
1984-12-09 09:29:34+00:00,L5,259.20,228.08,180.31,229.41
1985-01-17 09:36:05+00:00,L5,273.73,229.71,176.41,229.22
1985-02-02 09:36:09+00:00,L5,256.44,228.32,185.28,225.21
1985-03-15 09:29:58+00:00,L5,260.94,231.53,181.50,222.77
1985-04-23 09:35:59+00:00,L5,260.13,227.68,183.30,217.71
1985-05-02 09:30:07+00:00,L5,258.77,236.67,181.41,214.29
1985-06-03 09:30:04+00:00,L5,265.41,234.23,181.25,214.84
1985-06-10 09:35:50+00:00,L5,259.28,229.92,176.22,209.59
1985-06-26 09:35:47+00:00,L5,259.57,219.69,171.14,222.12
1985-07-05 09:29:57+00:00,L5,273.66,240.33,182.89,208.86
1985-08-13 09:35:25+00:00,L5,257.51,229.36,183.47,221.99
1985-08-22 09:29:32+00:00,L5,259.10,235.70,184.94,222.36
1985-11-10 09:28:33+00:00,L5,273.65,237.20,188.72,215.82
1985-12-03 09:33:55+00:00,L5,275.23,229.48,188.20,222.85
1986-01-04 09:33:20+00:00,L5,,278.73,167.23,130.48
1986-01-13 09:27:22+00:00,L5,273.10,235.57,191.50,217.75
1986-03-25 09:31:37+00:00,L5,260.18,240.05,172.64,219.23
1986-05-12 09:30:29+00:00,L5,260.85,227.96,178.66,224.51
1986-05-21 09:24:03+00:00,L5,260.09,234.57,182.04,216.43
1986-06-22 09:23:04+00:00,L5,259.83,232.50,187.36,219.91
1986-07-08 09:22:57+00:00,L5,258.38,228.61,184.92,225.69
1986-07-24 09:21:59+00:00,L5,259.63,229.67,184.18,223.76
1986-07-31 09:27:55+00:00,L5,259.15,232.43,183.59,216.97
1986-08-16 09:27:20+00:00,L5,272.23,234.04,188.33,224.78
1986-09-10 09:20:39+00:00,L5,258.53,235.29,184.94,212.01
1986-09-17 09:26:13+00:00,L5,,,238.38,
1986-09-26 09:19:45+00:00,L5,273.38,226.10,182.32,223.16
1986-10-12 09:19:38+00:00,L5,262.10,237.00,183.51,218.77
1987-01-07 09:25:13+00:00,L5,261.11,231.23,184.28,223.27
1987-01-16 09:19:18+00:00,L5,136.25,231.63,138.68,214.29
1987-02-08 09:26:31+00:00,L5,178.35,296.40,167.97,225.80
1987-03-21 09:21:38+00:00,L5,275.35,241.11,182.98,220.93
1987-04-06 09:22:36+00:00,L5,272.31,230.60,183.30,227.15
1987-04-29 09:29:06+00:00,L5,274.65,230.33,184.39,225.20
1987-05-15 09:29:33+00:00,L5,259.71,230.29,182.09,221.75
1987-06-09 09:23:59+00:00,L5,259.44,229.11,186.06,223.25
1987-06-16 09:30:19+00:00,L5,260.72,229.07,182.12,212.65
1987-06-25 09:24:20+00:00,L5,273.18,235.76,189.66,224.51
1987-07-02 09:30:39+00:00,L5,256.23,228.30,177.96,216.31
1987-07-11 09:25:03+00:00,L5,259.98,240.66,182.83,219.14
1987-07-18 09:30:57+00:00,L5,259.70,236.44,190.23,231.55
1987-07-27 09:25:01+00:00,L5,260.69,229.57,187.37,221.73
1987-08-03 09:31:25+00:00,L5,259.14,234.16,181.67,220.24
1987-08-12 09:25:31+00:00,L5,260.01,240.51,182.55,215.62
1987-08-19 09:31:54+00:00,L5,259.79,231.84,181.50,219.42
1987-09-04 09:32:19+00:00,L5,263.82,240.39,183.37,209.57
1987-09-13 09:26:45+00:00,L5,258.74,233.60,184.29,218.24
1987-11-16 09:27:39+00:00,L5,275.53,243.46,185.81,220.42
1987-12-02 09:28:18+00:00,L5,260.67,229.04,189.36,221.53
1988-01-10 09:34:42+00:00,L5,258.32,225.83,190.03,228.26
1988-01-19 09:28:41+00:00,L5,260.40,100.07,352.49,252.89
1988-02-11 09:35:17+00:00,L5,258.88,221.17,187.01,225.72
1988-02-20 09:29:38+00:00,L5,261.47,239.27,186.42,219.86
1988-03-14 09:35:39+00:00,L5,257.71,232.87,181.13,226.11
1988-04-15 09:35:50+00:00,L5,276.34,246.26,183.15,213.57
1988-04-24 09:30:07+00:00,L5,273.25,240.89,185.20,210.68
1988-05-17 09:36:08+00:00,L5,258.55,225.35,176.91,218.76
1988-06-02 09:36:14+00:00,L5,,,,
1988-06-11 09:30:05+00:00,L5,272.16,231.98,188.56,217.57
1988-06-18 09:36:19+00:00,L5,,,,
1988-07-04 09:36:24+00:00,L5,262.07,232.71,187.80,221.54
1988-07-13 09:30:15+00:00,L5,272.28,232.08,185.39,218.76
1988-07-29 09:30:18+00:00,L5,242.29,214.57,166.41,229.02
1988-08-05 09:36:28+00:00,L5,,,,
1988-08-14 09:30:16+00:00,L5,261.54,236.36,196.43,217.40
1988-08-21 09:36:29+00:00,L5,257.92,225.30,187.98,227.83
1988-08-30 09:30:21+00:00,L5,255.87,226.52,174.61,224.70
1988-09-06 09:36:31+00:00,L5,,,,
1988-09-15 09:30:17+00:00,L5,259.53,233.38,181.50,229.62
1988-09-22 09:36:26+00:00,L5,273.72,233.06,180.02,215.56
1988-10-08 09:36:21+00:00,L5,256.43,220.92,178.23,233.28
1988-11-02 09:30:10+00:00,L5,257.97,233.04,171.06,213.20
1988-12-04 09:30:29+00:00,L5,259.84,236.62,183.19,213.25
1988-12-11 09:36:09+00:00,L5,275.70,233.58,179.00,216.83
1989-01-12 09:35:56+00:00,L5,255.18,256.22,199.09,227.43
1989-01-28 09:35:43+00:00,L5,257.95,229.65,189.75,221.08
