dates,nzd0208-0000,nzd0208-0001,nzd0208-0002,nzd0208-0003,nzd0208-0004,nzd0208-0005,nzd0208-0006,nzd0208-0007,nzd0208-0008,nzd0208-0009,nzd0208-0010,nzd0208-0011,nzd0208-0012,nzd0208-0013,nzd0208-0014,nzd0208-0015,nzd0208-0016,nzd0208-0017,nzd0208-0018,nzd0208-0019,nzd0208-0020,nzd0208-0021,nzd0208-0022,nzd0208-0023,nzd0208-0024,nzd0208-0025,nzd0208-0026,nzd0208-0027,nzd0208-0028,nzd0208-0029,nzd0208-0030,nzd0208-0031,nzd0208-0032,nzd0208-0033,satname
1999-08-21 21:46:33+00:00,363.42,363.88,362.89,363.66,370.14,372.87,374.05,367.45,363.84,361.81,359.33,357.93,347.57,354.95,359.50,364.63,371.46,375.03,366.95,355.83,353.04,344.15,344.57,343.09,347.28,349.37,335.07,,,364.34,377.30,384.07,382.77,366.73,L7
1999-09-22 21:46:36+00:00,389.11,373.39,377.47,371.84,381.15,379.78,383.32,385.43,388.63,386.58,383.32,383.81,379.57,377.26,376.68,378.70,380.60,391.15,384.28,371.56,369.75,359.53,355.81,361.32,361.80,366.43,370.26,372.52,374.59,378.38,385.71,394.60,411.10,372.27,L7
1999-10-24 21:46:32+00:00,391.61,376.18,377.46,379.28,382.15,384.69,392.00,390.41,388.30,382.16,378.52,380.57,376.80,382.36,380.57,385.80,389.63,391.20,384.48,376.71,371.47,366.02,361.28,369.17,373.86,374.53,375.17,381.88,383.65,385.50,387.77,400.88,404.22,383.63,L7
2000-05-03 21:45:55+00:00,394.81,386.63,382.69,378.57,378.27,385.97,392.24,388.33,380.83,374.56,370.30,370.83,360.49,369.83,374.14,377.29,381.95,387.09,377.69,370.37,364.94,359.18,355.37,357.42,357.25,357.78,365.21,,,,,,,,L7
2000-05-19 21:45:43+00:00,383.26,380.87,371.47,373.40,374.99,378.32,381.91,377.32,371.97,365.07,366.25,360.61,354.44,362.17,366.95,372.24,371.75,374.95,366.22,362.29,353.49,347.16,344.96,345.35,350.69,351.61,355.54,,,,,,,,L7
2000-07-06 21:45:15+00:00,391.06,388.42,379.14,380.93,385.18,388.11,391.49,383.21,365.68,362.84,369.12,370.43,366.20,371.46,374.81,379.35,382.72,391.39,382.17,377.68,361.34,364.30,346.72,355.99,355.43,358.11,365.86,371.45,372.54,379.00,360.01,358.17,,370.29,L7
2000-08-07 21:44:45+00:00,393.92,389.21,381.10,381.71,378.93,381.15,390.30,386.97,384.94,379.27,373.24,371.33,367.91,373.26,377.30,380.12,384.25,389.75,380.49,378.09,371.01,360.27,362.97,361.58,362.82,363.80,368.06,373.87,,,,,,,L7
2000-09-24 21:44:07+00:00,,,,,374.99,377.68,390.28,384.76,373.50,363.18,368.41,370.16,363.89,360.90,372.28,376.20,376.56,380.22,374.32,367.38,360.68,359.05,360.58,356.91,358.39,356.45,365.80,371.22,370.85,375.52,369.96,384.05,,387.59,L7
2001-03-03 21:44:00+00:00,395.38,392.64,386.86,386.09,390.84,391.42,398.08,395.98,388.36,386.25,384.11,384.96,382.97,387.77,391.15,394.83,394.72,406.44,399.20,390.00,380.91,375.27,377.97,374.19,376.12,378.94,384.19,385.26,386.88,385.21,378.49,378.31,378.36,380.13,L7
2001-04-04 21:43:43+00:00,396.21,376.92,379.86,379.10,378.90,385.69,392.29,383.50,376.84,379.35,376.29,369.08,375.32,367.44,375.24,376.18,380.23,386.96,387.79,380.48,368.22,364.71,361.14,363.70,362.58,367.70,370.46,371.24,369.68,373.52,368.52,375.38,371.37,393.34,L7
