,dates,chi0112-0000,chi0112-0001,chi0112-0002,chi0112-0003,chi0112-0004,chi0112-0005,chi0112-0006,chi0112-0007,chi0112-0008,chi0112-0009,chi0112-0010,chi0112-0011,chi0112-0012,chi0112-0013,chi0112-0014,chi0112-0015,chi0112-0016,chi0112-0017,chi0112-0018,chi0112-0019,chi0112-0020,chi0112-0021,chi0112-0022,chi0112-0023,chi0112-0024,chi0112-0025,chi0112-0026,chi0112-0027,chi0112-0028,chi0112-0029,chi0112-0030,chi0112-0031,chi0112-0032,chi0112-0033,chi0112-0034,chi0112-0035,chi0112-0036,chi0112-0037,chi0112-0038
0,1984-07-15 14:11:57+00:00,,215.13211588053468,224.24281877048898,218.3307750893108,226.046013102897,225.10369600164836,225.03326632737406,214.80878890336032,212.55638040803296,220.83546340119844,229.64090292064395,231.02552738819568,230.60458006758037,228.9931991807206,232.41449813987836,235.3707126229772,229.84994465663647,226.2691263350339,226.44101024996934,227.009793406681,224.76529916244624,216.69527823395546,215.5024724310592,219.2590411321999,213.4058345550133,210.6934776806632,208.68284642565425,215.2440587266744,213.34336677981673,218.29624380530925,220.64839211358216,224.14109609313624,221.07659685244363,231.13066840808344,239.24419103843357,237.8541120195327,232.1900910698051,235.5112044489346,236.51690388361754
1,1986-07-30 13:59:17+00:00,,219.0714895706097,220.2293940040761,222.9136531388958,221.26874722113436,225.69392400792017,219.23377199315783,203.72427691825987,198.38762342567662,,,,239.19961888923763,231.87930282877895,231.4379405679283,237.92737066976375,226.9938539334608,224.77532986465462,225.1206853518086,226.01911547196084,223.74943030880206,214.9653345473313,218.16339860274752,216.65662617979027,215.81837889615664,215.14475870047107,215.43430077368058,221.16764732335164,220.62060184809098,222.20628068791322,229.54142882675586,233.05937346199417,238.8881814590835,240.2509983756219,248.27212961006506,249.2673990943858,239.51126682396526,236.88784907471177,243.5231230010701
2,1986-09-07 14:04:01+00:00,238.067914247977,229.72244343874132,229.09364323977337,227.79642295790904,227.93482515736488,227.97468508530852,227.35744164011106,219.2943665900652,222.0489331219647,226.5853747531049,234.6768504991498,234.49786335168167,231.3636111202239,227.3826998343083,231.68800551500684,235.7012225731826,228.76913893196036,224.35055487240217,226.12161233863233,230.48253499521692,224.346633227235,218.9413348359634,218.30488486463048,219.6903099853179,215.37700426787606,216.01626791237572,214.98530699894977,218.36335883787837,217.73744048788265,219.96875139384846,222.8958224511096,230.20051614310887,233.62546919206284,231.31768027603084,236.98841731195273,238.2630484666119,234.8373342514074,235.7623279725626,240.56924569472946
3,1986-09-16 13:57:34+00:00,227.81044579955562,223.73541845082934,219.73666565302224,223.982712174485,225.3966187061931,225.76852490832317,219.1247354425536,214.44199244589504,211.209331054079,213.59214918805395,229.72180785394423,227.45365344092525,222.61031400728123,222.6229513396411,227.047847161566,228.25726572882436,223.13648882095904,220.02129034795126,219.36653366904454,220.74116116559406,220.17723807013448,214.5878598423296,215.36066519141102,215.53791683337133,210.79981554115568,,,,,,,,,226.78355061420228,231.6177996363236,235.44188599836477,230.05456289224864,228.91569949216364,236.7798184478322
4,1986-10-18 13:56:32+00:00,224.19987045260328,221.63355114216367,215.76762990455592,221.54624139561162,220.1660095957889,220.9552258958984,216.0636041273211,207.58056346575015,209.12813344548871,212.14489819586174,227.23527089514295,225.7488200112604,218.6642142484663,220.40833494437084,224.15049312106603,227.22661080128134,223.66447823028759,220.9654309608322,221.89797559643043,223.04302891801444,221.29654419384124,216.15600735342483,215.82222562128445,215.8743935230305,209.68702672810716,205.67662370523362,206.72286289246267,208.7600774620087,207.80913526807805,213.4616055300706,217.74625697985422,223.2509321598119,224.4442105583046,228.42431033217036,227.94088119127497,227.53810110819063,228.5074613346152,225.25083903131204,231.13690743390916
5,1986-11-03 13:55:58+00:00,235.8720920277323,233.59029024596265,230.21784829250035,231.96470873240494,231.9649078240267,234.34283400716598,227.84197242546085,224.07034249544205,223.68905567550024,225.1963744876916,238.62237660669524,239.59345997911018,232.13692816924384,234.22006221956943,232.61744355653,239.65920258761375,228.27236338567113,228.7286884499909,227.59381265053995,231.53789789489824,225.73883534804278,224.25552300996048,218.70270601064254,220.04155839968544,215.44240372085864,214.4898008697191,215.88302556208802,215.91755458393635,220.69436773694395,218.47946069692276,221.3043932059844,225.9080420469975,229.34334868582752,234.55641429243047,240.14232162095004,243.50528543232664,239.90722028629466,238.1257369407447,249.11821593897722
6,1986-11-10 14:01:53+00:00,227.5738768705995,225.70275122596794,218.618079423602,226.10111772587192,217.32012133170207,224.06022251706113,210.8569883125479,204.03538190197474,201.95299923678678,208.44106598578742,228.7722944416017,221.81062438664935,221.18034852142506,213.6836166370469,218.5178143010897,221.30468430439504,218.75304848133337,212.8046459098028,212.32849155183544,214.17144323555434,210.2542687234414,211.63491190706833,206.11759936362245,209.45172984083166,202.18688880991056,201.45643282232638,200.4442275804887,201.22185030407036,201.87613071327468,199.36474195419115,206.58343494872545,210.26926930784674,214.96292516831414,217.30975371196874,222.96220053393142,226.03118029149968,221.9852360603335,223.14790491724034,224.43809081544055
7,1987-02-07 13:57:33+00:00,231.62061110673957,237.78766356652298,234.76358806601897,233.88638985375863,231.11255380918053,233.13700245480038,227.26159257315052,226.63539955100478,221.29111698709448,225.91334563564746,242.06053623212796,239.8826588198052,236.97491756481125,230.1979028088512,233.99928788428767,236.68992723192412,231.63455207229023,229.04567803599875,224.94236425929634,229.14225422406238,230.85600977147956,228.2475733996541,226.22903886372504,228.91089622327686,223.78581398471493,219.08898134773813,215.75875082940908,223.34781795956576,222.02012119376894,222.06019709086831,222.3099235944772,224.77406170221155,227.47044312502493,234.05901466096805,239.7220543726062,241.31204807209917,242.11039956198766,238.20014877373384,243.39162670173366
8,1987-03-18 14:05:13+00:00,243.60796650820149,232.08544340941728,228.7085191668076,225.79513805498334,232.34241796134137,232.71775805787257,228.21158451344036,221.52941037333395,223.45068976708856,223.96139098090543,236.17907008746184,234.10936668149867,235.5047122148831,232.87771788785966,230.03226326027084,233.3214289253913,234.4870826495565,230.95554563888857,231.8797910715328,234.68831891125055,237.86275375631004,233.16904574113548,228.25198335371195,233.48222512356364,225.489587384151,225.1245210567586,217.52796021664727,219.37480430411387,214.4262351829365,214.16413728289967,218.46078986441876,228.6622354988168,231.78199355609246,242.23704349664303,251.43597838930089,251.1851501065443,252.4861581226459,247.22246175152918,250.19359013167946
9,1987-10-21 14:04:37+00:00,228.92748736754712,230.13408262275883,224.76152175001005,224.06822348787696,221.5336828608863,225.59122376161454,219.8921276379204,212.96827971570465,210.35783568127593,215.35348229608772,231.20497932393167,229.13567230432693,229.16784716328075,224.49604384325895,224.15274558730331,226.623471560527,225.13123031026527,221.29452962947053,218.6993862843759,220.35367336969543,217.48504409919238,212.52070894126638,211.42142878296949,216.52832663967027,210.29803146931604,205.54527890050622,209.0698360120842,210.063008472929,213.62859621858766,209.7925534312485,211.4376239353851,218.30803926074879,217.8339901782956,213.007810614397,223.95998928846365,232.13551464284814,228.50732083103384,226.9247795139478,225.47794033130782
