,dates,per0004-0000,per0004-0001,per0004-0002,per0004-0003,per0004-0004,per0004-0005,per0004-0006,per0004-0007,per0004-0008,per0004-0009,per0004-0010,per0004-0011,per0004-0012,per0004-0013,per0004-0014,per0004-0015,per0004-0016,per0004-0017,per0004-0018,per0004-0019,per0004-0020,per0004-0021,per0004-0022,per0004-0023,per0004-0024,per0004-0025,per0004-0026,per0004-0027,per0004-0028,per0004-0029,per0004-0030,per0004-0031,per0004-0032,per0004-0033,per0004-0034,per0004-0035,per0004-0036,per0004-0037,per0004-0038,per0004-0039,per0004-0040,per0004-0041,per0004-0042,per0004-0043,per0004-0044,per0004-0045,per0004-0046,per0004-0047,per0004-0048,per0004-0049,per0004-0050,per0004-0051,per0004-0052,per0004-0053,per0004-0054,per0004-0055,per0004-0056,per0004-0057,per0004-0058,per0004-0059,per0004-0060,per0004-0061,per0004-0062,per0004-0063,per0004-0064,per0004-0065,per0004-0066,per0004-0067,per0004-0068,per0004-0069,per0004-0070,per0004-0071,per0004-0072,per0004-0073,per0004-0074,per0004-0075,per0004-0076,per0004-0077,per0004-0078,per0004-0079,per0004-0080,per0004-0081,per0004-0082,per0004-0083,per0004-0084,per0004-0085,per0004-0086,per0004-0087,per0004-0088,per0004-0089,per0004-0090,per0004-0091,per0004-0092,per0004-0093,per0004-0094,per0004-0095,per0004-0096,per0004-0097,per0004-0098,per0004-0099,per0004-0100,per0004-0101,per0004-0102,per0004-0103,per0004-0104,per0004-0105,per0004-0106,per0004-0107,per0004-0108,per0004-0109,per0004-0110,per0004-0111
0,1985-03-27 15:04:03+00:00,221.18983456867534,231.84284464526138,244.6978831314919,262.72654996796547,294.4470472249586,,,,155.8778456326561,,,,,,,233.90148411140225,140.90065377526514,141.6450590031207,128.9553565926452,,363.04396106714756,311.50313430621014,251.47624854682311,,,315.2952740221574,,,,,208.54179051579715,199.12289220813003,182.75246528164885,179.07214965285965,172.86851753128897,164.7872876484455,162.58811300466732,172.6873951491097,170.8829165861493,171.63688940840285,169.6612564512484,179.04426703915027,165.30931283153734,147.48958206824628,145.89544920209826,153.85350997371918,144.875488727129,138.17844663099044,146.51860644796977,144.7291867955659,,112.2405784588528,132.90851726962103,142.0020966499528,97.23814089834063,88.13760680345511,91.16856437743265,98.6389745061144,99.47246620684132,100.45052186982643,99.32160778675718,106.63969920185528,126.48123699893974,138.79015473825436,145.30672752148593,133.163188554381,122.69865292997349,121.66646172024434,123.32970485383477,127.4231034378614,137.73715857712116,131.12097355005994,138.00457981591092,151.7605412161734,172.46392674135924,173.61051638367627,152.011882879833,134.04168848421952,131.41779725303874,139.42028348875846,,17.213996565341205,1.3318580201371644,,,,,,8.326085050591425,63.037688536293544,142.5732020789487,169.50700678963912,153.4791089910457,156.01611278884786,146.3178604517515,149.29417961530635,143.5738619525144,134.7382490521145,134.8281280920121,143.52589394429316,141.74345296642005,144.42838560382543,138.33200565400776,139.74256274227923,145.14978532442342,145.49702603940423,142.94443881993686,152.67525209034523,168.3197686520998,175.86577444460832,166.27261839176737,
1,1985-09-03 15:02:42+00:00,219.08064430104548,226.78770662227583,232.58902929008215,239.55981188775567,257.5580966992463,254.83981055453168,338.2753479422766,394.2949405649386,145.20223727127342,,,,,,,222.80727873627055,135.61861030053507,139.17737052813695,130.48800412809157,407.48356624762255,335.40358254514734,289.1581250625864,239.667234739263,,,346.4080399589329,293.02165926999,,,,,,,,,,,,,184.58243124964736,183.52085896727056,192.40010127220248,184.42141427363424,173.2332160765768,163.92369093191894,168.77661514188947,164.9410567064977,162.70818189586856,168.55120281301222,168.9556581592694,174.75660500611733,143.07254556992348,151.69821842448044,153.8578516314494,103.41355575987919,97.99248880269036,89.07624536297837,96.30072401487597,101.37243221835473,122.52193442716369,108.99100873507716,122.51056117752283,129.67124496148932,149.80598140059595,153.36666120966294,133.48630400820048,108.41759544302396,111.53471952117171,119.92470510793083,127.81106532815136,142.30177306392832,144.6832093601439,138.73579186437834,147.71565537446455,171.96138949180462,175.54628399434307,152.05448139308103,143.1072625030217,134.3753384268638,140.8111210584704,,24.272372642361702,1.995663496168023,,,,,,11.187133957207658,70.4635729949077,137.9319165721006,172.06707140338347,147.83356142621028,142.8923362395947,147.61005182590725,150.99126839169665,133.31528132026244,112.60550445676417,102.18123690935077,103.74464385391023,112.25880258916239,122.36405323116509,129.91211018088637,132.41682987179294,142.8631713585696,147.08149100109094,157.53537525852198,167.5526050996938,172.65716987659596,187.18367171930205,186.16062348087974,185.68287792023173
2,1986-01-09 15:00:46+00:00,221.8578301533599,231.85916881290652,223.2172985558268,219.41683613083325,226.7069297690772,232.9384929523953,295.4110058094041,354.3358740352655,384.90450486551924,,,,,62.689740495363445,,109.56971730272346,111.92319755552802,112.47890811685507,104.91694813685241,378.75075842269325,334.6762708260631,298.5168111154705,228.6096010720586,,,370.12316229932844,,276.0122692588819,,,224.7230018990806,208.62525205297018,202.67789060014388,201.24228615510188,191.26969510157252,184.87399508914578,178.34518337236517,187.83984281138433,171.69358927489188,166.31900155670516,169.6309946279226,181.0836201457372,176.53511663719095,161.97682263381327,158.26799782875602,159.20169909447586,152.3848476596755,145.47754826456642,147.11479075592243,154.38866864308122,157.31655755648714,133.7420613519663,142.9164626200367,137.62188022431693,89.78199897360359,91.88635145725632,94.87941644144733,95.74052698250325,88.45238848360661,86.35205273826944,87.26431306453267,78.02977558899036,88.41435686642012,101.53638801713527,96.87392185361043,,,97.57485342886388,114.98759544979995,121.96850333778815,139.289971077019,137.89664160072778,138.20750852106315,146.1055442052514,179.7746590657949,186.22281953442092,177.58544467275587,137.05980678764976,139.63756135032662,168.25591359978085,132.0287736780044,,-4.069489172054247,,,,,,12.606268627530605,64.13748643755483,131.15769013906075,175.42953430263324,152.32592198609535,136.63178177310317,138.44994885701348,150.4689568844303,139.40690610998075,104.10148483231795,97.03601111015998,106.04313602833821,108.24478584962743,114.92395628351633,120.02699562544424,120.23764159371578,127.55996843181882,128.3838994678569,135.20538947753133,147.83230049192005,169.9536656803631,183.71856113869876,174.17665753411208,152.2758671162573
3,1986-03-14 14:59:46+00:00,198.96502638927836,203.32585935178724,208.48007986612987,217.8609998997667,233.76683390727084,238.1973659497666,331.9399504634204,409.27658079067163,,,,,,68.50040893396731,121.22583878502856,111.7516032477093,108.26863446597635,105.28757611404569,93.99786015086316,,396.1338568768782,336.8815431188547,276.8003559899735,,388.1297788817539,355.1016766637989,,300.72224212077424,,,,239.06634682893795,237.10394858099605,241.04998701664138,240.00846299835507,229.35918822098654,206.03745046565297,199.10182619032426,194.6592140518888,189.23632446565102,192.76818142361722,191.9566658795878,188.3489222601429,182.5742047249608,178.6863759159352,177.9587525517091,161.03502115836378,156.9655122984617,158.68038655948817,160.4690172125037,159.69793468471352,138.92109399410944,157.12469698127052,159.2464014970865,125.31736056737596,121.47647118294243,122.94601514834879,129.2026925623433,120.70411555323652,115.09617005390844,114.77254294077017,111.22369691238458,126.99445026265909,142.07883838784193,144.43161681828144,130.06163115910852,114.4347904141667,114.40518692441617,123.1776619471714,126.1402661162853,142.05313854487795,137.1593455427332,135.35512833523063,147.20493126110532,178.72623390842824,178.53684585815694,157.8807780464165,126.51216102259599,130.0991889849913,146.2757407189703,,28.077206158819905,-2.6728302082771256,,,,,,6.803099346278774,,137.14120412076346,172.43012370395638,155.8954014692467,139.43441064676094,134.68597498099462,140.63626240309605,133.92968724209712,109.27559385560548,107.55576349227053,122.2547065228379,122.47886029316501,126.76154544711521,122.38670627884828,126.7489016515313,133.3785845136015,131.78160009434936,139.24987921299365,146.0891352325816,165.75444294423562,177.22053190947605,169.78482321994696,134.81487691342156
4,1986-05-17 14:58:17+00:00,196.93074709792202,206.4341784164022,213.85409880331687,221.60862489418668,235.83002284602765,252.32493023313782,329.4580913709745,394.3606432416979,422.63288395439804,,,,,60.04365824502697,119.55259324680088,116.47861525600656,118.42832604518642,112.57238433355636,117.11473053422682,,382.51635406196505,324.2529753495053,271.9206130857976,,381.4722781433584,356.7305201308857,,295.33739053238475,,,,260.388247487238,256.0132526148474,245.65748551739497,240.8075463122823,233.93373292445997,226.68298673799282,230.14076502541243,222.5483182512154,209.59235029737556,209.4543177070848,205.6527819581585,204.94269594659755,199.74320148392908,196.35857030574255,186.29479448127213,172.36740099675498,149.49536896129942,148.51733766303866,154.37965481314578,153.47838395380873,135.7522243845314,155.9845195329472,162.49991295791443,128.6198891251877,123.926031547419,121.14095473860498,128.51734302635225,130.8870044976121,136.34830491133533,130.54036080190957,132.1476836841927,136.22686231638866,140.78716812166138,145.3548864927052,123.84473182552503,107.93872065561531,111.96576837252705,118.60683730206465,124.09890032751431,137.5378070020348,128.59559963177912,127.87422940493751,142.3620584549147,163.9705181634102,167.3771020752163,145.24501871124977,114.05680144268906,124.68105971039016,125.7257150386069,,17.4076675589995,,,,,,,13.764301083623277,70.82448482143735,141.67673680302553,172.38610447056988,155.3095084133225,148.37452914627352,144.5666674834734,142.28056244476707,130.15798145574274,109.1630741542389,108.30003685502274,120.62949933745423,116.53012203657663,119.26206106087639,121.4977999421676,124.84491921748685,131.4721871974802,130.84556461509928,133.29591048884413,149.00687041703566,168.74894860014615,170.2021219282491,163.76333483585353,133.73046687359712
5,1986-07-04 14:56:48+00:00,201.14911651530147,211.77897988401878,220.10317786913578,228.92894033960343,235.10134053249038,234.70250055846014,269.21088611023947,379.8695016440964,400.974775636856,1.7378875615044294,,,,89.12521599243196,,116.25354309151136,126.02917223935621,134.68101798413045,120.96883745639931,,350.639051444619,308.6081087696396,242.8226158211193,203.01995075894618,390.2968754002776,357.018446216928,309.1783876863748,284.93675692344414,268.5277585063382,262.2655426752238,260.5384054082553,256.1086128813674,259.5026583051659,243.3952999246796,238.15939905820449,231.61244221785145,226.45404285137008,224.38787038865692,219.92080980668496,215.08769987883102,211.53029544594668,204.5504091517237,204.32770421962516,200.7174988303902,196.70847662492758,201.58055538016896,200.6768106528523,190.72783679161068,174.7854295385332,155.38499827212524,159.94195109584436,141.4002548016197,149.52477722547215,158.47424769026262,135.8230233742133,125.07507902122936,119.48139602510285,120.49137926438884,123.37515086342287,131.30316157481153,138.34403655094943,149.3349724939631,159.4380093823681,173.77180438106595,178.47134405744035,139.26520703593778,121.75514543795575,128.4360973372694,127.76686980041424,125.08495615008691,132.41176729155336,131.95135322900728,134.93080682345294,147.57481442183104,164.95684378728808,174.2413196414518,149.88833734763756,119.00229438394983,123.26406818136098,134.6750819472722,,16.83444927761717,0.8295006229016266,,,,,-14.99836669527471,15.717823892816304,64.0693531111669,139.0006055690373,168.43725030046042,154.89582851276077,141.63875634034406,138.4928518418624,139.07066249221873,127.45199580349588,107.53510158460811,105.76223298456819,116.85134105231545,117.70413077310343,120.61727643752249,122.6270382005641,128.22379828060664,132.46930346518366,136.25794457722958,141.2354570593047,155.90946420869076,165.1633949468235,178.5177256429954,166.43312513071567,133.70222470549072
6,1986-07-20 14:56:15+00:00,207.92412056779386,211.23651426849057,216.98856701735298,222.903511275665,230.7569962220004,231.85072661120566,259.69377115213024,358.99552150940127,394.4948682550319,17.731451369051552,,,,,,,129.7952997719165,130.0679515470427,119.72571718064682,,329.5820467521339,299.6534819035391,231.36276027610833,,388.389655000711,354.426714190782,,277.0332607490216,265.4613622458152,252.40275103981338,250.057241232406,251.4641615169362,257.435119000704,242.6877297492683,242.261436465399,234.1495032833015,237.09626208729668,232.99118656365619,216.38716217602723,209.65312325848717,210.33791345059768,208.07887302697765,207.44131057495136,205.16958207652726,200.6102015388913,204.59468300038168,205.53764851179236,197.8370489083375,187.6770380260853,175.1762155627677,165.22615667248493,143.95154816423226,157.63718960869284,158.7048911219597,133.22968466023516,130.81756654200439,131.19836970447074,121.40823297700403,121.7860104126827,129.37159589261486,138.11001768651477,146.19527076943018,156.89167071423051,183.27344423233382,190.30302879150616,149.99699678998627,118.54641803788553,122.29897202484405,125.63381080179731,134.1290485508656,141.10433817084774,141.8564450397323,139.3112233590387,151.13654173516508,172.16798764978944,180.28980239477644,172.05937109740455,162.43002694983977,124.09113175096313,142.03456074697078,,16.136040353847513,-3.7406116992242793,,,,,-9.057332847702785,21.04233422835417,64.70614535331855,136.66643909753793,168.88308979394645,149.66238339886954,140.3560248021169,147.5007843360418,145.75546771102393,133.96512807699614,109.8899280621078,107.88228261727312,117.07572334810072,118.53777434346063,123.39077569933944,129.79952567428649,130.75406323907862,132.06548193509786,141.53167657444322,148.66353450443899,163.9392896062821,173.64635935448553,179.2919764028214,170.46834300950323,133.21997129269764
7,1986-08-05 14:55:17+00:00,196.24521219640746,206.81242096724765,214.46781274548718,221.16502727723508,227.34526685549238,223.77699385367683,244.98081743120304,331.53640048548914,398.1498354742613,,,,,50.066665355251864,125.3089532492032,119.05310239220034,113.79500822322352,114.88881367635041,109.73770422419847,,361.02811026804216,309.9763895679663,249.02097231301497,205.68370475003073,385.9275696593978,345.6560036883952,,280.568928217073,,,,249.4614958322259,254.03273972212295,238.44664985803368,239.7167515235772,229.73999029122615,234.21104547867046,236.68985062832832,225.20694531592724,218.95910534478222,204.58580046013566,201.18419751747354,206.545294890225,205.05699699801778,200.68204769053256,199.04609875304692,203.60991719960163,199.47818144708273,195.25617012804184,190.6485341132441,178.98995728419962,136.24002452107015,155.3514291962635,161.16594062252662,122.7363826679484,125.73556802437805,131.30776571275325,126.90857341112371,113.01626099028543,112.94384750799976,124.70883768490397,125.68808180293554,152.7658253497587,167.3071737949319,174.60923288737212,139.4700398914672,119.79350997004721,119.54873387516339,124.11296965792111,125.81927632275628,142.0284223745869,147.39304666198134,140.3391259354093,143.97988239719612,165.8585190319708,181.11150077565975,171.30678438126262,172.84446788342305,141.49276517978106,134.3643577048898,,16.93784954231419,,,,,,-15.074928895495727,19.3040963660608,66.34784312669038,139.77419151135348,172.68808497253212,145.15801736937024,132.6816973454405,140.3406991791649,147.58531085872892,137.28320096579682,103.67025820241463,98.60666955150425,108.24321574555309,112.16444057637756,118.97239741682412,124.28780081397419,128.2340416214461,133.18338753713977,137.217142988232,141.79434015799603,157.93236610282935,172.47258926016667,175.05025774535753,168.34481410591098,142.44903176955776
8,1986-09-06 14:54:29+00:00,192.3863841941907,204.70634526046092,214.49603824463495,221.40840777001068,225.06979038882255,225.917265965783,233.19388557647608,,386.1651107751455,,,,,42.14118631812217,180.61232652769252,123.38075240615927,120.43082795953922,128.06284416443796,115.01984274047976,353.7724054433664,345.14984253289157,301.302084470954,236.32943917217304,167.54359345585826,394.7383278967621,362.3551581316529,,281.32544774256894,259.59508382437474,252.8889798824095,246.13199473451758,245.74114982086564,252.51463963079004,243.55522187934906,242.14761037020205,231.82624380086406,235.01087694167245,239.2779984441637,235.97334250945363,234.980601839188,222.46735823260912,211.94763926248473,207.9220561053079,203.85069237211079,200.56298951522808,200.223064186131,204.2838274489238,202.00741145173487,199.25635121536735,202.0209435635965,202.61470826301655,170.57443640899578,152.43508052007888,160.03955906492567,118.06770933208793,119.9123251234694,122.75203791485094,119.44460704652937,115.7484964248976,118.42571403580241,123.98458084704068,126.28363089699153,150.2840182957993,171.56029922067864,181.64151188523954,148.6082949662737,122.03890372847998,117.25093534629663,122.45947083178756,127.74385655992248,146.5992549562736,148.29878513630808,147.71672913027763,154.84318897648214,175.56130404826595,184.38473112749833,174.01217602947528,172.52415591336148,149.18226207244146,159.24718927106676,160.08610053712718,,-8.03425384220623,,,,,-10.62052872705064,23.267409403539602,,148.1475285177738,177.67314168468707,156.563179500808,137.89637989056297,146.00888575160454,156.14728043923296,147.4985389843604,109.65461766050983,104.6750134572935,107.42476221367387,114.79205314905805,122.02441978620939,130.8449417788628,134.7545637820359,138.62253581414453,145.92103413790505,147.7203489327682,164.1036050696932,178.01327609484758,185.11379852990217,174.49634655096563,152.2683378179429
9,1986-12-27 14:52:26+00:00,212.187722437197,219.42106896017248,230.28848056273875,239.3166675541395,241.5719644615331,253.31008411726,261.3319470502199,,401.50071160381657,,,,,71.30261158411219,163.4212341379868,151.16029154333347,151.63961394939247,159.19306269564407,158.5832899395981,,,,299.34981749219867,266.03655183371035,,,,354.85602038960315,332.34092890518394,319.8015613114249,304.0793402427143,290.07738439148017,281.82899103537096,273.94566051485236,257.94796015963436,248.61545410474267,248.35790845998417,255.22879921437746,244.14766297721215,237.97283407635538,233.23156665198735,232.72307493330442,234.8606305289326,235.5317384798515,237.76245547906265,237.2694837112217,233.81553467125707,229.1183682245917,225.78545270713002,224.03766434294465,216.63869002648156,188.79552217609915,200.58429787756162,198.1643567624824,175.98704195067543,165.58402342272592,163.54277220208655,159.7163605597632,160.27445068466878,154.33446257166796,153.26396800620282,154.66142445800355,176.01302977354723,182.6287450844901,183.27134667996305,166.30093776385144,151.34208710889007,148.3193506090333,146.10961577919497,154.54920197774373,162.06748630356594,163.47242763814822,170.90765057981662,181.73434598546626,197.1435955207379,205.3188199469942,189.13164224748803,176.1258534967573,167.94500753229744,176.05734528080353,163.06221122562326,,27.348196721692684,,,,-1.2412796092440017,8.520906712599682,33.503519225558385,82.11206299691933,157.62101641049307,194.24187289902548,184.58465472135867,163.86667746444866,162.11099997431668,160.4111101185915,151.50893911552677,128.02765042165976,119.93457103930162,127.93453972914101,130.5727824097617,127.83618003238011,132.16537355326045,135.62036057776427,143.78282517475742,150.90902926670063,150.57037390075544,172.23458598130998,186.16050836651874,201.21925836104063,202.488478499798,167.8499328308078
