,dates,chi0190-0000,chi0190-0001,chi0190-0002,chi0190-0003,chi0190-0004,chi0190-0005,chi0190-0006,chi0190-0007,chi0190-0008,chi0190-0009,chi0190-0010,chi0190-0011,chi0190-0012,chi0190-0013,chi0190-0014,chi0190-0015,chi0190-0016,chi0190-0017,chi0190-0018,chi0190-0019,chi0190-0020,chi0190-0021,chi0190-0022,chi0190-0023,chi0190-0024,chi0190-0025,chi0190-0026,chi0190-0027,chi0190-0028,chi0190-0029,chi0190-0030,chi0190-0031,chi0190-0032,chi0190-0033,chi0190-0034,chi0190-0035,chi0190-0036,chi0190-0037,chi0190-0038,chi0190-0039,chi0190-0040,chi0190-0041,chi0190-0042,chi0190-0043,chi0190-0044,chi0190-0045,chi0190-0046,chi0190-0047,chi0190-0048,chi0190-0049,chi0190-0050,chi0190-0051
0,1985-07-27 14:07:41+00:00,215.80941722848698,230.98115728488636,223.17566719451435,216.86650263251326,209.38108988293936,203.57849880374187,199.48804158745932,201.97557947953223,211.91064318604654,225.58767531959316,224.44233577750705,223.69198884187904,223.98991697061126,221.34138723581276,226.24727389595614,219.7920587228933,218.8250874286769,221.39169197549427,225.47045499008638,220.84794840196963,221.26227977695535,227.94953176297182,240.71007181370118,246.5924934758595,226.6918081341293,229.39476634210357,228.2681592008434,234.44924823324018,233.3359058938449,241.72051310626642,246.99092799474795,254.0703758683203,245.52118754780457,239.7891618570499,229.79804187775392,231.68207503478553,223.67890477528368,222.25326343826086,212.36123357950405,206.0941095648928,212.39358983487583,213.31429341431544,210.65688311444512,221.2333273821892,233.37741372999608,220.2939159438834,216.7572044469748,227.49007496139296,220.45610561755308,221.26954674997415,206.47611857703748,189.82306481495905
1,1986-02-04 14:04:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-07-30 14:00:05+00:00,203.757517945226,221.74369560115468,213.6579764776377,209.48432672482528,208.86258458194527,208.38889308026413,202.45649164745427,195.89452097391433,200.4710434183421,221.44666517781198,224.47820096932904,222.90768715083087,216.68237365105406,218.40852595628886,222.68166571419306,220.16639417435061,202.5593896665557,201.3328645802978,198.56526162906792,205.64866900442627,221.08544286035018,205.51988665287467,222.42811242849683,233.83292794031183,223.26205909095714,222.57862486851974,214.88436314503957,214.39392646350018,207.274092617579,204.99281200522077,209.63639690117412,224.96670133299824,223.28661316983175,207.05641196182128,211.71310479959004,224.65880750494253,198.22591260380358,187.46813205665575,191.3095490295195,210.29759400764374,209.72502372111262,213.32253776293373,210.67742772938402,220.87246667601795,220.4985666441205,213.01318472044142,216.0198233223486,226.43657870382765,224.9644421491759,229.07770934395052,217.74606807036315,204.89155905953209
3,1986-08-15 13:59:29+00:00,211.6781266269,223.97146894640485,221.03472963104002,213.76999199371545,213.06654399735584,215.03909808686058,200.3957410065231,197.70633767281115,206.19076843683496,231.43592660942437,231.46824979085886,228.9232584440592,235.96241118860402,229.20796876739666,228.97949476995618,221.62876213401145,210.04865381701063,207.2635259958052,200.69780322284274,210.86232366995122,235.31214565395118,230.1253456151409,235.75705110917335,243.63070659451233,234.76899679972837,224.9063704991334,225.41842503991444,211.63351639144267,217.97586792255996,216.71601744925596,205.22980861129554,226.514527070293,234.09334684710734,213.8828743165354,215.19925462192128,237.47869371084417,210.879906939439,181.3329757846576,191.15496658502485,206.15113171164577,210.11544675067992,221.7395124181278,211.10183530924164,224.49433709180795,218.7045847484287,217.96440372832436,214.84969733279542,223.81799597970428,219.6966075853545,227.38496635897863,222.2441362205288,207.91000400357035
4,1986-08-31 13:58:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-16 13:58:22+00:00,202.33818772773773,223.77102976436282,219.93785775422114,207.1630046504299,209.71241720204225,211.1210479856328,195.09480678243935,203.86674782288085,215.94808340888494,225.84409360158762,227.4749015089693,227.22815868933444,225.57201201017875,221.1727771873391,216.2366434291668,215.49502757281095,207.970372696408,209.901970896482,199.48123687749361,199.5621743736464,219.78239179370183,218.38903382141734,223.35421611129692,236.36911577081867,217.69932908256746,210.6677633172911,201.21352970186405,205.03463335617545,193.22626461020013,204.85293626970176,209.82142881238732,220.0411262360801,209.76390453207088,210.98624227500682,220.63088323374075,206.39082284417563,191.53239378695395,191.5856074146373,189.86742269311918,191.83769838636147,206.9819247246418,206.02607542661022,212.7802981581174,222.14923968300673,213.54966177635737,207.49148507949252,204.60218978615165,220.7597138293427,212.3933148083491,205.53082230237203,204.87520663936974,192.42072594918557
6,1986-12-21 13:56:50+00:00,217.34930318047316,238.005280313987,238.05164616282522,233.23104894628054,234.49133077342867,222.29423085350916,221.89337532709558,233.09764733762492,233.64456641681775,244.39834558254913,241.477582671763,245.38698680671317,236.96329746997748,237.53635974035373,244.91235080750727,236.3734139351145,225.7937659749484,237.0446496671038,233.0863795737555,231.68562809755295,241.88567324093628,238.08387956242564,233.91952946329582,245.3513181017935,236.3243829203774,230.9140303150071,231.26752655990975,233.79034110777877,234.75434980901704,227.53493728146913,233.8662518716477,239.8915326513274,239.31709246708147,233.3022722487109,233.8274273286146,230.48397645737253,228.3828738148439,222.9826473836789,220.22050854454466,223.48377046320812,223.4673540895913,221.3196782364388,228.94407205395223,247.0474423388426,243.5103697882143,216.13462251650807,223.58563969615778,237.35365331638485,228.04588501941578,232.98401136160487,227.96240803519854,211.66183768122397
7,1987-11-06 14:05:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-11-22 14:06:04+00:00,,,,,,,,,,,,,230.89599513684604,223.86939423230243,218.70554827808212,,,,,,,,,,,,,,,,,,226.83516779487206,232.92752404304866,226.00014565938022,215.66308499276514,216.5741881350442,187.5489196225978,184.68777179876002,205.554452871616,190.1790914390821,200.7019299050263,221.6791395547312,217.80515312508615,201.98334947811418,214.43156013719087,201.1600136226972,210.76590744604476,204.2081519543699,196.19278515924822,196.88874223607843,187.66226093681752
9,1988-01-25 14:07:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,245.7055039959855,253.1242584690141,231.83308670455685,208.77110056379192,200.2726369971905,244.54916682958373,246.66943150158022,247.4070948664385,242.3955446473829,243.4070318501346,241.96812989861886,240.16411300767678,,,,,,,,,,,,,,,,219.34833811245213
