dates,sar2537-0000,satname
1995-02-14 09:17:07+00:00,216.61,L5
1999-08-05 09:52:28+00:00,223.27,L7
1999-08-12 09:58:37+00:00,220.62,L7
1999-08-21 09:52:25+00:00,219.10,L7
1999-08-28 09:58:41+00:00,220.66,L7
1999-09-13 09:58:35+00:00,220.01,L7
1999-09-22 09:52:29+00:00,221.62,L7
1999-09-29 09:58:45+00:00,221.27,L7
1999-10-31 09:58:37+00:00,218.46,L7
1999-11-09 09:52:28+00:00,216.29,L7
1999-11-25 09:52:19+00:00,217.40,L7
1999-12-02 09:58:32+00:00,218.75,L7
1999-12-18 09:58:40+00:00,219.64,L7
2000-01-03 09:58:33+00:00,220.79,L7
2000-01-11 09:40:43+00:00,221.21,L5
2000-01-12 09:52:23+00:00,219.81,L7
2000-02-04 09:58:30+00:00,220.13,L7
2000-02-13 09:52:17+00:00,221.09,L7
2000-03-07 09:58:18+00:00,221.57,L7
2000-03-16 09:52:08+00:00,220.63,L7
2000-03-23 09:58:20+00:00,220.54,L7
2000-04-01 09:52:04+00:00,220.67,L7
2000-04-08 09:58:08+00:00,220.57,L7
2000-04-24 09:58:03+00:00,220.42,L7
2000-05-03 09:51:48+00:00,221.75,L7
2000-05-19 09:51:37+00:00,223.12,L7
2000-06-04 09:51:26+00:00,222.08,L7
2000-06-11 09:57:36+00:00,221.47,L7
2000-06-20 09:51:22+00:00,220.47,L7
2000-06-27 09:57:25+00:00,220.89,L7
2000-07-06 09:51:08+00:00,220.35,L7
2000-07-22 09:50:52+00:00,220.80,L7
2000-07-29 09:56:55+00:00,220.44,L7
2000-08-07 09:50:38+00:00,220.38,L7
2000-08-14 09:56:49+00:00,219.52,L7
2000-08-23 09:50:33+00:00,219.52,L7
2000-08-30 09:56:38+00:00,219.69,L7
2000-09-08 09:50:17+00:00,218.05,L7
2000-09-15 09:56:19+00:00,218.71,L7
2000-09-24 09:50:00+00:00,218.58,L7
2000-10-26 09:49:51+00:00,218.16,L7
2000-11-27 09:49:55+00:00,218.25,L7
2001-01-21 09:56:15+00:00,219.00,L7
2001-02-06 09:56:08+00:00,218.66,L7
2001-02-22 09:56:07+00:00,219.39,L7
2001-03-03 09:49:53+00:00,219.14,L7
2001-03-19 09:49:46+00:00,223.37,L7
2001-05-13 09:55:39+00:00,223.05,L7
2001-05-29 09:55:31+00:00,222.26,L7
2001-06-07 09:49:12+00:00,221.47,L7
2001-06-14 09:55:19+00:00,221.24,L7
2001-06-23 09:48:58+00:00,220.55,L7
2001-06-30 09:55:05+00:00,220.32,L7
2001-07-09 09:48:55+00:00,219.66,L7
2001-07-25 09:48:48+00:00,218.75,L7
2001-08-01 09:54:52+00:00,218.62,L7
2001-08-10 09:48:30+00:00,219.13,L7
2001-08-17 09:54:34+00:00,219.02,L7
2001-08-26 09:48:19+00:00,219.41,L7
2001-09-02 09:54:23+00:00,219.23,L7
2001-09-11 09:48:07+00:00,217.55,L7
2001-10-04 09:53:59+00:00,216.68,L7
2001-10-13 09:47:44+00:00,216.61,L7
2001-10-29 09:47:50+00:00,216.63,L7
2001-11-05 09:54:07+00:00,217.06,L7
2001-12-07 09:54:17+00:00,217.11,L7
2001-12-23 09:54:25+00:00,217.18,L7
2002-01-08 09:54:28+00:00,217.70,L7
2002-01-17 09:48:21+00:00,218.24,L7
2002-02-02 09:48:23+00:00,219.37,L7
2002-02-09 09:54:38+00:00,219.55,L7
2002-03-06 09:48:28+00:00,218.34,L7
2002-03-13 09:54:38+00:00,221.57,L7
2002-04-07 09:48:22+00:00,221.39,L7
2002-04-23 09:48:18+00:00,221.98,L7
2002-04-30 09:54:34+00:00,221.53,L7
2002-05-09 09:48:22+00:00,221.64,L7
2002-05-25 09:48:13+00:00,221.36,L7
2002-06-01 09:54:21+00:00,221.08,L7
2002-06-17 09:54:14+00:00,222.02,L7
2002-06-26 09:47:58+00:00,222.28,L7
2002-07-03 09:54:10+00:00,221.63,L7
2002-07-12 09:47:56+00:00,221.76,L7
2002-07-19 09:54:03+00:00,221.38,L7
2002-08-04 09:53:55+00:00,220.37,L7
2002-08-13 09:47:44+00:00,219.85,L7
2002-08-20 09:53:52+00:00,219.60,L7
2002-09-05 09:53:43+00:00,220.44,L7
2002-09-21 09:53:30+00:00,219.87,L7
2002-09-30 09:47:17+00:00,219.89,L7
2002-10-07 09:53:26+00:00,220.30,L7
2002-10-16 09:47:17+00:00,220.71,L7
2002-12-19 09:47:50+00:00,218.97,L7
2002-12-26 09:54:05+00:00,218.83,L7
2003-01-04 09:47:53+00:00,219.76,L7
2003-01-27 09:54:14+00:00,219.17,L7
2003-02-12 09:54:24+00:00,219.19,L7
2003-03-16 09:54:27+00:00,217.37,L7
2003-03-25 09:48:11+00:00,217.10,L7
2003-04-01 09:54:27+00:00,217.97,L7
2003-04-17 09:54:29+00:00,217.34,L7
2003-05-03 09:54:30+00:00,217.80,L7
2003-05-28 09:48:15+00:00,217.80,L7
2003-10-10 09:53:47+00:00,221.23,L7
2003-11-04 09:47:57+00:00,220.40,L7
2003-12-13 09:54:30+00:00,217.74,L7
2004-01-30 09:54:48+00:00,218.10,L7
2004-02-16 09:38:28+00:00,220.95,L5
2004-05-14 09:48:44+00:00,220.57,L7
2004-07-17 09:48:31+00:00,222.70,L7
2004-08-25 09:54:30+00:00,218.05,L7
2004-09-03 09:48:16+00:00,219.97,L7
2004-10-21 09:48:16+00:00,218.74,L7
2005-02-10 09:49:07+00:00,219.70,L7
2005-04-06 09:55:22+00:00,223.32,L7
2005-04-22 09:55:16+00:00,228.21,L7
2005-06-02 09:49:06+00:00,225.34,L7
2005-11-09 09:48:59+00:00,222.14,L7
2005-11-16 09:55:14+00:00,215.84,L7
2005-12-18 09:55:21+00:00,215.16,L7
2006-01-12 09:49:24+00:00,217.49,L7
2006-01-19 09:55:39+00:00,218.48,L7
2006-06-12 09:55:45+00:00,214.01,L7
2006-07-14 09:55:32+00:00,215.29,L7
2006-08-15 09:55:24+00:00,213.00,L7
2006-10-11 09:48:58+00:00,214.93,L7
2006-12-05 09:55:51+00:00,215.74,L7
2007-07-01 09:55:58+00:00,217.44,L7
2007-10-14 09:49:19+00:00,216.33,L7
2008-01-25 09:56:04+00:00,222.69,L7
2008-02-10 09:56:02+00:00,219.39,L7
2008-02-19 09:49:49+00:00,216.16,L7
2008-03-13 09:55:52+00:00,216.80,L7
2008-04-07 09:49:42+00:00,218.88,L7
2008-04-23 09:49:39+00:00,219.49,L7
2008-07-19 09:55:05+00:00,219.44,L7
2008-08-04 09:54:58+00:00,217.81,L7
2008-08-13 09:48:43+00:00,218.23,L7
2008-10-16 09:48:15+00:00,218.16,L7
2008-11-01 09:48:31+00:00,216.95,L7
2008-11-08 09:54:48+00:00,217.86,L7
2009-01-11 09:55:25+00:00,217.95,L7
2009-02-12 09:55:37+00:00,220.71,L7
2009-03-16 09:55:54+00:00,219.85,L7
2009-05-19 09:56:10+00:00,222.40,L7
2009-06-04 09:56:10+00:00,220.69,L7
2009-06-29 09:49:56+00:00,220.51,L7
2010-04-20 09:57:56+00:00,246.09,L7
2010-05-22 09:57:50+00:00,237.50,L7
2010-06-23 09:57:54+00:00,231.55,L7
2010-10-22 09:52:00+00:00,224.71,L7
2011-01-02 09:49:28+00:00,223.50,L5
2011-04-07 09:59:21+00:00,226.92,L7
2011-05-18 09:53:07+00:00,222.74,L7
2011-08-13 09:59:08+00:00,219.98,L7
2011-08-29 09:59:06+00:00,220.64,L7
2011-09-30 09:58:59+00:00,220.70,L7
2011-10-09 09:52:46+00:00,218.77,L7
2011-10-16 09:59:01+00:00,216.94,L7
2011-11-10 09:53:04+00:00,219.80,L7
2011-11-17 09:59:20+00:00,220.55,L7
2011-11-26 09:53:15+00:00,220.26,L7
2011-12-03 09:59:29+00:00,221.59,L7
2011-12-19 09:59:36+00:00,221.11,L7
2011-12-28 09:53:31+00:00,222.03,L7
2012-01-13 09:53:35+00:00,221.97,L7
