dates,satname,nzd0222-0000,nzd0222-0001,nzd0222-0002,nzd0222-0003,nzd0222-0004,nzd0222-0005,nzd0222-0006,nzd0222-0007,nzd0222-0008,nzd0222-0009,nzd0222-0010,nzd0222-0011,nzd0222-0012,nzd0222-0013,nzd0222-0014,nzd0222-0015,nzd0222-0016,nzd0222-0017,nzd0222-0018,nzd0222-0019,nzd0222-0020,nzd0222-0021,nzd0222-0022,nzd0222-0023,nzd0222-0024,nzd0222-0025,nzd0222-0026,nzd0222-0027,nzd0222-0028,nzd0222-0029,nzd0222-0030,nzd0222-0031,nzd0222-0032,nzd0222-0033,nzd0222-0034,nzd0222-0035,nzd0222-0036,nzd0222-0037,nzd0222-0038,nzd0222-0039,nzd0222-0040,nzd0222-0041,nzd0222-0042
1999-09-29 21:52:52+00:00,L7,385.78,377.51,381.89,374.78,375.62,376.06,386.50,384.30,386.12,388.31,389.82,392.92,390.39,389.46,390.83,392.36,380.26,392.17,386.07,384.33,387.42,391.40,384.52,379.07,381.05,381.54,382.42,380.02,392.32,392.14,396.19,381.60,379.74,370.89,366.92,361.89,371.71,366.52,328.44,285.17,,330.09,341.88
1999-10-15 21:52:49+00:00,L7,382.70,384.69,386.49,384.37,379.45,382.00,372.45,383.70,379.81,386.10,383.12,388.19,389.46,394.12,392.89,385.45,383.92,381.62,382.66,380.68,379.43,371.97,383.08,376.27,378.81,367.12,369.43,373.35,382.10,390.56,382.40,378.85,380.14,378.73,365.18,368.90,358.59,352.34,339.88,266.81,,325.54,342.70
2000-02-04 21:52:37+00:00,L7,390.96,387.42,387.97,391.88,383.33,392.98,392.57,395.57,391.82,392.27,388.55,396.00,395.27,393.17,396.69,392.39,396.31,392.69,392.32,386.03,393.33,388.52,386.61,383.90,384.81,382.70,378.61,381.89,382.11,385.62,379.07,379.98,379.15,378.81,373.62,373.81,380.95,379.80,330.01,257.29,325.32,332.99,343.62
2000-02-20 21:52:29+00:00,L7,387.09,378.17,383.80,383.04,380.74,387.78,379.81,386.57,379.99,384.32,381.95,384.26,388.72,389.43,385.14,384.46,389.38,380.33,385.24,379.13,380.98,377.68,382.23,376.53,369.25,371.61,370.24,374.24,379.52,380.51,370.79,371.72,367.72,373.95,369.64,369.00,368.51,358.10,324.91,,300.32,327.93,333.83
2000-05-26 21:51:48+00:00,L7,391.64,390.58,390.18,389.73,393.89,393.86,395.34,393.83,396.37,389.83,395.99,395.95,400.15,398.23,401.73,403.12,400.18,399.05,393.74,399.19,397.64,395.85,388.05,392.43,388.89,387.84,388.62,391.34,398.34,394.16,395.22,392.13,397.03,391.01,393.27,396.27,398.22,389.41,370.01,330.83,214.89,359.15,380.03
2000-08-14 21:50:56+00:00,L7,388.50,392.24,398.26,397.66,400.92,404.98,406.78,396.45,402.64,389.80,401.75,401.21,400.39,399.46,393.78,398.36,398.05,394.16,391.19,399.73,389.84,392.06,385.95,387.38,387.98,386.23,392.59,389.36,396.48,392.36,394.88,384.78,383.44,380.58,381.74,375.22,379.64,380.61,375.62,333.55,252.71,327.88,353.14
2000-09-15 21:50:25+00:00,L7,370.96,376.47,375.56,379.33,381.67,392.74,395.67,395.95,392.47,387.95,385.46,394.40,399.23,391.33,392.68,391.74,397.05,397.82,391.73,395.45,396.29,390.15,389.18,401.96,396.45,428.23,470.05,389.64,398.44,486.75,478.47,449.73,144.74,,,,,,,,,,
2000-11-02 21:50:13+00:00,L7,369.64,351.91,346.80,345.96,349.08,360.25,361.86,374.84,377.13,367.04,364.93,368.82,373.32,371.40,375.98,373.87,375.44,377.07,372.66,369.18,368.24,360.14,353.67,358.72,358.19,364.72,362.92,366.17,367.01,370.44,366.95,367.01,358.09,355.97,353.46,351.20,356.86,352.19,354.93,297.18,222.94,286.21,311.84
2000-12-04 21:50:10+00:00,L7,391.19,372.00,365.78,364.77,359.49,364.63,368.99,383.82,381.87,380.99,376.52,381.23,377.03,385.34,383.97,386.05,388.35,383.62,380.71,381.32,384.29,372.48,372.97,366.67,370.85,365.61,367.50,369.25,373.40,376.02,367.94,368.72,365.69,371.69,365.01,364.33,357.64,366.40,400.58,401.93,207.98,297.91,313.36
2000-12-20 21:50:16+00:00,L7,384.68,376.00,376.46,370.18,368.00,375.61,378.11,376.76,373.26,373.30,374.30,379.84,365.72,373.73,371.98,379.21,378.14,383.66,378.99,375.50,379.28,365.30,368.20,366.48,372.73,365.51,369.38,367.84,373.84,371.48,366.89,367.02,371.75,372.42,364.80,360.82,352.99,370.41,358.85,341.89,327.38,343.87,326.86
2001-01-05 21:50:16+00:00,L7,410.23,388.52,389.52,379.33,381.37,381.94,389.63,385.77,386.94,385.88,393.37,387.16,393.79,395.75,397.03,396.48,393.53,396.32,391.58,394.04,386.45,386.42,384.19,387.92,380.29,378.31,377.28,383.52,388.86,391.29,387.38,385.73,382.64,380.43,381.69,374.44,383.35,380.17,390.21,406.04,405.85,422.18,341.95
2001-03-10 21:50:10+00:00,L7,376.24,376.47,379.49,381.08,380.16,383.29,380.16,386.59,380.79,380.55,377.53,378.21,378.53,389.30,382.99,385.58,384.37,376.27,383.55,381.97,380.44,374.32,380.26,373.25,373.70,367.70,370.29,369.62,378.43,377.09,372.06,372.18,372.92,372.87,369.10,370.77,365.38,367.13,346.62,326.83,,301.35,329.98
2001-03-26 21:50:01+00:00,L7,382.85,380.24,384.67,381.73,381.27,379.50,380.15,382.34,383.17,381.64,380.68,384.11,378.37,387.00,382.91,386.45,382.88,390.46,388.02,383.28,384.98,376.94,376.36,374.44,378.17,374.06,380.61,373.59,382.59,382.46,378.60,376.92,373.52,372.63,371.46,370.62,372.64,364.95,359.16,341.90,,327.96,339.10
2001-06-30 21:49:12+00:00,L7,400.46,398.04,391.44,399.45,403.74,407.13,407.83,405.42,409.12,407.10,405.61,400.52,403.50,408.42,408.77,404.83,405.17,402.32,396.27,402.57,402.86,404.79,390.92,394.85,390.41,395.53,391.68,396.19,388.76,396.90,399.22,402.50,394.27,384.86,373.75,372.78,377.39,393.91,388.49,316.33,269.75,345.94,356.79
2001-09-02 21:48:29+00:00,L7,525.30,380.20,385.32,392.42,398.40,399.82,395.48,393.96,394.51,392.28,393.45,400.26,399.90,397.09,396.57,392.07,397.57,398.26,394.03,398.94,396.27,392.07,382.83,375.26,383.38,381.52,383.18,380.01,384.85,387.21,391.34,383.54,374.56,365.52,369.75,371.56,371.85,373.62,362.36,358.44,312.82,286.18,321.44
2001-09-18 21:48:17+00:00,L7,373.42,377.71,373.33,382.41,382.02,378.72,386.49,383.16,381.42,385.37,385.60,380.62,390.53,386.72,387.92,387.71,381.25,380.97,379.14,375.19,375.18,374.02,372.10,370.94,362.48,368.14,367.43,377.71,378.58,383.21,378.40,368.68,357.22,358.08,365.17,365.98,360.20,351.21,353.08,337.58,297.92,,316.68
2001-10-20 21:48:09+00:00,L7,357.21,357.18,361.25,357.96,359.73,360.07,355.55,358.83,368.57,367.60,364.64,365.65,364.36,367.25,366.29,365.31,371.43,373.68,366.30,369.52,369.62,370.05,357.48,358.98,355.99,359.41,357.92,363.13,366.21,363.17,357.59,357.40,344.96,350.14,355.75,327.08,327.62,336.95,326.25,319.15,252.73,,
2001-11-05 21:48:14+00:00,L7,359.07,356.02,357.50,368.83,367.50,362.26,363.29,363.52,372.60,374.65,371.47,370.50,374.23,370.89,371.74,363.67,366.99,366.24,368.79,362.22,363.99,361.09,360.49,356.11,349.21,350.15,355.28,358.47,363.99,359.87,361.53,365.36,351.12,351.97,348.59,327.24,339.84,340.46,339.89,325.59,285.84,,
