dates,nzd0222-0000,nzd0222-0001,nzd0222-0002,nzd0222-0003,nzd0222-0004,nzd0222-0005,nzd0222-0006,nzd0222-0007,nzd0222-0008,nzd0222-0009,nzd0222-0010,nzd0222-0011,nzd0222-0012,nzd0222-0013,nzd0222-0014,nzd0222-0015,nzd0222-0016,nzd0222-0017,nzd0222-0018,nzd0222-0019,nzd0222-0020,nzd0222-0021,nzd0222-0022,nzd0222-0023,nzd0222-0024,nzd0222-0025,nzd0222-0026,nzd0222-0027,nzd0222-0028,nzd0222-0029,nzd0222-0030,nzd0222-0031,nzd0222-0032,nzd0222-0033,nzd0222-0034,nzd0222-0035,nzd0222-0036,nzd0222-0037,nzd0222-0038,nzd0222-0039,nzd0222-0040,nzd0222-0041,nzd0222-0042,satname
1999-09-29 21:52:52+00:00,400.24,385.68,386.59,379.48,380.32,380.76,391.20,389.00,391.49,396.86,396.30,400.15,395.61,398.01,405.29,400.91,389.21,398.23,390.77,389.03,392.12,398.92,391.75,383.77,386.58,387.81,389.13,386.50,397.02,396.84,400.89,386.30,386.70,379.44,371.62,368.85,376.41,373.00,333.14,300.84,,353.59,368.74,L7
1999-10-15 21:52:49+00:00,395.24,387.31,387.76,383.15,381.11,382.61,383.05,387.57,387.05,393.71,391.40,396.05,393.89,398.29,402.86,395.40,388.90,391.50,387.94,386.08,387.00,387.40,389.30,381.25,384.13,379.10,381.03,381.62,390.78,394.92,392.87,383.80,385.24,381.31,369.62,370.69,368.73,364.36,337.74,287.91,,345.69,362.72,L7
2000-02-04 21:52:37+00:00,394.12,387.52,387.93,386.16,381.95,386.16,386.32,390.34,388.75,393.41,390.59,396.19,394.46,396.77,401.11,394.58,391.56,392.03,389.50,386.16,389.21,387.94,388.56,382.23,384.48,380.43,380.37,381.84,387.99,391.92,388.37,382.63,383.35,380.66,371.06,371.88,372.90,369.64,335.26,278.04,326.32,341.96,356.92,L7
2000-02-20 21:52:29+00:00,394.56,386.43,387.61,386.09,382.36,387.28,385.41,390.11,387.38,392.43,389.41,394.30,393.82,396.23,399.31,393.35,392.37,390.02,389.15,385.12,387.87,386.51,388.07,381.52,381.51,379.18,378.85,380.93,386.59,389.78,384.69,380.61,380.50,380.28,371.42,372.21,372.51,367.74,333.38,278.04,318.07,342.01,355.22,L7
2000-05-26 21:51:48+00:00,392.56,386.90,388.18,389.08,386.85,392.41,390.11,392.86,390.38,390.38,390.02,393.40,395.68,395.19,397.19,394.90,396.94,391.81,391.30,388.98,391.52,388.74,386.96,385.15,382.00,381.87,380.39,383.68,387.52,387.63,382.56,382.14,382.58,382.83,379.71,380.98,383.43,376.96,342.51,293.64,283.07,344.36,357.45,L7
2000-08-14 21:50:56+00:00,390.87,388.01,391.33,390.73,392.43,396.12,394.56,392.87,393.67,389.04,394.03,394.70,397.07,396.77,395.35,396.37,396.98,391.93,390.64,393.27,390.07,389.46,386.30,386.03,382.72,382.67,384.65,385.78,392.03,389.59,387.55,383.46,383.60,382.91,382.13,381.03,382.71,376.84,357.43,330.36,257.92,341.24,359.00,L7
2000-09-15 21:50:25+00:00,385.03,387.18,388.43,389.34,392.59,397.63,399.70,395.84,397.65,389.98,395.00,397.85,400.41,397.13,397.40,398.53,399.25,397.57,392.65,398.56,395.02,393.38,388.39,394.36,391.61,386.30,389.82,390.71,398.19,392.71,394.50,387.91,389.42,384.80,386.96,384.94,388.38,384.25,372.26,330.36,231.97,340.76,363.44,L7
2000-11-02 21:50:13+00:00,382.95,379.36,378.60,379.07,382.29,388.86,390.81,391.17,393.18,385.29,388.27,391.48,394.27,391.74,393.81,393.41,394.39,393.19,388.23,391.79,388.90,385.99,380.59,386.02,383.94,380.13,381.95,385.37,390.97,386.05,386.08,381.71,380.12,376.58,376.56,374.83,378.64,374.62,367.25,321.86,231.52,326.41,350.62,L7
2000-12-04 21:50:10+00:00,383.15,374.89,372.60,372.93,373.79,381.65,384.33,388.76,389.67,383.26,383.54,387.95,388.61,388.70,389.68,389.32,391.62,389.46,385.07,387.42,385.66,380.31,376.98,379.68,379.54,372.90,375.10,379.98,384.83,380.14,377.12,374.04,369.87,370.38,367.27,364.38,365.25,367.13,366.15,318.29,229.66,306.67,329.16,L7
2000-12-20 21:50:16+00:00,381.73,374.14,372.81,371.82,372.07,379.88,382.52,385.80,385.75,380.25,380.92,385.47,383.41,384.69,384.42,386.28,387.86,387.58,383.30,384.48,383.83,376.41,374.36,376.48,377.52,370.12,372.67,376.78,382.07,377.27,373.87,371.58,369.30,369.62,365.95,362.45,361.48,366.99,362.78,323.04,229.66,312.47,324.59,L7
