,dates,mex0340-0000,mex0340-0001,mex0340-0002,mex0340-0003,mex0340-0004,mex0340-0005,mex0340-0006,mex0340-0007,mex0340-0008,mex0340-0009
0,1986-03-19 16:50:19+00:00,189.49713172359256,139.4181691669752,151.5003780839442,157.7796290868785,136.4296736368463,144.89827370691344,159.17773597445554,169.58289133773073,178.23471444310533,169.3360268210942
1,1986-04-20 16:49:38+00:00,189.57165939744158,127.79602848208992,138.76687226942073,155.13391922885666,140.23432623967068,147.5883232371582,166.3473826611127,172.084397125929,175.3116786196271,170.11060248840892
2,1990-02-10 16:45:58+00:00,153.79428884988434,115.00785442650533,,135.26853062820612,121.42416042935868,124.98739482109423,149.1191245353944,150.64623463962153,161.19500686785133,148.12611681475545
3,1990-04-15 16:44:33+00:00,202.22708330931724,141.69196378259323,155.19110033049208,150.74576171230765,136.6492174780464,144.0123920048502,166.7116332349619,176.52952320505887,181.67330616297903,173.36505449885243
4,1993-01-17 16:45:59+00:00,171.161178750387,132.43771976132908,,148.66598065555687,135.98718870191638,132.85038902872952,160.97318540694386,162.18088486560328,167.13712149966096,156.23435117425882
5,1993-02-02 16:46:10+00:00,170.02104196728536,132.50858758226377,,156.21987854659187,140.28392599050892,130.7871504464433,159.17150308146842,163.45360935704682,168.04601462244293,158.46394908863482
6,1993-02-18 16:46:17+00:00,169.5517786700113,126.57249915413318,,151.82947772127739,133.3750481051205,143.9578043820364,155.67337357956103,165.53515415820294,173.8561172170921,167.2132652590702
7,1993-04-07 16:46:35+00:00,203.06329907102585,123.29999410543083,,144.71611378432982,119.19846203424126,127.81895653137293,154.40297323607462,162.09063129730833,169.96948852660648,162.05913778244155
8,1993-04-23 16:46:44+00:00,202.15084705070456,119.2582508860305,114.28547942208006,132.8693409104336,,,,160.76645746141713,168.86959638876837,165.31574467923977
9,1993-05-09 16:46:47+00:00,188.8662337646173,128.91499275123027,149.9016626559636,149.10706624817914,126.85547296854563,141.66732727738776,160.37198093075034,168.70626542659414,176.94901835017106,168.07959214024382
10,1993-06-10 16:46:51+00:00,203.02401525032644,134.2420890039185,146.45681627898662,146.87322111552703,135.4096616570025,146.46729234578837,167.97777374597047,174.9920254203039,185.956618348478,175.09479159995772
11,1993-07-19 16:52:31+00:00,,,,163.14494155355828,130.83634969856186,138.5043580836275,158.09827048177593,171.92649947706258,169.28243276166089,172.31723743840212
12,1993-08-04 16:52:30+00:00,,,,,,,,,,
13,1993-08-13 16:46:43+00:00,204.53479881141217,136.6619504367426,,157.15977384686204,140.1539957249894,149.82078521235934,159.7742752037836,160.5577952692014,,176.58452593949636
14,1993-08-29 16:46:42+00:00,217.58884673087155,133.16597632490252,,145.92221886354488,117.33893857008074,129.7172749335999,153.4496721455725,164.04500586347808,172.3950580831727,179.24439837583205
15,1993-09-30 16:46:36+00:00,155.3876289681267,114.36338330571647,116.91131642168894,135.12273584713375,113.75543670542535,138.6363465552325,163.3272333883829,174.09278367985434,182.237082000668,178.4175394927403
16,1993-10-16 16:46:30+00:00,154.82512028404327,116.63436661898976,,,116.1694320998237,129.34782627193135,140.2146807064155,157.16252466880644,169.98043314236236,158.4259851138789
17,1993-10-23 16:52:15+00:00,157.08238323278488,146.01636028991095,156.9369363308797,159.963846440559,126.18823331425503,146.2281075280146,175.67483775567442,174.53600485619054,196.67888063568208,202.05962417815007
18,1993-11-01 16:46:25+00:00,194.2999990428305,128.4574330029937,,,122.49503840272793,132.27674908831446,157.46828421497253,164.17892876436855,173.96038876088434,175.54417158130747
19,1993-11-08 16:52:08+00:00,,,,,,,,,,
20,1993-11-17 16:46:14+00:00,203.6135707218995,124.28906742027434,,147.12442064788175,124.38386200045494,128.82725340164896,159.21017347730447,164.64526376276788,178.4438719867872,180.0660105266594
21,1993-12-03 16:46:13+00:00,154.21868547452127,117.60863834875505,,151.8099657536453,126.482931306171,130.1041965880144,166.54493320998552,164.4273783130443,176.08228024861984,170.92197915379464
22,1993-12-19 16:46:05+00:00,170.15487691259224,112.1129247061262,,125.33781531333054,108.56918534762664,113.87741587323893,135.96977595523873,144.03021823374678,160.21848954426528,145.68774411886972
23,1994-01-04 16:45:53+00:00,185.7618011759939,128.64165883370683,,151.78032536884172,123.52290521718285,140.24415673599995,154.66717661547656,163.1717992653397,172.9321668162036,162.49770402674187
24,1994-02-05 16:45:29+00:00,170.35873584360203,128.6334259202207,,156.3603403248336,130.37910451004092,130.99862117526374,158.27153782987662,168.60172980488503,174.02892968409992,166.7449978599475
25,1994-02-21 16:45:16+00:00,186.77341468205344,130.59482583496978,,155.01329537134487,133.32341941546127,137.69286604584988,161.11951231610988,171.49045572141756,174.39717763053153,170.50095549093027
26,1994-03-09 16:45:01+00:00,186.3019195352282,123.74930190740675,132.23605613157275,148.02197738446208,131.35508307190457,132.08085891339152,154.48639815713187,167.5556757359294,173.0724938130747,168.10674811271065
27,1994-03-25 16:44:47+00:00,202.3786503657734,135.20778749852687,145.52108059241695,160.44987321198593,138.00161755027915,144.972538677596,162.9743832853488,172.78979366967224,180.48616470929187,179.4045589298342
28,1994-04-10 16:44:28+00:00,192.88209372060135,133.33023294374843,146.33012756920476,160.21024904528815,124.86684624488974,129.64129751161147,151.1227602420041,174.09241891949438,177.40089570692282,170.3351829920525
29,1994-04-26 16:44:11+00:00,203.62217440076145,126.24763398209015,,144.68186357422238,125.00628136648136,128.39112282144657,151.54405382649077,161.26915027101836,173.98542113807525,167.2109471196348
30,1994-05-12 16:43:52+00:00,203.9648606900497,130.10417061340695,132.11003067875072,151.78702831110166,126.73168343407507,138.75181041747317,164.76375036529635,172.35102865270773,179.1424600815667,176.63383639932144
31,1994-05-28 16:43:36+00:00,198.6068405462309,127.41364623451915,129.1795872482957,149.96332804020537,125.66723018630792,142.16451139107488,162.59615842663223,157.09884288758,169.86387227095156,166.86970493015014
32,1994-06-13 16:43:17+00:00,204.3320685521315,127.39374059725344,141.18754271300764,153.61347582608164,127.28530846224906,139.9356873072503,157.3078609581924,163.76846113431202,177.0218232460876,174.07222398776508
33,1994-07-31 16:42:00+00:00,201.03076094048112,127.20465857342543,143.3817150441906,156.14569402736225,132.72627489465808,143.07431788956282,170.06950041720503,174.06398945544277,177.83232058913308,188.92816038780944
34,1994-08-16 16:41:37+00:00,185.71830631148353,119.77722991414868,130.2030493389364,132.51806406913585,116.63459527408045,127.6881929201641,158.98213416944037,163.4373482070254,167.3973770380478,179.57612003177076
35,1994-09-01 16:41:13+00:00,185.52208493353425,122.66938648372381,130.21928818110146,135.3500605310574,123.87026893748083,132.54511900542298,153.32893710768593,171.89547744927293,173.2249323140117,197.16306675484742
36,1994-10-03 16:40:21+00:00,190.48231782283477,118.84427741097419,128.98326935513774,144.5450924664508,126.43899287617376,132.45641949000975,151.47862153008734,159.92237043566303,167.72639143968448,179.71183469247967
37,1994-10-19 16:39:51+00:00,201.27193692698634,132.22104168313103,,145.46185905170609,117.13040238419879,125.81487509829232,149.59794683939333,163.59929560475837,178.32019230879197,163.72045986819228
38,1994-11-04 16:39:17+00:00,203.506787461262,128.35814991397552,,,119.71723187454819,130.30606506021644,149.6749882299643,164.84675014397797,184.15149215894448,163.31036203956177
39,1994-12-06 16:38:14+00:00,201.88684815422414,129.78275900080763,,146.13584840455212,117.43620066747178,128.50234983450258,145.16553531755994,161.846006820577,176.59586879337985,156.77958710083703
40,1994-12-22 16:37:44+00:00,169.6160044628305,118.4417541602972,,129.99982134765511,107.20387125266916,115.30083442722173,144.1838298573823,151.8394890093271,171.28280470428254,148.67198286822165
41,1995-01-07 16:37:10+00:00,170.14527761832787,119.57586607731936,114.2120640965306,137.21860690737213,108.21616536077684,116.27912920398953,134.2963651875703,147.69196538503226,165.28108119727437,155.28706322486127
42,1995-01-23 16:36:35+00:00,169.62121487592603,116.968597419791,,138.510462571497,105.88130530845352,123.47147603472658,140.28768969365865,152.5014707657123,164.88192694046455,145.90408009244783
43,1995-02-24 16:35:19+00:00,188.61515771467333,129.36543937197874,,153.28109679162858,125.39849785978373,139.74635580304508,160.124480418209,165.84477238263577,171.67978386177245,164.01091465630137
