dates,nzd0283-0000,nzd0283-0001,nzd0283-0002,nzd0283-0003,nzd0283-0004,nzd0283-0005,nzd0283-0006,nzd0283-0007,nzd0283-0008,nzd0283-0009,nzd0283-0010,nzd0283-0011,nzd0283-0012,nzd0283-0013,nzd0283-0014,nzd0283-0015,nzd0283-0016,nzd0283-0017,nzd0283-0018,nzd0283-0019,nzd0283-0020,nzd0283-0021,nzd0283-0022,nzd0283-0023,nzd0283-0024,nzd0283-0025,nzd0283-0026,nzd0283-0027,nzd0283-0028,nzd0283-0029,nzd0283-0030,nzd0283-0031,nzd0283-0032,nzd0283-0033,nzd0283-0034,nzd0283-0035,nzd0283-0036,nzd0283-0037,nzd0283-0038,nzd0283-0039,nzd0283-0040,nzd0283-0041,nzd0283-0042,nzd0283-0043,nzd0283-0044,nzd0283-0045,nzd0283-0046,nzd0283-0047,nzd0283-0048,nzd0283-0049,nzd0283-0050,nzd0283-0051,nzd0283-0052,nzd0283-0053,nzd0283-0054,nzd0283-0055,nzd0283-0056,nzd0283-0057,nzd0283-0058,nzd0283-0059,nzd0283-0060,nzd0283-0061,nzd0283-0062,satname
1999-08-21 21:46:56+00:00,642.58,351.65,,,,,354.85,345.13,336.38,335.68,332.49,321.99,308.47,299.57,298.17,304.16,309.35,317.84,328.58,333.81,336.47,331.79,322.96,314.07,310.43,309.91,316.13,313.43,311.15,318.37,322.47,321.23,314.14,317.52,323.02,333.16,333.69,330.74,340.79,341.05,343.85,331.51,333.34,329.63,330.13,333.87,311.71,302.65,288.58,300.04,307.95,307.04,302.42,300.38,309.50,324.82,322.16,,325.96,328.94,,,,L7
1999-09-22 21:47:00+00:00,641.78,361.57,385.35,,,,372.64,358.45,344.22,337.38,342.40,334.11,318.27,311.97,309.62,315.85,320.85,329.62,337.30,344.46,349.06,338.75,326.36,321.26,319.18,318.96,319.50,317.14,317.70,322.13,325.97,323.77,324.44,322.19,318.27,335.07,343.39,340.56,345.15,348.49,346.64,340.88,338.77,334.48,328.56,328.97,312.37,299.73,298.82,308.04,309.29,303.71,303.38,314.25,327.76,335.02,338.75,,341.69,342.53,,,,L7
1999-10-24 21:46:56+00:00,641.31,357.82,367.51,,343.03,346.53,363.79,347.21,344.22,337.38,342.40,334.11,310.56,303.62,301.23,307.16,312.39,320.40,329.17,337.32,341.26,330.88,319.82,316.72,312.67,312.37,313.99,309.55,308.76,314.47,322.25,319.34,316.31,312.80,310.88,329.84,343.92,340.90,338.57,343.58,341.71,331.98,329.52,325.84,323.24,327.58,304.44,295.78,296.82,300.31,296.21,294.68,299.35,307.13,316.34,323.41,329.52,326.75,335.08,332.64,315.17,313.61,324.72,L7
2000-01-12 21:46:54+00:00,642.79,357.82,367.51,,343.03,346.53,363.79,347.21,344.22,337.38,342.40,334.11,310.56,303.58,301.00,306.90,311.84,320.57,329.17,337.93,344.74,333.14,322.86,320.36,316.43,314.74,314.13,313.08,312.88,316.57,323.77,322.88,320.05,315.46,313.70,329.01,340.18,340.02,342.12,349.51,345.09,337.78,333.88,333.01,334.61,334.00,313.31,306.87,301.75,303.06,298.73,298.91,302.89,309.77,315.71,320.94,326.43,326.75,335.08,332.64,315.17,313.61,324.72,L7
2000-02-13 21:46:48+00:00,643.47,362.22,369.29,374.51,358.60,364.69,367.69,351.47,347.45,343.63,346.61,339.60,316.64,307.27,304.84,310.25,314.43,323.23,332.64,341.55,347.75,336.19,325.88,322.91,319.45,316.47,315.68,317.27,316.62,319.37,325.99,325.22,322.89,318.55,318.84,330.56,341.68,343.39,349.54,356.66,352.52,344.73,338.09,334.33,334.81,334.44,316.97,312.64,306.05,306.03,300.41,302.85,306.17,311.12,316.65,320.62,325.47,330.96,334.78,332.55,323.46,322.31,333.90,L7
2000-05-19 21:46:07+00:00,646.45,366.26,360.14,361.90,366.11,373.85,369.46,358.32,345.56,342.40,345.27,338.30,326.24,311.74,311.05,314.07,318.86,327.35,336.05,349.21,357.32,342.49,333.88,329.78,327.77,322.57,320.12,327.36,326.18,323.56,330.08,329.09,326.42,322.87,328.71,330.50,331.39,342.58,359.15,368.16,361.40,357.96,348.66,341.02,341.28,334.98,329.03,329.20,316.86,312.18,306.74,309.67,313.06,311.84,312.56,312.86,318.22,332.50,329.76,327.96,331.74,331.00,343.08,L7
2000-08-07 21:45:08+00:00,645.68,362.62,361.25,361.24,366.00,373.86,368.56,356.79,344.87,340.75,345.57,336.90,322.90,314.71,315.34,314.94,319.47,330.45,340.17,351.37,356.24,342.96,334.44,328.51,328.48,323.17,320.58,326.11,325.54,325.82,331.51,327.73,325.35,324.21,331.49,331.75,334.85,345.00,361.81,370.67,364.00,357.55,350.77,337.27,331.18,327.44,323.47,321.87,314.71,314.02,306.79,311.81,314.04,310.47,310.47,313.44,321.13,333.28,325.72,328.75,331.83,331.00,343.08,L7
2000-12-13 21:44:28+00:00,644.94,355.32,363.46,359.92,363.37,370.22,362.84,349.13,339.44,338.16,346.39,333.09,318.21,312.48,312.60,311.10,312.97,326.43,337.22,344.74,354.16,341.38,334.94,330.19,328.82,326.57,319.14,320.65,332.61,337.70,338.57,333.69,331.88,333.08,336.32,340.34,347.46,356.22,368.89,380.73,370.50,363.99,356.44,346.07,344.41,345.67,338.13,332.77,329.73,326.69,318.23,325.88,326.50,326.30,321.68,329.79,336.14,343.20,333.91,338.62,338.06,346.11,368.07,L7
2001-04-04 21:44:06+00:00,640.21,360.78,360.85,356.29,360.81,367.44,361.05,348.62,337.81,338.40,342.13,332.44,320.58,308.85,306.69,309.44,311.03,314.23,327.71,342.39,353.49,340.24,329.62,324.02,315.80,316.57,314.01,313.12,324.24,328.14,333.00,330.48,329.53,333.43,334.62,340.97,346.57,357.14,360.62,374.59,369.68,364.66,354.25,342.37,341.80,347.07,346.78,339.65,336.86,322.24,320.51,321.42,324.76,326.25,328.68,333.34,341.64,350.77,347.02,341.98,338.10,343.12,358.29,L7
2001-04-20 21:44:10+00:00,641.63,365.10,363.07,362.49,364.44,368.78,363.85,353.74,344.67,346.51,343.38,337.66,326.56,313.12,307.49,308.76,313.67,319.21,330.22,344.85,355.37,343.94,330.43,324.29,316.43,317.80,315.25,316.25,324.58,326.72,332.17,331.46,331.76,334.62,334.69,338.09,345.18,355.76,362.04,375.67,368.80,365.82,358.42,347.25,347.22,349.83,346.19,337.80,331.89,319.30,318.22,321.96,324.99,324.03,326.70,332.54,341.85,353.62,352.58,347.86,344.07,354.72,363.67,L7
2001-05-22 21:43:54+00:00,641.89,352.01,349.88,348.50,355.93,359.77,355.62,344.19,344.67,337.64,336.87,332.07,319.42,307.35,303.22,305.00,309.60,315.16,325.94,339.19,348.25,335.95,323.85,318.25,311.39,312.85,313.03,313.93,319.06,323.64,330.61,328.43,328.72,331.50,332.83,334.89,341.14,352.15,360.77,373.88,367.74,362.47,355.58,346.41,342.85,345.30,341.80,333.79,326.29,314.80,314.56,319.98,320.18,319.48,323.37,330.13,339.37,352.12,348.13,344.83,344.14,352.63,359.61,L7
