dates,satname,nzd0260-0000,nzd0260-0001,nzd0260-0002,nzd0260-0003,nzd0260-0004,nzd0260-0005,nzd0260-0006,nzd0260-0007,nzd0260-0008,nzd0260-0009,nzd0260-0010,nzd0260-0011,nzd0260-0012,nzd0260-0013,nzd0260-0014,nzd0260-0015,nzd0260-0016,nzd0260-0017,nzd0260-0018,nzd0260-0019,nzd0260-0020,nzd0260-0021,nzd0260-0022
1999-12-25 21:59:16+00:00,L7,321.14,302.03,276.61,282.00,306.32,314.51,308.47,301.35,303.99,312.43,298.59,317.92,325.14,315.52,329.53,327.12,331.65,328.04,326.24,322.36,319.35,323.90,321.74
2000-01-10 21:59:16+00:00,L7,322.42,305.88,299.57,322.41,346.32,349.05,332.83,325.05,332.88,330.58,329.59,325.48,334.60,345.72,349.78,357.85,349.89,339.01,337.96,336.53,331.95,333.15,338.23
2000-03-14 21:58:59+00:00,L7,332.84,310.54,305.79,328.13,350.71,370.84,365.35,364.27,364.26,368.00,354.04,355.70,363.94,377.11,363.84,386.75,366.76,354.89,344.89,355.36,361.93,352.09,351.81
2000-03-30 21:58:57+00:00,L7,319.06,290.85,279.37,,350.69,368.23,367.23,362.35,349.14,358.80,333.52,336.78,349.12,348.23,367.22,361.87,357.34,338.50,336.75,327.09,337.06,324.53,324.20
2000-07-04 21:58:02+00:00,L7,323.44,283.22,247.44,270.90,279.91,325.51,,,167.14,172.91,247.61,261.43,267.72,264.53,336.65,347.59,331.18,323.86,320.25,314.56,321.35,327.09,319.53
2000-08-05 21:57:32+00:00,L7,321.41,267.42,210.34,247.94,277.55,301.23,,,163.76,165.92,251.39,247.42,271.09,252.76,295.58,277.82,296.70,286.50,271.38,270.28,267.59,281.71,270.24
2000-09-22 21:56:53+00:00,L7,330.40,311.22,298.65,,,,,,,,,,,,,,343.58,333.18,326.75,318.67,325.72,347.39,337.62
2000-11-09 21:56:45+00:00,L7,323.30,303.67,270.82,286.73,324.89,334.55,317.50,309.12,296.49,303.86,296.52,321.65,334.77,348.56,346.94,351.11,348.36,334.15,320.07,321.96,332.05,323.22,322.47
2000-11-25 21:56:47+00:00,L7,304.90,282.16,268.66,279.26,297.70,307.57,303.13,296.01,279.48,287.11,262.91,288.25,307.24,308.38,318.77,312.31,319.87,311.36,,,,310.72,308.74
2001-03-17 21:56:40+00:00,L7,320.89,290.37,275.58,310.27,345.86,360.24,353.36,363.13,362.99,368.57,367.96,371.45,365.26,375.60,385.80,392.82,389.07,382.06,374.39,374.03,377.92,365.75,350.71
2001-04-02 21:56:30+00:00,L7,585.31,310.75,267.62,272.24,,365.50,351.97,352.20,354.26,354.49,248.06,202.45,347.17,376.80,378.88,387.85,,,,,,266.30,
2001-09-25 21:54:52+00:00,L7,356.46,327.45,317.25,339.06,338.17,364.39,360.84,344.91,342.10,355.71,362.06,370.05,393.14,397.01,387.65,386.01,372.04,357.28,366.36,375.44,379.96,380.60,364.68
2002-02-16 21:55:18+00:00,L7,328.41,310.63,292.83,312.67,352.39,352.57,346.77,342.47,343.42,342.54,342.91,352.81,366.13,366.72,372.84,361.18,360.92,363.28,372.85,364.79,377.38,377.56,363.59
2002-08-27 21:54:24+00:00,L7,337.72,312.58,,283.65,282.60,318.40,303.36,307.16,170.48,192.31,250.96,281.94,285.36,279.88,332.40,339.21,331.96,320.11,322.35,329.21,324.64,312.23,302.66
2002-10-14 21:54:07+00:00,L7,345.02,321.48,313.82,329.58,355.31,355.81,346.63,330.18,339.99,342.32,360.58,354.81,353.91,371.93,377.02,358.41,354.40,352.37,342.27,344.22,324.64,327.66,319.99
2002-12-01 21:54:40+00:00,L7,330.80,314.09,298.95,,349.77,350.31,340.88,330.29,329.39,335.69,332.49,325.78,331.40,344.92,352.13,352.76,348.63,346.09,336.47,319.96,308.51,312.49,321.38
2003-01-18 21:54:54+00:00,L7,302.08,282.11,273.45,290.59,286.06,295.24,287.83,294.00,281.69,300.66,303.88,304.70,317.54,312.42,316.44,311.39,321.49,306.13,299.56,293.31,290.30,300.66,299.28
2003-02-19 21:55:06+00:00,L7,285.38,250.73,249.73,249.05,275.59,289.59,178.34,,167.15,177.27,250.85,249.06,257.68,265.84,290.45,276.36,306.78,295.31,289.51,286.70,282.76,278.70,275.42
2003-04-24 21:55:10+00:00,L7,321.40,290.79,274.58,282.70,330.41,345.01,346.15,348.98,340.13,340.48,362.43,363.18,370.98,379.11,376.21,365.02,365.51,365.47,366.43,366.52,355.55,351.56,343.88
2003-07-21 21:42:57+00:00,L5,339.22,300.46,239.71,267.06,282.87,307.51,,,164.93,181.52,240.33,256.93,265.44,265.49,366.64,370.45,362.76,370.45,364.82,363.10,364.51,355.14,354.12
2003-07-29 21:54:53+00:00,L7,322.10,279.05,251.01,274.92,280.38,307.36,,,,184.81,249.09,267.04,271.43,270.01,302.62,327.46,322.73,322.15,320.50,333.97,,,
2003-11-18 21:55:03+00:00,L7,361.22,315.66,314.04,325.42,341.41,346.30,336.34,328.22,343.47,350.92,340.19,,,372.50,361.68,374.65,359.00,360.68,359.94,343.15,340.20,360.97,351.49
