dates,nzd0260-0000,nzd0260-0001,nzd0260-0002,nzd0260-0003,nzd0260-0004,nzd0260-0005,nzd0260-0006,nzd0260-0007,nzd0260-0008,nzd0260-0009,nzd0260-0010,nzd0260-0011,nzd0260-0012,nzd0260-0013,nzd0260-0014,nzd0260-0015,nzd0260-0016,nzd0260-0017,nzd0260-0018,nzd0260-0019,nzd0260-0020,nzd0260-0021,nzd0260-0022,satname
1999-12-25 21:59:16+00:00,326.14,311.36,282.44,287.38,314.56,322.75,318.47,305.59,316.72,332.43,321.92,327.92,330.33,326.29,343.53,339.85,342.42,336.79,337.01,330.60,327.13,333.90,333.41,L7
2000-01-10 21:59:16+00:00,325.71,311.28,292.67,306.44,332.79,338.25,328.50,316.53,328.44,337.22,332.42,329.56,333.94,339.08,350.65,352.49,349.23,340.40,340.56,335.92,331.76,336.38,339.15,L7
2000-03-14 21:58:59+00:00,326.42,307.93,295.10,311.87,336.02,346.37,337.45,331.03,336.13,340.81,331.85,334.94,342.21,348.17,350.38,359.66,351.48,342.31,338.41,339.65,339.22,338.28,339.48,L7
2000-03-30 21:58:57+00:00,324.38,303.29,290.94,311.87,339.37,351.51,344.50,338.69,338.88,344.52,331.35,335.00,343.74,347.76,354.04,359.72,352.52,341.01,337.57,336.19,338.38,334.45,335.20,L7
2000-07-04 21:58:02+00:00,324.85,298.39,283.52,324.12,347.63,354.09,353.18,349.73,346.27,348.56,334.49,337.37,348.21,354.92,355.52,364.56,352.18,339.78,335.85,334.06,338.71,335.03,334.40,L7
2000-08-05 21:57:32+00:00,322.56,284.97,277.06,322.75,345.94,354.19,360.50,360.86,349.33,351.83,330.28,340.45,353.53,356.44,354.77,364.37,350.89,338.37,333.09,331.67,339.48,333.76,330.90,L7
2000-09-22 21:56:53+00:00,321.65,284.57,274.21,,349.40,349.99,365.66,361.68,347.14,355.66,329.85,335.21,348.31,346.54,357.24,359.55,342.29,330.43,326.18,318.77,326.78,331.38,325.23,L7
2000-11-09 21:56:45+00:00,324.28,290.72,273.80,292.65,333.95,338.33,328.50,,310.49,325.86,322.19,332.65,340.47,360.41,355.89,362.17,343.81,332.65,325.13,320.51,328.37,335.14,329.54,L7
2000-11-25 21:56:47+00:00,322.42,292.76,275.46,291.38,324.12,333.60,325.88,,307.81,326.63,316.05,320.52,329.08,345.24,352.92,354.10,343.25,331.73,325.13,320.51,328.37,334.07,330.21,L7
2001-03-17 21:56:40+00:00,321.16,299.25,279.93,296.16,329.05,340.36,332.23,359.55,322.62,334.99,326.80,320.52,339.68,352.33,361.10,361.72,352.99,342.44,336.87,335.51,342.67,339.34,332.88,L7
2001-04-02 21:56:30+00:00,320.15,299.67,272.50,288.82,329.05,344.56,334.63,353.73,327.31,334.79,326.80,320.52,340.24,355.72,362.00,365.02,360.59,349.15,348.62,349.05,355.99,340.80,336.14,L7
2001-09-25 21:54:52+00:00,351.46,309.70,286.56,300.23,329.93,356.65,346.33,344.28,335.36,334.95,338.73,,341.91,376.06,369.16,374.11,361.27,348.53,355.59,367.20,372.18,370.60,353.01,L7
