,dates,per0186-0000,per0186-0001,per0186-0002,per0186-0003,per0186-0004,per0186-0005,per0186-0006,per0186-0007,per0186-0008,per0186-0009,per0186-0010,per0186-0011,per0186-0012,per0186-0013,per0186-0014,per0186-0015,per0186-0016,per0186-0017,per0186-0018,per0186-0019
0,1985-01-10 14:42:03+00:00,201.6719668676234,194.10516709641502,197.82045852858695,196.82964662859584,200.31318297753685,205.1975529331084,198.022421341012,189.7492517856459,182.7447770541643,186.0823225981364,188.4739641729275,206.12163242615694,173.64495429062688,174.88733131240414,185.34243711527319,181.17537176222865,178.52793952883877,189.46611938660288,190.1427268149591,196.4222221633848
1,1985-01-26 14:42:08+00:00,201.69866038030383,198.97185143080983,206.6092314591748,201.91317838894795,201.08728601384746,210.88246196823985,209.93783652560666,193.4191224938187,184.56433376526454,,,,,,,,,,,
2,1986-04-19 14:37:04+00:00,195.83290746163533,179.90063665221086,197.88643565813305,,175.18223124305928,199.87965724781634,,,,,,,,,,,,,,
3,1986-05-05 14:36:40+00:00,190.55783324938565,173.86589144819808,173.71567139785375,,163.32047159210006,185.58417581084518,,,,,,,,,,,,,,
4,1986-12-15 14:30:32+00:00,199.40443368897297,187.67632586636444,195.0676259842856,199.62013467426388,196.1643748788051,208.41718999153753,213.05303282274483,201.20388571694556,185.9935937819474,190.0544750048474,195.59423908659628,184.55523037534428,197.95647128343342,187.13921558363958,178.31300938866846,185.13902376878764,195.8385260142123,188.27960766858027,184.47250856925376,203.00999533662124
5,1986-12-31 14:31:01+00:00,193.47874879241866,176.82630940086662,188.3466577167293,193.1766861829901,187.26047505126888,204.97726358957843,207.67088220569002,195.24743105979408,186.31503426191782,191.25354326681006,197.5824942397947,181.6676979589479,194.54489855504875,181.2273861423739,177.37422599753452,180.16611233328095,197.71952306367467,187.1812718923683,190.14246926480573,202.16204096827641
6,1987-04-06 14:34:23+00:00,191.88395730405324,174.24149728841564,199.08226947828018,,171.30309206467538,212.23462064382517,211.3482590514841,,,,,,,,,,,,,
7,1987-05-24 14:35:48+00:00,191.80741714754777,174.83539020439346,162.0347021747193,,171.39965692367485,204.87933304964997,195.6559189099763,188.56780497014722,,,,,,,,,,,,
8,1987-10-31 14:39:29+00:00,198.12489463169192,181.20834029152755,180.21393847569942,191.7485912193607,195.88410581115636,191.7779920429979,200.95343201523914,188.38518291513992,188.09622948813274,184.8456893475929,184.13611044857853,,,,,,,,,
9,1987-11-16 14:39:51+00:00,201.01398575438972,184.52706306570866,185.27106600763213,,,,,,,,,,,,,,,,,
