dates,nzd0410-0000,nzd0410-0001,nzd0410-0002,nzd0410-0003,nzd0410-0004,nzd0410-0005,nzd0410-0006,nzd0410-0007,nzd0410-0008,nzd0410-0009,nzd0410-0010,nzd0410-0011,nzd0410-0012,nzd0410-0013,nzd0410-0014,nzd0410-0015,nzd0410-0016,nzd0410-0017,nzd0410-0018,nzd0410-0019,nzd0410-0020
1999-09-04 22:00:33+00:00,120.94216689611044,117.13700594691188,117.17258086781354,130.296891867427,142.5310475962357,139.90210355753192,141.28734562325056,152.6966695780316,162.61831919880575,167.8381762462947,165.6574322339591,172.25857334438987,168.92655318106853,168.27180651527522,167.279754163657,172.01326523478755,158.62059704506413,144.00752381427353,143.80169209220617,128.81438284275652,133.19537173028544
1999-10-22 22:00:28+00:00,148.0760039515178,145.4838129387449,144.5510123167508,149.64463052446766,157.73848218311863,158.87402962297915,158.39323826292494,170.03989009582662,176.58837613677926,189.57441427901813,185.97313538175712,185.8093211440707,180.66593449798455,177.84072193336007,176.83525880219452,169.93987019662532,162.610247452665,151.16086103655283,133.38672094907346,133.52418062235705,138.70741397520885
1999-12-09 22:00:33+00:00,,,,,,,151.7000359191928,157.2292163927915,161.74877543323944,169.32292320372605,170.12421159722132,164.292592967866,159.73034359734433,157.68907919165085,154.74154507738217,,,,,,
1999-12-25 22:00:28+00:00,137.32128894823236,133.64291003005383,141.29580140025857,146.97547998472643,155.24739857260855,155.66029080444758,154.05724568852597,157.49939043281677,166.88865332541428,172.35470993230712,164.3903121766991,161.65967877604047,163.16649958693276,155.8640352511413,155.64658124648497,153.82314027568506,147.52381485619424,133.34131160029878,122.51195145053047,125.06649751072403,134.70345228935244
2000-01-26 22:00:26+00:00,143.31997769508936,131.9846930434945,140.04030897535895,148.57391319087316,151.5200646456296,154.60721456320485,150.94679378451664,155.35444162037723,155.03417150550283,166.24855974832442,170.08414748059036,155.95253029315745,154.48987695159778,150.23668326619384,149.36754269731162,152.79079496979992,147.75810758471704,135.29297167185644,132.82060245722442,134.91240621392464,141.07328447663983
2000-02-11 22:00:21+00:00,150.84114439322207,144.45766108214124,150.1415736204823,160.44283937414127,164.65075635520702,165.69256982120308,164.54977020025245,166.28431561268474,169.5227946151572,181.61635186466225,173.35066446757466,163.87123769585298,157.7841160351012,154.66027563307205,153.82877868961737,148.74205827865646,138.0492113414564,121.92124209455679,121.54506441949617,125.65186610105411,137.59557661402042
2000-02-27 22:00:16+00:00,147.55101063521298,146.18804297365264,149.4872149286358,151.79680408431105,148.8401415378604,152.36306132772702,149.70484796185255,152.32221397945494,156.9532480881344,168.99469456221982,157.80429784922217,148.42255912414873,144.30808905310323,143.054173737351,143.9616741441007,152.77086170705232,146.26427335870997,136.39631803287548,129.2877807425626,131.2357742376085,139.05363782237976
2000-03-30 22:00:09+00:00,144.88867475275367,142.3670006597327,145.4779938713718,149.6889435578797,153.06936122855547,151.06345861534498,151.75442370226187,156.4280505811074,163.65551747286528,166.93063623934142,160.199256293892,154.34409663529274,151.36993556432836,148.19824854656113,162.0808044967467,167.50708051182863,165.9958741781809,157.45981633050056,154.2699808862737,155.4365007007781,159.6956846565599
2000-04-15 21:59:55+00:00,143.73407011999143,139.42027585758018,141.79695689399682,143.45891796860923,142.880704865539,145.72708763679864,146.7198342002621,146.54164938186065,149.44924846811278,161.64415177683273,161.33876739944995,149.3792324572723,141.2908129055115,151.78104456829013,155.02998122039813,160.06545783321283,155.10542335866248,150.85748643674245,145.21617467483654,146.37400341777283,144.86752091555414
2000-05-01 21:59:54+00:00,144.7845446219063,140.24154002440346,154.44614697939272,154.80353384412183,158.58880186010947,156.2753835163653,153.58851541463235,155.6469956551207,158.5026294142018,169.77536680553035,171.90245055552737,169.67767776262212,167.02727447416925,171.9302163955794,170.92900073407284,172.22461600330226,171.79251247318538,159.2185609570246,152.31771486273587,148.37646326487055,143.40744856550438
