dates,satname,nzd0410-0000,nzd0410-0001,nzd0410-0002,nzd0410-0003,nzd0410-0004,nzd0410-0005,nzd0410-0006,nzd0410-0007,nzd0410-0008,nzd0410-0009,nzd0410-0010,nzd0410-0011,nzd0410-0012,nzd0410-0013,nzd0410-0014,nzd0410-0015,nzd0410-0016,nzd0410-0017,nzd0410-0018,nzd0410-0019,nzd0410-0020
1999-09-04 22:00:33+00:00,L7,325.97,315.86,315.53,327.17,339.97,336.26,338.88,350.92,360.16,365.43,363.53,370.53,366.96,366.74,365.41,370.83,356.89,342.02,342.34,327.19,330.95
1999-10-22 22:00:28+00:00,L7,353.37,349.52,348.69,355.43,363.76,366.45,363.30,374.20,381.48,395.63,389.95,389.70,384.69,381.24,380.71,373.79,365.90,354.60,338.34,337.40,342.54
1999-12-09 22:00:33+00:00,L7,,,,,,,348.86,354.59,359.30,367.30,367.22,361.51,357.17,355.87,353.05,,,,,,
1999-12-25 22:00:28+00:00,L7,334.58,329.13,336.28,341.24,349.71,349.81,348.69,351.72,362.10,367.22,360.03,357.61,358.85,351.50,352.44,349.85,344.13,329.58,318.25,321.22,331.46
2000-01-26 22:00:26+00:00,L7,336.20,324.89,332.27,338.50,341.49,342.42,342.41,347.59,346.49,357.27,362.66,349.60,347.08,344.34,342.79,345.95,341.86,328.95,325.70,327.49,333.66
2000-02-11 22:00:21+00:00,L7,343.30,336.95,341.76,350.24,354.57,353.84,355.71,358.28,360.91,372.64,365.75,357.13,350.46,348.39,347.47,341.72,331.76,315.14,313.91,317.63,330.01
2000-02-27 22:00:16+00:00,L7,343.77,342.50,345.39,346.69,343.48,346.24,345.30,348.29,352.79,364.56,354.08,345.11,340.28,339.85,340.49,349.21,343.26,332.93,325.62,327.42,335.24
2000-03-30 22:00:09+00:00,L7,347.85,344.32,347.75,352.42,355.71,354.10,353.96,358.53,365.92,369.17,362.16,356.17,353.41,350.28,364.05,369.54,367.93,359.34,356.31,357.88,361.89
2000-04-15 21:59:55+00:00,L7,353.08,348.35,350.37,353.61,353.82,357.21,355.57,354.78,358.23,370.42,369.34,357.14,349.29,358.18,361.77,368.77,362.15,358.43,354.12,354.91,353.27
2000-05-01 21:59:54+00:00,L7,356.68,348.04,363.33,365.14,368.13,367.54,361.85,363.90,367.33,378.95,379.26,376.31,374.28,378.17,377.59,379.14,378.17,365.68,359.33,356.31,350.76
2000-05-17 21:59:43+00:00,L7,348.99,350.51,350.55,364.37,364.92,365.82,368.29,369.74,373.59,376.87,374.34,372.03,367.30,369.58,369.81,374.96,366.50,354.79,347.97,345.79,349.85
2000-06-18 21:59:27+00:00,L7,,,,,,,,,,,,,,,,,,,,361.38,356.36
2000-07-04 21:59:14+00:00,L7,318.11,295.66,282.15,326.90,333.92,332.28,337.98,342.65,355.69,357.03,360.59,352.47,351.74,352.38,355.55,359.72,357.62,346.61,331.92,348.60,341.02
2000-08-05 21:58:44+00:00,L7,298.04,314.37,322.13,328.78,331.22,323.61,321.43,323.21,331.33,339.52,343.83,334.47,333.38,339.10,350.83,361.91,370.28,369.12,368.32,370.69,367.35
2000-09-06 21:58:22+00:00,L7,331.41,316.35,320.65,324.72,336.28,336.77,342.38,342.58,351.53,359.87,363.16,355.55,356.20,357.29,374.27,372.78,370.38,356.90,354.56,354.74,354.36
2000-10-08 21:58:00+00:00,L7,332.00,322.02,329.98,339.08,345.08,350.66,348.92,353.85,377.55,380.56,382.81,376.48,374.24,383.71,380.20,377.70,375.75,356.39,343.97,336.83,338.84
2000-11-09 21:57:57+00:00,L7,334.87,331.86,343.06,346.78,351.23,356.75,359.98,365.69,370.36,388.80,384.04,381.06,374.44,372.23,372.90,372.39,357.24,344.04,334.59,334.37,338.62
2000-11-25 21:57:58+00:00,L7,350.67,347.39,354.40,359.76,362.10,357.93,359.50,363.85,369.49,380.13,373.36,371.16,366.65,366.27,359.62,359.03,349.11,334.71,325.12,319.52,328.45
