,dates,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047
0,1999-08-17 22:12:26+00:00,,,254.50372099863898,246.755122815898,221.307476585421,,219.96912171716815,218.80661798052168,220.10795018459254,,,228.74011182438855,220.3582427193124,224.8660586539067,,242.19254810262012,233.72578121307347,,243.58833500362886,252.79176941505557,,241.4135649578903,230.7940036031717,233.63293286141254,,,,233.77970753366753,207.32615981115663,220.54525162290335,,,,,,,,224.49363682011813,226.18142076790286,213.1602785923173,211.8462632696826,215.45887837670875,,,232.62647382333103,,,
1,1999-10-13 22:06:24+00:00,269.6532944877965,179.38535804410017,270.2233523156022,255.03419589228147,224.56951337837944,,217.30863507348798,216.05726086048594,223.07729267560867,,,236.19509353021397,235.31017628707676,233.49595504045703,,240.08648556716497,225.63361463349324,,232.94629346044786,237.3426887925917,,234.1406750072109,227.3029632833569,224.0884715996043,,,,233.2802052580893,220.50121388224804,,,222.91110266207536,,,,,214.0015699049613,204.4010313369016,216.265423084356,212.4270932079648,223.8624550849224,234.45059065312256,,,223.51282460254777,,,
2,1999-10-20 22:12:27+00:00,269.53674359748504,,269.32878907890006,252.8732051157441,199.51064101703625,186.43044189203022,207.71374254939087,,,194.87035758902366,196.53457916655458,200.54123580830336,,198.0135410717554,,198.9989695632925,,180.2351080374024,181.09054777975177,,,,,211.2401082892002,209.06692953592068,224.9022460700939,214.9622323326636,208.70332737577192,199.39415367553127,,,,,,177.8553458159022,177.45921687133983,186.32971608817576,185.2903288098365,196.22929477861754,,189.34108235865048,,,162.5404749204656,,,,
3,1999-11-21 22:12:24+00:00,,204.92179065759888,,245.83629706853372,210.4564970847639,,214.11153450383853,207.17320352507068,219.586194770849,231.25346291411648,231.42791858774623,238.40594154992345,235.69102840462,221.6292243920623,,218.05958836900814,213.68545272959506,213.84399651055884,237.87650058412984,236.59807386339324,226.15895786245466,,,240.7022060837349,237.2122091113889,253.76539994966777,235.86422569211715,227.8500249395097,,,,,,,198.58368700336806,205.00658141869525,212.8979722627333,197.68431439807773,211.36486121007312,,229.40000631522895,,,211.7664366283098,,,,
4,2000-01-08 22:12:26+00:00,271.201533337649,,272.63046104463467,260.8378054412024,230.80416124712897,226.54181166519777,224.41150671719842,215.14303649565719,,,236.50236977681982,246.3695067773781,251.36615908878818,240.32528048091723,,248.66766347913523,,,251.65533529583357,245.29463874718886,,233.27641079600622,,233.99571541536534,,,248.57787064869987,244.38910965903668,239.3124287795921,,,,,,202.73162424653384,,215.83679084141522,199.56102800447348,221.9629341077773,223.51159135757098,231.52643623176027,250.08362468525002,,237.38331118774238,208.90435152353297,,,
5,2000-01-24 22:12:23+00:00,,196.44443259141838,222.84048421964448,213.6202902296812,198.8526211589998,,217.90603950688705,213.3166104676577,215.9277917279553,227.7398652288486,209.8311771135999,241.67095457547376,209.2517839589475,219.22788355787148,,247.9474502324294,,,240.28475822424932,241.38218645771576,,221.0360681364084,229.6047091388902,237.46950997786286,,,,243.66357973644537,229.84441729589273,231.07810430931517,,218.19431702571217,,,,,,,234.81918215696825,233.8135715017588,,245.72313685065052,,236.76850694767285,,,,
6,2000-03-12 22:12:09+00:00,,,,,,,221.13138273825422,212.90976959521052,222.31509145667897,238.13823820332493,,,,,,277.10340001465426,,,,253.4726003095024,,234.3592837276331,225.52053796092918,231.07890190157343,,,,,,252.1844874665279,236.9018131415595,230.97887581040595,,217.99553627414608,,,,,,239.90309850481117,,,,247.52774306664156,,,,
7,2000-03-21 22:06:01+00:00,243.1724156429662,,242.99296549720972,,204.91614988942723,207.39543616521635,,199.77073082654528,,,212.66702327785924,224.74032306679462,223.30234563133237,218.32014421117935,,223.44159935064738,224.36659527564532,222.67163113208224,231.17075520531597,224.68082631486436,210.29299239996007,,,,225.05465445651504,240.30147480681995,234.88585988532364,,,,,,,,,192.2264172202158,200.13588711976186,193.49404335615404,,,,,,,183.56687131289914,,,
8,2000-05-24 22:05:22+00:00,,153.77432914193554,,238.63478409162627,215.6838292763592,,212.61010460163817,204.73374278283276,219.85873368202218,,,224.44884800425888,,210.629538371718,,231.18850167660307,196.07664025946258,224.4407854699809,221.71246789512344,223.4515860122927,,227.57337174616578,234.4680729889048,245.96878937076363,,,,232.35725864040825,214.7638939886621,209.91894710974947,207.4718778474952,,,205.82783549173115,,,,,231.57781347979156,224.8150307275675,,228.68230809592316,238.4518395345168,,,,,
9,2000-05-31 22:11:30+00:00,,,,,,,,,,,197.56772936319598,,203.06977102409667,,,,,,,,199.6959611821214,,,,208.9631055043009,222.38986114004578,212.31530676250333,,,,,,,185.85127319968285,171.34247928575974,171.90601577637392,188.18920190959915,171.45609563714297,,,,,,,,,,
10,2000-08-03 22:10:43+00:00,,205.96510291228282,,247.1539637605915,222.89388834623134,,223.48954222777948,217.04763988697786,220.43769821353973,,,237.06898287954016,,247.91763421060392,255.84479263674527,231.6744393236462,215.55314054784887,226.8363861623974,221.42688906887264,233.666495202834,242.96584948880135,230.25629751382408,216.8776319094146,217.47579710020415,,,,248.2588220527481,239.5210486339536,236.3545014301608,,,,,,,,,222.5484023914663,220.03362302773817,224.51156996055605,242.69417900710775,246.16106102892718,253.43599565929594,,274.5455916507931,,
11,2000-08-19 22:10:38+00:00,,192.6944033317985,,248.6966541551179,232.67415479613774,,232.1104815802867,217.71157025871682,230.5070135357903,247.73367899800562,,253.44891114724888,,,277.8218049814761,241.6971826176845,227.01500086933893,236.74905499817848,232.265269135679,234.28189787407155,223.76902843582994,228.1649167347974,224.63670058459087,229.99696880789705,,,,235.93881099312603,226.76784060856016,,,,,,,,,,214.7180162832342,213.36069305142973,224.1049766240196,239.34435408528893,250.83963696559644,,,251.1930081208275,293.17991044746515,
12,2000-09-04 22:10:22+00:00,,212.75293894501021,,252.00532417459894,220.98797617962907,,218.36736249295745,207.45676127462187,215.5117021973501,,,238.95878942553415,,240.74004069967233,252.8337799563169,226.80587301989692,216.5706274173809,220.70900833079315,,,,,,,,,,,,,,,121.58852984961999,142.9894159737645,155.33873986061633,,,,228.19336462918864,231.40531135710282,240.45364049237187,,,,,,308.8139416281249,
13,2000-09-13 22:04:02+00:00,271.85413678375807,,232.87534579353246,,,203.58421953439193,,,,,211.10937832062112,,217.7084781803856,,,214.04574886929458,202.80615041863038,211.1207675297859,,,212.42560169263103,,,,210.36368618987134,220.56375157184476,213.8339345151779,,,,,,158.29905902261856,180.57846689256837,169.32659208514403,168.66337884023858,180.99388643488354,169.11148563750186,,,,,,,163.40081135919792,,,
14,2000-09-20 22:10:03+00:00,,185.52354232900456,,254.46384394373084,233.49982148071615,,225.95358169758353,221.79505130193996,229.0854480572037,251.5982337378076,,252.4415573844542,,252.80045459710416,288.58241565036684,,,,237.83969134109603,243.4170509663622,,224.96767728617058,211.38235769070846,214.11240154467663,222.7931913352471,210.22158435589319,206.53876967462554,,188.34105297457424,195.87833761876496,,,,,,,,,226.20035155828603,211.34311468093492,214.26416274015273,213.39389743584684,236.12801948930488,243.24636190243572,,240.41169328532987,,
15,2000-11-07 22:09:53+00:00,254.08194315494296,211.44791337554835,250.6726085380912,,,210.06295679440268,,,,,212.36241825295397,207.18289040784097,210.71409801989543,,,218.5699295060242,204.30091279693386,218.1826305866866,,224.56200914707236,212.82443870947768,,,216.11948126617148,219.06881752269675,226.0700793184917,217.82037122893908,213.37204241718317,,184.93347220497694,,,166.33282614026407,,,183.29292264709815,191.06078108076971,180.9812678667323,,,,,,,,,,
16,2000-12-18 22:03:49+00:00,,,,277.86840941763637,259.56627468659667,,253.20335573574852,241.03879835521656,244.50605511839882,256.10447969116905,,,,253.0038632216611,276.71406788121476,,,,266.1659800340329,,,261.3684061041211,,,,,,,,,227.86804558961785,,,,,,,,264.74117922617796,243.21404224501848,,260.3883346985238,259.094395796799,,,281.12608906487816,,
17,2001-01-10 22:10:03+00:00,275.18633313725513,251.0702450505531,282.30172412398315,,,232.1013169811227,,,,,231.81499999656828,235.27685686122578,226.19640680058552,,,213.84676589816027,211.89363573666174,216.8841828219937,,239.15827155612826,227.94441802333247,,,238.6008113009716,,,245.38668112784703,236.03395136715469,232.42179552853395,205.9577083512439,,,,200.92318850803974,,199.29709027112858,216.79388580618513,199.21664104270772,214.27614398629387,219.63394147461685,,,,,191.9320129057623,,,
18,2001-02-20 22:03:48+00:00,290.9017705979267,,298.2391062052298,,,,,249.27293731898877,249.33991926253557,,,265.5099096919384,255.23575086707316,,,228.3618998433782,227.14473197224194,232.45923478269728,,247.64668877160057,,,266.47841110131645,,,,277.6351357808883,268.3135418717502,261.4772128065068,,,,203.15649588041268,,,211.03133565711335,220.87707937059784,209.17327114842126,231.9145437426154,233.16084670151417,251.50326492750568,,263.221643797138,,,,,
