,dates,usa_CA_0274-0000,usa_CA_0274-0001,usa_CA_0274-0002,usa_CA_0274-0003,usa_CA_0274-0004,usa_CA_0274-0005,usa_CA_0274-0006,usa_CA_0274-0007,usa_CA_0274-0008,usa_CA_0274-0009,usa_CA_0274-0010
0,1984-04-14 18:24:49+00:00,185.31960345660508,184.81104709655722,172.51957158117855,178.99237932463257,183.38160012254565,176.35734558945475,171.70183674874062,173.98297707339492,182.1318644304594,166.22084392954133,175.69943943298966
1,1984-05-25 18:19:21+00:00,214.47376998728538,201.16536587805226,194.8643500785244,183.91492441966867,181.19626053787562,176.37978238649245,176.16095795908672,175.67708786283083,179.57679888994835,190.8003384003714,187.8401567626808
2,1984-06-10 18:19:41+00:00,201.8374728479915,192.79414012209062,190.82835850788103,174.7968772628245,173.29568978892746,166.48369741031775,162.88336793008006,168.01273256494477,172.51542272007282,170.01985500821067,181.61154694742302
3,1984-06-17 18:25:59+00:00,214.95982158593563,206.39594390970095,193.44726489958376,174.59393706896793,171.29601909454863,173.78661652241345,183.25800376999723,176.35394940679492,178.67837927239623,180.2421650926517,184.5571498526304
4,1984-06-26 18:19:55+00:00,235.2428740093814,206.53613822207356,204.17433201973668,180.82225859503143,179.53423380910445,166.51127477397986,167.86289540749453,174.6268137903381,166.10426424172772,162.88103195909167,179.95477945321397
5,1984-07-28 18:20:39+00:00,230.46078074110602,218.5042518078514,212.56393260896976,184.81034203065298,169.35315820652045,170.49713425016728,157.64523961774364,159.28684103869708,174.2898266239739,167.04203252426734,178.54468593171268
6,1984-08-04 18:27:04+00:00,249.1123274021443,236.74758422077633,223.21738492668177,198.85358818670903,180.55871128088987,177.1690649444954,175.88472112648395,181.93917309811522,184.04159353143254,179.83646608276234,197.56526436265176
7,1984-09-21 18:27:45+00:00,210.84692737553473,205.14503333684561,200.44904098397686,189.31832750736234,175.48292308494226,169.4036503761733,155.98118920608437,160.73153759460212,169.9697669968381,165.09290875180645,180.83048933476095
8,1984-10-23 18:27:40+00:00,188.73880227083555,202.46291286248723,199.26515168392805,194.01500660083252,183.7277954939885,172.38256273935644,165.4216303671567,159.43463426929887,163.58011911371574,160.76314224363256,186.61057739280398
9,1985-04-01 18:28:00+00:00,157.825050189401,179.66489697510377,165.70683684783484,165.69887593611304,166.05188699267111,182.57450251789487,189.2523568103001,179.54840893769853,173.20653844671816,168.15037492414538,178.32982652129496
10,1985-05-03 18:27:48+00:00,181.95129968737393,180.7655764487144,177.8990518649979,163.9793905193925,166.6064386358401,175.0658231370972,171.10071764107957,170.79678270123634,162.0742474693737,158.4467441721651,178.46388025615835
11,1985-05-12 18:21:34+00:00,207.47859755170592,203.89285054079684,202.5760916992889,204.27439045529619,212.86789301965803,215.3961560971965,214.82016696066302,200.1189250703575,188.9318734872787,190.64895958910233,199.0802267643728
12,1985-06-13 18:21:33+00:00,188.41526104893242,187.9313704575783,196.29337843123253,188.49447028834186,190.21474027275735,187.11392430561534,187.08134605315365,179.81216865688376,175.4069687857815,177.81192393968323,178.87488655142113
13,1985-06-29 18:21:29+00:00,206.51282809665815,195.34070761598872,205.01645316492153,199.40858465714024,196.33325587381196,180.55666409785226,173.87030269432805,161.6523835605526,163.67743024434856,166.4512575151191,179.848413111357
14,1985-08-07 18:27:22+00:00,,226.93396563915815,219.75519496114288,205.8569911603001,202.32693557339564,200.54983657151857,197.33818242267387,197.0318895830374,189.63047721906057,185.43521618773036,194.02095333523937
15,1985-10-03 18:20:32+00:00,221.3523905413558,222.0725754344967,214.608815862811,204.82658056445348,194.70332203020948,183.96773141413325,180.86310705050735,174.32792301794353,173.41790237987232,172.98285007775576,179.83826404667758
16,1985-10-10 18:26:39+00:00,221.22523958991877,220.53037246445683,218.03926222432227,211.83759836734342,205.32931668718197,199.66230807138265,196.18919928792585,189.90190971529438,183.34312353034954,176.57322062691543,186.83499526714056
17,1985-11-11 18:26:13+00:00,,,,,167.50926644027177,164.34577110828207,,,156.03473453675807,145.6612832533641,
18,1986-02-08 18:18:18+00:00,,,,,,136.3736303261074,,,169.76408738251547,160.0480137464536,172.6179294275774
19,1986-03-19 18:23:38+00:00,158.53044855949753,185.89368085275885,170.09618214083696,161.49781905789206,165.42555370446863,168.27116822178613,178.16145574065624,188.84482966436468,205.70749455606088,208.34337632243904,219.78609418939072
20,1986-04-04 18:23:18+00:00,173.1884736282028,184.34469073885458,171.05163321650872,160.576425390824,158.27254091858072,162.26625262822688,169.60312057032598,181.16619016529995,193.37816435455898,188.3115803954634,199.78667598107518
21,1986-04-13 18:17:19+00:00,173.92786188439754,183.42470686500945,171.3695091086133,156.6395514308968,162.9469837426307,148.0878453575296,153.28191725229777,167.34784018994029,179.85243418234953,176.5153855850226,197.76555511388642
22,1986-04-20 18:22:56+00:00,197.11578899373217,191.1766708772523,178.82357610213916,175.4941778764627,171.35071205221112,167.25598491148045,169.70286902186348,177.34111337450452,184.5175664389418,190.03223081027642,188.08845734850897
23,1986-04-29 18:16:56+00:00,221.86847204840666,200.79573393816037,177.70943307985735,174.85893874964788,171.17697025952458,176.57238119126913,183.66137474594603,196.79751818454844,202.5135086996159,195.75539367645848,209.66828999028007
24,1986-05-15 18:16:07+00:00,220.04591744571073,205.6940462736501,191.36499389131836,190.10624901577748,181.70691982809288,181.62113860684696,184.08712376497655,191.4191189682249,190.69478790480622,190.0168537793546,196.83776902313087
