dates,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0005,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0009,nzd0005-0010,nzd0005-0011,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,satname
1999-08-17 22:10:26+00:00,362.14,338.20,333.17,329.17,335.71,346.37,383.26,344.21,309.69,271.84,305.92,339.23,356.31,359.87,355.43,358.76,366.68,369.58,369.36,,,382.67,377.73,384.27,381.05,385.46,394.76,391.30,383.19,374.85,369.98,370.99,371.31,381.51,376.66,383.85,386.00,,,,,404.66,L7
1999-10-04 22:10:38+00:00,377.18,337.30,338.57,337.96,,,,,,,,,,,,,,,,422.95,422.02,422.61,414.29,422.35,420.48,405.39,402.30,394.99,400.22,403.33,408.23,400.21,399.30,398.46,405.27,400.19,410.08,436.72,448.81,447.55,451.81,435.55,L7
1999-11-21 22:10:24+00:00,372.35,344.94,338.34,337.84,342.98,349.33,386.77,355.72,330.37,298.32,323.46,350.00,372.60,380.48,378.45,382.62,392.49,395.13,391.77,387.94,391.88,401.45,410.38,411.57,411.51,399.77,398.13,393.20,391.86,387.15,386.34,387.53,388.97,391.36,397.11,405.26,409.25,418.73,429.53,429.88,430.41,428.37,L7
1999-12-07 22:10:30+00:00,370.04,347.69,343.04,341.47,345.35,350.30,379.19,358.64,336.13,306.61,336.65,368.95,384.90,386.69,394.31,391.85,384.58,392.45,384.95,387.06,385.14,391.11,390.44,396.34,395.25,396.94,394.63,388.65,384.70,386.76,383.19,378.02,368.59,383.15,377.62,399.94,381.08,398.01,400.93,418.29,412.89,413.47,L7
2000-04-29 22:09:53+00:00,,,,352.35,366.69,375.59,389.31,371.73,312.34,358.19,366.94,394.12,405.43,404.17,400.49,402.88,412.02,419.26,420.79,421.96,426.48,429.11,429.95,427.98,432.85,433.38,428.72,424.92,412.03,406.88,395.51,395.07,398.89,398.16,407.94,409.25,416.39,430.69,438.04,443.91,441.04,444.25,L7
2000-05-15 22:09:42+00:00,375.53,347.03,343.98,345.54,354.09,357.31,390.23,356.38,324.82,326.58,359.65,389.80,403.99,393.31,391.09,395.73,404.32,406.91,406.18,396.28,394.58,400.59,402.52,410.00,413.42,409.61,407.95,398.36,392.71,387.54,385.98,378.22,379.02,377.62,381.73,387.35,400.92,411.77,420.53,432.49,431.95,435.03,L7
2000-06-16 22:09:26+00:00,371.55,334.99,336.60,344.23,344.28,348.96,385.26,353.47,330.34,320.00,350.56,382.96,396.53,399.00,393.85,391.24,380.20,382.87,383.02,377.50,376.59,378.28,383.99,385.43,388.98,387.97,388.52,377.18,372.46,373.58,372.96,369.41,366.16,377.80,379.14,391.59,396.03,407.72,421.91,430.53,424.59,,L7
2000-09-04 22:08:22+00:00,372.39,342.28,338.62,338.68,341.11,348.80,378.83,356.08,322.27,303.20,336.37,384.75,391.07,374.55,373.35,377.45,385.45,394.06,398.02,387.81,379.61,375.16,384.92,391.17,394.58,394.27,388.59,380.43,379.31,375.28,374.01,374.82,372.39,371.70,375.14,389.73,387.77,400.50,408.00,411.48,419.27,411.96,L7
2000-09-20 22:08:03+00:00,375.27,339.97,339.61,346.71,351.22,358.98,386.70,353.66,315.92,302.97,341.80,384.33,398.91,382.54,377.25,373.73,378.13,392.72,400.38,392.73,382.86,383.21,381.94,381.92,384.06,383.91,381.27,377.27,372.76,370.39,363.78,357.94,350.75,354.08,362.94,365.22,,362.19,379.79,394.95,390.19,380.04,L7
2000-10-06 22:07:59+00:00,383.09,334.48,337.91,343.76,352.06,354.23,386.34,351.97,309.07,288.75,336.35,381.15,397.73,391.03,381.12,382.20,394.14,404.78,414.03,410.63,411.61,410.58,399.61,394.71,401.68,406.97,414.64,401.53,385.00,382.48,377.79,375.05,376.10,382.03,384.75,391.25,398.44,404.99,405.07,412.35,413.33,409.98,L7
