dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0005,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0009,nzd0005-0010,nzd0005-0011,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041
1999-08-17 22:10:26+00:00,L7,363.59,339.53,334.24,330.40,336.94,347.51,384.40,345.35,311.98,275.04,309.12,341.52,358.60,362.16,358.10,361.43,368.68,371.18,370.81,376.50,380.41,384.00,379.06,385.60,382.50,386.91,396.21,392.75,384.79,376.45,371.76,372.99,373.31,383.80,378.66,386.52,388.67,387.79,394.74,403.93,410.90,407.33
1999-10-04 22:10:38+00:00,L7,395.36,353.97,351.90,353.34,,,,,,,,,,,,,,,,439.62,438.69,439.28,430.96,439.02,438.66,423.57,420.48,413.17,420.22,423.33,430.45,425.21,424.30,427.03,430.27,433.52,443.41,470.05,482.14,480.88,480.38,468.88
1999-11-21 22:10:24+00:00,L7,370.90,343.61,337.27,336.61,341.75,348.19,385.63,354.58,328.08,295.12,320.26,347.71,370.31,378.19,375.78,379.95,390.49,393.53,390.32,386.61,390.55,400.12,409.05,410.24,410.06,398.32,396.68,391.75,390.26,385.55,384.56,385.53,386.97,389.07,395.11,402.59,406.58,416.06,426.86,427.21,428.12,425.70
1999-12-07 22:10:30+00:00,L7,354.95,333.86,331.97,328.70,332.58,338.44,367.33,346.78,312.42,273.41,303.45,345.24,361.19,362.98,366.64,364.18,363.83,375.85,369.86,373.23,371.31,377.28,376.61,382.51,380.16,381.85,379.54,373.56,368.10,370.16,364.75,357.27,347.84,359.44,356.87,372.27,353.41,370.34,373.26,390.62,389.18,385.80
2000-04-29 22:09:53+00:00,L7,,,,361.12,375.46,383.73,397.45,379.87,328.63,380.99,389.74,410.41,421.72,420.46,419.49,421.88,426.27,430.66,431.15,431.46,435.98,438.61,439.45,437.48,443.21,443.74,439.08,435.28,423.43,418.28,408.18,409.32,413.14,414.45,422.19,428.25,435.39,449.69,457.04,462.91,457.33,463.25
2000-05-15 22:09:42+00:00,L7,376.98,348.36,345.05,346.77,355.32,358.45,391.37,357.52,327.11,329.78,362.85,392.09,406.28,395.60,393.76,398.40,406.32,408.51,407.63,397.61,395.91,401.92,403.85,411.33,414.87,411.06,409.40,399.81,394.31,389.14,387.76,380.22,381.02,379.91,383.73,390.02,403.59,414.44,423.20,435.16,434.24,437.70
2000-06-16 22:09:26+00:00,L7,360.28,324.66,328.33,334.69,334.74,340.10,376.40,344.61,312.63,295.20,325.76,365.25,378.82,381.29,373.18,370.57,364.70,370.47,371.75,367.17,366.26,367.95,373.66,375.10,377.71,376.70,377.25,365.91,360.06,361.18,359.18,353.91,350.66,360.09,363.64,370.92,375.36,387.05,401.24,409.86,406.88,
2000-09-04 22:08:22+00:00,L7,375.66,345.28,341.02,341.45,343.88,351.37,381.40,358.65,327.41,310.40,343.57,389.89,396.21,379.69,379.35,383.45,389.95,397.66,401.29,390.81,382.61,378.16,387.92,394.17,397.85,397.54,391.86,383.70,382.91,378.88,378.01,379.32,376.89,376.84,379.64,395.73,393.77,406.50,414.00,417.48,424.41,417.96
2000-09-20 22:08:03+00:00,L7,382.72,346.80,345.08,353.02,357.53,364.84,392.56,359.52,327.63,319.37,358.20,396.04,410.62,394.25,390.92,387.40,388.38,400.92,407.83,399.56,389.69,390.04,388.77,388.75,391.51,391.36,388.72,384.72,380.96,378.59,372.89,368.19,361.00,365.79,373.19,378.89,355.24,375.86,393.46,408.62,401.90,393.71
2000-10-06 22:07:59+00:00,L7,396.36,346.65,347.64,354.99,363.29,364.66,396.77,362.40,329.93,317.95,365.55,402.01,418.59,411.89,405.45,406.53,412.39,419.38,427.30,422.80,423.78,422.75,411.78,406.88,414.95,420.24,427.91,414.80,399.60,397.08,394.01,393.30,394.35,402.89,403.00,415.58,422.77,429.32,429.40,436.68,434.19,434.31
2000-12-25 22:08:03+00:00,L7,361.77,335.63,334.13,334.48,335.87,342.65,369.58,358.75,314.55,275.78,330.73,360.85,377.76,371.19,363.50,356.07,356.22,365.11,361.47,365.03,367.15,366.40,359.35,370.00,364.39,368.96,370.12,364.80,362.38,368.55,360.76,350.43,337.36,348.34,340.68,335.03,330.66,352.21,362.96,369.26,373.91,366.85
2001-04-16 22:07:42+00:00,L7,384.20,352.75,351.63,349.57,350.24,357.33,386.24,363.18,332.67,343.03,378.63,401.72,416.81,416.69,416.99,424.37,425.30,425.52,421.66,411.19,406.90,403.58,409.58,410.64,418.00,410.57,416.37,411.37,400.64,394.53,389.27,390.43,382.04,388.54,388.88,398.26,403.32,420.13,428.60,432.75,430.32,420.97
2001-05-18 22:07:26+00:00,L7,376.37,359.50,348.14,336.58,339.52,343.40,384.08,,313.30,345.25,372.72,401.37,423.53,427.73,418.20,426.56,431.09,429.32,433.30,429.53,443.85,427.07,423.23,421.88,426.78,437.58,446.28,440.73,425.60,413.27,412.75,413.27,410.29,410.45,417.72,434.40,447.19,459.12,471.20,469.23,466.35,470.37
2001-06-19 22:07:05+00:00,L7,368.95,340.01,334.10,335.84,337.67,343.99,383.29,349.90,313.79,319.44,350.30,385.24,399.01,394.38,396.87,408.77,413.91,410.66,402.68,392.95,387.96,389.51,387.04,396.18,401.92,410.71,410.73,402.53,392.14,386.55,379.35,,376.90,378.97,384.18,389.67,397.70,408.41,420.85,425.19,428.15,
2001-08-22 22:06:23+00:00,L7,344.82,319.15,317.08,320.10,319.51,331.01,350.94,338.54,308.23,220.31,277.69,339.31,353.37,342.84,347.70,340.71,335.98,350.57,352.71,345.26,350.27,355.72,355.51,356.39,357.33,359.82,367.54,363.51,353.98,347.80,347.22,346.00,335.69,340.71,338.93,340.60,330.01,361.06,366.17,363.41,365.94,366.68
2001-12-12 22:06:14+00:00,L7,364.89,338.41,336.18,339.25,339.35,344.55,384.73,346.98,314.01,283.33,325.72,356.34,373.41,377.27,380.61,396.40,395.02,388.62,376.95,374.77,373.49,370.19,376.20,381.66,386.05,387.07,390.29,389.47,384.32,376.37,364.75,359.97,350.65,356.66,354.07,359.54,354.38,374.68,375.07,385.55,392.58,381.39
2002-06-22 22:06:03+00:00,L7,369.60,344.76,337.85,333.33,336.40,341.08,383.90,360.98,314.04,316.53,353.01,383.41,400.52,395.45,391.35,400.57,400.15,396.24,393.49,389.42,381.94,384.14,390.61,392.77,399.89,,,,,,,,,,,,,388.02,403.17,412.97,,
2002-07-08 22:06:00+00:00,L7,363.19,333.17,333.36,332.97,336.29,335.81,384.97,352.78,311.92,278.08,330.81,362.71,371.11,355.84,368.55,359.94,364.87,361.18,362.11,359.63,359.84,352.84,334.76,356.88,361.44,374.33,375.22,369.24,371.38,360.77,358.30,,343.25,344.71,339.69,340.14,321.32,345.00,,239.41,,371.48
2002-07-24 22:05:50+00:00,L7,354.14,330.30,327.66,324.20,331.35,330.50,374.36,340.11,307.27,274.54,322.33,355.24,361.34,354.17,359.42,356.67,357.67,356.70,358.63,357.33,362.24,363.08,357.56,353.88,358.94,367.48,378.24,371.40,370.08,363.85,362.09,350.65,343.60,78.08,,,,,,,,
2002-10-12 22:05:14+00:00,L7,381.65,350.36,348.63,349.42,352.24,356.26,393.07,359.60,329.04,315.24,341.71,370.53,402.65,405.21,402.83,406.57,410.88,408.06,399.25,391.97,393.94,397.22,399.04,406.43,409.12,411.21,418.66,411.19,404.08,398.48,393.29,393.98,393.37,400.31,399.72,401.44,402.65,411.14,408.36,413.22,426.56,432.72
2002-11-13 22:05:30+00:00,L7,391.59,351.51,348.95,353.57,361.05,365.96,395.81,360.20,331.94,357.22,344.47,,,,,,,,,,,,,,435.86,433.09,434.02,417.38,413.47,409.14,410.42,400.07,413.45,423.02,419.72,,431.17,433.31,419.62,,,
2003-11-16 22:06:11+00:00,L7,380.48,354.22,346.81,,,,395.33,357.75,329.16,319.07,355.96,392.86,417.19,422.29,426.20,423.95,409.61,,,402.09,395.64,396.90,398.15,394.17,395.07,396.02,395.31,381.80,367.84,,,,383.57,387.54,391.35,398.63,,,,,,
2003-12-26 21:56:18+00:00,L5,355.93,338.80,334.19,334.44,335.19,335.89,377.71,349.93,320.23,309.77,336.77,372.42,396.62,390.27,389.24,383.17,382.04,380.39,382.09,387.23,381.97,383.24,382.16,379.65,385.43,373.91,371.18,363.72,351.37,340.27,346.94,357.83,364.88,374.77,380.77,383.90,382.99,381.80,385.96,390.84,396.86,399.83
2004-02-04 22:06:41+00:00,L7,367.95,,,,345.94,346.68,379.79,348.96,314.95,315.89,342.51,382.58,396.43,401.39,395.34,,,,386.98,382.12,375.73,378.09,381.78,382.10,381.28,380.99,381.58,,,,355.88,354.36,354.62,362.11,369.03,369.10,367.22,378.49,384.29,,,
2004-04-08 22:06:49+00:00,L7,354.07,340.20,331.92,,,,376.47,349.86,312.65,275.62,326.56,364.64,366.10,370.57,384.57,383.56,,,,360.45,357.44,360.76,359.11,362.71,367.35,370.32,364.91,356.26,350.17,,,345.52,333.85,342.16,340.08,339.83,322.76,346.19,356.90,371.02,363.66,
2004-05-18 21:58:14+00:00,L5,358.69,343.09,341.79,342.81,338.83,,,,,,,,,,,,387.01,374.80,379.08,363.28,362.87,362.42,,,,,,,,,,,,352.45,355.43,360.01,370.61,389.65,399.85,405.17,400.29,
2004-06-11 22:06:38+00:00,L7,395.96,344.63,349.13,352.95,362.15,352.13,394.74,370.25,338.42,,,,463.31,475.60,479.60,473.60,465.49,443.61,421.81,389.95,389.38,,,,437.65,432.62,,,,,,,424.74,,,,468.19,,,,,
2004-06-19 21:59:10+00:00,L5,,319.97,317.93,324.95,319.18,318.48,342.82,328.35,294.22,265.74,302.26,333.00,354.27,366.52,372.96,371.14,362.20,355.60,352.50,336.62,336.68,338.34,342.24,347.93,349.41,353.93,357.93,345.84,342.22,338.15,338.69,328.59,326.67,330.72,324.88,,331.93,356.73,373.70,373.86,,
2004-07-21 22:00:04+00:00,L5,342.68,325.72,322.77,324.38,325.14,326.51,359.63,339.15,301.57,291.29,328.03,350.82,361.36,357.73,363.98,366.09,361.97,359.83,352.26,352.54,355.26,359.84,356.25,351.11,352.54,347.91,345.43,340.05,339.99,344.88,342.17,,340.73,343.45,342.93,334.08,330.98,340.48,354.99,353.57,,
2004-08-06 22:00:22+00:00,L5,375.91,360.94,338.40,333.92,332.64,343.53,369.21,349.58,311.45,319.89,351.86,,396.46,397.90,389.89,410.38,401.40,387.79,382.99,383.08,388.37,391.95,380.09,386.32,379.73,370.99,369.53,368.85,362.20,367.54,374.35,374.16,368.89,386.56,388.66,403.74,395.36,413.41,421.14,418.11,420.42,423.62
2004-08-22 22:00:48+00:00,L5,364.31,339.67,342.59,341.26,339.18,341.99,369.27,352.81,301.98,306.00,332.54,371.71,397.67,397.78,402.58,408.76,394.23,371.04,369.20,367.00,375.14,369.72,372.07,376.29,383.16,372.56,369.68,364.68,362.91,353.20,357.25,356.80,364.03,364.74,365.21,370.84,363.01,381.17,394.32,392.76,,377.62
2004-08-30 22:06:20+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,360.72,349.34,350.27,344.78,346.74,348.20,345.28,,,,,,,,,
2004-11-18 22:06:34+00:00,L7,389.77,367.21,368.36,369.07,368.54,357.22,,,,354.68,376.45,412.99,428.16,423.43,427.67,433.80,426.91,406.49,393.76,,,,392.74,388.21,392.73,406.45,407.91,400.60,385.89,375.16,370.69,374.85,,,,,,,,,,
2005-01-13 22:03:41+00:00,L5,372.51,362.70,351.01,345.88,342.09,338.51,376.64,351.76,320.76,326.41,361.26,387.21,405.65,398.80,403.24,403.80,400.13,388.97,378.57,376.25,365.59,366.41,384.66,384.38,391.76,394.27,402.24,396.54,379.26,371.24,371.01,372.49,365.23,359.28,360.80,363.34,373.37,389.35,401.13,402.02,401.02,404.46
2005-03-10 22:07:17+00:00,L7,362.31,344.48,340.93,336.90,334.59,,,,312.97,300.66,341.66,354.93,379.32,375.45,385.05,387.17,379.58,365.83,,,,,,,,,,,,,,,,335.78,346.17,356.48,320.44,321.69,329.16,353.21,,
2005-04-03 22:04:40+00:00,L5,433.28,426.05,,369.69,374.76,371.27,409.55,410.55,426.16,433.20,404.22,419.92,445.35,502.13,508.37,505.22,481.55,469.13,439.00,412.64,419.22,416.47,423.58,433.72,446.51,439.63,422.75,422.42,422.42,427.43,427.97,422.86,429.54,425.46,427.25,426.92,458.06,454.16,447.84,439.09,,480.37
2005-04-19 22:04:43+00:00,L5,409.60,402.76,384.22,381.83,375.22,370.29,389.21,373.93,368.04,388.38,390.61,424.18,449.87,460.62,472.29,467.38,447.43,430.25,418.34,406.07,403.75,406.71,419.29,426.82,433.04,430.06,429.10,424.21,407.14,399.95,402.08,402.45,403.79,406.73,416.25,421.33,426.27,434.78,436.67,442.58,444.01,455.53
2005-05-29 22:07:09+00:00,L7,,,,,,,,525.95,549.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-06 22:05:05+00:00,L5,349.94,334.13,330.89,334.41,335.02,331.00,375.96,348.24,287.61,325.60,358.18,376.33,388.52,384.28,390.58,386.91,375.22,362.05,359.73,356.67,363.98,363.19,371.19,363.97,369.72,367.67,369.57,362.59,357.07,357.50,353.95,347.26,343.22,347.87,348.06,347.46,339.29,352.27,365.31,374.72,370.09,381.06
2005-06-14 22:07:02+00:00,L7,376.16,359.00,354.73,355.83,,,,,,,,,,,,,407.60,396.32,388.20,383.07,387.09,388.10,398.94,402.25,,,401.17,396.56,390.63,382.56,378.70,,380.37,384.17,388.05,392.87,,,,,,
2005-09-26 22:05:42+00:00,L5,397.57,363.64,367.62,373.55,377.06,371.93,402.64,375.29,387.09,432.49,442.96,470.22,480.09,482.16,482.76,471.27,443.01,424.36,404.78,397.14,395.08,400.91,409.35,415.83,424.52,427.30,422.90,411.82,399.04,399.93,398.29,401.58,404.68,408.91,419.34,418.95,416.61,427.88,443.00,432.49,437.78,453.15
2005-11-21 22:07:07+00:00,L7,376.72,355.00,355.05,354.80,,,,,,,,,,,,,,,,,,,394.29,390.07,402.12,405.51,405.77,392.09,386.61,379.25,376.88,,,,370.75,377.93,372.93,383.91,398.20,394.75,403.42,406.51
2006-01-08 22:07:25+00:00,L7,,,,397.67,412.89,412.57,417.55,409.46,435.38,452.70,465.03,480.48,480.69,469.66,,,,430.54,420.48,417.61,415.32,414.04,435.80,446.86,447.43,442.68,441.92,,,420.57,408.85,411.23,422.41,415.87,420.69,418.15,422.82,432.19,439.81,,,481.67
2006-02-09 22:07:38+00:00,L7,378.02,362.88,362.35,360.57,360.95,358.35,383.04,,,,372.15,407.21,423.30,423.11,426.19,423.42,415.79,403.19,393.95,388.74,,,389.59,393.51,394.47,394.52,393.31,390.59,386.86,377.24,374.56,370.12,,,370.05,367.19,367.89,380.23,388.57,395.19,411.34,412.09
2006-04-06 22:09:08+00:00,L5,379.16,357.41,357.01,358.42,361.81,,,,,,,,,,,,,,,,,,,,399.15,393.66,391.23,389.49,380.68,376.03,374.84,372.58,362.97,351.02,352.95,360.25,358.65,382.76,398.20,410.98,423.31,416.22
2006-04-14 22:07:36+00:00,L7,,,348.09,345.41,,,,,,,,,,,,,,,,,,374.29,381.11,383.45,385.61,384.12,382.18,369.89,360.91,357.96,,,,345.07,346.82,349.84,337.43,363.46,376.57,378.43,385.91,379.00
2006-05-08 22:09:38+00:00,L5,378.44,352.47,351.08,354.52,362.57,357.41,380.81,351.79,317.15,356.14,395.07,441.79,445.16,439.63,436.35,425.34,404.32,390.97,388.19,388.54,389.84,397.01,404.45,406.77,402.72,401.38,394.05,388.19,375.21,372.69,371.28,378.74,372.24,375.87,376.76,389.85,394.37,409.99,416.40,416.81,419.34,426.97
2006-06-17 22:07:34+00:00,L7,,,,,,,,,,,,382.38,394.33,379.39,362.62,,,360.99,360.60,359.22,365.45,369.41,370.88,361.28,341.16,331.67,329.97,,,330.23,341.28,,322.28,334.04,331.68,344.10,345.46,362.24,371.55,,,
2006-06-25 22:10:20+00:00,L5,362.41,339.63,338.86,345.45,347.32,354.24,381.96,351.65,318.51,306.04,351.36,382.38,394.30,391.84,382.37,381.19,365.89,370.08,361.82,360.19,367.79,364.89,373.07,375.57,376.24,376.45,375.05,372.30,361.78,353.85,351.18,342.63,337.82,340.05,337.02,347.84,346.83,358.68,382.32,405.99,405.98,405.36
2006-07-03 22:07:28+00:00,L7,,,345.81,346.32,352.57,355.13,384.50,351.88,314.13,337.99,363.77,405.44,419.70,,,415.57,405.08,392.04,381.33,372.95,371.01,377.00,383.49,384.36,387.29,,,,368.47,355.01,357.10,,349.02,350.21,357.85,,373.63,,,,,
2006-09-05 22:07:11+00:00,L7,,342.51,343.28,344.51,354.51,362.86,387.13,357.50,314.21,322.90,368.44,406.93,,,,407.07,400.09,389.01,379.89,375.93,380.90,378.71,380.75,381.73,374.72,,,370.63,363.44,363.42,360.22,354.32,348.43,355.24,359.30,360.54,363.61,,,392.79,393.95,395.48
2006-09-21 22:07:05+00:00,L7,,,338.41,343.47,349.98,357.39,379.14,354.27,313.10,316.33,346.87,387.42,402.97,,,,386.08,379.11,373.02,372.88,372.45,372.10,371.18,373.03,373.80,374.87,,,361.71,351.79,355.27,347.63,342.87,350.27,354.26,360.83,356.89,374.92,,,398.58,395.78
2006-10-07 22:06:56+00:00,L7,,,,,,,,,,,,,,,365.11,359.26,357.65,354.59,355.86,355.85,356.65,353.17,352.86,,,357.61,358.22,353.27,339.35,341.31,,,,,,,,,350.26,356.86,362.68,362.30
2006-11-24 22:07:37+00:00,L7,359.72,347.98,346.31,352.13,,,378.99,353.35,312.82,322.73,361.69,404.14,419.86,410.71,404.62,389.18,383.72,,,369.46,369.16,379.93,383.00,382.07,379.29,375.76,378.19,371.82,363.16,,,,339.54,351.93,345.55,356.05,362.09,373.80,382.45,393.83,400.86,
2006-12-10 22:07:44+00:00,L7,,,357.52,356.28,355.67,362.11,393.50,364.20,330.35,332.80,377.08,412.12,430.78,,,400.87,391.53,375.15,377.35,379.37,380.76,388.69,387.89,384.32,383.81,,,,364.26,360.50,358.99,353.16,353.56,352.19,362.90,368.63,376.35,,,,405.86,405.22
2007-01-03 22:12:49+00:00,L5,424.87,422.29,420.52,424.96,427.15,436.55,458.66,,357.49,416.58,460.41,493.13,502.96,500.77,490.11,472.58,467.71,462.30,465.10,454.65,461.10,462.66,466.95,461.90,461.54,464.66,467.73,459.89,450.41,441.92,442.35,435.58,429.00,437.16,,,,,,,,
2007-04-17 22:08:06+00:00,L7,,,347.09,346.90,351.28,357.68,382.35,356.30,312.13,357.63,389.47,416.73,428.38,,,,385.18,378.87,376.65,376.60,372.74,374.42,374.10,372.28,,,,,,,,,,,,,,,,,,
