dates,satname,nzd0375-0000,nzd0375-0001,nzd0375-0002,nzd0375-0003
1999-07-02 21:59:57+00:00,L7,,,,450.25
1999-09-04 22:00:09+00:00,L7,302.08,293.76,298.64,311.44
1999-09-20 22:00:08+00:00,L7,307.17,299.31,303.59,320.78
1999-12-25 22:00:04+00:00,L7,305.47,298.02,296.91,317.82
2000-01-26 22:00:02+00:00,L7,307.13,299.43,306.29,321.58
2000-02-27 21:59:52+00:00,L7,304.85,301.62,302.92,321.25
2000-03-14 21:59:47+00:00,L7,296.39,285.72,287.54,307.74
2000-03-30 21:59:45+00:00,L7,307.60,300.42,301.37,319.77
2000-04-15 21:59:31+00:00,L7,316.68,309.66,309.93,322.36
2000-05-01 21:59:30+00:00,L7,316.75,309.02,314.71,323.42
2000-05-17 21:59:19+00:00,L7,300.03,297.06,302.15,320.19
2000-06-02 21:59:07+00:00,L7,303.89,299.53,306.94,322.10
2000-06-18 21:59:03+00:00,L7,289.06,288.91,,
2000-08-05 21:58:20+00:00,L7,295.59,292.69,297.06,315.92
2000-10-08 21:57:36+00:00,L7,315.20,308.60,303.69,320.82
2000-11-25 21:57:34+00:00,L7,312.46,304.49,305.48,318.90
2000-12-11 21:57:36+00:00,L7,318.46,308.01,306.80,318.71
2001-02-13 21:57:39+00:00,L7,307.89,300.43,299.76,312.67
2001-05-20 21:57:04+00:00,L7,309.58,303.75,314.55,333.50
2001-06-05 21:56:52+00:00,L7,301.31,295.20,302.80,
2001-08-08 21:56:12+00:00,L7,302.53,297.50,300.83,319.07
2001-08-24 21:56:00+00:00,L7,295.29,293.06,297.82,308.43
2001-10-11 21:55:21+00:00,L7,305.05,302.03,303.49,320.45
2001-12-30 21:55:49+00:00,L7,318.25,308.19,308.81,322.55
2002-03-04 21:56:09+00:00,L7,301.17,299.60,302.83,319.37
2002-05-07 21:56:03+00:00,L7,296.01,289.84,293.94,316.30
2002-05-23 21:55:54+00:00,L7,296.99,294.78,,601.29
2002-06-24 21:55:40+00:00,L7,297.88,293.50,302.59,322.28
2002-08-27 21:55:12+00:00,L7,299.04,285.85,295.14,308.58
2002-09-12 21:55:07+00:00,L7,307.00,301.11,301.04,318.41
2002-10-14 21:54:55+00:00,L7,303.53,297.09,301.99,313.22
2002-10-30 21:55:01+00:00,L7,301.64,297.13,302.14,313.35
2003-01-02 21:55:34+00:00,L7,323.51,314.49,318.09,334.89
2003-01-18 21:55:42+00:00,L7,314.10,308.74,309.21,321.52
2003-02-19 21:55:54+00:00,L7,304.06,295.04,297.68,319.54
2003-03-23 21:55:52+00:00,L7,295.84,288.54,294.77,308.16
2003-04-08 21:55:59+00:00,L7,295.69,292.08,293.16,307.46
2003-04-24 21:55:58+00:00,L7,295.58,293.10,301.52,318.69
2003-07-21 21:43:45+00:00,L5,283.13,278.04,288.40,316.91
2003-07-29 21:55:41+00:00,L7,294.09,289.55,292.59,311.76
2003-08-06 21:44:03+00:00,L5,292.83,286.19,291.75,313.88
2003-08-30 21:55:34+00:00,L7,,,299.39,310.69
2003-10-17 21:55:27+00:00,L7,,,299.66,316.79
2003-10-18 21:39:00+00:00,L5,,,,
2003-11-18 21:55:51+00:00,L7,313.42,306.21,,
2003-12-04 21:55:54+00:00,L7,,,309.29,324.40
2003-12-12 21:45:46+00:00,L5,306.70,311.69,322.93,334.69
2003-12-20 21:56:04+00:00,L7,,,308.15,322.90
