dates,satname,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048
1999-08-05 21:46:35+00:00,L7,,368.79,363.81,368.91,364.93,366.74,369.25,367.37,371.52,377.78,376.44,379.02,379.63,383.36,379.30,380.38,383.35,383.71,384.98,382.81,383.23,387.90,388.36,388.44,385.62,380.37,381.67,377.06,369.79,370.55,370.70,373.13,375.64,372.01,376.37,372.08,374.36,378.09,380.88,379.15,375.98,369.48,365.72,357.58,349.77,343.21,345.23,334.00,348.90
1999-08-21 21:46:33+00:00,L7,351.00,350.86,350.68,354.58,360.71,353.55,351.19,357.21,362.64,362.50,364.92,367.68,366.13,364.11,357.97,364.42,368.14,372.65,367.68,369.33,366.83,366.80,372.48,378.35,375.83,367.31,371.03,359.21,358.01,361.39,361.77,369.23,366.28,365.43,364.77,364.16,371.01,371.82,366.52,367.65,359.43,353.36,349.83,346.34,333.84,330.81,335.51,322.18,338.82
1999-09-22 21:46:36+00:00,L7,376.05,370.78,370.42,370.59,368.19,365.07,370.36,377.57,380.07,378.71,381.21,384.51,383.24,383.29,385.16,386.90,388.24,387.79,387.50,389.93,392.37,392.78,392.20,397.07,394.89,390.09,385.73,382.45,383.10,379.23,380.25,378.79,383.18,383.07,386.61,382.50,385.12,388.90,385.99,381.11,382.41,378.65,369.30,362.99,359.77,354.38,358.22,347.25,352.68
1999-09-29 21:52:52+00:00,L7,365.45,361.15,361.46,360.18,357.27,355.18,359.90,363.03,367.60,365.46,367.31,368.16,368.14,368.76,369.47,372.64,371.47,372.79,374.81,375.44,372.47,375.38,373.63,376.55,376.66,373.60,370.53,366.08,364.66,366.31,365.36,366.50,366.56,363.34,365.09,365.09,367.72,371.70,373.82,368.89,363.86,362.22,358.51,352.14,339.75,340.01,339.42,331.70,338.62
1999-10-15 21:52:49+00:00,L7,366.99,366.49,,,,,,,,,372.90,373.84,371.35,373.68,375.13,377.25,379.14,378.29,378.95,376.84,378.18,381.92,383.03,383.35,380.60,380.83,375.95,374.22,369.66,369.51,368.74,369.08,367.80,367.97,369.87,373.60,358.16,351.36,352.25,345.72,345.66,341.21,339.42,331.70,322.62,324.75,,,
1999-10-24 21:46:32+00:00,L7,363.92,364.03,365.00,366.48,365.77,363.04,366.02,368.01,370.39,374.59,372.25,374.80,377.53,376.69,376.92,380.45,383.26,383.08,383.96,386.58,386.17,383.00,384.10,389.89,386.53,384.12,381.10,378.48,376.17,373.66,372.07,370.80,372.56,373.15,377.23,378.45,379.43,380.02,379.59,375.88,372.57,369.61,366.85,357.27,353.28,352.25,356.31,347.26,353.06
2000-02-04 21:52:37+00:00,L7,359.79,360.27,361.45,359.62,356.06,357.11,355.67,361.49,365.98,365.39,369.29,366.93,369.30,369.05,370.52,370.79,372.79,375.57,374.34,374.81,378.38,380.27,378.29,381.50,383.18,377.83,374.54,367.19,367.48,361.84,361.85,362.26,362.21,362.69,363.63,364.61,366.62,366.78,369.22,363.96,361.52,355.72,352.52,348.34,343.04,344.64,350.48,345.61,350.63
2000-03-16 21:46:15+00:00,L7,372.25,366.20,366.77,371.03,372.08,364.59,367.57,376.24,376.36,379.06,379.30,380.83,379.47,380.68,382.31,384.57,384.33,385.43,387.26,387.30,388.27,390.90,394.65,394.42,390.36,387.30,386.92,381.87,377.26,372.23,373.15,374.05,374.63,378.22,377.39,379.75,376.58,380.07,381.52,374.80,372.47,369.97,365.44,359.11,355.75,355.50,361.92,354.92,363.07
2000-05-03 21:45:55+00:00,L7,,361.65,364.73,364.71,361.51,358.32,361.43,365.33,372.45,371.72,369.40,372.74,371.53,369.18,370.10,373.28,377.58,375.98,377.17,375.41,378.10,378.82,382.41,383.30,379.44,376.08,372.26,368.33,370.58,366.96,367.26,366.71,367.73,368.33,367.39,363.50,365.38,370.62,372.80,370.39,364.35,360.16,,,,,,,
2000-05-26 21:51:48+00:00,L7,,371.91,374.06,370.21,371.88,371.46,371.94,380.57,382.69,378.57,379.15,380.49,379.57,380.56,381.38,382.52,384.97,385.62,389.43,391.55,393.49,390.94,392.43,389.79,390.88,390.41,384.57,374.60,376.75,377.86,377.07,376.51,373.67,376.62,377.62,376.49,381.57,382.05,382.97,,,,,,,,,,
2000-07-13 21:51:19+00:00,L7,,370.03,365.16,362.07,361.51,362.83,363.57,371.39,375.90,376.94,376.67,375.41,377.77,379.35,382.45,382.89,382.81,379.23,384.44,385.44,387.38,387.76,389.97,389.70,387.54,389.00,390.25,379.92,375.90,373.22,372.79,377.27,378.15,379.10,376.73,384.32,377.62,380.40,382.47,374.12,373.96,366.53,359.54,,,,,,
2000-08-07 21:44:45+00:00,L7,,376.45,370.34,371.56,367.52,369.06,372.67,373.16,382.46,380.48,382.06,381.92,382.07,382.78,382.07,385.04,386.45,388.21,387.63,387.90,385.31,390.42,389.56,394.48,390.83,388.14,386.42,382.26,378.00,376.78,377.25,372.32,374.25,374.78,375.09,378.37,376.32,381.40,382.14,373.52,372.45,370.53,366.94,360.22,355.18,353.08,356.23,344.81,353.18
2000-08-14 21:50:56+00:00,L7,,376.59,374.91,378.72,372.96,372.47,374.12,380.58,382.72,382.03,382.46,382.61,383.03,383.95,382.88,383.69,386.46,386.52,385.89,388.30,390.51,391.80,392.38,394.71,393.63,388.29,385.78,380.16,377.45,374.95,371.90,374.43,372.66,373.82,378.49,379.15,380.57,383.21,383.95,377.47,373.92,371.49,368.81,360.70,359.26,359.19,355.94,345.50,349.42
2000-09-15 21:50:25+00:00,L7,370.49,364.17,365.86,364.22,364.80,362.98,364.01,370.19,373.97,375.24,376.81,376.44,377.89,376.79,378.79,379.69,378.96,379.79,379.25,379.44,378.56,378.84,382.06,382.78,380.59,378.71,374.83,371.28,370.13,368.83,368.57,367.48,366.94,365.51,363.82,368.04,368.42,372.61,375.71,371.83,363.26,360.83,357.58,351.28,342.99,344.20,344.25,336.69,303.79
2000-11-02 21:50:13+00:00,L7,352.18,348.34,348.92,346.20,349.88,352.52,354.54,360.65,367.13,369.32,366.79,366.61,372.43,365.82,367.46,365.39,362.14,364.34,368.32,375.72,376.54,365.00,369.17,371.41,368.93,368.76,365.11,360.32,365.10,359.25,359.76,359.02,361.68,361.96,362.71,362.50,363.56,365.44,366.13,360.79,354.33,351.51,353.56,350.90,341.20,344.96,347.79,333.42,339.80
2000-12-04 21:50:10+00:00,L7,358.32,360.58,363.93,365.55,363.01,363.04,363.49,369.51,374.67,377.49,372.41,370.82,369.09,374.70,375.74,379.62,369.72,370.44,369.53,369.94,370.09,373.34,380.24,381.63,379.41,374.95,371.61,372.55,365.15,366.13,365.79,368.12,368.88,366.96,365.96,368.64,370.14,381.26,380.19,373.34,365.81,368.85,366.69,356.79,353.60,354.67,361.06,355.58,361.81
2000-12-20 21:50:16+00:00,L7,349.87,347.22,349.61,345.38,344.82,352.01,351.65,356.53,361.63,363.22,367.28,367.11,361.53,361.80,361.69,363.91,368.13,365.60,368.34,364.27,370.31,367.36,365.82,368.90,366.69,357.41,357.12,354.37,355.01,356.90,351.53,354.75,359.35,361.07,360.57,361.54,364.65,362.45,365.84,359.39,356.18,346.80,343.86,337.10,330.70,338.83,,343.74,346.80
2001-01-05 21:50:16+00:00,L7,359.37,360.92,359.84,351.93,352.07,352.48,358.49,366.39,378.86,380.95,380.06,380.96,379.99,378.54,376.09,377.25,380.38,380.24,381.39,383.76,382.74,385.32,387.98,389.09,386.70,384.93,379.90,377.66,375.12,374.01,369.16,368.35,368.27,366.95,371.58,372.73,374.51,379.69,381.66,370.36,367.25,361.88,360.74,357.52,357.18,356.25,362.99,352.98,354.66
2001-03-03 21:44:00+00:00,L7,353.83,351.91,351.26,349.55,345.11,350.83,357.74,361.11,368.31,369.09,371.43,373.27,369.55,364.54,369.44,363.84,370.71,372.92,369.82,371.52,369.85,377.28,374.22,381.79,380.38,375.46,372.66,365.79,361.26,359.68,356.12,354.92,357.74,359.56,362.98,358.93,360.51,365.08,369.00,362.15,360.89,358.72,352.32,347.51,344.48,341.36,347.34,339.93,349.70
2001-03-10 21:50:10+00:00,L7,363.53,361.61,362.03,358.61,357.70,360.39,366.16,371.34,374.10,375.36,375.89,377.73,378.76,373.66,378.92,379.79,374.48,376.69,376.08,376.45,377.89,376.98,378.10,382.32,380.10,378.29,372.75,364.96,363.38,362.84,362.96,364.25,364.30,363.92,365.63,365.83,366.94,370.83,373.40,369.68,361.98,358.85,357.64,352.19,349.42,348.37,355.70,347.05,354.30
2001-04-04 21:43:43+00:00,L7,370.41,366.07,369.70,367.19,366.03,366.29,369.53,375.86,375.13,382.90,381.26,382.68,383.54,382.77,383.09,386.82,385.98,387.03,387.35,389.30,391.36,394.49,393.90,395.99,391.42,391.07,388.31,381.38,372.22,370.46,375.36,370.64,369.93,375.89,376.84,376.37,376.84,378.15,382.10,376.46,375.11,371.08,365.33,364.49,360.90,361.44,365.77,352.73,363.19
2001-04-20 21:43:46+00:00,L7,362.25,360.98,365.05,361.93,360.23,361.06,362.33,365.83,372.23,371.59,369.63,369.24,370.65,371.56,373.99,372.71,377.73,375.24,376.04,371.60,377.13,380.65,378.61,379.93,379.96,375.97,374.25,370.74,367.94,367.89,364.10,366.90,366.99,360.36,360.58,366.65,369.26,371.15,374.98,368.35,366.12,363.25,360.46,352.19,343.79,342.06,348.06,340.75,350.17
2001-07-25 21:42:54+00:00,L7,,368.02,367.55,366.47,367.15,365.23,371.90,373.94,375.91,,,,,,,,,,,,,,,,,388.10,380.52,378.36,376.75,373.21,370.27,370.08,369.80,368.50,374.21,369.54,372.68,378.98,377.77,371.59,363.24,,,,,,,,
2001-08-10 21:42:36+00:00,L7,,354.16,353.67,354.83,354.54,347.30,354.80,358.08,361.54,363.66,364.94,369.68,362.45,367.36,373.54,368.70,367.23,362.10,370.60,362.35,363.90,370.30,369.46,373.77,376.53,363.33,355.68,362.70,353.91,356.43,356.13,357.59,356.53,350.48,359.17,358.90,359.52,364.41,367.89,360.59,357.66,353.59,349.32,341.97,333.45,337.95,330.91,326.00,257.12
2001-08-26 21:42:25+00:00,L7,363.86,360.35,362.54,362.81,360.05,358.83,367.02,371.26,372.21,375.58,376.12,374.70,374.81,374.68,373.20,374.15,378.86,377.22,378.80,382.14,380.28,383.47,383.06,383.22,379.79,377.58,376.19,371.27,371.12,367.25,369.37,367.53,368.15,367.54,367.50,368.94,367.44,372.23,372.38,371.11,365.08,362.20,359.35,351.51,345.52,343.61,347.07,334.15,338.81
