dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
1999-08-05 21:46:35+00:00,,366.79,361.52,366.62,362.53,364.45,366.96,364.97,369.23,375.49,373.91,376.62,377.54,381.18,377.12,378.09,381.17,381.31,382.89,380.81,380.83,385.37,386.07,386.15,383.33,377.97,379.38,374.53,367.39,368.26,368.30,370.73,373.24,369.83,374.28,369.99,372.07,375.80,378.70,376.86,373.31,367.30,363.80,355.66,347.68,341.21,342.83,330.57,344.54,L7
1999-08-21 21:46:33+00:00,346.24,356.74,353.72,358.22,359.12,356.62,356.69,358.59,363.56,366.62,366.79,369.65,369.66,370.37,365.27,368.88,372.38,374.48,373.11,372.99,371.33,373.46,376.89,379.87,377.20,370.14,372.82,364.24,360.20,362.44,362.53,367.48,367.26,365.36,367.35,364.90,369.16,371.43,370.34,369.88,363.59,358.06,354.81,349.00,338.59,333.92,336.67,322.81,337.13,L7
1999-09-22 21:46:36+00:00,358.29,359.75,357.38,360.44,360.14,357.53,359.35,362.92,367.16,368.74,369.49,372.60,372.45,372.86,370.08,372.98,375.85,376.92,376.17,376.97,376.34,377.79,380.09,383.70,381.19,374.79,375.22,368.20,365.83,366.14,366.44,369.25,370.57,369.44,372.03,369.03,372.58,375.35,373.74,371.72,367.64,363.10,358.04,352.06,343.91,339.08,341.85,328.10,338.68,L7
1999-09-29 21:52:52+00:00,363.66,362.06,360.64,362.61,361.77,359.18,361.72,365.30,369.50,370.16,371.42,373.84,373.41,373.97,372.07,375.13,376.89,378.24,377.87,378.54,377.73,379.66,380.72,384.15,382.30,376.84,376.29,370.14,367.89,368.42,368.52,370.91,371.91,370.06,372.34,370.08,373.60,376.68,375.89,373.25,369.31,365.02,360.04,353.96,344.91,341.27,343.60,332.36,342.94,L7
1999-10-15 21:52:49+00:00,365.68,363.78,360.64,362.61,361.77,359.18,361.72,365.30,369.50,370.16,372.76,374.84,373.87,374.82,373.59,376.51,378.25,379.25,378.96,379.04,378.82,381.16,382.13,384.94,382.91,378.64,377.17,372.01,369.24,369.59,369.56,371.55,372.09,370.55,372.71,371.66,371.46,372.56,372.08,368.69,365.69,361.17,356.72,350.31,341.32,338.80,343.60,332.36,342.94,L7
1999-10-24 21:46:32+00:00,365.04,363.61,361.23,363.10,362.27,359.67,362.30,365.54,369.40,370.76,372.42,374.59,374.26,374.91,373.92,376.93,378.86,379.63,379.57,380.09,379.79,381.21,382.22,385.53,383.28,379.30,377.59,372.83,370.15,370.03,369.73,371.17,371.92,370.75,373.25,372.57,372.55,373.57,373.10,369.65,366.56,362.35,358.20,351.27,343.10,340.83,345.84,334.91,344.42,L7
2000-02-04 21:52:37+00:00,364.23,362.58,361.29,361.78,361.06,358.28,360.11,364.92,368.82,368.82,371.71,373.04,372.95,372.95,372.88,375.77,377.52,378.75,378.21,379.14,379.45,380.43,380.99,384.82,383.31,379.35,376.84,371.67,370.23,369.02,368.72,369.83,370.15,369.62,371.53,371.73,371.71,372.13,371.58,367.57,364.67,360.48,356.38,350.10,342.38,341.46,347.45,338.03,345.78,L7
2000-03-16 21:46:15+00:00,367.47,364.88,364.14,364.70,362.95,360.12,363.03,368.35,371.20,371.77,373.78,374.91,374.90,375.42,376.65,378.83,379.94,380.56,381.19,381.87,382.71,384.11,384.38,387.19,385.43,382.36,379.19,375.12,373.12,370.53,370.30,370.31,371.22,371.47,373.36,374.06,372.34,373.20,373.80,368.46,366.49,362.96,358.73,351.98,345.76,345.31,352.35,344.03,349.94,L7
2000-05-03 21:45:55+00:00,362.92,360.37,361.65,362.45,360.42,357.34,358.89,364.89,368.93,369.39,369.72,370.70,371.00,370.42,371.76,373.55,375.69,376.19,377.16,376.84,378.78,380.38,382.45,383.74,381.66,377.60,375.24,369.52,368.97,364.34,364.62,364.87,365.39,367.20,367.04,366.85,366.86,369.82,371.97,367.05,363.00,359.40,356.38,351.12,346.57,347.36,352.95,345.62,350.94,L7
2000-05-26 21:51:48+00:00,362.92,363.05,364.51,364.15,363.03,360.63,361.91,368.56,372.13,371.45,371.81,372.90,372.93,372.73,373.94,375.55,377.78,378.30,380.01,380.31,382.21,382.76,384.71,385.01,383.73,380.56,377.34,370.52,370.67,367.49,367.48,367.53,367.21,369.33,369.47,369.05,370.30,372.64,374.49,367.05,363.00,359.40,356.38,351.12,346.57,347.36,352.95,345.62,350.94,L7
