dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
1999-08-05 21:46:35+00:00,,366.79,361.52,366.62,362.53,364.45,366.96,364.97,369.23,375.49,373.91,376.62,377.54,381.18,377.12,378.09,381.17,381.31,382.89,380.81,380.83,385.37,386.07,386.15,383.33,377.97,379.38,374.53,367.39,368.26,368.30,370.73,373.24,369.83,374.28,369.99,372.07,375.80,378.70,376.86,373.31,367.30,363.80,355.66,347.68,341.21,342.83,330.57,344.54,L7
1999-08-21 21:46:33+00:00,346.24,346.69,345.92,349.82,355.71,348.79,346.43,352.21,357.88,357.74,359.66,362.68,361.78,359.56,353.42,359.66,363.59,367.65,363.33,365.16,361.83,361.54,367.72,373.59,371.07,362.31,366.27,353.95,353.01,356.63,356.77,364.23,361.28,360.88,360.42,359.81,366.25,367.06,361.97,362.89,353.87,348.81,345.83,342.34,329.49,326.64,330.51,315.04,329.73,L7
1999-09-22 21:46:36+00:00,370.34,365.78,364.71,364.88,362.19,359.36,364.65,371.57,374.36,373.00,374.89,378.51,378.02,377.84,379.71,381.19,382.79,381.79,382.28,384.93,386.37,386.46,386.49,391.36,389.18,384.09,380.02,376.13,377.10,373.52,374.25,372.79,377.18,377.62,381.39,377.28,379.41,383.19,380.54,375.40,375.74,373.20,364.50,358.19,354.55,349.38,352.22,338.68,341.77,L7
1999-09-29 21:52:52+00:00,374.40,368.98,370.41,369.13,366.67,364.13,368.85,372.43,376.55,374.41,377.20,377.56,376.31,377.31,378.02,381.59,380.02,382.19,382.98,383.27,381.87,385.27,382.58,385.50,385.61,383.00,379.48,375.97,374.06,375.26,374.76,375.90,375.96,371.89,373.26,373.26,376.67,380.65,382.37,377.84,374.30,370.77,366.03,359.66,347.92,347.84,348.82,345.13,355.71,L7
1999-10-15 21:52:49+00:00,371.75,370.66,,,,,,,,,378.16,378.84,375.70,378.23,379.68,382.01,383.69,383.29,383.30,381.01,383.18,387.18,387.79,388.11,385.36,385.83,380.71,379.48,374.66,374.27,373.74,374.08,372.80,372.52,374.22,377.95,362.92,356.12,356.80,350.48,351.22,345.76,343.42,335.70,326.97,328.92,,,,L7
1999-10-24 21:46:32+00:00,362.49,362.78,363.57,365.05,364.27,361.61,364.59,366.51,368.96,373.16,370.67,373.30,376.23,375.33,375.56,379.02,381.90,381.58,382.66,385.33,384.67,381.42,382.67,388.46,385.10,382.62,379.67,376.90,374.67,372.23,370.57,369.30,371.06,371.79,375.93,377.15,378.00,378.59,378.23,374.45,370.90,368.25,365.65,356.07,351.98,351.00,354.81,345.12,350.33,L7
2000-02-04 21:52:37+00:00,360.17,360.60,361.83,360.00,356.46,357.49,356.05,361.89,366.36,365.77,369.71,367.33,369.65,369.41,370.88,371.17,373.15,375.97,374.69,375.14,378.78,380.69,378.67,381.88,383.56,378.23,374.92,367.61,367.88,362.22,362.25,362.66,362.61,363.05,363.98,364.96,367.00,367.16,369.58,364.34,361.96,356.08,352.84,348.66,343.39,344.97,350.88,346.18,351.36,L7
2000-03-16 21:46:15+00:00,365.68,360.45,360.20,364.46,365.18,358.02,361.00,369.34,369.79,372.49,372.04,373.93,373.47,374.41,376.04,378.00,378.06,378.53,381.26,381.55,381.37,383.64,388.08,387.85,383.79,380.40,380.35,374.61,370.36,365.66,366.25,367.15,367.73,371.95,371.39,373.75,370.01,373.50,375.25,368.23,364.80,363.70,359.92,353.59,349.75,349.75,355.02,345.06,350.52,L7
2000-05-03 21:45:55+00:00,,360.07,362.92,362.90,359.61,356.51,359.62,363.43,370.64,369.91,367.40,370.84,369.88,367.45,368.37,371.47,375.85,374.08,375.52,373.83,376.20,376.82,380.60,381.49,377.63,374.18,370.45,366.33,368.68,365.15,365.36,364.81,365.83,366.60,365.74,361.85,363.57,368.81,371.07,368.58,362.24,358.43,,,,,,,,L7
2000-05-26 21:51:48+00:00,,371.08,373.11,369.26,370.88,370.51,370.99,379.57,381.74,377.62,378.10,379.49,378.70,379.65,380.47,381.57,384.06,384.62,388.56,390.72,392.49,389.89,391.48,388.84,389.93,389.41,383.62,373.55,375.75,376.91,376.07,375.51,372.67,375.71,376.75,375.62,380.62,381.10,382.06,,,,,,,,,,,L7
