,dates,jap0331-0000,jap0331-0001,jap0331-0002,jap0331-0003,jap0331-0004,jap0331-0005,jap0331-0006,jap0331-0007,jap0331-0008,jap0331-0009,jap0331-0010,jap0331-0011,jap0331-0012,jap0331-0013,jap0331-0014,jap0331-0015
0,1984-07-27 01:10:28+00:00,,167.59268659526435,,158.98769294241805,159.27746362983524,,128.27184236237352,,,,,150.9760261318427,,,,
1,1984-10-31 01:11:19+00:00,180.13105614155805,163.29994905268612,154.2436437892395,152.11628823010147,151.13035597101324,147.5926873553937,121.30020363498122,106.00462773759227,106.98260297531489,119.54288629961626,126.39174351681815,149.01315178782383,157.92640545922816,160.18027183840383,163.4674865062465,169.33302720798756
2,1985-02-04 01:11:45+00:00,208.4639880515152,170.47124427474435,,180.4282963942211,172.59938687173886,165.48260304119557,147.78020188601005,129.8456473767035,125.54341486277747,132.43419415065654,145.00879279322422,156.07992443885155,187.1797511421122,,179.2323867381477,
3,1985-04-25 01:11:34+00:00,166.5822879565895,158.2168863262665,153.79341501540017,164.24206733604976,155.2705713790574,153.14236660176638,123.02937307301896,120.8911138529741,126.92745976519676,,137.32864477235282,147.28335260419576,160.54886858139605,,174.81858018740286,176.3083778274901
4,1985-10-02 01:10:27+00:00,191.94172300312184,188.57203301241637,175.08739001478583,170.4122168310523,166.78009346017095,163.82863836327618,,121.1200460676873,133.79309205713264,,147.30298065339136,159.19900976434857,170.95472038160253,184.77456225040982,180.69681919137037,
5,1985-11-19 01:09:48+00:00,219.70424571899255,195.41279619387922,188.21711570714916,180.75538568886896,189.03880418698972,167.36121853002095,151.46553796639802,129.14050465455833,142.28486661088996,159.42379943712353,154.0977666546452,166.84954117292497,188.75946665574645,,188.72342914638193,
6,1985-12-05 01:09:30+00:00,217.01962831062977,196.6321265710138,179.90925010218385,182.86481462271885,190.71641295028505,,158.77397814627525,123.19194861565163,142.54226547454851,163.2430469834982,160.59609053275562,171.14556855795317,188.48958221351916,,202.0109516071998,
7,1986-01-22 01:08:35+00:00,221.7838369811385,203.6400109139624,195.14740476415616,206.28403825713684,196.2166425751345,,165.50951008528637,,157.82244750815818,160.44967130910692,170.43817057595842,189.1126700313722,196.11275687578552,211.43281966176775,209.6766092584169,213.49872377750995
8,1986-02-07 01:08:13+00:00,219.45087965599507,202.3624446930958,201.69072667123407,204.60560249322634,197.40915442772805,193.25681033798904,172.92356059245054,,167.47187900654794,170.5262429833296,181.05489052877022,195.25815844430323,216.15113990151093,220.43932275520817,219.8458936506783,231.55999439274385
9,1986-04-12 01:06:50+00:00,213.70638327672722,189.73958608349957,198.17211950505316,194.79839001966826,193.97531109933792,,163.06777488702662,,159.45894525251296,171.41875110533377,174.093202933982,191.10784005687069,204.3995675755751,219.70207074361295,217.60250558184416,225.28093036399218
10,1986-05-30 01:05:35+00:00,,165.25352855436623,163.2666424846511,167.0417766149404,158.1368122685442,,136.37181528030672,118.50093892659464,130.49603228839726,,143.38819663146518,156.49449411989428,172.7782479258787,,178.0649931429441,
