dates,nzd0010-0000,nzd0010-0001,nzd0010-0002,nzd0010-0003,nzd0010-0004,nzd0010-0005,nzd0010-0006,nzd0010-0007,nzd0010-0008,nzd0010-0009,nzd0010-0010,nzd0010-0011,nzd0010-0012,nzd0010-0013,nzd0010-0014,nzd0010-0015,nzd0010-0016,nzd0010-0017,nzd0010-0018,nzd0010-0019,nzd0010-0020,nzd0010-0021,nzd0010-0022,nzd0010-0023,nzd0010-0024,nzd0010-0025,nzd0010-0026,nzd0010-0027,nzd0010-0028,nzd0010-0029,nzd0010-0030,nzd0010-0031,nzd0010-0032,nzd0010-0033,nzd0010-0034,nzd0010-0035,nzd0010-0036,nzd0010-0037,nzd0010-0038,nzd0010-0039,nzd0010-0040,nzd0010-0041,nzd0010-0042,nzd0010-0043,nzd0010-0044,nzd0010-0045,nzd0010-0046,nzd0010-0047,nzd0010-0048,nzd0010-0049,nzd0010-0050,nzd0010-0051,nzd0010-0052,nzd0010-0053,nzd0010-0054,nzd0010-0055,nzd0010-0056,nzd0010-0057,nzd0010-0058,nzd0010-0059,nzd0010-0060,nzd0010-0061,nzd0010-0062,nzd0010-0063,nzd0010-0064,nzd0010-0065,nzd0010-0066,nzd0010-0067,nzd0010-0068,nzd0010-0069,nzd0010-0070,nzd0010-0071,nzd0010-0072,nzd0010-0073,nzd0010-0074,nzd0010-0075,nzd0010-0076,nzd0010-0077,nzd0010-0078,nzd0010-0079,nzd0010-0080,nzd0010-0081,nzd0010-0082,nzd0010-0083,nzd0010-0084,nzd0010-0085,nzd0010-0086,nzd0010-0087,nzd0010-0088,nzd0010-0089,nzd0010-0090,nzd0010-0091,nzd0010-0092,nzd0010-0093,nzd0010-0094,nzd0010-0095,nzd0010-0096,nzd0010-0097,nzd0010-0098,nzd0010-0099,nzd0010-0100,nzd0010-0101,nzd0010-0102,nzd0010-0103,nzd0010-0104,nzd0010-0105,nzd0010-0106,nzd0010-0107,nzd0010-0108,nzd0010-0109,nzd0010-0110,nzd0010-0111,nzd0010-0112,nzd0010-0113,nzd0010-0114,nzd0010-0115,nzd0010-0116,nzd0010-0117,nzd0010-0118,nzd0010-0119,nzd0010-0120,nzd0010-0121,nzd0010-0122,nzd0010-0123,nzd0010-0124,nzd0010-0125,nzd0010-0126,nzd0010-0127,nzd0010-0128,nzd0010-0129,nzd0010-0130,nzd0010-0131,nzd0010-0132,nzd0010-0133,nzd0010-0134,nzd0010-0135,nzd0010-0136,nzd0010-0137,nzd0010-0138,nzd0010-0139,nzd0010-0140,nzd0010-0141,nzd0010-0142,nzd0010-0143,nzd0010-0144,nzd0010-0145,nzd0010-0146,nzd0010-0147,nzd0010-0148,nzd0010-0149,nzd0010-0150,nzd0010-0151,nzd0010-0152,nzd0010-0153,nzd0010-0154,nzd0010-0155,nzd0010-0156,nzd0010-0157,nzd0010-0158,nzd0010-0159,nzd0010-0160,nzd0010-0161,nzd0010-0162,nzd0010-0163,nzd0010-0164,nzd0010-0165,nzd0010-0166,nzd0010-0167,nzd0010-0168,nzd0010-0169,nzd0010-0170,nzd0010-0171,nzd0010-0172,nzd0010-0173,nzd0010-0174,nzd0010-0175,nzd0010-0176,nzd0010-0177,nzd0010-0178,nzd0010-0179,nzd0010-0180,nzd0010-0181,nzd0010-0182,nzd0010-0183,nzd0010-0184,nzd0010-0185,nzd0010-0186,nzd0010-0187,nzd0010-0188,nzd0010-0189,nzd0010-0190,nzd0010-0191,nzd0010-0192,nzd0010-0193,nzd0010-0194,nzd0010-0195,nzd0010-0196,nzd0010-0197,nzd0010-0198,nzd0010-0199,nzd0010-0200,nzd0010-0201,nzd0010-0202,nzd0010-0203,nzd0010-0204,nzd0010-0205,nzd0010-0206,nzd0010-0207,nzd0010-0208,nzd0010-0209,nzd0010-0210,nzd0010-0211,nzd0010-0212,nzd0010-0213,nzd0010-0214,nzd0010-0215,nzd0010-0216,nzd0010-0217,nzd0010-0218,nzd0010-0219,nzd0010-0220,nzd0010-0221,nzd0010-0222,nzd0010-0223,nzd0010-0224,nzd0010-0225,nzd0010-0226,nzd0010-0227,nzd0010-0228,nzd0010-0229,nzd0010-0230,nzd0010-0231,nzd0010-0232,nzd0010-0233,nzd0010-0234,nzd0010-0235,nzd0010-0236,nzd0010-0237,nzd0010-0238,nzd0010-0239,nzd0010-0240,nzd0010-0241,nzd0010-0242,nzd0010-0243,nzd0010-0244,nzd0010-0245,nzd0010-0246,nzd0010-0247,nzd0010-0248,nzd0010-0249,nzd0010-0250,nzd0010-0251,nzd0010-0252,nzd0010-0253,nzd0010-0254,nzd0010-0255,nzd0010-0256,nzd0010-0257,satname
2000-09-20 22:08:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.00,289.23,273.70,284.98,283.59,284.33,284.35,282.93,,,,,,,,,,,,,,,,286.68,288.70,300.03,303.92,293.73,300.18,297.50,303.23,299.65,285.11,286.24,290.55,291.41,285.95,292.25,292.25,294.13,292.53,296.31,292.75,286.99,287.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.89,383.61,374.54,377.90,370.13,371.45,372.75,369.89,362.10,356.69,355.23,368.36,379.17,367.16,363.47,363.53,368.80,363.56,356.68,358.52,363.29,363.72,361.25,348.62,348.76,348.44,351.53,356.29,347.93,350.74,355.51,366.84,377.53,362.60,357.71,353.23,347.35,340.71,343.71,343.96,338.06,342.89,349.49,357.90,365.03,362.46,367.15,369.02,362.39,353.49,354.42,357.68,350.37,348.79,344.37,354.77,354.82,358.31,373.04,389.79,397.36,390.99,378.87,369.32,366.67,335.58,354.42,365.23,368.55,L7
2000-10-06 22:07:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,263.52,242.57,233.34,241.29,261.15,,,,245.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.26,281.47,292.98,293.04,296.85,287.58,290.79,293.17,289.91,289.98,294.10,294.23,298.35,,,,,,,,,,,,,,286.68,288.70,300.03,303.92,293.73,300.18,297.50,303.23,299.65,285.11,286.24,290.55,291.41,285.95,288.44,292.38,285.43,293.91,300.83,292.75,286.99,287.14,,,,,,,,,,,,,,,305.92,310.89,316.75,321.29,318.95,316.20,317.72,320.91,313.39,,305.02,320.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.04,383.64,376.31,379.74,375.66,376.48,379.40,380.44,377.83,368.51,365.11,368.36,379.17,367.16,363.47,363.53,368.80,363.56,356.68,358.52,363.29,363.72,361.25,348.62,348.76,348.44,351.53,356.29,347.93,350.74,355.51,366.84,377.53,362.60,357.71,353.23,347.35,340.71,358.21,353.54,342.71,347.17,355.01,357.67,367.10,368.45,371.75,378.49,370.14,354.60,359.74,370.34,356.22,359.00,349.79,355.02,366.15,369.73,378.80,391.79,402.75,390.13,377.05,364.76,369.62,338.13,356.25,371.05,385.86,L7
2001-04-16 22:07:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.46,277.72,286.67,282.26,272.90,276.31,281.65,278.96,,,,,,,,,,,,,,,,283.48,285.77,286.55,291.80,291.98,291.36,288.96,279.80,282.74,280.69,280.69,281.94,282.65,279.80,275.59,278.24,281.69,278.87,,,,,,,,,,,,,,,,,279.03,281.40,288.50,291.21,283.26,279.99,283.17,284.03,285.27,281.92,282.81,289.54,295.22,,292.15,,297.73,295.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.72,361.52,356.32,349.64,354.00,354.77,354.15,356.08,357.37,356.28,351.15,349.99,361.66,366.00,366.65,361.89,357.98,353.48,344.37,344.17,346.50,343.97,341.23,342.08,343.19,343.66,345.35,345.12,340.75,352.02,356.12,354.95,360.10,351.44,352.26,356.95,359.02,355.82,345.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-05-18 22:07:26+00:00,,,,,,,,,,,,,403.50,402.74,368.00,359.26,354.42,,,,,,,,246.31,247.16,248.10,263.33,246.83,261.61,,,,,,,,,,,,210.83,219.78,216.65,,,,,,215.43,221.46,,,,,,,213.72,206.49,229.72,,,,,195.87,,,,206.03,217.99,229.71,,,,,,,,268.55,279.44,262.31,271.89,286.67,282.26,272.90,276.31,259.55,278.27,274.54,,,,,,,,,,,,,,,283.48,285.77,286.55,291.80,291.98,291.36,291.57,275.63,283.43,284.11,278.62,276.32,278.45,277.22,276.89,280.76,281.52,273.92,,312.84,310.48,,,258.90,275.66,273.57,,241.05,,,,,,,279.03,277.16,282.38,289.92,283.59,264.07,266.09,270.94,281.10,271.01,272.35,289.54,279.98,262.15,292.15,258.12,278.22,295.46,,,,,,,,,268.03,275.41,,,,,,275.64,276.71,274.17,292.33,310.58,,,335.97,,,,,,,,,,,,362.72,361.52,356.32,349.64,354.00,354.77,354.15,356.08,357.37,356.28,351.15,333.62,361.66,366.00,366.65,361.89,357.98,353.48,345.28,344.53,346.50,343.97,341.23,342.08,343.19,343.66,343.06,346.13,331.28,352.02,356.12,354.95,360.10,351.44,347.76,345.35,338.82,324.62,345.46,,,,,,,,,,,,,,347.82,348.57,349.09,340.35,340.64,,,,,,363.37,,,,,402.21,,L7
2001-06-03 22:07:16+00:00,,,,,,,,,,,,,403.50,402.74,368.00,359.26,354.42,,,,,,,,246.31,247.16,248.10,263.33,246.83,261.61,,,,,,,,,,,,210.83,219.78,216.65,,,,,,215.43,221.46,,,,,,,213.72,206.49,229.72,,,,,195.87,,,,206.03,217.99,229.71,,,,,,,,268.55,279.44,267.76,276.05,287.84,276.62,272.90,276.31,259.55,278.27,274.54,,,,,,,,,,,,,,,283.48,285.77,286.55,291.80,290.31,291.43,291.42,279.52,283.75,285.75,281.47,277.03,279.48,277.68,277.25,280.00,281.89,275.53,279.97,312.84,310.48,,,258.90,275.66,273.57,,241.05,,,,,,,279.03,277.16,282.38,289.92,283.59,264.07,266.09,270.94,281.10,271.01,272.35,289.54,279.98,262.15,292.15,258.12,278.22,295.46,,,,,,,,,268.03,275.41,,,,,,275.64,276.71,274.17,292.33,310.58,,,335.97,,,,,,,,,,,,362.72,361.52,356.32,349.64,354.00,354.77,354.15,356.08,357.37,356.28,351.15,333.62,361.66,366.00,366.65,361.89,357.98,353.48,345.28,344.53,346.50,343.97,341.23,342.08,343.19,343.66,343.06,346.13,331.28,352.02,356.12,354.95,360.10,351.44,347.76,345.35,338.82,324.62,345.46,335.84,334.30,329.63,,,,,,,,,,,347.82,348.57,349.09,340.35,340.64,,,,,,363.37,,,,,402.21,375.40,L7
2002-02-14 22:06:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.53,234.62,229.06,235.35,237.55,234.30,236.98,228.28,236.28,228.73,234.81,238.39,229.70,236.35,232.94,235.27,254.46,260.47,262.31,263.32,265.43,272.45,268.03,274.37,284.94,282.53,281.71,277.89,274.58,266.04,269.62,265.98,267.75,266.73,266.90,254.76,250.44,252.72,258.20,259.71,267.74,263.41,269.90,269.19,275.72,276.77,292.21,289.82,282.57,285.24,293.30,290.39,287.09,275.31,275.65,276.29,280.27,283.92,282.79,276.94,278.44,273.97,276.33,280.84,286.53,276.07,272.16,273.06,276.80,275.39,263.82,256.86,253.62,264.58,265.60,274.58,277.37,281.59,281.10,277.58,271.36,273.64,280.74,277.51,276.15,273.40,274.02,276.37,278.50,285.73,289.38,294.10,289.27,289.62,285.85,285.72,285.80,290.31,277.55,268.69,271.90,262.80,269.40,271.19,270.82,279.44,286.28,296.58,,279.35,291.41,286.03,286.75,,,,,,,,,,,,,,355.97,344.14,358.73,365.04,366.35,363.91,362.84,361.58,358.23,354.12,351.87,348.85,346.15,345.06,340.63,344.48,347.21,351.66,353.35,354.17,360.55,356.34,353.06,346.47,343.55,336.17,330.82,333.60,331.97,335.63,339.72,344.80,350.96,348.06,341.26,341.93,342.25,344.91,351.91,351.71,353.42,343.93,337.64,331.46,336.97,337.66,337.81,331.45,331.57,339.02,343.41,347.17,352.21,344.94,359.59,355.67,344.37,341.21,334.84,336.87,,,,,,,,,,,,,,,349.60,L7
2003-03-21 22:06:15+00:00,,,,,,,,,,,,,,,,362.54,355.75,340.16,336.42,,318.15,339.78,,,266.59,271.56,255.68,252.51,221.13,241.17,,,217.82,231.33,,,,237.28,249.76,,253.39,245.69,234.38,252.51,,,,253.79,238.35,233.20,241.55,243.28,236.70,231.49,243.38,236.63,,237.59,241.11,232.27,237.73,237.29,229.07,231.08,230.16,222.57,223.65,224.63,229.65,237.26,241.34,243.63,236.62,244.48,251.29,257.25,266.95,267.65,280.42,274.14,278.53,279.41,278.03,287.83,277.29,281.37,267.76,272.74,265.73,264.49,259.17,266.77,261.05,256.87,255.03,265.52,260.11,268.79,270.50,272.61,273.01,282.40,286.60,290.02,291.39,287.59,290.62,293.60,288.48,282.74,284.99,276.86,285.91,285.28,286.90,278.79,279.44,278.47,278.54,281.07,281.61,286.08,289.91,282.49,275.41,268.15,263.21,267.70,268.44,261.00,266.33,268.99,273.83,274.94,278.86,278.29,284.83,273.02,271.37,278.70,284.38,280.76,275.78,280.99,284.06,283.02,286.86,282.97,284.78,291.17,290.38,283.01,289.71,292.22,295.73,283.20,281.93,274.48,270.76,280.04,279.40,279.91,285.93,289.74,286.69,276.76,292.17,302.47,295.01,293.14,269.25,291.11,306.48,312.17,295.15,,,345.09,,,339.30,345.92,355.57,361.95,358.47,369.04,371.98,367.23,370.43,371.03,364.36,359.69,355.78,357.28,359.98,356.09,352.59,348.55,354.06,353.12,357.28,355.51,353.96,361.85,362.76,358.71,352.70,350.86,346.06,346.86,346.25,341.35,344.48,345.55,348.86,350.54,347.92,350.71,350.26,349.37,352.67,354.47,353.65,357.08,352.66,347.20,342.62,344.99,344.37,348.41,341.19,349.36,351.77,350.56,354.53,359.55,360.91,358.75,353.13,358.37,352.16,344.50,345.59,,,,,,,,,,,,,,,,L7
2003-08-28 22:05:57+00:00,,,,,,,,,,,,,,,,362.54,355.75,340.16,336.42,,318.15,339.78,281.19,,246.70,271.56,237.42,233.81,214.24,226.87,,,203.06,231.33,,,,237.28,249.76,,253.39,245.69,234.38,252.51,,,,253.79,238.35,211.59,223.03,224.14,223.81,221.17,226.51,219.37,,219.19,241.11,216.11,216.20,217.64,229.07,215.00,216.00,210.61,214.47,210.80,218.42,226.69,228.88,230.27,225.55,235.55,245.59,253.17,262.30,263.43,273.76,266.85,272.78,272.51,268.91,275.79,269.25,271.69,264.26,266.08,260.89,257.75,255.15,256.25,251.72,244.79,244.74,247.12,242.13,259.25,262.48,265.56,271.26,276.83,281.12,279.05,279.86,279.27,282.87,284.98,279.95,278.43,276.63,273.35,278.87,281.29,281.35,276.55,272.88,273.53,275.39,275.29,276.23,277.66,279.28,274.94,270.27,265.94,259.05,261.45,257.30,244.02,254.88,262.36,268.20,267.91,271.38,271.23,274.20,261.92,265.94,271.78,279.70,277.63,274.17,274.00,276.58,272.06,277.52,276.54,276.54,278.56,278.60,271.42,279.70,282.59,284.88,272.12,265.50,266.30,258.05,268.02,266.15,262.62,273.39,279.58,275.77,276.76,270.20,286.86,282.20,281.63,267.95,274.72,306.48,312.17,275.37,,,345.09,,,326.49,326.34,343.59,349.74,352.73,362.44,365.63,365.30,366.43,371.03,364.36,359.69,355.78,357.28,359.98,356.09,352.59,348.55,354.06,353.12,357.28,350.64,350.23,357.23,356.54,353.02,347.12,344.81,340.64,338.94,336.63,334.28,337.09,338.43,343.06,343.72,342.25,343.32,340.94,340.01,340.93,347.23,349.47,349.87,344.77,338.60,333.99,336.89,338.80,340.47,337.43,339.89,341.25,341.63,346.05,351.83,348.15,348.65,343.17,345.80,344.22,340.31,336.39,324.04,335.05,323.64,329.60,327.44,336.14,,,337.20,321.13,,323.20,326.19,,319.79,L7
2004-02-04 22:06:41+00:00,,,,,,,,,,,,,,,,,,,,,,,281.19,,226.82,,266.89,260.11,252.26,212.56,282.32,282.48,188.29,,,,275.13,274.28,,,,,273.76,271.43,,,,,,189.99,204.51,205.00,210.93,210.85,209.65,202.10,,200.79,,199.94,194.67,198.00,,198.93,201.84,198.65,205.29,196.96,207.18,242.31,216.43,249.94,250.06,258.12,239.90,270.26,278.12,279.77,286.39,278.29,282.06,280.02,279.63,281.97,278.83,279.50,278.18,278.33,277.24,273.42,274.97,245.74,242.39,232.71,234.45,228.72,224.15,249.71,276.58,281.22,288.15,289.03,288.73,284.01,285.55,289.81,290.51,293.68,295.31,297.17,292.07,294.19,291.17,292.71,291.86,290.56,285.71,286.49,287.19,287.84,287.91,289.24,287.56,285.13,287.97,285.96,277.45,255.20,246.15,227.04,243.44,255.72,262.58,260.88,263.90,264.17,263.58,250.82,260.51,264.87,275.02,274.51,292.82,289.25,269.10,261.10,268.18,270.11,268.31,265.96,266.82,259.83,269.69,272.95,274.03,261.03,249.08,258.11,245.34,256.00,252.91,245.34,260.85,269.42,299.85,,248.23,304.09,302.16,303.26,266.65,291.23,336.58,,255.59,,,320.24,357.96,364.99,313.67,306.76,355.74,364.19,374.90,382.80,382.89,363.36,381.24,401.70,399.63,395.41,388.97,386.03,381.03,378.26,373.16,368.94,373.31,379.93,380.54,361.95,367.56,369.46,363.84,361.78,353.37,353.16,350.40,342.57,341.65,342.66,346.00,342.25,348.39,353.09,336.57,335.94,331.62,330.65,329.18,339.99,345.29,342.66,336.89,332.47,331.65,341.02,344.63,349.78,348.70,347.55,349.73,332.71,337.58,344.10,335.39,338.55,333.21,333.22,336.28,336.11,327.19,324.04,335.05,323.64,329.60,327.44,336.14,,,337.20,321.13,,323.20,326.19,,319.79,L7
2004-03-23 22:06:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,314.64,305.09,297.18,,282.32,282.48,,,,,275.13,274.28,,,,,273.76,271.43,,,,,,,,,,,,,,,,,,,,,,,,,,268.50,,282.95,285.65,289.63,,291.43,298.58,300.33,305.22,296.58,293.31,294.08,297.75,298.65,296.80,297.00,295.62,297.24,298.42,295.81,298.81,,,,,,,,298.70,303.93,306.80,306.81,301.82,302.93,301.65,308.94,311.43,309.25,314.63,315.41,312.78,315.39,308.15,308.73,304.61,303.92,304.84,300.41,300.99,304.26,302.56,303.71,303.14,302.89,310.81,308.17,300.01,,,,,,,,,,,303.92,313.71,303.50,302.60,305.06,310.50,311.34,,,,,307.51,306.75,,,,,,,,,,,,,,,334.85,,,336.92,341.30,336.40,,324.13,336.58,,,,,320.24,357.96,364.99,,,386.38,392.08,399.23,407.27,409.06,,396.90,397.12,395.88,391.05,378.83,380.24,374.44,373.94,372.30,368.59,372.03,379.34,380.76,378.14,388.62,386.32,377.35,376.22,365.19,367.55,365.57,354.11,356.29,356.29,359.10,355.31,360.81,367.17,362.01,360.62,366.50,365.38,358.88,367.11,368.68,367.76,363.57,345.39,347.26,355.43,357.90,361.40,362.31,363.73,368.11,371.43,,384.44,371.93,354.79,345.99,362.78,360.06,357.58,351.79,,,,,,,,,,,,,364.80,373.38,380.92,L7
