,dates,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0010,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0031,nzd0054-0032,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0036,nzd0054-0037,nzd0054-0039,nzd0054-0040,nzd0054-0041,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094
0,1999-10-04 22:10:38+00:00,264.0956775718475,261.8651257133774,263.0422605231749,263.6452011856054,,248.84258132662592,253.98426375869929,256.6829544783372,265.08806463759953,,263.2838026759301,263.3662074417581,255.79872331896735,257.4834733065141,,263.72852728626015,266.7073368049288,,258.19306542817026,,251.1918116725811,250.8135603130239,252.2129188848151,253.86708608850466,,258.6768027437178,,250.330003592045,254.71366282285197,254.9974487445034,258.23450692204443,,,,264.3155232710477,,,,,275.1807005129195,,,,,288.0128996879593,,281.77813041642645,,273.0664292682902,277.25442426183866,270.43785339366394,271.81896139461924,,264.71261593941296,262.9647307478218,,264.7371503034593,267.0305436579799,271.01096143767137,270.7374968866649,,263.88086823505387,267.1035982377484,,258.31806686136497,,251.62225210896258,248.64962632254785,,,249.92428835721753,239.59830200102272,235.62807175097905,252.2711213011971,,,,,243.1221961799857,,,,,,,,245.79312855067934,249.48622133958617,251.455694727456,242.115508291578,,253.36967537454885,253.21475525574874,248.15097003199008
1,2000-02-09 22:10:19+00:00,284.86574837272497,278.0365876170065,,277.273012723463,,266.07401742169304,264.39847506963076,,262.3049802616477,252.56995344998666,261.3124851042622,262.88104410225213,,255.86787649750818,258.56579318408325,267.2186418993839,269.9640011066391,,261.95862423706336,255.53372853789537,252.47221066661368,255.01152795089328,,258.9226160957835,,259.11829341427693,255.2247575238678,262.34198421501964,265.2345007762107,265.2388603612535,261.3764172929416,,,,271.39868911978266,278.6358453939194,,,275.5645338124529,280.14110491927795,278.0391440549636,278.4070506868743,,,,,280.85351542191773,,277.1666315901625,274.463946687153,277.81676625838656,275.2863319415225,,269.82692460610207,,268.17808957779005,262.61684882366654,256.65422888482186,262.21322761760524,,265.95555833585894,267.4277780029198,,258.57683079450015,259.68995881598653,253.2357895961036,252.09272019689854,,241.82716223166926,,,237.05224059329717,252.61113154977105,243.85364830383713,249.1546504417746,,,,245.49025227092633,248.39641026022787,256.01219846157977,,,262.93630338090077,,254.42045468557535,257.0968485682347,,251.90849836934774,252.81245174039938,,244.18514246717837,246.9463574392735,246.97331521438352
2,2000-03-28 22:10:07+00:00,275.3039371127767,,271.16324285621926,267.9602554414781,,,,,268.3715237281475,208.8982153912938,,,,,,,,,264.2385962423627,,258.51469472873487,257.84090553187156,286.97450227095163,275.2004397157956,,,,,,271.0840327552359,266.3991844730151,,295.05968737245325,,,284.749094702918,,282.4463754070413,,,,,,,,,,,,,,,269.81597283356416,265.72704132006686,266.7263750047438,254.4554299891117,255.2848649355445,,262.92605823930046,257.5125439374259,250.35401737602567,253.20995327045463,266.1660381894085,257.0493232262073,249.62481958494394,252.0413322732943,247.33787037707233,239.28101440380212,,249.01076355392152,249.76066059396874,248.77277847828972,236.33958244142818,252.75242582128053,245.72952827301526,242.35031588416902,255.4084244274121,251.30045363505766,255.91038840866247,,250.27232153681322,247.97753150133187,270.738198507296,,,195.16259247518403,208.5177304055504,236.14038364269624,,,,,,
3,2000-04-29 22:09:53+00:00,276.6664679713476,270.87717468278964,264.5915894500375,262.96629736885734,,259.81168415780144,263.49229174087185,264.0580088076277,262.04096186281737,,271.9376926861028,273.31481824235505,270.5630894868523,272.05755190045517,274.71226683582466,,280.9048615686332,277.2009160534619,270.56155423017094,,264.562831793683,264.8393950731448,258.80799440787126,257.4066246653821,,257.03600203143355,,263.0643907125133,262.66014150087943,262.924013553224,265.75441474779774,,275.6085682803326,,281.25296859304575,278.93428731757336,,276.184675903153,282.95125735022935,287.4753445223845,,286.5510130165677,,,302.0983580477544,,297.40474116438656,,283.2555255370804,284.142190582258,281.57673814338955,283.11907667426203,,278.33245762384814,273.3508855677837,,270.6160194532338,270.62293432207866,274.6118384261733,269.0564281079188,267.65797056874146,268.984155061826,265.5574139253531,260.4697207250987,260.5790970558794,,259.44219498645094,255.3875413312032,261.80435848058704,260.23965644050566,258.1554323946662,257.2686863071508,251.22934436502734,,260.76395369002296,255.25154079620208,263.7573718421335,253.44164277574046,256.9715318667879,,250.52980029308205,257.87483065721267,263.6122196026251,262.2795117606849,,265.77987180759254,261.2856966386841,268.26196088938383,267.34221389096945,,255.50339887273898,258.39520151303384,253.4147390516887,243.5259804103454
4,2000-05-15 22:09:42+00:00,264.36708090135016,264.5805294139019,,256.0337015723235,256.5846663107603,256.4641750404999,260.18160483819895,,257.4085883358382,259.4672762247819,260.2378330920278,262.1344690851321,258.15505390501374,264.7724364554857,,262.87731512138504,266.87431776950103,266.69385963285833,258.8868878085111,257.88175834124155,255.91968285077576,255.12641603448597,,254.37768990952944,251.34380041583026,254.00180315525907,244.7790353068894,246.67479758015511,250.2192124980871,,259.4437913474167,,265.53992033642777,,265.2831217254893,271.4411171607281,,272.68882477529826,273.96532653970183,271.95132937660185,272.0352298617588,274.76109092326163,275.03819599625905,279.10371933606626,285.1007916360143,289.5568230347202,286.66232201509894,,280.72987577575464,,272.89726842243397,274.76136825124377,,267.20234971998616,,256.4563809919298,258.1579860547432,,260.8923312030357,,258.207089440846,253.32539710929552,,249.93146483484963,251.56336404930863,247.92978315569593,243.81750480876684,250.10870859140465,239.054971303788,252.9336374551307,,241.51852434404574,248.99655134008927,239.2446578004911,245.8524094432782,,244.43271307923283,245.56014991576433,241.8120196827102,242.6652059724015,247.04350072097975,246.29805498861734,251.32742755435405,253.6217062236556,,243.95344418813272,253.5483389084359,,247.99444588224793,246.11652176483892,245.25062365300505,235.87763989031828,234.83745450210188,234.03988367255187
5,2000-08-03 22:08:44+00:00,251.827968990328,254.93275999918995,251.17358939917958,250.40829668001078,242.86870992476767,,232.41325514874677,234.79344562263842,235.9022215308947,242.14561423187882,246.91321847385828,254.43851351530617,239.96335797893607,241.1885324469298,,,,,,234.71350318286923,231.44827831932704,237.53075815455162,,,,216.97998283216748,213.12462707679606,225.6729179000495,249.20734041747545,,,,,,,278.33399157577435,258.7629115309374,261.59353595824484,261.5256783917561,264.500439147691,259.61216569749797,266.90976485422414,,278.6032117595639,,272.77144372409913,264.40501879358493,268.0805468012502,264.53276966458185,268.55806572950286,269.23971481340624,265.23940388245063,,263.62529130092264,,264.2066997442181,264.6922096493117,,260.44695240190663,,246.03220799190058,245.52140747390973,,251.59855871452652,,242.94142200952683,236.49259849925824,,222.54737802495865,,223.27065514598533,226.20738181413427,245.2602839768831,232.7744429878161,239.65068008432002,,233.46569533185735,236.20298519277532,230.55686422575474,240.88409147481275,245.68924583262242,,245.22869237152446,245.16972438360338,230.73114293134836,221.48296478667697,228.12193387684272,,242.0008225860761,235.979115374632,236.10956108422647,232.3447777393822,239.25226401039433,237.76582394962526
6,2000-09-04 22:08:22+00:00,249.76650594569975,246.6967310632573,,249.41746256513156,,240.7610315466994,241.35672323535076,,241.46191648486104,242.43974427011662,247.18541855964492,250.5613055008928,,252.46726483983744,258.5882836734788,250.20634906769027,249.28761645152372,,243.73104982884124,246.566357452211,246.05187467263139,241.93665751987322,240.06133724051875,239.0743850891213,,241.54982104243115,,239.31794384965866,240.85533959327793,249.91039337631798,247.13124040169015,,252.2011082584907,250.82031876248612,243.07602625717078,240.9921342792395,249.89033564445606,252.82111969379318,261.2125097027349,264.3120840955215,268.8440265089337,267.7791691357515,269.6450190274506,268.16007215137404,,261.15592457347896,258.70771736088346,261.88062253672217,262.50370657549126,266.181393312487,260.98644574379693,257.40469187746214,255.84103784975417,248.8540291107438,250.16940206898596,251.97955710893956,253.25328773099767,,248.3875860335425,,243.68272956666286,253.30374317645294,,250.281327632481,242.0271759423409,231.81316280947289,227.65611301042824,,239.61822389541595,228.90632983376364,,219.78793277658954,219.10717754072513,242.71888049173384,235.70344829137503,231.3598546298757,230.27173652882092,233.62212652867225,,234.10536077024207,234.66652288763842,240.86391188952604,238.3807869905841,232.42493880724285,222.40121069161444,228.90457491060207,224.81137923533595,,228.80517744090835,217.47396475369152,,219.58170237004845,215.19390278859203,216.62910501761897
7,2000-09-20 22:08:03+00:00,246.44114899197896,245.2369786560279,,246.3574120790202,,244.5888354020113,244.471570004014,236.70692268326948,235.25762488398314,,251.6249729047083,254.62845067612298,247.74942032782585,253.82872528405457,,254.6655407686092,253.02177233243103,,241.33260113820992,239.38612346360068,241.0886539133745,240.84560387474053,232.93187615022424,234.49923974173495,240.09576166605265,236.75275399036013,,242.5674027521031,243.5963074630603,248.84935912958142,249.71976785025927,,250.43472930825683,,248.14724344473794,247.69348134762154,,254.73217854551694,260.22888801810717,257.8827836491391,259.3428166525346,256.96484304871234,,248.91558081808438,255.3469768260301,259.20617436008047,255.39997819954786,250.91431207967466,257.00569465101785,259.22553575455197,261.49747489106994,262.91552222207144,,246.15069200382257,255.9016149728176,263.67268254182284,259.8096157969906,,257.86014867114216,248.09170712053694,246.19422414569303,244.5878176067516,255.73928699804955,250.62204314961954,238.9057484633683,,240.32570618272885,229.9499810209515,,,,,,,,,,,,,,,,,185.39601044366202,,,,,190.786355253297,200.00691584708608,201.27300903981742,200.7044734569621,
8,2000-10-22 22:07:50+00:00,254.38967193556454,251.81675672412365,,242.63689662155815,,234.7400483691228,239.49389689582205,,246.38972295567504,,250.59269809685316,249.29395029948506,249.49022378309576,244.26530571959415,,252.58120028609295,257.45054394182165,,256.3044978625765,247.96495153712647,,,251.85896489332703,250.41857089582487,,246.50321986775498,,,191.64926292232144,,198.16423947397647,,239.002572657876,263.1535259022939,,,,,273.0414936764868,271.74059496850845,,247.7606458736771,,228.66502196716266,241.27255919458548,272.6068236121041,268.4298950169241,230.63160884599029,,,,,205.78225118135305,219.3806991330743,222.83516768548287,248.81461985362256,,,,,,,,,,,,,,240.1185137230134,,237.21644423045464,229.99546687206848,,238.38712269737178,241.51496486231133,,244.47223990529153,,234.1217984299987,232.71206007443743,235.34686967899228,232.7278698441919,,227.84357924225128,,235.4394890898348,244.37297282059518,250.81498933549415,233.77417997217307,226.53244894814637,,223.95694498103413,216.71669225250278
9,2000-11-07 22:07:53+00:00,251.55398848703857,251.75647769671485,,246.8899590756616,243.82019047934273,236.48578165980112,243.07519902821463,,249.15560727988577,,254.3006529091145,247.59840688357352,240.1843219899323,243.25600592309942,243.50128776207964,244.91774851751293,251.5836812092146,,254.998960119279,255.1860026963781,251.95741498498404,242.8475801505646,225.6991310767569,216.3999980020348,,240.5318159743341,240.2610435111285,,,,,,,,254.38511613082215,249.32284717889218,253.8044371301384,253.90975580606047,257.7417417246678,260.7643887451534,259.5216560443099,254.87376780946138,,265.29281731947856,,270.6203494324931,274.8791981527162,,264.74543785726917,264.41433215160714,264.0395028619205,266.53629481060545,,254.2096781738578,254.00777279593308,254.09764261355076,256.87870660808017,,255.67488762483273,249.60309458918687,251.00742240295654,250.9674151035253,247.4253158044076,239.9947437616943,234.70533007094483,236.0187774485064,234.9667687898965,,243.6635732711578,234.6341821378905,233.7088667850116,235.1218632235006,228.70169486414554,236.64584349307705,233.25801330687634,237.24689727603067,235.25420775274137,237.0502374653688,,237.99880837628268,237.38303291793514,,246.0582983274486,243.19100542182886,242.51045113738837,242.05820382017853,237.3148951042857,241.03949249054463,240.89673694758613,229.79303274631553,230.21569734462764,227.3716300555569,229.460205665578,227.73208880702157
