dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0032,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0047,nzd0211-0048,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0060,nzd0211-0061,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078
1999-08-05 21:46:35+00:00,L7,344.94,327.84,325.47,324.00,328.75,327.17,326.07,323.45,324.40,328.73,332.70,330.85,331.29,331.34,335.79,333.50,338.57,343.45,343.87,339.15,338.37,,,,,,,,,,,,,,,,,,,,,338.30,337.71,336.74,338.79,339.14,344.88,343.24,351.22,356.04,356.66,358.26,358.47,359.26,362.94,362.59,361.50,368.98,372.61,375.11,383.03,385.12,379.96,382.68,382.32,388.60,387.50,383.98,372.58,368.96,364.05,362.67,360.09,,,,,,
1999-08-21 21:46:33+00:00,L7,346.55,335.87,330.40,320.21,319.68,318.02,317.52,320.18,324.42,326.96,323.57,324.45,322.47,327.76,330.44,331.49,332.49,337.02,336.63,333.22,333.57,,,,,,,,,,,,,,,,,,,,,331.26,330.70,333.09,332.60,339.25,340.30,345.68,347.13,349.63,351.44,353.67,351.65,357.51,355.98,360.03,364.00,361.45,361.86,369.63,376.55,373.78,377.28,366.11,378.07,373.51,381.09,372.42,368.29,361.21,358.82,360.75,355.80,358.29,366.10,363.99,385.86,367.95,362.27
1999-09-22 21:46:36+00:00,L7,378.61,365.49,350.87,338.17,333.10,328.51,328.27,333.72,339.41,343.08,340.82,341.73,340.72,343.01,344.66,345.32,350.29,353.08,350.28,348.55,346.44,347.48,344.08,342.21,344.98,347.72,349.93,352.62,357.88,360.32,365.49,367.18,371.71,367.14,362.89,365.13,371.90,372.46,362.04,357.59,351.28,351.01,349.40,346.51,349.65,347.46,348.44,355.59,363.61,364.64,363.53,365.31,369.47,369.55,372.67,375.23,376.35,379.40,382.46,390.37,392.47,392.72,390.13,394.51,392.43,394.43,390.89,391.23,388.13,389.49,382.19,377.67,379.58,380.56,384.64,386.29,398.29,380.33,374.45
2000-03-16 21:46:15+00:00,L7,353.93,340.09,332.44,326.56,325.21,324.07,323.39,325.44,326.77,331.45,330.38,331.74,329.99,332.57,332.22,333.54,337.00,343.36,343.16,340.33,336.90,338.27,337.27,339.07,340.98,345.22,348.08,352.81,352.43,352.81,359.99,357.39,359.96,349.75,359.94,355.47,354.32,355.06,352.42,351.69,347.03,348.80,345.26,344.62,344.59,344.13,346.48,346.10,349.74,356.51,361.44,361.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01 21:46:10+00:00,L7,360.62,344.01,338.45,331.99,327.55,323.14,322.64,326.37,328.84,327.55,330.92,331.93,331.89,329.88,333.65,339.24,338.59,339.06,339.35,335.48,336.01,337.42,336.75,337.54,338.45,342.08,349.39,349.96,348.84,349.18,356.02,355.86,355.84,355.61,358.60,351.52,356.20,355.74,352.58,344.71,341.42,341.95,341.46,344.65,341.55,344.44,344.10,349.32,350.61,360.17,361.88,360.69,364.80,362.26,367.31,370.25,368.22,372.48,378.72,381.49,389.63,390.65,387.91,385.81,385.80,387.27,389.49,385.05,381.51,377.02,373.01,368.70,371.04,372.10,373.41,375.07,384.38,366.10,360.56
2000-05-19 21:45:43+00:00,L7,348.73,331.90,333.16,325.18,325.26,323.19,324.59,327.98,329.28,334.15,330.07,329.79,333.77,333.23,336.67,339.59,342.17,345.39,341.89,341.38,341.42,340.16,338.81,338.61,341.11,,,,,,,,,,,,,,,,,348.58,351.29,348.36,351.64,348.56,352.41,353.02,355.58,359.06,360.72,359.61,363.19,365.97,367.44,376.32,376.77,381.07,378.75,383.90,389.64,392.59,392.11,392.33,393.79,392.73,391.37,390.68,383.46,380.35,377.00,377.02,368.76,374.04,368.85,375.00,385.03,362.53,352.28
2000-06-04 21:45:32+00:00,L7,325.78,318.41,311.46,310.53,306.82,308.26,309.71,311.01,315.94,314.10,313.33,314.87,315.07,319.67,321.21,324.74,329.78,331.17,327.94,326.61,,,,,,,,,,,,,,,,,,344.39,346.05,343.09,339.41,334.85,335.25,337.67,334.28,341.26,338.77,343.88,343.28,349.78,348.73,349.62,353.48,356.20,362.17,367.10,366.02,366.48,370.78,370.94,377.63,377.69,376.41,368.75,356.42,368.22,378.24,369.76,369.23,361.14,,,72.58,,,,,,
2000-08-07 21:44:45+00:00,L7,351.16,337.77,318.92,310.11,314.28,321.40,325.47,329.44,330.73,328.37,330.20,330.27,328.38,330.68,335.98,337.82,340.57,339.15,338.49,332.57,336.73,,,,,,,,,,,,,,,,,,,,,,337.35,339.28,336.06,346.34,349.01,350.29,350.50,360.88,361.49,355.89,361.13,364.24,371.10,373.44,373.78,371.55,378.94,386.00,390.17,391.00,388.06,382.46,382.01,380.45,384.05,376.20,372.58,358.20,365.41,360.84,346.78,,,,,,
2000-09-24 21:44:07+00:00,L7,364.88,349.51,337.68,336.04,332.03,330.27,334.23,341.25,340.11,339.22,337.91,338.32,340.22,342.63,344.97,342.99,345.01,353.52,353.66,351.31,350.26,349.21,351.59,353.25,356.42,353.27,356.62,354.39,355.14,353.95,369.24,372.44,368.85,365.80,363.64,365.35,364.04,365.16,356.01,355.10,357.00,353.88,351.74,354.47,354.23,354.87,357.69,359.92,364.92,368.62,370.11,369.28,371.43,376.35,375.16,375.53,377.11,379.12,384.34,386.75,393.00,396.13,392.81,390.86,387.64,391.24,386.56,387.82,380.54,375.24,369.30,366.94,363.52,361.54,361.95,366.17,389.24,375.43,370.56
2001-01-14 21:44:09+00:00,L7,323.51,315.43,308.53,305.33,302.36,306.49,309.91,311.13,317.44,317.70,316.77,318.06,317.50,319.07,323.27,327.42,323.79,333.83,332.05,330.78,329.70,329.93,333.11,332.09,335.49,331.34,335.71,333.48,337.77,224.48,336.92,342.61,341.10,345.05,344.23,343.25,342.49,343.02,343.57,339.20,337.45,334.98,333.90,332.91,333.59,331.27,335.74,337.10,340.25,343.78,346.06,348.54,350.54,356.95,359.99,364.06,360.29,366.05,369.62,372.35,379.60,382.17,376.89,380.34,376.10,379.37,374.14,371.16,362.77,356.74,351.93,353.10,349.66,351.32,357.38,358.01,371.23,355.38,347.42
2001-04-04 21:43:43+00:00,L7,369.71,355.04,342.42,342.83,347.03,342.11,339.20,341.77,345.62,350.96,347.05,348.40,347.97,347.71,346.94,342.26,346.11,349.02,348.69,344.98,346.11,346.19,347.84,349.08,348.80,353.63,374.86,387.37,359.96,364.68,366.44,364.28,364.91,366.80,362.76,362.97,359.71,364.69,357.60,357.76,354.45,354.68,354.28,352.55,355.97,360.16,361.56,363.76,372.05,373.34,377.36,372.02,372.50,372.17,375.98,374.42,375.01,380.23,384.00,388.16,394.34,393.97,394.09,393.17,391.79,390.61,390.84,386.89,380.96,371.64,369.46,360.67,357.40,356.35,358.90,364.49,380.02,365.22,354.09
2001-04-20 21:43:46+00:00,L7,359.32,349.47,342.14,338.31,338.76,333.20,331.63,341.36,339.58,341.31,338.40,340.15,338.32,339.83,341.71,341.66,339.53,348.70,344.86,345.79,344.83,342.62,339.65,341.28,345.73,347.52,352.37,359.36,354.00,352.20,354.05,357.59,355.64,358.02,353.87,354.34,353.79,355.89,352.48,347.89,347.30,343.99,348.58,345.39,348.12,347.11,350.99,355.90,358.44,361.07,360.92,360.06,358.10,367.56,367.27,374.73,369.24,372.01,378.03,382.52,388.71,390.06,379.18,385.88,380.01,386.48,379.58,380.73,367.11,365.14,355.99,358.88,349.08,349.40,355.43,360.44,377.86,360.40,354.52
2001-05-22 21:43:30+00:00,L7,362.26,350.22,343.64,336.94,332.40,334.17,333.26,338.87,339.97,340.16,336.51,339.85,343.13,339.37,339.21,340.61,348.74,357.90,350.11,349.30,,,,,,,,,,,,,,,,,,,,,353.24,354.34,352.47,350.49,356.38,354.73,357.51,357.50,360.08,365.56,369.61,367.12,369.25,373.15,375.10,379.59,384.97,386.20,391.19,391.16,396.08,396.93,396.69,396.11,394.35,394.31,393.62,383.80,379.07,373.22,373.28,367.21,357.09,,,,,,
