dates,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0032,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0047,nzd0211-0048,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0060,nzd0211-0061,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078,satname
1999-08-05 21:46:35+00:00,340.44,323.34,321.47,320.40,325.15,323.57,323.07,320.18,321.13,325.73,329.43,327.85,328.29,328.34,332.52,330.50,335.57,340.45,340.87,336.15,335.60,,,,,,,,,,,,,,,,,,,,,336.30,336.00,334.94,337.08,337.43,343.17,341.80,349.78,354.40,354.95,356.69,356.83,357.55,361.37,361.02,359.93,367.27,370.97,373.31,381.32,383.74,378.58,381.30,380.94,387.36,386.21,382.34,371.08,367.46,362.76,361.43,358.96,,,,,,,L7
1999-08-21 21:46:33+00:00,337.62,323.73,320.72,315.61,317.71,316.10,316.38,315.90,318.50,322.43,322.23,322.24,321.47,324.13,327.20,327.08,330.12,334.82,334.84,330.77,330.97,,,,,,,,,,,,,,,,,,,,,331.17,331.11,331.66,332.60,336.10,339.50,341.86,346.57,349.88,350.95,353.13,352.11,355.29,356.63,358.48,359.92,362.12,364.28,369.12,376.69,376.95,376.12,371.89,377.69,378.81,381.97,375.25,367.73,362.38,359.11,359.47,355.91,354.93,363.75,361.64,382.62,365.60,356.00,L7
1999-09-22 21:46:36+00:00,346.37,332.73,326.40,319.19,318.91,316.30,317.07,318.27,321.89,326.04,324.85,325.46,324.61,327.15,329.45,329.88,333.56,337.63,336.71,333.42,333.10,338.40,337.14,331.48,335.15,336.99,342.56,344.19,349.45,354.70,362.38,364.23,368.43,364.19,359.20,360.00,368.95,365.08,355.10,351.03,344.72,335.60,335.33,334.65,336.41,338.01,340.60,344.86,350.68,353.01,353.27,355.48,356.11,358.17,360.27,362.35,363.69,366.01,368.55,374.24,380.08,380.69,379.28,377.92,381.09,382.66,383.54,378.79,372.89,369.77,365.40,364.18,362.57,365.64,372.72,372.49,388.42,371.49,361.29,L7
2000-03-16 21:46:15+00:00,350.77,337.29,327.88,319.97,316.75,313.89,315.50,318.31,321.81,326.94,324.32,326.40,325.02,327.46,327.16,329.10,333.31,337.89,336.39,334.11,332.13,333.33,333.38,329.37,332.65,335.19,341.25,343.86,346.29,350.66,359.48,359.19,362.39,355.35,357.54,354.91,360.01,356.01,349.94,347.75,342.26,343.01,341.42,339.37,341.21,339.89,341.56,345.88,351.72,354.94,356.58,358.05,364.11,363.93,367.54,370.10,371.22,373.78,377.10,384.47,386.85,388.18,385.59,389.97,387.89,390.36,386.68,385.87,383.21,384.57,377.98,373.60,375.89,376.35,381.69,383.34,394.22,377.38,366.58,L7
2000-04-01 21:46:10+00:00,343.27,328.05,323.00,318.07,315.18,312.40,313.69,315.72,317.62,320.17,320.47,322.50,321.61,321.89,322.75,327.06,328.47,331.88,331.92,328.57,327.84,329.23,330.42,328.12,330.38,333.46,341.73,343.38,342.63,345.66,355.06,353.82,354.79,349.88,355.77,348.62,352.46,348.40,345.91,341.98,338.00,339.15,338.02,339.03,337.74,338.95,339.96,343.23,345.70,353.25,356.32,356.25,360.53,357.78,363.22,366.16,364.13,368.00,374.45,376.79,385.15,387.03,384.29,382.19,382.18,384.03,386.13,380.78,377.59,373.10,369.65,365.46,368.10,368.74,371.06,372.72,381.14,363.75,354.29,L7
2000-05-19 21:45:43+00:00,347.51,331.75,328.54,322.38,320.47,317.93,318.93,321.56,323.26,326.44,325.42,326.54,327.27,327.28,329.15,332.85,334.64,337.99,336.86,334.45,333.85,334.36,334.35,333.37,335.57,333.46,341.73,343.38,342.63,345.66,355.06,353.82,354.79,349.88,355.77,348.62,352.46,348.40,345.91,341.98,338.00,343.37,343.37,343.11,343.29,343.07,345.03,347.27,349.76,356.07,358.71,358.21,363.18,363.25,366.59,372.50,371.71,375.91,377.92,381.80,388.77,390.92,389.31,388.38,389.10,389.38,389.78,387.05,381.74,377.94,374.36,372.24,369.34,372.43,370.68,374.59,384.08,363.87,355.22,L7
2000-06-04 21:45:32+00:00,345.95,332.29,327.71,322.51,320.16,318.62,319.21,321.74,324.25,325.94,325.22,326.21,326.81,327.96,329.98,333.40,336.01,338.87,337.21,335.07,333.85,334.36,334.35,333.37,335.57,333.46,341.73,343.38,342.63,345.66,355.06,353.82,354.79,349.88,355.77,348.62,352.46,349.65,348.39,344.65,340.77,342.96,342.81,343.30,342.51,344.10,344.94,347.66,349.38,355.90,357.69,357.41,361.83,362.87,366.91,372.50,371.61,374.74,377.42,380.24,387.03,388.10,386.60,383.42,379.80,383.75,387.41,383.17,379.29,374.06,374.36,372.24,369.34,372.43,370.68,374.59,384.08,363.87,355.22,L7
2000-08-07 21:44:45+00:00,346.14,332.54,325.20,319.35,318.30,318.49,319.89,322.66,324.93,325.86,325.60,326.45,326.55,327.94,330.56,333.72,336.36,338.36,336.90,334.01,333.92,334.36,334.35,333.37,335.57,333.46,341.73,343.38,342.63,345.66,355.06,353.82,354.79,349.88,355.77,348.62,352.46,349.65,348.39,344.65,340.77,342.96,341.40,342.16,340.90,344.22,345.43,347.91,349.33,356.59,358.13,356.81,361.26,362.81,367.59,372.36,371.78,373.53,377.41,381.26,387.41,388.50,386.64,382.86,380.02,382.63,386.27,381.04,377.26,369.74,370.97,368.05,361.46,372.43,370.68,374.59,384.08,363.87,355.22,L7
2000-09-24 21:44:07+00:00,347.68,333.77,325.67,320.73,319.15,319.21,321.63,325.35,327.12,326.98,326.63,327.34,328.17,329.52,332.64,335.18,337.52,339.96,338.57,335.77,336.76,337.34,338.62,337.31,339.99,336.31,345.19,343.25,343.06,345.61,359.34,361.02,358.88,357.58,357.21,353.00,357.00,352.47,349.07,345.30,343.61,343.87,342.44,343.87,342.58,346.12,347.42,350.47,352.16,358.78,359.61,358.13,361.88,364.03,367.75,371.64,371.49,373.17,377.38,380.80,387.04,388.83,386.67,383.26,380.35,383.28,385.21,380.98,376.61,369.54,369.16,366.43,360.76,366.94,366.47,370.48,384.01,366.42,356.87,L7
2001-01-14 21:44:09+00:00,345.27,332.99,320.60,316.16,315.22,318.39,322.37,326.37,328.52,327.60,327.39,328.05,327.87,329.96,333.83,335.24,335.62,341.33,340.57,337.39,338.13,339.73,342.47,342.86,346.12,342.49,346.29,344.08,346.60,346.52,353.13,357.58,355.03,355.48,354.00,354.39,353.31,354.22,349.90,347.26,347.33,344.54,340.52,341.72,340.82,343.68,347.00,348.70,351.49,357.30,358.74,357.47,360.58,365.37,368.32,370.58,369.96,371.76,377.18,381.20,387.11,389.38,385.53,384.17,381.53,383.34,381.23,377.94,371.55,362.98,361.86,359.95,353.01,356.50,359.72,362.14,380.31,365.45,359.12,L7
