dates,satname,nzd0365-0000,nzd0365-0001,nzd0365-0002,nzd0365-0003,nzd0365-0004,nzd0365-0005,nzd0365-0006,nzd0365-0007,nzd0365-0008,nzd0365-0009,nzd0365-0010,nzd0365-0011,nzd0365-0012,nzd0365-0013,nzd0365-0014,nzd0365-0015,nzd0365-0016,nzd0365-0017,nzd0365-0018,nzd0365-0019,nzd0365-0020,nzd0365-0021,nzd0365-0022,nzd0365-0023,nzd0365-0024,nzd0365-0025
1999-07-02 21:59:57+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,651.90,
1999-09-04 22:00:09+00:00,L7,358.66,360.18,360.66,356.90,348.94,346.50,352.60,356.05,358.56,367.46,370.54,364.72,360.92,354.24,354.77,360.72,368.87,369.90,367.74,373.14,371.80,369.97,368.56,373.95,369.47,375.96
1999-09-20 22:00:08+00:00,L7,363.47,368.33,363.69,361.54,354.57,352.97,358.60,365.36,366.07,376.98,378.53,375.48,367.89,362.88,358.63,364.60,374.36,376.61,378.29,381.58,382.33,378.27,377.72,378.93,378.23,372.30
1999-12-09 22:00:09+00:00,L7,351.49,354.72,353.54,349.07,344.11,343.34,347.39,352.44,354.26,365.71,363.42,363.55,356.66,358.44,354.12,360.02,362.38,366.89,365.68,,,,,,,
1999-12-25 22:00:04+00:00,L7,353.90,352.31,350.33,347.76,348.79,349.86,355.88,360.48,359.71,369.10,365.74,368.17,358.70,354.91,354.34,361.19,369.69,369.49,370.04,376.34,376.94,371.76,376.37,375.23,368.43,361.08
2000-01-26 22:00:02+00:00,L7,357.08,359.79,360.82,350.79,348.25,355.36,360.32,364.86,364.63,370.69,367.15,367.52,361.38,360.29,361.90,364.06,375.60,369.74,360.13,375.39,381.65,378.82,379.58,386.24,382.03,361.66
2000-02-11 21:59:57+00:00,L7,349.23,351.07,351.77,346.49,342.87,345.30,349.55,351.78,352.16,361.24,360.42,359.65,353.51,353.24,352.69,358.23,361.62,364.37,363.36,369.53,369.63,367.76,374.02,375.60,366.80,357.76
2000-02-27 21:59:52+00:00,L7,362.73,366.54,365.54,359.62,354.96,354.74,360.36,366.30,371.21,374.62,375.53,370.17,370.63,364.31,365.91,367.86,377.81,375.51,377.02,383.97,387.57,382.85,386.58,393.51,390.54,376.84
2000-03-14 21:59:47+00:00,L7,359.04,359.29,358.59,352.57,350.11,349.07,355.85,360.74,368.63,372.89,371.89,367.70,366.30,360.31,359.33,363.84,370.74,372.85,372.49,377.20,378.09,375.85,376.26,376.72,369.80,370.78
2000-03-30 21:59:45+00:00,L7,366.09,368.73,369.18,362.40,360.33,359.98,366.60,375.14,377.36,380.82,383.59,379.90,376.30,373.37,370.25,375.84,382.99,383.54,385.56,388.41,384.38,382.98,382.27,391.58,382.61,383.31
2000-04-15 21:59:31+00:00,L7,363.45,361.78,366.41,357.07,356.37,356.58,367.96,371.10,373.13,374.22,380.27,373.61,369.75,361.69,362.36,364.11,372.07,371.55,374.19,376.36,378.12,375.50,379.29,384.75,379.22,401.82
2000-05-01 21:59:30+00:00,L7,371.73,366.87,369.78,360.61,355.23,358.54,366.61,375.76,378.47,381.35,385.35,382.84,375.70,368.97,366.74,370.07,379.08,382.12,385.13,386.41,387.46,386.51,386.54,388.44,385.48,397.08
2000-05-17 21:59:19+00:00,L7,366.11,363.02,359.97,356.97,353.60,355.75,364.05,368.37,369.69,379.35,378.72,379.21,375.05,368.75,364.60,371.83,379.12,376.61,376.77,382.60,382.90,382.69,381.04,381.82,384.53,385.43
2000-06-18 21:59:03+00:00,L7,353.96,354.70,355.71,350.47,348.15,348.19,354.70,358.52,359.25,366.64,369.94,364.42,358.23,356.15,354.26,364.03,367.31,366.65,367.74,371.43,372.13,369.39,374.72,378.87,373.53,372.15
