dates,nzd0537-0000,nzd0537-0001,nzd0537-0002,nzd0537-0003,nzd0537-0004,nzd0537-0005,nzd0537-0006,nzd0537-0007,nzd0537-0008,nzd0537-0009,nzd0537-0010,nzd0537-0011,nzd0537-0012,nzd0537-0013,nzd0537-0014,nzd0537-0015,nzd0537-0016,nzd0537-0017,nzd0537-0018,nzd0537-0019,nzd0537-0020,nzd0537-0021,nzd0537-0022,nzd0537-0023,nzd0537-0024,nzd0537-0025,nzd0537-0026,nzd0537-0027,nzd0537-0028,nzd0537-0029,nzd0537-0030,nzd0537-0031,nzd0537-0032,nzd0537-0033,nzd0537-0034,nzd0537-0035,nzd0537-0036,nzd0537-0037,nzd0537-0038,nzd0537-0039,nzd0537-0040,nzd0537-0041,nzd0537-0042,nzd0537-0043,nzd0537-0044,nzd0537-0045,nzd0537-0046,nzd0537-0047,nzd0537-0048,nzd0537-0049,nzd0537-0050,nzd0537-0051,nzd0537-0052,nzd0537-0053,nzd0537-0054,nzd0537-0055,nzd0537-0056,nzd0537-0057,nzd0537-0058,nzd0537-0059,nzd0537-0060,nzd0537-0061,nzd0537-0062,nzd0537-0063,nzd0537-0064,nzd0537-0065,nzd0537-0066,nzd0537-0067,nzd0537-0068,nzd0537-0069,nzd0537-0070,nzd0537-0071,nzd0537-0072,nzd0537-0073,nzd0537-0074,nzd0537-0075,nzd0537-0076,nzd0537-0077,nzd0537-0078,nzd0537-0079,nzd0537-0080,nzd0537-0081,nzd0537-0082,nzd0537-0083,nzd0537-0084,nzd0537-0085,nzd0537-0086,nzd0537-0087,nzd0537-0088,nzd0537-0089,nzd0537-0090,nzd0537-0091,nzd0537-0092,nzd0537-0093,nzd0537-0094,nzd0537-0095,nzd0537-0096,nzd0537-0097,nzd0537-0098,nzd0537-0099,nzd0537-0100,nzd0537-0101,nzd0537-0102,nzd0537-0103,nzd0537-0104,nzd0537-0105,nzd0537-0106,nzd0537-0107,nzd0537-0108,nzd0537-0109,nzd0537-0110,nzd0537-0111,nzd0537-0112,nzd0537-0113,nzd0537-0114,nzd0537-0115,nzd0537-0116,nzd0537-0117,nzd0537-0118,nzd0537-0119,nzd0537-0120,nzd0537-0121,nzd0537-0122,nzd0537-0123,nzd0537-0124,nzd0537-0125,nzd0537-0126,nzd0537-0127,nzd0537-0128,nzd0537-0129,nzd0537-0130,nzd0537-0131,nzd0537-0132,nzd0537-0133,nzd0537-0134,nzd0537-0135,nzd0537-0136,nzd0537-0137,nzd0537-0138,satname
2000-09-27 22:17:24+00:00,368.05,366.24,362.95,370.91,374.10,372.73,379.21,379.61,382.87,385.96,382.83,385.72,388.51,386.25,384.35,385.77,386.75,378.47,380.50,374.60,360.59,369.11,359.69,353.76,351.64,347.88,339.05,330.26,326.62,318.71,322.39,336.66,353.12,361.47,378.16,368.59,364.22,354.35,339.40,320.57,300.79,287.16,283.50,280.52,276.56,274.50,288.12,297.23,310.24,315.76,324.04,334.51,331.57,331.69,332.32,326.06,325.98,328.84,331.11,334.72,327.08,329.21,344.80,344.59,351.99,359.17,360.39,358.30,356.65,358.33,355.36,354.32,348.93,346.97,346.96,340.89,343.17,338.13,341.87,336.81,336.06,333.59,320.12,316.98,310.98,318.94,314.15,322.75,329.28,348.37,355.44,361.92,371.41,384.05,396.39,391.67,387.95,392.77,402.15,394.50,390.96,390.78,380.20,382.52,,,390.64,389.81,390.52,398.55,401.89,399.68,401.74,404.17,409.34,418.87,404.65,414.68,419.85,416.80,408.57,401.65,390.35,383.83,375.04,365.23,350.27,329.26,322.46,290.79,264.34,,,,,313.73,325.65,322.47,316.99,L7
2000-10-29 22:17:19+00:00,351.49,353.27,358.50,360.63,368.84,383.77,389.28,386.64,382.23,385.01,392.98,393.04,385.12,380.13,382.02,378.92,375.52,375.56,364.89,365.06,364.36,363.87,360.50,351.67,337.18,331.23,329.29,325.32,327.45,329.86,326.80,337.93,348.05,362.34,388.60,398.03,388.64,373.05,346.79,331.93,319.06,279.58,288.02,288.08,282.37,285.43,284.88,300.85,310.14,327.25,328.78,324.19,333.68,333.24,327.95,329.11,330.77,326.37,332.01,322.01,324.60,334.51,335.37,351.18,354.22,345.88,342.92,355.88,360.65,358.69,358.02,348.77,345.97,342.52,335.15,340.49,341.12,341.74,334.57,342.78,341.53,327.37,321.54,313.35,312.93,306.59,313.24,315.48,338.15,349.81,365.49,377.53,399.59,399.99,396.15,397.16,398.21,394.39,384.47,387.27,391.60,379.31,394.85,389.18,398.33,405.53,400.16,400.53,399.91,405.40,397.15,422.33,426.77,428.45,415.73,411.71,436.75,438.87,449.79,426.46,423.68,411.81,402.33,385.69,370.13,362.43,357.43,356.12,344.11,,,,,330.33,331.78,328.77,325.02,320.43,315.38,L7
2001-03-22 22:17:09+00:00,360.05,363.95,360.48,373.53,374.45,373.98,372.05,376.69,385.12,390.37,385.78,385.97,384.88,381.29,381.26,386.20,384.80,378.24,380.88,380.84,372.92,374.53,369.05,360.52,349.02,340.21,336.71,332.76,325.41,321.96,327.85,340.90,358.58,365.39,382.92,373.48,371.84,361.23,342.79,326.07,302.51,294.50,289.87,285.26,,,,,,,,,,,,,,,,342.97,332.48,333.97,347.23,348.45,355.92,364.09,362.06,358.04,357.79,360.33,353.75,352.75,349.71,345.75,349.14,341.39,340.78,338.04,343.10,335.11,333.45,333.40,322.26,317.51,307.01,309.59,306.35,323.17,325.93,347.13,355.10,364.84,373.82,387.06,393.97,396.79,393.46,398.68,405.65,391.27,389.41,388.94,377.20,389.27,385.21,386.21,390.50,393.01,402.60,402.89,414.19,403.95,402.96,407.62,424.34,437.09,423.34,435.74,430.37,421.64,400.65,395.32,383.48,378.25,367.96,359.17,348.53,331.63,318.81,283.53,252.77,,287.25,301.56,311.35,312.11,320.55,323.23,313.57,L7
2001-04-07 22:17:01+00:00,344.50,347.11,347.20,356.60,358.79,357.90,363.04,365.04,375.51,378.63,372.37,369.17,368.41,366.67,361.09,365.97,362.05,356.38,359.91,356.94,348.67,350.62,348.61,344.82,341.84,335.17,329.78,323.39,314.14,314.06,318.23,335.01,351.42,356.75,375.14,383.87,368.12,344.59,324.82,313.12,301.40,288.13,281.88,276.30,267.68,273.24,274.34,287.87,298.11,310.52,322.07,332.35,328.35,323.93,325.68,320.90,319.62,331.34,328.73,327.31,321.11,322.81,326.95,334.66,338.84,353.01,353.28,352.36,361.28,355.20,347.28,345.58,340.12,340.61,340.25,331.28,331.73,326.71,329.12,329.73,327.58,326.16,312.54,306.12,300.08,306.90,305.20,325.62,328.03,348.30,348.34,361.56,368.31,376.81,385.16,382.83,380.74,384.47,388.90,381.15,372.87,376.34,370.45,375.84,372.58,375.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.99,L7
2001-04-16 22:10:54+00:00,343.68,348.35,350.82,356.12,356.94,362.93,358.42,361.87,367.95,367.80,368.40,371.62,377.83,377.18,366.92,366.16,359.43,358.17,360.63,360.80,355.54,356.80,350.12,347.53,341.34,335.14,327.22,319.71,313.24,315.78,310.22,329.52,341.90,351.49,364.75,368.74,363.67,355.38,337.08,317.04,298.58,295.53,277.16,266.45,270.17,270.45,282.43,292.09,300.87,306.31,322.44,330.77,328.33,325.74,323.37,325.21,320.05,328.33,325.11,325.52,329.58,326.63,331.97,333.51,336.29,341.57,346.82,345.74,345.60,347.31,345.22,340.10,337.31,338.78,339.33,330.93,331.32,334.13,330.48,326.16,324.15,312.33,300.20,296.41,293.55,297.91,302.28,319.13,328.93,341.40,347.84,353.41,360.86,365.87,374.13,370.80,373.01,379.71,384.33,376.23,379.60,375.69,371.43,373.81,377.44,376.66,388.83,387.71,390.23,392.90,393.93,394.44,394.07,402.30,409.39,417.55,410.77,421.11,417.80,412.74,395.90,387.09,372.36,365.03,355.09,349.60,330.92,324.23,315.33,270.60,264.13,,301.08,305.50,296.89,299.70,302.57,304.41,299.09,L7
2001-07-05 22:10:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.62,L7
2001-11-01 22:15:17+00:00,330.84,333.88,337.64,351.65,351.74,352.84,354.86,356.69,355.51,358.37,353.80,353.30,360.44,358.82,356.40,352.48,347.79,346.31,345.17,342.64,332.64,333.03,331.18,327.20,316.60,310.96,306.63,305.55,301.02,301.27,303.92,312.06,319.20,324.42,328.24,331.35,340.86,336.45,319.53,310.85,291.79,276.51,268.41,267.66,267.01,267.51,270.31,276.76,289.26,303.91,311.46,316.11,311.41,309.86,317.04,314.01,310.79,313.40,316.12,312.31,313.78,317.39,321.46,329.33,331.28,338.04,336.69,343.59,345.74,345.69,340.21,335.51,329.49,326.41,325.87,327.31,329.78,339.21,335.95,327.28,320.71,314.14,308.91,300.82,300.81,297.10,293.39,311.76,318.42,,,,,,,,,,382.33,373.89,369.92,368.75,363.31,369.71,369.24,372.52,376.49,379.60,379.95,383.59,381.20,382.40,381.69,385.45,388.24,396.19,402.28,415.57,420.59,402.25,389.68,376.96,361.66,364.69,347.42,342.73,314.21,298.72,280.75,,,,,263.68,280.67,290.50,293.85,283.22,290.68,L7
2001-12-19 22:15:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.16,362.54,364.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.54,,,,,,,,,,,,,,,,,472.34,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-21 22:09:29+00:00,,,,,,,,,,,,,369.71,370.72,365.85,373.58,374.70,363.73,372.32,368.65,356.51,357.63,355.66,350.03,339.64,328.49,327.41,323.20,311.53,313.46,314.24,332.59,351.98,346.36,361.08,350.28,357.34,343.85,342.29,320.45,303.62,287.99,285.01,279.02,279.91,275.27,287.92,294.57,299.00,307.52,319.69,331.20,327.60,327.36,335.10,326.80,321.26,339.20,331.19,332.57,320.05,306.05,330.17,332.39,338.34,358.84,359.31,352.59,351.14,347.37,344.81,340.45,340.64,339.38,342.15,333.74,338.85,339.20,349.01,335.53,326.62,329.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.94,435.42,412.13,427.47,423.67,419.80,407.52,401.29,376.72,375.62,364.81,359.23,,322.74,323.63,296.01,273.44,,,,,293.84,315.81,317.28,314.61,L7
2002-07-31 22:15:11+00:00,,,,,,374.15,378.37,378.96,382.51,382.83,391.31,391.41,384.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
