dates,nzd0180-0000,nzd0180-0001,nzd0180-0002,nzd0180-0003,nzd0180-0004,nzd0180-0005,nzd0180-0006,nzd0180-0007,nzd0180-0008,nzd0180-0009,nzd0180-0010,nzd0180-0011,nzd0180-0012,nzd0180-0013,nzd0180-0014,nzd0180-0015,satname
1999-09-20 21:58:32+00:00,,,,,,,,,,,,,349.70,353.31,355.69,373.18,L7
1999-10-22 21:58:28+00:00,348.70,350.75,363.64,359.75,366.43,366.28,368.60,369.97,369.40,370.95,361.38,361.78,354.84,352.53,357.93,358.05,L7
1999-12-09 21:58:33+00:00,351.36,356.52,367.15,361.81,375.78,372.90,372.39,376.79,372.91,379.19,368.54,367.94,360.34,356.93,363.40,357.69,L7
2000-02-27 21:58:40+00:00,368.16,361.40,374.63,375.12,374.02,382.21,378.23,381.35,378.03,378.83,373.90,364.58,360.20,358.67,360.69,357.46,L7
2000-03-14 21:58:11+00:00,355.53,355.51,370.58,366.99,372.10,375.50,372.50,378.63,374.81,374.70,371.04,363.28,358.59,354.89,358.40,359.71,L7
2000-03-30 21:58:33+00:00,368.67,361.83,376.37,378.55,378.10,378.06,372.87,377.69,379.22,374.25,371.87,364.56,356.89,355.39,355.50,361.46,L7
2000-05-01 21:58:18+00:00,366.08,362.78,371.29,377.83,370.49,376.78,376.85,376.06,379.77,375.10,370.72,366.39,356.83,359.85,357.66,360.05,L7
2000-07-20 21:56:59+00:00,346.60,342.93,338.06,334.02,340.49,350.14,344.90,347.11,350.23,350.60,349.11,,,,,,L7
2000-08-05 21:57:08+00:00,354.04,348.25,349.33,351.43,359.35,353.77,359.95,355.89,365.83,363.08,358.01,357.19,343.72,342.48,341.00,328.11,L7
2000-12-11 21:56:24+00:00,345.99,347.45,360.97,356.91,360.83,360.11,359.46,360.31,356.81,358.69,348.08,339.31,334.19,332.51,336.30,329.61,L7
2001-01-12 21:56:06+00:00,343.43,348.20,359.13,357.85,352.34,359.54,355.18,355.52,352.59,351.57,351.31,339.01,333.36,331.36,333.92,327.82,L7
2001-05-20 21:55:29+00:00,355.32,351.84,368.24,366.97,370.68,373.36,367.61,371.05,376.73,373.63,364.16,357.08,346.23,344.05,345.73,339.84,L7
2001-06-05 21:55:16+00:00,361.77,356.72,372.72,368.93,373.73,376.95,371.24,377.29,373.63,373.04,366.93,359.17,352.02,348.25,348.73,348.36,L7
2001-06-21 21:55:29+00:00,,,,370.75,370.05,370.90,374.73,371.63,373.56,374.15,363.01,359.99,349.91,348.89,348.64,339.28,L7
