dates,satname,nzd0324-0000,nzd0324-0001,nzd0324-0002,nzd0324-0003,nzd0324-0004,nzd0324-0005,nzd0324-0006,nzd0324-0007,nzd0324-0008,nzd0324-0009,nzd0324-0010,nzd0324-0011,nzd0324-0012,nzd0324-0013,nzd0324-0014,nzd0324-0015,nzd0324-0016,nzd0324-0017,nzd0324-0018,nzd0324-0019,nzd0324-0020,nzd0324-0021,nzd0324-0022,nzd0324-0023,nzd0324-0024,nzd0324-0025,nzd0324-0026,nzd0324-0027,nzd0324-0028,nzd0324-0029,nzd0324-0030,nzd0324-0031,nzd0324-0032,nzd0324-0033,nzd0324-0034,nzd0324-0035,nzd0324-0036,nzd0324-0037,nzd0324-0038,nzd0324-0039,nzd0324-0040,nzd0324-0041,nzd0324-0042,nzd0324-0043,nzd0324-0044,nzd0324-0045,nzd0324-0046,nzd0324-0047,nzd0324-0048,nzd0324-0049,nzd0324-0050,nzd0324-0051,nzd0324-0052,nzd0324-0053,nzd0324-0054,nzd0324-0055,nzd0324-0056,nzd0324-0057,nzd0324-0058,nzd0324-0059,nzd0324-0060,nzd0324-0061
1999-08-05 21:47:23+00:00,L7,331.11,328.87,324.14,329.01,329.39,320.97,330.57,350.96,355.56,348.63,339.52,329.04,299.88,318.66,340.75,339.96,345.28,344.73,350.63,332.31,330.95,333.27,345.82,349.84,346.54,345.31,337.90,329.36,320.34,327.68,330.52,331.70,310.08,320.54,333.73,375.78,371.34,368.90,366.47,,538.02,501.56,484.93,365.29,435.30,417.75,405.13,392.85,347.49,338.65,341.19,328.53,307.65,334.50,342.72,330.61,330.61,,431.04,403.61,339.67,323.75
1999-08-21 21:47:20+00:00,L7,362.14,355.88,346.55,349.62,346.78,344.64,349.08,360.90,362.16,358.27,356.58,363.77,357.86,351.70,363.35,375.42,374.64,363.21,370.22,375.59,356.05,353.83,363.59,362.21,366.97,360.69,359.20,347.56,338.17,344.66,345.29,337.56,328.83,325.80,333.36,338.10,352.25,371.46,366.18,353.09,334.14,336.89,342.75,350.80,360.34,357.03,354.28,352.91,340.62,340.82,336.43,330.70,329.61,345.36,350.57,334.90,330.64,330.40,328.79,330.94,326.69,327.20
1999-09-22 21:47:24+00:00,L7,390.17,382.66,366.92,371.00,373.99,355.65,359.99,370.23,382.36,370.44,367.28,376.06,383.76,393.22,389.81,374.84,377.56,377.41,362.90,359.98,368.47,367.70,372.93,374.87,371.49,371.81,368.32,369.02,352.06,355.99,363.55,350.43,337.43,342.26,346.28,350.14,380.24,397.50,385.68,356.11,349.18,350.18,347.40,358.43,385.83,377.48,353.18,356.62,359.79,371.88,370.91,362.06,374.08,378.94,383.47,360.70,352.95,350.44,353.58,,,
1999-09-29 21:53:40+00:00,L7,344.93,340.12,329.91,335.82,336.78,329.54,337.45,349.71,350.36,351.13,341.08,352.66,338.50,346.54,351.44,346.67,351.47,347.99,333.73,339.40,341.70,341.81,334.35,343.97,339.56,332.73,337.55,335.06,322.68,321.08,327.18,320.56,312.90,315.75,319.62,323.01,339.44,354.14,351.85,325.93,318.51,318.84,320.62,343.45,351.68,345.53,340.50,329.84,327.28,326.60,321.36,315.75,305.82,326.42,330.56,315.88,311.97,307.49,315.06,311.62,306.90,312.43
1999-10-24 21:47:44+00:00,L7,373.37,373.95,363.06,363.19,370.90,362.51,359.98,376.58,382.44,382.04,378.35,372.27,379.67,380.02,382.95,377.57,379.95,373.10,364.91,367.02,357.58,365.47,360.76,360.33,365.28,362.33,364.13,363.99,346.14,352.50,354.28,347.69,332.14,331.63,344.31,342.35,364.63,388.76,382.58,356.41,347.28,344.85,348.20,358.63,379.76,375.19,367.09,370.44,369.36,372.57,371.87,378.20,370.32,393.18,388.37,367.44,361.37,355.73,368.30,362.48,358.42,361.58
2000-01-19 21:53:25+00:00,L7,,,,,,,,,,,,,,,,,,,362.37,359.88,354.92,347.00,348.94,345.23,340.75,349.49,348.09,345.21,337.50,338.41,342.30,332.93,325.72,324.12,319.12,326.59,350.68,377.24,365.02,349.09,350.07,358.96,353.65,358.45,363.00,363.74,368.05,365.54,367.46,369.13,365.79,366.53,,378.01,371.02,357.43,345.34,343.47,350.38,345.43,334.90,341.55
2000-04-17 21:46:44+00:00,L7,374.88,373.93,363.43,365.49,367.34,364.06,364.72,374.65,384.55,383.27,373.76,372.31,380.33,376.44,383.32,385.66,376.93,373.01,373.56,375.98,371.88,366.93,365.64,364.41,371.27,376.05,372.14,366.36,355.02,353.05,357.99,347.96,335.83,340.58,342.74,344.43,362.55,381.41,381.26,359.04,342.39,349.45,354.28,361.15,373.13,367.66,353.04,344.78,350.39,355.55,347.85,342.73,342.59,362.21,363.85,350.83,341.92,340.25,344.85,342.78,336.89,338.64
2000-05-03 21:47:07+00:00,L7,366.35,365.05,356.72,365.32,378.10,375.18,370.97,379.92,382.03,381.60,377.48,373.58,370.29,369.16,375.10,378.26,379.38,359.07,360.85,377.25,373.39,367.62,362.00,362.90,359.44,358.03,358.86,357.13,341.38,351.26,350.01,347.79,334.57,331.91,346.65,341.91,361.45,380.70,372.76,353.57,337.05,343.46,349.52,355.37,376.10,367.35,355.21,355.74,351.01,357.02,355.52,344.54,339.12,353.52,354.87,344.59,334.18,334.63,343.52,342.34,338.49,342.96
2000-05-19 21:46:31+00:00,L7,,,,,,,,,,,,,,,,,,,,358.03,356.45,346.48,355.49,350.06,348.32,344.38,350.13,349.61,343.81,350.97,350.71,338.85,331.35,328.69,329.52,337.53,351.44,359.43,358.15,339.63,336.50,338.07,341.14,351.87,360.89,358.03,354.43,336.67,338.28,340.89,337.17,327.78,330.52,337.28,341.61,333.22,324.86,324.91,329.70,327.75,319.37,327.01
2000-05-26 21:52:36+00:00,L7,353.26,359.36,350.80,355.49,360.98,360.65,359.94,373.40,376.18,367.89,361.50,361.70,364.04,368.22,376.41,379.49,369.43,,,357.63,355.69,351.23,352.17,347.74,345.97,345.90,347.76,341.07,336.74,343.90,344.03,333.05,326.71,325.06,331.89,326.72,341.08,358.75,,,,334.69,334.36,348.70,356.34,349.30,351.43,340.70,339.87,340.08,329.49,328.63,323.49,333.55,339.77,325.82,318.63,316.20,326.61,325.18,315.02,323.32
