dates,sar1295-0000,sar1295-0001,sar1295-0002,sar1295-0003,sar1295-0004,sar1295-0005,sar1295-0006,satname
1984-04-13 09:27:31+00:00,,230.75,235.75,219.04,,,,L5
1984-04-29 09:27:29+00:00,,195.77,197.17,204.05,,,,L5
1984-05-06 09:33:51+00:00,215.16,230.06,239.6,218.81,177.98,202.75,209.57,L5
1984-07-18 09:29:10+00:00,223.38,231.24,239.31,223.15,185.73,211.13,216.98,L5
1984-08-19 09:30:15+00:00,219.86,224.86,235.98,219.92,183.41,210.46,214.86,L5
1984-08-26 09:36:33+00:00,194.36,208.53,237.92,228.58,184.36,192.74,192.29,L5
1984-09-04 09:30:25+00:00,208.28,225.18,238.54,218.89,181.81,204.85,202.45,L5
1984-09-11 09:36:38+00:00,205.44,229.65,234.44,218.17,188.23,212.62,199.12,L5
1984-09-20 09:30:28+00:00,,,,224.04,,,,L5
1984-09-27 09:36:39+00:00,209.21,239.1,246.8,224.2,178.76,205.75,203.97,L5
1984-10-13 09:36:37+00:00,205.31,224.11,240.81,222.86,182.13,210.0,197.07,L5
1984-11-07 09:30:17+00:00,195.89,220.65,229.39,211.69,175.08,208.49,192.37,L5
1984-12-09 09:30:22+00:00,177.68,233.19,247.99,226.97,182.61,202.16,169.92,L5
1985-02-02 09:36:56+00:00,185.19,222.01,243.37,227.71,183.81,208.17,179.5,L5
1985-03-31 09:30:43+00:00,206.78,228.52,235.33,218.06,176.02,205.52,196.51,L5
1985-05-25 09:36:39+00:00,212.06,218.06,217.79,210.05,178.37,197.33,204.8,L5
1985-06-19 09:30:26+00:00,214.41,215.07,220.96,206.95,174.83,196.96,209.6,L5
1985-06-26 09:36:35+00:00,218.48,222.41,233.04,211.5,176.3,200.96,212.43,L5
1985-07-05 09:30:21+00:00,215.79,225.12,242.74,215.74,182.12,204.94,211.19,L5
1985-07-12 09:36:29+00:00,217.79,227.42,235.06,219.2,181.13,206.93,211.44,L5
1985-07-28 09:36:22+00:00,218.5,230.77,235.67,218.02,187.74,209.24,210.82,L5
1985-08-06 09:30:06+00:00,207.91,223.38,223.14,198.24,174.77,196.4,200.86,L5
1985-08-22 09:29:56+00:00,220.39,234.73,243.04,218.45,186.57,200.26,212.5,L5
1985-08-29 09:36:02+00:00,216.55,222.91,235.54,218.37,185.13,207.87,212.97,L5
1985-09-14 09:35:49+00:00,216.0,225.86,237.22,221.26,183.82,205.65,209.83,L5
1985-09-23 09:29:32+00:00,215.32,226.12,243.16,226.24,183.65,212.63,209.68,L5
1985-11-10 09:28:57+00:00,198.03,225.13,244.89,220.93,181.11,206.77,186.58,L5
1985-12-03 09:34:43+00:00,187.17,222.27,237.09,218.81,185.7,209.83,188.8,L5
1986-01-04 09:34:08+00:00,190.08,214.31,226.05,222.94,191.6,207.01,179.86,L5
1986-01-20 09:33:48+00:00,183.01,234.15,233.5,216.75,184.14,195.19,180.84,L5
1986-03-18 09:26:22+00:00,212.19,215.29,233.25,210.87,178.62,208.67,207.6,L5
1986-04-19 09:25:41+00:00,214.51,229.24,236.73,217.41,190.3,202.05,209.64,L5
1986-05-05 09:25:17+00:00,216.19,227.46,231.67,216.48,188.72,201.14,210.46,L5
1986-05-12 09:31:17+00:00,213.93,230.52,239.21,220.04,176.97,199.0,209.43,L5
1986-05-21 09:24:51+00:00,217.13,227.33,231.73,219.2,182.72,200.82,211.57,L5
1986-06-29 09:29:50+00:00,220.38,232.1,,,188.31,208.3,205.73,L5
1986-07-08 09:23:21+00:00,225.58,225.84,235.49,223.89,192.05,204.28,221.66,L5
1986-07-15 09:29:17+00:00,217.75,225.41,235.2,211.52,172.64,192.15,209.84,L5
1986-07-24 09:22:47+00:00,215.46,221.04,226.65,208.29,173.52,201.06,209.66,L5
1986-07-31 09:28:43+00:00,214.58,222.18,229.16,213.36,178.02,196.83,209.58,L5
1986-08-09 09:22:13+00:00,223.97,235.18,245.17,221.46,179.18,201.55,217.45,L5
1986-08-25 09:21:37+00:00,219.76,231.33,239.06,223.91,189.99,207.15,214.3,L5
1986-10-28 09:19:29+00:00,191.78,225.88,237.0,220.61,188.07,200.39,182.04,L5
1986-12-22 09:25:33+00:00,212.62,,236.37,218.39,,,,L5
1986-12-31 09:19:38+00:00,188.05,225.27,240.84,224.76,185.3,200.89,179.68,L5
1987-01-07 09:26:01+00:00,185.62,225.6,237.25,220.67,186.61,201.15,183.58,L5
1987-02-01 09:20:35+00:00,185.07,222.35,236.37,216.83,174.07,196.07,181.82,L5
1987-02-08 09:27:03+00:00,198.25,221.49,236.12,224.9,186.86,204.17,183.33,L5
1987-03-28 09:28:52+00:00,210.63,230.93,237.46,213.99,177.33,201.43,202.11,L5
1987-04-06 09:23:00+00:00,215.27,224.12,235.42,224.42,185.45,205.8,209.81,L5
1987-04-29 09:29:54+00:00,204.92,210.67,222.38,206.01,175.24,197.77,199.81,L5
1987-05-08 09:23:59+00:00,206.84,234.48,252.51,227.98,174.5,194.17,198.53,L5
1987-05-15 09:30:21+00:00,206.18,225.61,231.8,213.17,175.0,198.26,200.83,L5
1987-06-16 09:31:07+00:00,214.27,222.3,232.75,210.49,176.84,196.73,209.5,L5
1987-06-25 09:25:08+00:00,220.99,230.18,242.54,219.22,182.82,203.88,214.68,L5
1987-07-02 09:31:27+00:00,223.95,231.88,236.64,219.26,186.93,205.58,216.48,L5
1987-07-18 09:31:44+00:00,224.57,232.44,233.44,213.88,179.54,207.45,218.59,L5
1987-07-27 09:25:49+00:00,220.87,227.95,236.62,223.05,185.61,207.55,215.23,L5
1987-08-03 09:32:13+00:00,219.12,235.0,251.81,223.4,176.82,199.18,209.85,L5
1987-08-19 09:32:41+00:00,219.4,228.47,240.8,218.95,186.13,203.94,212.22,L5
1987-09-13 09:27:09+00:00,212.05,222.94,239.66,222.57,185.5,208.35,206.2,L5
1987-09-20 09:33:30+00:00,217.12,226.41,235.3,222.05,185.75,209.69,209.77,L5
1987-10-06 09:33:50+00:00,203.46,218.23,228.03,212.64,177.05,198.09,195.01,L5
1987-10-31 09:28:04+00:00,198.62,231.68,241.69,223.39,176.77,205.68,194.67,L5
1987-11-07 09:34:26+00:00,198.11,223.05,234.41,222.56,188.31,210.44,190.0,L5
1987-11-16 09:28:26+00:00,186.47,233.9,247.63,227.47,176.53,203.7,181.16,L5
1987-12-02 09:28:42+00:00,184.83,230.86,242.63,227.82,180.94,196.61,180.92,L5
1987-12-09 09:34:58+00:00,183.12,250.27,247.68,257.06,214.51,,169.81,L5
1987-12-18 09:28:55+00:00,169.27,233.39,241.83,216.35,156.52,176.22,166.09,L5
1987-12-25 09:35:13+00:00,176.73,231.35,244.75,224.53,176.08,194.81,178.52,L5
1988-01-10 09:35:29+00:00,182.55,241.99,255.24,231.88,171.13,199.7,177.85,L5
1988-02-11 09:36:05+00:00,188.28,233.41,248.81,227.04,183.99,201.43,183.06,L5
1988-04-15 09:36:38+00:00,223.79,219.65,231.3,224.38,194.57,220.24,220.13,L5
1988-05-01 09:36:45+00:00,213.43,217.56,243.96,218.91,178.57,203.88,209.47,L5
1988-05-17 09:36:55+00:00,206.82,219.07,224.87,217.88,186.55,196.53,195.31,L5
1988-05-26 09:30:48+00:00,217.5,221.64,233.58,213.63,185.37,206.1,212.35,L5
1988-06-02 09:37:02+00:00,197.83,229.65,237.65,210.12,161.31,183.24,184.62,L5
1988-07-04 09:37:12+00:00,220.37,230.5,230.62,213.89,178.92,207.12,212.25,L5
1988-07-13 09:31:03+00:00,218.64,222.39,237.51,219.45,185.59,208.54,213.71,L5
1988-07-20 09:37:15+00:00,204.86,223.8,229.1,210.92,177.46,198.09,195.8,L5
1988-07-29 09:31:06+00:00,211.6,227.32,231.52,211.48,172.18,198.1,206.47,L5
1988-08-05 09:37:16+00:00,220.31,222.61,226.63,210.91,183.05,211.55,215.22,L5
1988-08-14 09:31:04+00:00,210.35,218.8,229.78,222.96,187.86,211.4,205.44,L5
1988-08-21 09:37:17+00:00,219.13,219.56,232.25,214.22,182.62,217.21,215.84,L5
1988-09-06 09:37:19+00:00,207.57,230.81,232.46,217.2,180.57,210.09,201.59,L5
1988-09-15 09:31:05+00:00,217.81,222.99,231.89,221.4,187.66,206.61,211.91,L5
1988-09-22 09:37:13+00:00,209.12,233.65,242.7,219.89,175.45,204.04,202.94,L5
1988-10-24 09:37:05+00:00,204.41,222.6,232.29,223.25,191.76,219.59,199.08,L5
