,dates,jap0107-0000,jap0107-0001,jap0107-0002,jap0107-0003,jap0107-0004,jap0107-0005,jap0107-0006,jap0107-0007,jap0107-0008,jap0107-0009,jap0107-0010,jap0107-0011
0,1984-04-26 00:41:47+00:00,181.96872772093363,209.23881786206434,,,215.76457826069642,,235.38805778604933,233.02151086479958,236.4802524646472,,232.0852740425856,210.24035440209303
1,1984-07-31 00:43:53+00:00,179.46546857988807,180.74247251431757,168.93056671558222,,,227.00821659730724,,,,,241.6919191105202,220.66643567400132
2,1984-08-16 00:44:25+00:00,191.70969498995981,197.50106636881463,212.36898263642217,,,229.83515255645216,247.14219108626267,245.5363587431763,250.34172574419358,,251.41989833272496,229.0625677550509
3,1984-09-17 00:44:44+00:00,,,,,,,,,,,,
4,1985-05-15 00:44:44+00:00,199.12894550791444,208.72524742447115,,,,223.48614324725725,229.17392438939012,,233.5386321193983,,220.52985668329134,201.56858441281494
5,1985-05-31 00:44:45+00:00,,,,202.39568705424088,,,241.4718243852726,,,239.3323365391533,230.9462818297857,216.44507491672695
6,1985-06-16 00:44:43+00:00,,,214.8983963594907,234.86968962340126,240.0434471997652,248.12619803740262,261.3422357699751,262.56188529660557,,255.29163260731573,259.63779471260665,
7,1985-08-19 00:44:15+00:00,231.89428153759317,,230.0248283153868,,,,252.28778018806915,259.11013187882617,255.78128758293877,257.9122896320246,,249.05775401037144
8,1986-09-23 00:34:56+00:00,198.38245257754204,,219.28094887815084,216.8816285039001,,,231.89152287420157,,,219.11404805323465,227.44933241062998,
9,1986-11-10 00:33:17+00:00,193.45341510693441,,,,,222.19688500683495,,,221.60256803693505,225.46030281830176,233.55355103998073,213.0370699722489
10,1987-04-03 00:37:09+00:00,,223.69942331301564,,,,232.5854911411822,242.89142979301795,,,,244.40283147774946,225.16579964047622
11,1987-05-05 00:38:10+00:00,,214.0558140222471,208.09651207737872,,,251.8135854474433,249.1310253210677,,250.27566927016633,260.24784043691506,266.0123443681218,
12,1987-05-21 00:38:35+00:00,240.46793377580886,,237.82915026609282,250.2261449325719,257.5286175373532,265.01267686152835,,,255.4432448331121,262.281423476586,263.42193443776904,
13,1987-06-06 00:38:59+00:00,202.22157097953803,,,,,211.44780919824842,,,213.54616340650549,221.7701536773673,221.08777710100313,214.64973675002088
