dates,satname,nzd0507-0000,nzd0507-0001,nzd0507-0002,nzd0507-0003,nzd0507-0004,nzd0507-0005,nzd0507-0006
1999-08-26 22:07:32+00:00,L7,327.33,331.22,334.76,361.68,363.35,361.22,365.71
2000-02-18 22:07:16+00:00,L7,369.64,366.77,373.08,375.40,375.24,373.97,378.98
2000-03-21 22:07:12+00:00,L7,370.26,367.70,372.13,380.37,377.83,378.66,385.06
2000-05-08 22:06:44+00:00,L7,332.62,340.49,339.26,350.32,347.42,346.09,349.78
2000-06-25 22:06:19+00:00,L7,322.96,319.04,311.22,328.36,323.58,320.90,
2000-11-16 22:04:56+00:00,L7,318.27,321.53,319.43,330.92,338.07,339.43,348.33
2000-12-02 22:04:57+00:00,L7,323.38,329.38,330.76,352.93,352.87,350.26,355.23
2000-12-18 22:05:01+00:00,L7,320.53,313.82,311.22,330.22,325.65,324.97,333.22
2001-01-03 22:05:00+00:00,L7,323.95,327.90,335.97,348.90,349.95,345.99,348.29
2001-01-19 22:05:06+00:00,L7,,,,,,,
2001-04-09 22:04:41+00:00,L7,360.32,359.32,372.11,378.11,377.81,378.48,380.14
2001-06-28 22:03:56+00:00,L7,324.35,324.30,321.48,340.42,337.95,333.25,338.85
2001-07-14 22:03:57+00:00,L7,313.96,316.75,312.93,339.29,343.05,334.14,338.19
2001-08-15 22:03:26+00:00,L7,314.26,313.44,305.83,325.12,333.14,331.43,343.04
2001-10-02 22:02:52+00:00,L7,327.96,327.63,325.18,343.52,347.08,346.45,352.34
2001-11-03 22:02:58+00:00,L7,,,,,,,
2001-11-19 22:03:08+00:00,L7,320.12,319.66,325.35,340.51,344.03,342.81,348.90
2002-03-11 22:03:31+00:00,L7,344.81,342.09,344.29,354.36,360.00,364.57,368.50
2002-04-12 22:03:25+00:00,L7,342.57,345.38,349.85,364.98,367.28,364.30,372.89
2002-05-30 22:03:13+00:00,L7,323.02,325.12,327.82,349.04,354.23,353.15,354.11
2002-06-15 22:03:07+00:00,L7,323.89,324.51,329.28,348.24,348.17,350.47,350.32
2002-12-08 22:02:51+00:00,L7,317.36,313.95,310.90,322.92,318.60,317.91,329.22
2002-12-24 22:02:57+00:00,L7,319.88,316.13,314.08,328.79,324.07,320.13,329.05
2003-03-14 22:03:20+00:00,L7,320.63,314.10,308.72,317.59,312.79,307.75,323.33
2003-08-29 21:51:49+00:00,L5,,,,368.31,314.29,,
2003-09-30 21:52:18+00:00,L5,318.76,314.83,306.50,325.29,323.72,316.46,326.24
2003-11-17 21:52:57+00:00,L5,333.61,322.01,325.90,338.05,341.44,340.58,343.03
2004-01-12 22:03:31+00:00,L7,330.34,336.96,344.46,353.94,352.28,353.00,353.91
2004-04-25 21:54:35+00:00,L5,,373.57,406.71,438.73,,,
2004-05-03 22:03:47+00:00,L7,352.18,349.19,353.44,365.58,,,365.83
2004-06-12 21:55:59+00:00,L5,330.41,335.70,325.77,340.25,335.37,326.36,342.80
2004-06-28 21:56:28+00:00,L5,327.84,319.41,305.27,320.10,322.39,312.08,324.15
2004-07-06 22:03:36+00:00,L7,318.54,327.60,,,320.32,299.43,
2004-07-22 22:03:32+00:00,L7,340.69,341.44,328.12,345.50,345.54,331.60,349.41
2004-07-30 21:57:15+00:00,L5,353.64,357.08,356.09,366.35,366.96,361.47,377.00
2004-08-15 21:57:37+00:00,L5,,,,,,,352.10
2004-09-08 22:03:17+00:00,L7,324.29,323.83,325.72,340.78,,,
2004-09-24 22:03:12+00:00,L7,,324.68,324.42,341.29,336.83,332.65,337.20
2004-10-10 22:03:07+00:00,L7,330.43,326.81,330.09,344.37,344.80,342.40,349.34
2004-10-18 21:59:11+00:00,L5,332.16,340.67,344.01,352.18,349.20,351.97,356.51
2004-11-03 21:59:30+00:00,L5,325.11,330.04,334.27,344.06,337.32,342.01,344.65
2004-11-19 21:59:42+00:00,L5,,,,,,,
2005-01-14 22:04:00+00:00,L7,326.99,328.31,314.42,339.12,337.73,332.55,338.44
2005-01-22 22:00:50+00:00,L5,348.15,348.80,350.84,375.07,372.65,372.93,375.13
2005-03-03 22:04:17+00:00,L7,325.22,330.11,330.87,,,330.30,335.84
2005-04-04 22:04:14+00:00,L7,324.63,331.02,327.70,340.97,336.38,332.95,336.19
2005-04-20 22:04:08+00:00,L7,327.80,330.59,328.70,343.15,343.20,343.19,348.47
2005-05-14 22:01:54+00:00,L5,318.96,319.54,307.77,330.21,328.47,322.96,345.95
2005-06-07 22:04:06+00:00,L7,352.94,356.25,350.80,363.67,365.19,366.04,
2005-07-09 22:04:02+00:00,L7,336.80,342.44,358.22,,,367.16,369.24
2005-08-26 22:03:51+00:00,L7,317.78,,,,317.34,316.48,328.08
2005-09-27 22:03:40+00:00,L7,,,325.30,340.23,335.26,331.83,334.99
2005-10-05 22:02:41+00:00,L5,338.23,339.23,334.52,351.03,351.58,353.54,350.06
2006-02-26 22:05:22+00:00,L5,360.42,359.03,360.80,368.74,364.32,365.77,370.47
2006-03-14 22:05:42+00:00,L5,355.03,353.66,361.10,366.85,360.48,358.10,361.53
2006-03-22 22:04:42+00:00,L7,342.79,340.19,337.91,349.65,345.52,341.75,341.52
2006-04-07 22:04:39+00:00,L7,,,335.90,345.93,345.04,340.42,341.21
2006-04-15 22:06:18+00:00,L5,364.38,364.58,363.82,373.24,375.06,373.16,378.78
2006-06-02 22:07:00+00:00,L5,,,,,331.97,332.57,338.24
2006-06-26 22:04:32+00:00,L7,356.77,357.76,358.03,373.46,372.76,372.23,
2006-07-12 22:04:25+00:00,L7,339.09,342.18,331.11,365.67,362.32,354.03,
2006-08-05 22:07:55+00:00,L5,,,,,,,
2006-08-21 22:08:07+00:00,L5,321.31,343.94,,,,,621.55
2006-09-14 22:04:09+00:00,L7,,330.59,327.05,346.11,,,342.36
2007-02-13 22:09:34+00:00,L5,333.40,345.56,346.80,355.59,352.78,351.17,357.73
2007-05-12 22:04:59+00:00,L7,348.71,351.48,359.84,,,,
2007-07-15 22:04:48+00:00,L7,366.13,371.68,359.41,381.78,378.85,369.92,390.97
2007-09-01 22:04:31+00:00,L7,,330.95,335.11,348.08,349.66,350.85,352.26
2007-09-16 22:13:52+00:00,L5,,,,,,,
2007-10-02 22:13:42+00:00,L5,,,,,,,
