,dates,per0120-0000,per0120-0001,per0120-0002,per0120-0003,per0120-0004,per0120-0005,per0120-0006,per0120-0007
0,1986-04-10 14:42:40+00:00,169.33740386293047,158.56924800771128,164.507597664881,178.48898318115636,176.6656688149884,181.69970513298045,197.48950759985271,187.18803999471643
1,1987-11-23 14:45:21+00:00,163.6573947401414,156.19346215511263,163.54711981512258,179.62993566171872,176.32971394573246,183.18894201483002,174.1368388366964,164.25431385836197
2,1988-03-30 14:47:10+00:00,177.6352927657386,181.887773367717,181.1540034091,187.9493323886052,195.07945049016632,198.53293961567084,198.96447515331664,199.66001367476161
3,1988-05-01 14:47:21+00:00,179.72566496110647,179.12666207369224,181.1521539303904,191.30268956494646,192.3043142152095,195.03826149848697,196.60684319042394,195.94187525885508
4,1989-03-01 14:46:53+00:00,171.33353169782606,159.88826237100474,167.1855524088428,177.3962166874594,179.00968499800925,188.52105353721902,196.8014043177621,193.64172777839906
5,1989-05-20 14:45:33+00:00,166.405847840052,156.67984667865133,159.3261875122207,173.0255819806905,181.0658216661713,185.50685362604804,187.5719703384243,178.15415228299332
6,1990-04-21 14:37:22+00:00,171.82918096463467,163.69737091224076,169.9018547979402,179.8109448381412,183.05275464500633,191.5032584913247,196.66032581273805,194.12298058361273
7,1990-10-14 14:36:43+00:00,172.38191108141234,166.6046600064987,172.20380595315265,170.51896216964244,157.14516853973007,166.74453664077416,184.02821081253938,185.49800050745773
8,1991-01-18 14:37:29+00:00,173.6353820567714,159.3043118669187,159.00923745710787,179.01317856290424,180.29371478118065,181.69240669116795,191.79940715890152,188.85976137211009
9,1993-02-24 14:39:05+00:00,169.02063818528333,173.86085698722383,175.33291749140014,180.34425960187122,169.70951798718175,176.44770435097445,184.6145553316054,183.87366476365608
10,1993-03-12 14:39:18+00:00,159.03162349873855,151.33589118342587,156.92867098104273,172.39847739984117,174.5683012684469,183.3381140729099,189.50381492871122,191.87436220406488
11,1993-04-13 14:39:26+00:00,160.55820933966498,159.7780676766728,,,,,,
12,1993-04-29 14:39:33+00:00,158.97466996467884,152.00304651863416,158.19222909367792,175.28977042937225,177.43653467458978,178.42908091274123,189.5300041744598,188.01720247246544
13,1993-05-15 14:39:36+00:00,169.7765043067685,,166.29416025126076,174.2880249291133,,186.24574127347222,189.91062338271715,189.1871512743285
14,1993-09-20 14:39:26+00:00,165.54902745810242,158.06175696531966,169.00994053824576,176.79535770922092,182.77602744684623,189.9288370751917,191.38936027408323,181.01034900853347
15,1993-10-06 14:39:23+00:00,173.78335736743858,161.69985436291554,169.12018853283274,179.26871195683051,185.32500056433918,190.578956038747,192.45320168027695,187.64628699768804
16,1993-12-09 14:38:58+00:00,192.20763969153057,181.58304299269537,189.88887186068047,195.79798426756355,188.709941274384,190.76927839411945,193.0619106915297,193.45002757140102
17,1994-04-16 14:37:10+00:00,166.66854290621762,153.68811127050967,160.27835009004525,169.66372362559315,176.89999122534476,182.04841960172374,188.58440378732382,193.65279147167848
18,1995-02-14 14:28:30+00:00,163.6480723642594,156.32858557750293,166.44283374184684,177.09988890519531,178.92537167685265,185.2424738599835,191.09279648132437,191.65706974601642
19,1995-04-03 14:26:34+00:00,158.3748271446671,158.63961247902574,171.9410011252861,178.65292696630343,179.02563558339426,183.79039381709924,191.42531400423837,191.85658301710907
20,1995-04-19 14:25:53+00:00,167.1153342085924,,170.67899046032665,181.41482262844033,,190.6404671312836,190.8772519993459,
21,1995-05-05 14:25:11+00:00,167.7513114136136,166.64778384127084,173.13698811348777,184.80916607016096,174.96739208958954,183.18553518000692,191.39419513219383,191.44352347798872
22,1996-02-01 14:21:38+00:00,181.83894100481,180.95661972210462,186.15530053225731,198.12552505984635,200.13942048522932,207.7522165821215,212.69905863136864,211.33540850164934
23,1996-02-17 14:22:43+00:00,160.43614474694175,,162.96392235969688,179.87457048810626,,186.31049101686347,194.44949841955287,191.35545134374428
24,1996-03-20 14:24:50+00:00,172.3236244106372,165.64629774295128,175.59866081646737,187.11893684655848,187.42495448421698,190.34128515561494,192.37664399075538,192.73145450082143
25,1996-04-21 14:26:49+00:00,156.40699557864662,145.7917966146467,,151.07443501870839,176.50147600716753,171.74338605776182,168.10124521777635,169.00302433922667
26,1996-05-07 14:27:46+00:00,164.9198239929721,157.22939170391635,167.8769593257153,177.91868361948292,177.5148799507516,179.84321228553134,181.08956978611315,182.4668543268058
27,1996-05-23 14:28:41+00:00,161.11413007080517,158.43634119150772,167.38252406102032,178.16414636321292,181.9132964481567,184.3057308543564,187.9030603133926,185.41082969022216
28,1996-10-30 14:37:11+00:00,164.13001661547185,149.6810711757983,155.3967604699761,167.67480506126284,171.34220250371382,180.11781425451102,186.3853193372198,187.1875813440252
29,1997-01-18 14:40:58+00:00,174.0134475173545,168.34755027805744,179.96305390129777,187.69931332010253,186.35051274191352,194.714972141282,199.02849972447694,203.05218130895622
30,1997-02-03 14:41:41+00:00,171.79780617754773,163.6408622883306,175.21512350023323,185.99690389377776,186.61005696706798,193.4539483229284,199.15557019726103,203.01579996492256
31,1997-08-14 14:48:36+00:00,145.85243041849435,147.27743608464164,154.54177861918944,171.27846514338134,162.1057431636892,164.27801652871244,175.67371459823306,174.6902578461449
32,1997-09-15 14:49:32+00:00,158.79173710279986,153.53840887422268,167.51229389789427,176.05899313674024,178.9534548138978,186.56685878983612,192.39738722274225,184.22564189764216
33,1998-03-10 14:53:39+00:00,163.17354728662764,155.30280441173787,165.1356025514635,177.73627331221832,182.54177698903231,189.02078443916614,198.5950043424732,188.4765996097974
34,1998-04-11 14:54:04+00:00,162.48590844805875,158.19264154621484,159.50619626256372,173.84577016218077,173.1068821579736,179.49224282581952,187.51896175156895,188.3429883432066
35,1998-11-21 14:56:10+00:00,162.78272742048583,158.0195025741409,164.10369794323518,176.36682723241807,178.1462549675162,189.18525797081247,196.56815451400058,190.61655154596
36,1999-01-08 14:56:10+00:00,162.8139799196366,155.84811602623452,161.76766928261696,171.8513856998655,178.2724385992723,187.71504889676015,190.87614427684065,190.28536080262498
37,1999-02-25 14:56:22+00:00,160.671597932902,155.1211505525164,160.3986821024775,174.23999062396416,179.69685999759224,186.30720067446413,200.24204165258772,189.10840184093965
38,1999-03-13 14:56:10+00:00,169.6007199543389,166.53132869119997,174.84586651846462,186.09285514790923,184.99816073854038,183.94578658763214,189.60319601252513,190.90913166638745
39,1999-04-14 14:55:51+00:00,167.89470258666677,160.81675325429885,171.38840765711382,180.20149018371563,183.33395808665173,187.71051529956628,197.62658819512367,197.1514304796763
40,1999-12-02 15:09:56+00:00,172.83943830967485,171.93475547706186,174.13156970726234,186.15599304342572,185.4616054023528,192.48429522881247,192.02662056922117,
41,1999-12-18 15:10:04+00:00,169.7864685766682,168.5006415699384,165.74437829230914,175.02653924169425,175.46297258704402,182.7479479938634,193.53839037060064,194.87516466032454
42,2000-02-04 15:09:54+00:00,180.15324213089826,170.67557466423608,178.80304389361828,186.44419110526962,185.74480596643025,195.21635965599825,195.7042401938698,199.409473556635
43,2000-03-31 14:51:32+00:00,165.1986296950642,161.38433060934898,168.8414912674545,178.2839425662139,180.8601902244127,187.69718882099426,198.91157932170805,197.86680491062089
44,2000-05-02 14:52:36+00:00,173.7690434773421,164.30757317159194,171.6257259570481,183.85616024159955,185.96335714248895,190.4719869891272,203.52026387460631,197.8842115994303
45,2000-05-10 15:09:15+00:00,171.33213921785438,160.79446912046768,166.25481983915648,179.21337174504055,179.7113845695133,185.73842973017895,192.75010259036162,188.80124793812766
46,2000-11-18 15:07:27+00:00,177.37152761681287,170.3876165818067,174.2157029705129,187.78713864152803,187.35800212073667,190.7130952993886,199.39405815464247,199.68882088515366
47,2000-11-26 14:56:20+00:00,172.97007677411358,161.30727617570383,166.40644660037083,178.95264528591133,182.71195583961133,190.08783437029615,196.76034592355606,200.36932579951448
48,2000-12-28 14:56:49+00:00,180.59858154375075,176.59806732769073,170.2825684857611,183.94391256791505,185.219200497241,191.15386667992578,197.7897008485751,199.71453581587207
49,2001-01-21 15:07:39+00:00,182.63674619690116,171.8038709235431,179.96421704966014,191.5000448557492,195.02666013325057,200.15528361053697,209.0162062184288,210.36695493558176
50,2001-01-29 14:57:05+00:00,170.45400523012648,160.20418404886695,163.1440488234271,180.7043939696641,184.9460975703616,183.47300496397685,189.90357600171293,188.92315922060783
51,2001-02-22 15:07:30+00:00,176.84000358280028,169.81592261927528,176.24202330594986,185.85391691097126,188.62924271597032,195.94900076887907,197.92354172347675,198.9097802512335
52,2001-03-26 15:07:17+00:00,171.92846701495972,165.8919268761495,169.6679093742265,183.4248946897445,184.44739896244457,187.63504221302043,192.33815178050298,191.58361496556518
53,2001-04-11 15:07:14+00:00,165.45582873956377,160.50791226695594,162.21645402229797,168.91199006982788,170.0325798810063,178.25163813907557,181.6141840778193,183.77327708640917
54,2001-12-23 15:05:49+00:00,175.5531236444878,167.0014397960974,171.38498067107597,185.00358516413382,184.99883293277247,188.83672698399215,196.1133371905281,196.28914586454047
55,2002-02-09 15:06:02+00:00,177.38038657681142,170.11586448702366,177.50626348639184,190.35173029712314,189.59006934450383,196.08232075714653,207.86370838468005,200.44950486264838
56,2002-12-26 15:05:28+00:00,156.6697093236572,,158.66223605417525,166.8501822787447,,,,185.67295826087656
57,2003-03-16 15:05:51+00:00,170.43286157300724,168.323907206633,172.25772758176254,181.59388381824752,185.65289273532602,193.1013221933788,197.39887506922025,198.21711354741404
58,2003-04-01 15:05:51+00:00,166.84264007747876,,,,,,,186.84235617876664
59,2003-04-17 15:05:52+00:00,172.59274310831117,164.21421319105713,169.6507007346388,184.5052478785054,184.37581915142763,189.0040093188728,196.57134874177683,192.22250634882442
60,2003-10-26 15:05:30+00:00,154.88123272277267,,153.43624696467626,165.4055052652128,163.45966276731042,166.85097456181148,179.11914808296268,170.28535887942945
61,2003-11-19 14:55:30+00:00,170.4503883685765,166.52818645820503,173.1758212637545,182.87827114762985,185.1687796460925,189.3319989762784,197.00751215992483,182.34100846938168
62,2004-02-23 14:56:06+00:00,164.98487712360588,,,,,,,
63,2004-03-10 14:56:11+00:00,171.21955003199736,161.12422767868892,173.54311755965676,182.22516569990296,187.96440993158464,197.91084737466235,187.43458901216513,187.96433987986455
64,2004-03-18 15:06:24+00:00,,161.33202133820302,171.07369128117782,177.44786683704982,180.79231081181229,184.53803391356485,192.77885434404618,194.1880982688022
65,2004-03-26 14:56:13+00:00,168.39515777613445,160.03060649745123,168.55790133212338,173.900596201557,173.84386850211862,184.97677227165582,192.24207762564555,194.97598213969277
66,2004-04-19 15:06:15+00:00,176.18715547725418,171.4866320247884,179.18861752205163,189.13976225845704,186.55206378297356,188.44243194013424,198.81019299189967,203.4995160967956
67,2004-04-27 14:57:09+00:00,173.6288795511329,160.32766529630874,169.40254844987578,179.99827931302332,182.4310893907272,182.9148047989956,197.6221869699374,196.51923074501397
68,2004-05-05 15:06:18+00:00,180.76057276125604,173.22439037820118,179.75586734003915,186.57618431468765,187.02203471859724,192.2642007393443,,
69,2004-12-07 15:02:40+00:00,192.08008685528134,172.55389941541432,175.23888747847155,186.16167645276346,192.28966327832853,194.6497443681156,196.31378326843313,200.12096783580392
70,2005-01-16 15:06:32+00:00,182.90339034897661,,178.75626029600687,193.30015474755152,186.68133101255987,200.5595392498879,203.71719630883388,
71,2005-02-17 15:06:45+00:00,,161.36574150319592,171.69057004311648,183.34578255025804,186.0194884877569,191.12340492808715,200.35923197863394,200.5586645280252
