dates,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079,satname
1999-08-17 22:13:37+00:00,315.27,320.19,331.51,320.54,340.62,346.83,351.83,357.97,359.90,364.39,366.11,367.44,364.44,357.66,361.28,365.46,352.11,350.28,338.21,327.12,325.50,315.95,322.59,332.61,332.76,323.90,332.26,335.34,340.28,326.58,339.10,343.39,337.35,334.86,328.96,327.74,334.14,335.62,320.80,329.08,340.30,327.95,326.95,333.10,337.35,347.52,331.78,325.67,329.80,334.55,340.80,332.96,337.30,336.90,342.09,334.59,337.03,340.89,327.87,327.37,324.17,330.96,331.55,325.37,325.25,317.18,305.73,306.62,307.89,327.13,331.24,342.60,350.15,348.43,347.77,330.54,323.64,322.86,330.30,330.21,L7
1999-09-27 22:07:36+00:00,312.08,314.56,327.25,324.25,337.63,345.19,345.65,355.41,359.86,355.32,360.86,364.59,356.90,355.18,361.50,358.22,349.17,351.31,342.82,332.93,328.31,314.16,320.64,333.31,331.11,326.69,334.55,332.58,335.53,323.35,341.82,344.34,336.06,331.29,326.25,327.16,333.29,340.36,328.86,330.92,339.39,330.32,325.44,329.80,325.93,337.28,329.25,325.81,332.83,332.56,340.10,332.05,335.46,332.75,334.11,334.57,334.85,337.31,323.61,327.14,321.92,327.97,329.48,323.60,317.84,314.87,308.18,313.91,318.04,324.64,327.44,337.40,347.69,343.80,338.13,323.94,318.07,319.01,325.21,331.79,L7
1999-10-04 22:13:49+00:00,307.43,309.75,318.00,319.84,331.82,337.33,336.78,341.39,359.86,345.14,352.09,355.83,350.66,349.21,350.84,348.40,343.03,344.53,337.21,327.31,321.51,306.40,315.76,330.25,325.32,318.44,325.87,325.22,328.80,318.62,331.95,335.85,327.08,322.99,326.25,327.16,333.29,340.36,328.86,330.92,339.39,330.32,325.44,329.80,325.93,329.47,323.98,320.68,327.12,325.06,332.51,326.28,328.64,327.88,334.11,334.57,334.85,329.98,316.69,318.78,314.94,322.73,322.73,316.52,313.23,309.87,304.74,310.12,318.04,324.64,327.44,337.40,347.69,343.80,338.13,323.94,318.07,319.01,325.21,331.79,L7
2000-05-08 22:06:44+00:00,308.60,324.35,329.25,350.53,354.93,355.89,353.26,356.99,360.92,359.89,360.98,359.98,355.14,361.35,370.64,372.03,366.82,362.19,354.82,343.40,340.23,326.70,326.49,345.66,338.30,333.16,346.42,341.81,343.13,333.51,341.18,339.66,334.31,328.88,329.62,328.14,327.82,339.70,329.41,330.60,341.57,334.61,331.06,334.44,334.32,336.50,338.48,323.71,324.03,322.24,326.44,327.01,332.71,325.97,320.65,317.96,319.61,319.54,302.62,305.49,302.65,308.27,316.62,317.09,320.07,309.63,300.86,302.65,305.18,313.73,311.43,309.05,310.68,313.06,313.47,314.26,317.13,321.82,329.55,327.20,L7
2000-05-15 22:12:54+00:00,316.56,335.70,344.21,356.26,365.44,366.86,363.02,370.93,373.05,370.48,369.88,370.40,362.76,366.94,376.42,378.48,372.56,368.47,361.91,352.61,347.93,332.69,337.33,356.82,345.38,340.86,353.01,348.81,350.65,340.65,351.78,349.07,342.88,339.72,337.97,338.53,336.31,349.03,338.16,337.75,349.87,343.78,340.40,347.25,342.34,347.22,346.20,335.70,337.68,334.24,339.59,337.91,341.42,335.48,332.36,327.94,324.64,325.42,313.03,313.05,312.27,318.88,327.21,326.74,326.03,317.40,307.33,309.88,312.27,319.18,318.46,315.62,318.62,318.69,319.34,318.16,322.00,326.59,332.29,327.74,L7
2000-06-25 22:06:19+00:00,318.72,334.46,343.57,356.33,365.41,368.97,365.37,369.83,371.83,369.01,371.88,373.41,364.55,364.88,372.38,377.80,373.00,370.31,364.05,352.77,347.44,333.99,338.47,356.04,344.32,338.08,350.33,348.80,349.89,342.44,353.95,352.39,342.41,340.46,338.28,340.75,337.65,349.81,339.31,340.07,350.93,347.20,343.45,348.56,344.64,346.24,345.29,336.74,337.22,337.55,342.85,339.09,341.64,333.68,333.41,329.38,329.64,330.01,317.17,316.61,317.52,323.12,328.00,330.01,329.09,322.03,312.45,313.18,318.16,324.54,324.37,322.78,324.02,325.01,327.16,327.03,327.04,331.05,335.60,333.35,L7
2000-07-27 22:05:48+00:00,313.74,325.58,343.57,356.33,358.58,362.45,358.91,362.10,366.14,364.72,371.88,373.41,364.55,361.36,369.24,374.31,370.44,367.30,364.05,353.26,348.33,334.77,339.54,355.12,345.26,339.34,351.78,349.73,349.25,341.73,353.57,353.13,341.88,340.42,337.37,338.86,337.85,347.10,335.65,338.02,349.46,345.79,342.18,346.62,343.81,344.92,344.53,335.56,335.32,336.60,341.03,337.60,339.89,333.55,335.06,328.77,330.14,330.66,318.91,320.34,319.84,325.12,327.26,326.49,325.39,317.30,309.11,310.79,317.39,326.09,327.09,328.38,330.73,329.86,331.21,329.71,328.25,330.40,336.36,335.86,L7
2000-09-04 22:11:34+00:00,310.40,317.78,343.57,356.33,358.58,362.45,358.91,353.00,361.83,360.65,366.09,368.53,360.19,359.28,366.14,371.84,368.52,364.40,358.83,347.14,339.91,329.25,334.38,349.47,338.29,333.48,346.01,343.37,343.16,341.73,353.57,347.32,337.21,337.70,337.37,338.86,337.85,347.10,335.65,338.02,344.41,340.88,335.16,338.88,336.87,341.15,340.11,331.02,331.31,331.70,335.41,330.83,333.09,326.41,328.85,321.99,323.26,328.43,317.53,318.89,318.05,323.18,323.59,322.72,320.88,314.33,309.56,313.36,321.48,329.25,329.73,331.97,332.47,330.98,328.71,325.86,323.97,328.04,335.35,336.44,L7
2000-09-20 22:11:14+00:00,310.28,317.63,338.29,344.89,352.21,356.21,353.67,351.37,359.16,358.62,363.48,365.35,358.75,358.02,364.89,370.56,367.33,362.52,357.46,346.44,339.63,328.12,334.37,350.17,338.61,332.87,345.64,343.71,343.88,340.50,351.32,346.99,337.67,337.44,335.99,338.07,338.01,344.99,333.28,335.64,341.93,338.09,331.81,335.92,334.47,339.06,338.36,330.13,330.31,331.38,334.51,328.96,332.88,326.81,329.96,322.50,323.19,327.69,316.69,319.40,318.56,324.00,323.58,320.93,319.97,315.42,310.87,313.75,323.34,333.61,333.12,335.22,335.86,334.10,331.44,325.78,323.18,327.56,334.82,336.31,L7
2000-12-18 22:05:01+00:00,310.80,313.57,335.32,337.04,345.34,349.62,348.09,343.40,353.44,355.10,360.44,362.49,357.75,355.58,361.00,367.35,365.52,360.40,355.72,343.88,337.24,326.05,333.67,347.37,336.62,330.65,343.03,342.11,341.75,340.00,350.59,346.88,336.75,337.21,334.47,337.60,339.38,342.37,331.64,335.35,340.36,337.02,331.24,334.65,333.58,337.84,335.28,328.43,327.62,328.97,333.63,327.65,330.56,325.17,330.50,322.50,326.19,331.59,320.49,323.26,322.76,327.96,324.16,320.00,318.99,317.51,315.90,320.13,330.73,342.66,341.13,345.08,345.25,342.29,339.22,330.52,326.95,331.49,338.86,342.42,L7
2000-12-25 22:11:14+00:00,311.04,313.18,336.10,331.63,340.78,343.98,342.76,342.07,353.11,353.99,357.02,358.64,355.35,355.27,359.14,364.81,363.72,359.94,354.96,342.34,336.31,324.28,331.48,345.70,334.83,329.40,342.67,340.24,340.87,336.61,346.89,344.47,337.09,336.44,331.81,334.04,339.65,341.35,330.48,334.14,338.87,334.45,328.35,332.61,330.67,336.82,333.10,324.90,325.98,324.77,329.78,324.48,327.73,323.23,327.69,321.47,322.66,329.72,319.08,323.14,321.55,327.36,323.72,317.01,315.11,314.18,314.24,321.29,331.08,342.13,340.42,343.41,343.66,340.19,335.85,325.65,323.96,328.85,339.22,341.99,L7
2001-01-03 22:05:00+00:00,313.54,316.43,338.62,334.37,343.34,346.27,344.83,344.68,354.16,354.87,357.95,359.61,356.65,355.96,359.70,365.75,364.57,360.67,356.62,343.63,337.73,324.70,331.09,345.40,334.94,329.40,342.67,340.24,340.87,336.61,346.89,344.47,337.09,336.44,331.81,334.04,339.65,341.35,330.48,334.14,338.87,334.45,328.35,332.61,330.67,336.82,333.10,324.90,325.98,324.77,329.78,324.48,327.73,323.23,327.69,321.47,322.66,329.72,319.08,323.14,321.55,327.36,323.72,317.01,315.11,314.18,314.24,321.29,331.08,342.13,340.42,343.41,343.66,340.19,335.85,325.65,323.96,328.85,339.22,341.99,L7
2001-02-20 22:05:00+00:00,316.49,319.92,338.62,334.37,344.66,347.11,346.16,345.84,355.18,355.48,357.95,362.27,358.03,357.01,359.55,365.52,364.49,362.02,357.08,343.11,337.10,323.42,329.66,344.72,333.13,327.14,340.47,337.84,340.78,336.30,345.04,341.75,336.29,335.47,330.86,334.33,340.06,342.15,332.42,334.90,337.33,332.68,325.85,330.56,328.00,335.79,330.81,323.12,325.06,322.52,328.33,322.32,326.00,320.74,324.62,320.09,320.42,328.99,317.82,321.05,320.23,326.41,323.39,317.28,315.32,316.95,318.02,325.72,335.07,344.98,341.72,342.96,341.85,339.13,333.97,322.62,321.98,328.94,339.37,341.64,L7
2001-04-16 22:10:54+00:00,327.19,335.50,346.95,345.90,352.97,354.98,353.45,357.95,363.24,362.19,362.69,366.24,361.87,360.87,364.09,368.86,366.69,364.68,361.63,347.14,344.44,327.77,333.02,347.24,337.26,330.98,344.26,340.99,343.79,335.82,346.09,348.25,343.12,341.21,334.22,336.01,340.10,345.62,335.79,336.75,343.93,340.78,337.44,343.44,338.12,342.64,335.82,329.74,329.69,326.66,336.88,334.76,334.67,330.97,332.22,329.68,330.14,333.77,320.09,322.76,321.72,328.29,328.48,325.25,322.53,319.20,316.30,324.74,328.79,333.96,330.85,331.14,332.94,331.53,333.65,326.65,331.06,338.30,349.73,349.52,L7
2001-06-19 22:10:17+00:00,325.34,333.27,348.87,345.79,352.20,356.25,352.12,358.06,361.93,360.14,362.22,366.80,361.64,358.82,363.70,367.99,366.05,364.34,359.82,344.88,342.71,325.74,329.92,343.27,332.58,325.42,340.51,337.35,340.18,332.70,340.94,342.96,340.04,338.63,332.59,335.47,340.09,342.39,331.58,331.76,337.89,336.66,329.03,333.58,328.55,335.53,331.98,323.82,326.35,324.70,332.70,329.90,330.42,327.13,327.65,324.79,323.81,326.61,313.92,319.83,314.99,320.53,321.99,318.86,312.19,312.44,310.97,315.23,317.40,319.40,317.53,317.55,316.62,317.87,320.87,317.39,324.35,333.18,346.54,345.97,L7
2001-07-14 22:03:57+00:00,321.95,329.92,355.78,345.56,352.25,354.37,352.38,354.73,357.91,356.75,360.50,369.86,363.09,357.47,365.00,368.58,365.51,358.38,353.31,339.34,339.02,320.53,325.36,339.02,328.36,322.50,335.60,333.24,337.40,331.76,338.04,339.62,334.49,334.07,329.22,336.79,336.36,336.92,325.97,325.36,331.91,329.83,322.76,327.72,323.60,330.56,329.70,322.30,323.83,324.15,332.09,328.95,329.47,328.18,329.10,322.42,323.27,323.16,310.85,316.61,312.39,317.65,320.93,317.87,312.81,310.97,308.52,308.64,311.84,315.50,311.37,311.54,311.62,311.14,316.51,315.88,325.43,336.40,347.80,347.76,L7
2001-08-15 22:03:26+00:00,322.19,329.41,348.96,344.90,352.78,355.14,352.78,355.71,359.06,358.97,362.85,369.05,362.39,357.99,364.31,366.94,363.39,357.47,353.32,339.62,338.10,320.38,323.91,337.79,328.67,322.57,334.63,331.98,336.98,331.35,336.57,337.88,331.24,334.49,331.30,335.40,336.02,337.20,325.36,325.53,333.75,331.08,323.26,328.04,322.45,328.64,327.96,322.16,324.95,326.42,333.79,329.31,329.35,329.14,331.81,324.00,322.16,321.45,311.19,316.33,315.40,321.46,324.83,318.33,312.31,309.52,307.21,308.24,311.03,315.65,313.79,314.44,316.50,315.80,318.57,317.71,323.84,330.87,341.30,340.06,L7
2002-03-11 22:03:31+00:00,321.48,324.32,326.37,310.78,315.63,322.19,326.52,333.04,335.56,336.15,346.17,343.87,340.79,341.91,347.90,349.61,351.95,353.65,347.83,334.54,334.36,321.83,331.64,348.41,337.58,329.90,349.19,343.64,349.26,335.33,348.06,346.30,336.97,338.47,334.15,330.70,331.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-03-18 22:09:33+00:00,324.19,323.95,334.44,320.30,319.06,325.82,328.62,337.78,336.01,334.33,344.30,345.61,340.46,337.77,344.75,346.99,349.22,353.36,351.00,334.87,332.38,320.03,330.95,346.69,336.29,326.90,343.76,342.37,349.45,335.42,343.36,341.90,334.04,335.70,331.80,329.57,334.17,339.87,327.70,325.53,332.90,329.05,323.16,327.17,321.26,329.83,330.70,321.47,324.32,324.39,331.49,327.85,331.90,328.17,329.18,326.95,325.36,330.44,322.00,327.34,322.80,330.02,335.99,337.37,335.36,331.17,324.37,324.61,328.64,336.43,,,,,,,,,,,L7
2002-04-12 22:03:25+00:00,322.49,327.28,334.49,321.82,321.85,328.28,330.45,338.81,339.45,335.72,345.36,347.00,340.59,338.43,345.71,348.65,349.93,354.60,349.94,334.35,332.33,318.82,329.13,344.02,333.74,325.86,342.80,341.90,349.04,336.51,343.05,342.22,334.82,335.50,333.65,332.23,334.46,340.16,326.28,323.75,332.62,328.58,320.25,323.92,319.15,327.65,330.50,322.74,326.15,326.39,331.28,327.09,332.28,325.01,327.15,323.44,322.71,326.23,319.18,324.60,320.73,327.06,332.10,333.28,331.38,328.79,324.77,328.44,332.73,341.78,347.11,348.31,347.09,348.65,345.35,345.37,343.68,349.04,354.58,349.25,L7
2002-05-05 22:09:37+00:00,320.78,325.05,330.91,322.11,324.42,329.39,331.42,337.71,338.39,335.51,343.23,345.40,339.47,336.57,342.96,346.61,347.75,348.88,345.30,329.69,325.57,313.59,323.12,336.97,327.15,319.96,336.68,336.63,345.21,333.89,340.22,339.50,332.62,334.23,332.08,328.73,331.89,335.27,322.63,320.85,330.77,325.80,316.62,320.31,316.60,321.60,323.76,315.12,317.94,317.81,323.27,321.44,326.62,321.89,322.51,314.56,315.39,319.16,312.20,314.20,310.76,320.58,326.50,326.09,322.06,317.22,314.09,318.21,324.82,335.82,334.65,338.19,336.32,331.21,326.83,324.19,329.38,333.50,342.64,341.28,L7
