dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
1999-08-17 22:13:37+00:00,L7,311.62,315.42,328.56,317.28,336.97,343.88,348.18,356.42,358.35,360.52,363.41,364.74,361.18,354.71,358.70,362.02,349.16,348.28,334.95,324.02,322.68,312.85,319.49,330.47,329.94,320.95,329.56,332.39,337.33,322.45,335.84,340.29,334.09,331.60,325.70,324.92,331.66,332.80,317.70,325.82,336.65,324.51,323.08,329.45,333.22,343.87,328.83,321.79,326.85,330.90,336.92,328.83,333.42,332.77,337.32,332.29,333.59,337.63,325.05,324.89,321.07,327.52,328.29,322.67,321.60,313.30,301.30,302.74,303.12,322.36,327.36,337.83,344.98,344.30,343.34,326.41,319.21,318.43,325.87,325.04
1999-09-27 22:07:36+00:00,L7,320.07,323.56,332.04,337.95,345.82,352.60,350.66,357.60,364.56,358.12,363.86,369.99,359.36,361.74,369.65,361.54,355.28,358.48,357.43,348.23,339.75,321.87,328.20,340.57,338.10,338.54,345.10,338.87,339.83,332.78,354.54,354.79,344.77,337.72,333.53,335.23,340.05,353.74,346.41,342.77,349.67,343.26,335.79,337.68,327.17,338.23,335.78,337.84,344.90,341.74,351.27,343.82,345.49,341.26,340.75,341.60,343.23,343.72,327.99,334.51,329.16,335.53,337.41,330.09,321.60,324.43,324.19,333.08,342.82,336.78,335.52,346.83,361.07,351.83,342.07,330.00,326.08,328.74,333.69,349.20
1999-10-04 22:13:49+00:00,L7,289.66,289.05,292.64,303.45,311.72,314.74,310.56,309.74,312.58,315.77,328.30,332.06,330.59,330.42,323.50,320.76,323.88,326.30,318.40,308.89,301.36,283.67,298.79,319.16,307.18,295.06,302.26,303.65,308.47,299.57,304.64,311.68,301.55,298.80,,,,,,,,,,,,305.36,306.56,301.41,308.84,301.60,308.35,305.14,305.99,308.54,,,,307.75,296.29,296.30,293.79,304.25,301.65,296.09,295.56,290.86,287.57,293.54,,,,,,,,,,,,
1999-12-07 22:13:41+00:00,L7,,,,,,,,,108.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-08 22:06:44+00:00,L7,309.19,325.12,329.73,351.06,355.52,356.37,353.85,357.24,361.17,360.52,361.41,360.41,355.67,361.83,371.06,372.59,367.30,362.51,355.35,343.90,340.68,327.20,326.99,346.00,338.75,333.64,346.85,342.29,343.61,334.18,341.71,340.16,334.84,329.41,330.15,328.59,328.22,340.15,329.91,331.13,342.16,335.17,331.68,335.03,334.99,337.09,338.96,324.34,324.51,322.83,327.07,327.68,333.34,326.64,321.42,318.33,320.17,320.07,303.07,305.89,303.15,308.83,317.15,317.52,320.66,310.26,301.57,303.28,305.95,314.50,312.05,309.82,311.51,313.73,314.18,314.93,317.84,322.53,330.26,328.03
2000-05-15 22:12:54+00:00,L7,326.28,349.35,360.59,363.58,377.70,379.25,374.55,385.62,385.92,382.93,380.08,382.13,371.96,373.96,383.46,386.59,379.72,375.71,370.58,363.32,356.99,340.19,349.66,369.01,353.81,349.98,360.91,357.24,359.61,349.79,363.97,359.97,353.02,352.13,347.90,350.29,346.01,359.72,348.41,346.48,359.92,354.63,351.61,361.81,352.36,359.69,355.35,349.57,352.76,348.00,354.61,350.82,352.01,346.98,346.38,339.02,331.34,332.87,324.80,321.80,323.39,331.16,339.37,337.68,333.76,327.05,315.93,318.97,321.67,326.94,327.35,324.49,329.06,326.31,327.34,324.07,329.01,333.50,337.17,330.77
2000-06-16 22:12:38+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,191.31,,196.76,,,241.71,254.95,,,,,215.72,191.32,,217.91,,,,,,88.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-25 22:06:19+00:00,L7,315.98,322.76,336.59,350.15,358.30,367.49,362.99,364.63,366.41,358.58,370.66,374.19,361.82,355.04,359.29,369.79,368.17,370.14,362.01,347.09,341.01,330.59,334.75,350.34,336.77,326.82,339.74,343.08,342.64,338.02,351.96,353.04,335.17,335.62,332.57,339.74,335.53,345.93,335.61,338.39,345.99,347.37,342.04,344.14,341.23,337.23,337.75,331.32,330.59,337.10,341.86,333.45,334.57,322.08,326.29,327.82,332.96,332.88,320.00,318.95,322.01,324.93,323.28,331.34,328.15,323.79,314.14,312.30,320.70,326.02,328.70,327.88,324.81,329.67,334.23,336.76,328.54,331.39,333.64,334.58
2000-07-27 22:05:48+00:00,L7,292.07,290.17,,307.33,331.37,337.47,332.84,336.04,346.21,344.72,,,,345.39,355.06,357.52,357.36,354.56,358.05,349.05,345.83,331.42,337.04,348.43,342.88,337.67,351.19,347.06,341.91,331.98,346.44,349.65,334.30,334.29,328.66,327.98,333.86,333.77,318.96,325.86,338.34,335.21,331.24,334.08,333.74,334.23,336.84,324.90,324.21,327.03,328.46,325.52,327.54,325.57,331.21,322.75,325.31,326.62,318.97,326.95,321.12,324.80,319.02,310.96,307.57,295.98,290.94,296.47,306.32,321.97,328.12,336.42,341.37,336.80,335.22,330.15,323.75,320.34,330.49,333.87
2000-09-04 22:11:34+00:00,L7,292.22,280.26,,215.50,194.71,,281.90,314.55,342.52,339.22,345.14,350.32,342.78,347.04,350.35,357.36,356.90,350.18,333.65,318.55,302.48,303.05,309.65,324.02,306.68,306.18,319.36,314.06,314.91,,,320.00,314.21,322.52,,,,,,,319.41,316.68,301.97,303.08,303.63,321.26,318.52,307.73,311.35,307.28,307.81,298.28,300.75,292.39,297.72,291.83,291.17,315.16,308.26,309.83,306.76,310.83,304.58,304.06,298.01,297.30,305.49,318.54,331.52,335.60,335.18,340.02,332.62,330.01,312.88,305.00,301.00,312.74,325.45,331.97
2000-09-20 22:11:14+00:00,L7,303.25,308.43,317.22,304.79,320.29,325.98,326.23,340.48,343.06,341.60,348.26,347.88,347.20,346.51,354.07,358.07,356.16,349.53,344.82,337.41,333.23,316.95,328.81,349.92,335.23,324.54,339.01,340.17,342.23,328.28,336.51,339.84,334.18,330.32,324.65,329.95,334.26,331.55,318.32,320.35,323.06,318.05,308.21,314.67,315.13,322.15,324.35,318.80,320.10,323.33,323.10,312.27,324.93,321.49,327.05,320.94,316.72,318.24,307.52,317.55,315.65,322.00,317.78,307.20,308.95,314.01,309.57,308.84,324.18,346.95,343.15,343.03,343.60,342.37,337.21,318.02,311.35,317.25,324.36,326.46
2000-12-18 22:05:01+00:00,L7,315.43,320.40,333.09,335.13,341.17,343.07,340.05,346.41,354.12,354.13,356.72,356.62,353.83,355.56,361.40,360.89,360.62,358.35,348.68,337.48,336.57,318.45,328.32,343.59,334.43,329.68,339.91,337.79,338.68,327.45,340.38,342.08,334.51,331.94,324.93,329.36,333.33,334.88,327.96,329.75,339.95,334.66,335.51,342.24,334.43,339.29,330.56,322.12,323.48,315.07,329.67,328.98,327.74,324.59,324.39,327.11,331.66,333.66,320.60,319.20,318.44,324.14,324.75,320.50,317.20,319.21,316.81,327.23,325.09,336.93,333.22,332.19,334.17,332.85,333.99,322.93,327.53,333.18,337.80,335.56
2000-12-25 22:11:14+00:00,L7,332.36,340.66,351.23,347.49,355.24,357.22,356.87,364.44,371.19,369.13,368.20,369.99,365.81,365.74,360.75,371.42,371.47,376.18,371.78,352.33,348.07,334.65,336.66,350.87,339.55,332.85,349.17,346.02,350.54,341.66,350.74,353.90,350.45,345.32,335.52,337.23,346.91,353.55,343.88,347.11,353.73,348.90,343.70,349.10,343.89,347.30,339.12,329.84,334.64,331.24,338.73,334.81,336.54,329.56,332.07,332.19,329.67,337.10,324.70,328.66,328.86,336.24,334.67,327.62,323.94,323.29,324.23,334.26,342.27,343.19,341.31,339.37,338.35,336.37,335.80,329.61,332.03,336.59,353.88,353.90
