dates,nzd0239-0000,nzd0239-0001,nzd0239-0002,nzd0239-0003,nzd0239-0004,nzd0239-0005,nzd0239-0006,nzd0239-0007,nzd0239-0008,nzd0239-0009,nzd0239-0010,nzd0239-0011,nzd0239-0012,nzd0239-0013,nzd0239-0014,nzd0239-0015,nzd0239-0016,nzd0239-0017,nzd0239-0018,nzd0239-0019,nzd0239-0020,nzd0239-0021,nzd0239-0022,nzd0239-0023,nzd0239-0024,nzd0239-0025,nzd0239-0026,nzd0239-0027,nzd0239-0028,nzd0239-0029,nzd0239-0030,nzd0239-0031,nzd0239-0032,nzd0239-0033,nzd0239-0034,nzd0239-0035,nzd0239-0036,nzd0239-0037,nzd0239-0038,nzd0239-0039,nzd0239-0040,nzd0239-0041,nzd0239-0042,nzd0239-0043,nzd0239-0044,nzd0239-0045,nzd0239-0046,nzd0239-0047,nzd0239-0048,nzd0239-0049,nzd0239-0050,nzd0239-0051,nzd0239-0052,nzd0239-0053,nzd0239-0054,nzd0239-0055,nzd0239-0056,nzd0239-0057,nzd0239-0058,nzd0239-0059,nzd0239-0060,nzd0239-0061,nzd0239-0062,nzd0239-0063,nzd0239-0064,nzd0239-0065,nzd0239-0066,nzd0239-0067,nzd0239-0068,nzd0239-0069,nzd0239-0070,nzd0239-0071,nzd0239-0072,nzd0239-0073,nzd0239-0074,nzd0239-0075,nzd0239-0076,nzd0239-0077,nzd0239-0078,nzd0239-0079,nzd0239-0080,nzd0239-0081,nzd0239-0082,nzd0239-0083,nzd0239-0084,nzd0239-0085,nzd0239-0086,nzd0239-0087,nzd0239-0088,nzd0239-0089,nzd0239-0090,nzd0239-0091,nzd0239-0092,nzd0239-0093,nzd0239-0094,nzd0239-0095,nzd0239-0096,nzd0239-0097,nzd0239-0098,nzd0239-0099,nzd0239-0100,nzd0239-0101,nzd0239-0102,nzd0239-0103,nzd0239-0104,nzd0239-0105,nzd0239-0106,nzd0239-0107,nzd0239-0108,nzd0239-0109,nzd0239-0110,nzd0239-0111,nzd0239-0112,nzd0239-0113,nzd0239-0114,nzd0239-0115,nzd0239-0116,nzd0239-0117,nzd0239-0118,nzd0239-0119,nzd0239-0120,nzd0239-0121,nzd0239-0122,nzd0239-0123,nzd0239-0124,nzd0239-0125,nzd0239-0126,nzd0239-0127,nzd0239-0128,nzd0239-0129,nzd0239-0130,nzd0239-0131,nzd0239-0132,nzd0239-0133,nzd0239-0134,nzd0239-0135,nzd0239-0136,nzd0239-0137,nzd0239-0138,nzd0239-0139,nzd0239-0140,satname
1999-08-12 21:52:44+00:00,296.51,290.67,291.77,310.42,324.48,353.93,359.79,357.72,358.43,350.22,358.98,358.62,362.00,363.54,371.89,363.78,362.72,362.27,356.28,351.42,341.44,343.67,340.71,341.90,341.96,341.68,345.84,341.88,345.82,341.00,344.68,345.75,346.54,349.10,352.26,351.06,354.39,358.13,359.49,357.51,354.65,354.22,350.57,337.34,336.69,347.84,348.55,346.90,348.68,352.51,353.12,354.05,355.04,352.07,360.82,362.66,362.05,364.02,375.89,372.72,371.17,375.75,385.13,386.77,387.29,388.79,382.18,383.80,379.89,375.70,372.50,381.02,375.94,379.70,377.13,373.63,374.96,370.88,373.48,374.85,373.20,371.86,375.80,373.74,380.37,378.67,386.52,382.18,387.72,384.60,388.77,389.17,383.06,384.49,380.99,387.69,381.56,392.06,407.23,391.39,383.19,387.62,,,400.80,,,396.21,408.68,408.30,414.04,415.83,421.96,414.41,419.15,419.46,424.44,424.34,428.30,421.05,414.63,417.05,410.68,410.26,408.11,416.77,411.57,424.09,420.95,423.41,411.54,404.25,413.96,404.08,407.81,393.38,392.93,381.52,378.97,,,L7
1999-08-21 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.78,379.54,379.59,374.34,375.53,370.78,372.98,371.15,374.10,371.27,370.23,368.27,372.05,368.48,374.91,372.21,377.30,375.75,378.20,381.78,383.36,384.72,385.14,385.42,386.66,379.41,381.00,380.11,381.06,380.42,382.32,378.20,382.70,378.88,388.34,387.56,387.94,386.82,388.72,383.45,393.58,399.05,404.78,409.23,407.23,406.31,405.24,410.55,412.97,418.21,416.06,416.72,414.74,408.35,407.69,399.40,396.58,401.78,414.92,423.10,425.90,426.29,419.49,408.78,404.89,401.87,395.65,393.51,387.21,376.31,371.33,,,L7
1999-09-22 21:47:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.25,370.95,373.99,375.62,383.75,387.98,383.79,377.97,379.14,374.25,370.54,377.17,375.43,369.32,373.58,382.85,373.70,370.49,368.52,372.39,371.51,366.08,370.67,368.00,372.84,381.34,380.98,379.66,381.80,383.12,388.68,389.10,385.18,386.10,385.34,387.50,381.45,385.39,384.56,387.73,382.05,381.67,386.54,392.48,388.22,387.25,384.39,391.49,398.87,400.56,403.26,404.05,410.89,409.36,408.87,414.22,410.35,417.02,424.05,414.83,411.91,412.16,410.84,416.61,405.09,403.76,395.56,405.03,421.82,434.66,437.24,432.24,421.45,431.82,415.25,412.81,416.14,397.53,403.45,414.59,430.33,427.14,,L7
1999-09-29 21:52:52+00:00,301.71,301.23,302.65,329.05,355.47,369.73,369.59,366.37,367.47,365.67,369.91,372.68,374.72,376.83,375.09,357.29,358.48,363.52,353.02,357.32,345.20,349.24,354.54,348.81,351.87,349.18,353.97,349.06,351.97,350.69,351.85,354.82,345.88,359.85,354.11,359.43,358.61,369.84,371.82,370.68,370.43,367.56,362.07,324.85,347.92,352.28,356.41,355.94,353.04,356.73,362.78,363.06,361.33,357.78,364.01,371.37,368.14,373.71,374.71,382.29,383.49,390.71,386.76,394.81,396.52,406.82,399.76,391.56,393.92,389.32,395.52,397.86,395.94,388.91,392.14,387.98,393.44,385.65,385.41,382.37,381.46,377.28,389.32,387.55,395.50,394.92,401.05,397.26,394.57,398.33,392.11,400.64,393.29,401.80,396.07,403.85,397.87,403.61,398.72,402.47,402.63,404.68,400.34,392.22,403.25,394.92,407.59,403.80,412.43,410.25,418.99,425.54,424.45,431.14,423.38,431.89,425.39,433.76,427.30,436.82,431.40,440.20,432.12,420.99,425.97,429.16,432.52,441.49,444.23,444.04,428.02,420.44,431.80,421.29,421.40,409.80,418.32,412.74,412.09,407.70,363.36,L7
1999-10-24 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.76,373.57,371.56,374.23,371.61,371.54,373.04,371.38,372.35,369.18,368.38,369.10,366.44,366.57,371.87,371.50,376.95,371.93,376.47,375.54,377.66,379.28,379.73,379.13,376.49,374.85,377.56,379.32,379.86,381.57,383.64,378.43,380.25,381.20,386.63,386.38,386.41,378.46,388.01,384.64,390.44,396.69,402.53,405.18,404.52,402.28,402.02,405.30,409.70,413.77,416.11,413.57,407.91,416.25,409.88,401.78,409.42,401.96,413.31,423.23,422.96,425.18,430.23,426.73,420.03,410.59,403.59,397.14,390.85,382.80,393.30,389.91,397.24,386.69,L7
2000-01-12 21:46:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.62,382.04,382.51,382.84,387.77,381.25,381.33,382.22,381.39,378.23,377.44,372.72,377.68,375.30,383.56,382.31,389.53,385.85,384.36,385.77,385.33,380.37,390.23,386.89,390.97,383.62,389.90,385.21,392.14,389.32,398.27,391.62,398.30,390.48,398.97,393.51,397.41,397.09,400.69,400.67,409.88,403.80,410.04,407.32,417.07,414.65,421.72,419.20,424.75,423.84,428.50,432.19,430.49,425.06,424.99,421.39,427.61,423.42,427.39,424.87,424.89,430.71,437.83,423.36,418.25,425.98,420.04,421.04,418.61,408.03,400.44,388.69,394.72,380.77,L7
2000-02-04 21:52:37+00:00,295.42,287.83,296.12,320.18,340.07,360.51,365.44,366.24,365.88,364.56,360.80,358.51,361.83,367.01,372.36,372.27,370.61,359.59,354.99,354.48,349.09,351.99,351.00,350.14,349.80,349.96,349.04,345.61,344.48,342.84,346.43,348.44,352.18,352.97,351.86,355.35,359.38,362.87,364.55,354.97,346.14,344.82,339.52,345.46,345.15,349.84,344.73,348.55,353.96,357.60,355.08,353.80,350.79,360.44,364.11,363.46,363.41,360.20,364.58,366.14,374.72,378.91,379.54,380.80,387.50,384.42,378.98,379.89,373.86,374.83,380.53,379.18,371.31,377.58,368.56,365.98,371.58,365.74,363.39,368.61,369.07,373.45,374.52,380.15,378.49,378.36,381.26,376.89,379.79,379.83,390.60,387.04,378.13,376.79,372.69,383.42,379.13,386.96,381.26,385.73,379.92,388.25,384.25,390.57,388.01,393.45,392.11,395.78,397.07,397.72,403.25,401.94,414.94,408.59,414.04,408.89,415.72,417.51,423.19,419.38,421.45,413.06,405.34,412.87,407.57,416.85,414.03,421.78,418.31,422.12,424.19,420.01,413.35,405.14,408.50,397.84,393.07,385.21,382.45,371.18,366.13,L7
2000-03-16 21:46:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.16,365.51,375.31,378.56,381.71,384.10,387.44,392.63,395.52,394.78,395.12,415.64,405.97,404.28,391.11,394.54,390.78,398.01,403.75,403.13,391.25,389.89,392.86,397.22,394.26,407.81,413.37,410.30,401.24,406.13,410.63,412.05,414.94,418.01,427.80,422.14,409.96,413.39,420.76,424.75,446.07,436.30,405.21,407.22,407.23,408.03,421.26,428.27,435.88,426.73,431.06,425.58,419.42,419.25,409.87,402.71,400.94,390.61,398.00,395.59,419.39,L7
2000-04-24 21:52:10+00:00,289.39,291.54,295.63,312.56,332.87,358.58,363.44,358.75,358.14,358.96,359.80,364.13,367.44,371.15,370.50,361.91,360.78,358.91,360.62,355.32,355.83,344.01,350.01,347.72,349.05,348.26,341.24,346.34,342.04,343.60,340.69,348.07,340.07,349.91,347.26,353.27,357.31,360.90,364.09,360.16,356.90,352.23,351.82,349.27,335.13,335.20,344.75,345.70,344.91,353.82,356.47,359.85,354.68,364.13,363.68,366.29,364.87,376.42,373.41,374.79,372.72,379.42,378.58,382.26,385.09,385.56,381.28,374.47,381.40,376.31,377.96,371.82,371.23,373.22,377.80,376.28,379.19,374.19,365.88,371.88,368.20,371.71,375.37,379.49,377.37,377.88,379.08,379.06,378.74,385.35,390.67,388.36,388.87,383.99,383.39,385.06,389.58,392.08,394.38,391.04,383.82,380.82,384.23,387.50,391.72,400.90,398.27,402.76,397.53,402.69,399.51,405.96,408.11,418.21,420.42,417.13,413.65,416.74,418.50,422.72,430.80,425.31,419.84,407.63,409.43,406.42,415.20,423.40,417.49,412.99,412.71,410.97,414.73,408.92,397.26,398.35,391.97,,,,,L7
2000-05-03 21:46:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.80,387.29,381.87,380.58,382.72,379.75,374.99,379.25,376.27,383.71,380.53,383.72,382.76,385.30,390.08,389.81,395.96,396.03,399.48,391.80,389.17,392.00,392.90,395.78,401.22,396.83,393.51,390.66,388.70,397.59,399.29,404.39,412.24,406.49,401.97,402.39,403.06,408.32,414.01,414.51,425.09,421.02,424.11,416.53,424.37,424.75,433.03,432.10,431.41,421.40,415.95,414.56,413.33,424.45,432.58,430.12,419.95,412.29,415.96,414.83,414.59,405.61,394.05,391.96,392.74,386.25,385.09,380.39,L7
