dates,satname,nzd0239-0000,nzd0239-0001,nzd0239-0002,nzd0239-0003,nzd0239-0004,nzd0239-0005,nzd0239-0006,nzd0239-0007,nzd0239-0008,nzd0239-0009,nzd0239-0010,nzd0239-0011,nzd0239-0012,nzd0239-0013,nzd0239-0014,nzd0239-0015,nzd0239-0016,nzd0239-0017,nzd0239-0018,nzd0239-0019,nzd0239-0020,nzd0239-0021,nzd0239-0022,nzd0239-0023,nzd0239-0024,nzd0239-0025,nzd0239-0026,nzd0239-0027,nzd0239-0028,nzd0239-0029,nzd0239-0030,nzd0239-0031,nzd0239-0032,nzd0239-0033,nzd0239-0034,nzd0239-0035,nzd0239-0036,nzd0239-0037,nzd0239-0038,nzd0239-0039,nzd0239-0040,nzd0239-0041,nzd0239-0042,nzd0239-0043,nzd0239-0044,nzd0239-0045,nzd0239-0046,nzd0239-0047,nzd0239-0048,nzd0239-0049,nzd0239-0050,nzd0239-0051,nzd0239-0052,nzd0239-0053,nzd0239-0054,nzd0239-0055,nzd0239-0056,nzd0239-0057,nzd0239-0058,nzd0239-0059,nzd0239-0060,nzd0239-0061,nzd0239-0062,nzd0239-0063,nzd0239-0064,nzd0239-0065,nzd0239-0066,nzd0239-0067,nzd0239-0068,nzd0239-0069,nzd0239-0070,nzd0239-0071,nzd0239-0072,nzd0239-0073,nzd0239-0074,nzd0239-0075,nzd0239-0076,nzd0239-0077,nzd0239-0078,nzd0239-0079,nzd0239-0080,nzd0239-0081,nzd0239-0082,nzd0239-0083,nzd0239-0084,nzd0239-0085,nzd0239-0086,nzd0239-0087,nzd0239-0088,nzd0239-0089,nzd0239-0090,nzd0239-0091,nzd0239-0092,nzd0239-0093,nzd0239-0094,nzd0239-0095,nzd0239-0096,nzd0239-0097,nzd0239-0098,nzd0239-0099,nzd0239-0100,nzd0239-0101,nzd0239-0102,nzd0239-0103,nzd0239-0104,nzd0239-0105,nzd0239-0106,nzd0239-0107,nzd0239-0108,nzd0239-0109,nzd0239-0110,nzd0239-0111,nzd0239-0112,nzd0239-0113,nzd0239-0114,nzd0239-0115,nzd0239-0116,nzd0239-0117,nzd0239-0118,nzd0239-0119,nzd0239-0120,nzd0239-0121,nzd0239-0122,nzd0239-0123,nzd0239-0124,nzd0239-0125,nzd0239-0126,nzd0239-0127,nzd0239-0128,nzd0239-0129,nzd0239-0130,nzd0239-0131,nzd0239-0132,nzd0239-0133,nzd0239-0134,nzd0239-0135,nzd0239-0136,nzd0239-0137,nzd0239-0138,nzd0239-0139,nzd0239-0140
2000-05-19 21:45:43+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.57,383.14,386.09,,325.50,306.14,353.68,376.52,386.91,389.76,387.63,389.95,389.83,385.56,387.45,384.88,390.57,392.71,395.33,398.20,397.83,401.50,400.24,406.51,406.22,413.80,411.70,416.47,414.82,416.69,414.27,421.23,418.74,425.33,421.01,422.88,412.20,405.22,413.15,421.18,420.97,424.78,414.72,406.91,403.88,409.33,402.91,400.11,379.71,381.58,373.89,374.63,370.29,371.94
2000-05-26 21:51:48+00:00,L7,308.53,309.67,316.55,334.37,353.03,384.99,387.82,387.46,384.67,378.12,384.72,387.07,388.83,390.42,397.65,387.97,385.81,383.90,380.31,378.13,370.20,371.51,369.22,368.94,363.23,362.25,367.98,361.00,368.28,371.85,374.99,378.57,366.93,365.10,376.87,383.68,381.67,382.11,383.19,380.03,377.57,374.15,367.89,378.32,377.27,388.48,377.03,371.71,370.75,372.97,377.16,378.87,377.26,376.26,385.60,381.17,382.35,382.39,389.04,391.91,392.07,395.24,400.72,403.76,399.08,402.80,399.91,396.29,395.70,396.29,392.96,394.58,393.75,391.59,393.06,388.93,394.10,392.01,393.68,394.56,388.81,385.28,392.38,392.08,398.42,401.11,401.32,402.58,401.91,407.03,405.22,407.60,413.87,407.25,403.67,405.83,412.93,408.34,405.57,406.63,410.59,399.35,407.37,415.52,416.69,415.67,413.92,411.83,414.51,423.27,422.73,429.39,425.72,434.48,432.71,434.81,424.63,435.08,432.04,440.77,446.04,441.16,437.30,434.10,427.87,424.35,440.21,446.70,441.42,429.02,428.76,423.70,429.45,425.44,410.89,407.36,410.26,396.27,395.40,404.51,397.57
2000-07-13 21:51:19+00:00,L7,,,,,,,,,,,,,380.49,382.48,384.42,378.68,374.36,370.39,371.58,360.12,361.02,358.09,357.13,356.86,356.05,358.69,355.62,358.52,357.44,360.94,358.41,358.51,361.93,363.96,370.93,365.58,382.99,385.28,384.83,385.34,378.71,374.60,369.83,372.50,366.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.87,385.71,380.77,384.25,382.26,380.85,386.33,381.78,387.65,382.65,389.27,391.01,388.71,393.41,390.98,397.36,397.62,398.97,397.50,395.58,394.71,389.76,388.81,387.51,391.18,394.09,400.04,400.89,403.24,403.27,404.94,408.36,408.26,409.94,408.39,408.34,415.63,420.80,423.00,425.86,424.49,425.50,426.73,423.86,424.92,419.97,423.87,419.10,422.51,420.86,428.77,431.82,421.40,413.83,410.17,419.52,426.85,417.49,409.37,406.90,406.57,405.54,407.34,385.13,381.76,372.78,365.42
2000-08-14 21:50:56+00:00,L7,303.92,309.65,322.10,335.36,353.12,371.15,385.51,382.85,371.37,373.51,374.46,378.84,381.47,386.37,384.37,382.00,380.09,376.12,367.70,361.97,362.90,358.13,355.71,354.60,355.03,354.75,355.90,356.72,354.51,354.99,355.35,355.66,355.83,357.20,356.66,359.82,359.56,359.16,359.70,355.18,359.59,358.65,360.51,356.26,363.66,351.68,354.55,350.88,359.92,359.96,359.78,368.38,365.33,369.88,367.63,372.68,375.36,376.60,374.02,381.51,385.31,386.57,384.63,393.80,395.04,388.29,391.70,388.31,385.38,388.40,386.51,379.55,386.40,380.31,383.10,385.19,383.30,380.39,381.69,379.04,384.05,382.63,386.70,383.57,382.40,388.17,383.44,393.33,387.98,389.77,389.40,390.65,389.86,381.78,379.26,379.64,379.04,383.11,393.92,392.15,401.86,397.72,405.07,402.65,409.44,403.14,408.97,408.77,412.96,420.61,415.93,426.39,421.91,429.63,421.80,428.07,422.59,426.23,422.92,418.24,419.46,414.29,422.75,425.44,428.84,419.42,411.15,410.88,416.43,419.48,422.06,409.23,406.43,398.28,401.83,403.33,407.05,396.24,378.29,366.97,344.70
2000-09-15 21:50:25+00:00,L7,285.13,277.85,282.73,301.78,324.11,342.82,350.46,347.78,347.25,349.31,349.76,352.63,351.68,353.63,357.88,363.03,354.37,349.28,345.49,338.56,327.22,323.40,330.70,327.09,330.28,326.15,328.65,328.38,331.88,332.22,330.94,330.45,324.73,331.87,333.42,341.43,342.95,342.51,341.75,343.04,340.33,334.19,331.46,326.63,309.73,319.02,329.27,330.33,329.89,331.54,339.93,339.68,340.66,344.63,343.80,347.59,347.74,347.05,347.12,356.64,358.74,364.90,363.36,369.94,368.34,370.30,366.51,359.57,361.78,364.31,363.20,352.66,358.39,353.95,364.63,357.63,357.14,359.07,353.97,359.29,357.55,360.73,363.98,367.88,369.10,369.06,360.76,364.28,361.71,369.50,367.14,372.05,365.44,370.19,364.13,368.49,369.14,363.63,371.50,374.27,377.26,376.39,378.58,387.56,388.94,391.77,385.60,380.78,387.35,397.92,401.86,400.52,396.68,403.07,396.95,398.14,395.30,402.13,394.73,404.16,396.87,401.93,401.49,407.89,400.11,394.77,397.23,388.82,387.12,389.71,392.04,389.85,383.99,374.72,377.90,370.79,375.94,357.08,352.33,343.32,323.93
2000-11-02 21:50:13+00:00,L7,286.00,278.55,280.45,303.22,326.59,349.33,356.30,348.64,350.84,351.70,351.49,355.42,356.36,362.98,365.66,365.13,359.00,352.39,347.79,345.98,337.78,329.68,334.95,329.43,333.27,330.74,338.98,343.23,340.98,336.37,337.44,331.61,328.84,334.97,335.04,341.08,346.05,342.84,347.64,344.47,342.22,339.21,332.53,324.21,318.48,328.11,329.92,331.83,336.69,331.82,342.21,341.55,341.59,339.06,348.79,350.16,349.03,350.21,358.77,356.01,358.91,363.56,366.53,372.36,366.46,373.54,367.53,361.18,355.49,361.39,357.91,363.92,360.88,357.22,356.48,354.04,357.90,358.39,359.50,362.25,360.78,355.41,362.57,363.02,363.36,365.16,365.99,364.51,357.84,361.27,360.90,365.24,363.79,369.96,366.88,374.81,371.92,379.18,376.27,375.03,379.09,383.94,382.17,380.85,375.32,391.73,390.01,393.31,395.93,392.85,399.21,399.97,401.37,397.94,390.34,399.27,394.05,399.18,397.53,403.62,397.94,404.32,400.48,401.85,395.73,394.15,395.26,389.09,390.30,389.95,388.64,385.45,387.71,381.14,381.05,373.08,371.84,348.66,348.05,340.49,315.91
2000-12-04 21:50:10+00:00,L7,292.89,290.78,297.90,310.04,331.64,356.16,369.69,364.43,363.45,363.93,362.88,364.64,366.94,373.18,376.55,374.98,373.98,367.88,366.66,361.69,356.97,357.55,356.19,360.18,344.24,346.96,341.50,343.92,342.12,344.50,345.87,354.83,347.95,351.92,345.47,351.40,357.58,356.23,357.68,359.71,367.42,359.15,346.89,348.09,347.63,347.25,348.96,350.02,354.83,355.05,357.13,352.85,359.45,357.96,357.77,355.43,353.86,367.12,363.36,364.63,370.31,380.42,381.65,384.05,372.19,379.52,373.72,373.90,375.14,375.69,378.82,372.29,367.21,361.12,366.76,361.07,374.97,368.39,373.35,365.43,371.51,372.37,371.38,377.06,372.77,365.43,374.98,372.71,375.25,378.85,385.00,385.50,373.30,377.22,373.54,380.62,376.92,385.54,390.39,383.71,382.05,386.45,383.35,388.31,394.03,391.99,397.29,394.65,400.20,399.40,405.40,404.80,412.62,409.58,408.07,413.79,418.86,416.33,416.92,408.17,398.31,405.30,399.79,410.17,404.48,407.15,401.04,401.64,402.46,403.77,392.76,389.61,392.55,395.43,407.95,399.42,401.03,366.46,345.23,323.88,315.71
2000-12-20 21:50:16+00:00,L7,311.08,309.48,318.97,338.08,361.49,385.27,391.51,383.04,381.46,377.75,377.98,386.22,386.29,393.01,406.01,402.54,390.69,391.61,391.57,366.52,338.37,347.06,363.81,,,,356.40,356.23,,,,,,,,,,,,362.99,362.85,360.66,358.17,347.67,363.97,354.26,358.23,359.82,360.60,358.06,363.53,360.30,366.10,366.82,365.55,369.30,362.81,362.30,365.89,370.71,373.57,383.97,388.27,392.06,392.67,388.10,378.00,380.01,379.18,387.28,389.45,383.67,374.02,374.93,376.07,376.24,375.19,371.69,375.12,373.59,374.47,374.83,374.70,380.33,375.50,374.16,379.12,376.65,383.89,383.28,385.95,383.95,388.92,387.99,386.73,385.93,389.91,393.10,393.56,392.91,393.52,392.56,395.72,394.88,398.85,396.37,407.63,402.40,406.15,410.73,407.30,409.20,413.72,413.95,416.56,414.73,419.53,420.10,418.35,414.73,409.55,410.71,405.10,406.14,407.48,405.05,402.38,397.74,400.63,396.28,398.19,395.53,405.95,399.21,402.26,407.43,403.62,376.70,355.23,335.17,310.15
2001-01-05 21:50:16+00:00,L7,303.11,306.99,309.98,336.19,355.45,374.19,382.58,382.02,381.22,378.89,377.04,375.50,379.54,383.27,386.74,385.93,382.59,377.36,382.43,377.25,371.78,359.16,384.31,392.70,359.57,354.19,354.17,356.07,362.55,364.48,355.62,382.35,361.01,385.71,394.09,364.00,372.99,379.03,384.54,383.50,391.36,383.88,389.89,360.22,372.68,350.66,373.25,383.00,361.16,360.40,370.13,372.98,377.57,386.28,385.82,386.49,375.81,372.52,372.52,384.91,396.37,390.23,387.07,404.58,409.22,394.41,396.51,393.01,405.22,403.29,398.59,391.43,391.07,384.48,381.54,389.88,396.34,395.00,382.77,380.20,390.63,384.73,395.42,397.15,385.68,391.67,389.83,395.01,396.52,400.42,402.38,400.34,396.95,398.04,398.78,404.98,404.78,407.76,408.51,404.95,399.60,401.60,403.06,405.48,407.46,408.00,411.69,417.31,416.48,421.22,421.30,425.41,425.59,425.85,428.37,428.89,425.49,432.84,428.36,422.40,424.87,419.65,418.27,416.47,413.49,415.62,404.39,407.72,400.94,406.28,404.63,415.25,403.46,,427.17,409.27,407.48,410.50,404.69,386.96,337.81
2001-03-03 21:44:00+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.49,378.11,379.22,378.26,377.71,375.86,378.29,373.38,380.74,375.09,373.80,374.70,372.51,368.36,373.67,369.47,380.00,375.47,380.64,377.74,382.53,381.77,381.66,385.97,385.01,385.26,385.03,387.33,384.55,389.83,393.07,395.92,394.84,388.30,388.62,391.71,395.59,404.33,403.06,406.70,405.67,409.91,405.98,411.15,413.99,415.67,415.06,416.57,414.97,418.54,418.75,422.62,420.62,424.13,418.00,413.27,413.87,405.25,402.29,401.92,401.55,403.47,398.59,396.55,394.66,402.94,400.85,402.44,376.46,374.73,349.83,337.60,311.48,297.54
