,dates,per0170-0000,per0170-0001,per0170-0002,per0170-0003,per0170-0004,per0170-0005,per0170-0006,per0170-0007,per0170-0008,per0170-0009,per0170-0010,per0170-0011,per0170-0012,per0170-0013,per0170-0014
0,1986-05-05 14:36:17+00:00,255.16539900914216,270.2661320479627,297.5491916371886,306.3412463305995,305.0741491496838,,,292.1459805927302,277.4618077311109,263.32120012899816,250.68805227737144,243.84759600177873,227.84389818701277,211.6089723414695,
1,1986-12-15 14:30:08+00:00,276.55897063222,298.5234343799365,300.8117990326855,294.6375608537633,278.92845361720373,263.0222149052673,249.7763601438304,,,253.14620474673032,244.70275750415212,232.2633327406858,227.49259281985513,237.7884632214466,229.64551804468053
2,1986-12-31 14:30:37+00:00,268.10644088492563,294.3164121363727,306.14699342105826,305.9827076719666,301.1865267037252,292.27734238020935,287.16970166333675,284.1718277823806,275.80682857486613,271.9345806386141,262.38252406515795,245.97290991771,244.92913755532203,236.94994282712923,217.05874462598024
3,1987-02-01 14:31:36+00:00,,,,,,,,,,277.8301184681162,,,,,
4,1987-03-05 14:32:51+00:00,268.5172546905337,289.81701790881317,303.9804925338162,299.5562197959792,299.49999419862525,292.2395021863998,282.431179287697,278.6226276155596,274.4797276911082,266.2262420224757,252.39810059014,236.7365453113989,232.26061359240492,221.50091732653127,215.05681541493522
5,1987-05-24 14:35:24+00:00,249.62107484540684,254.5190372960608,263.31382143748067,270.16089500552596,276.52659466362184,273.26345157110217,273.2189555575531,276.22868800227144,267.75799220911443,257.3907355990611,247.71702238409665,242.29354769817004,238.69061186139334,213.72020682422377,205.89797198461397
6,1987-12-18 14:39:56+00:00,239.2097891216963,270.3324253165318,283.7934059130237,293.11731596721853,282.41163937513574,271.47692734096717,260.462995481875,261.2100009929313,251.72039782021437,240.29768288791394,244.02892072593312,238.54230563408646,224.70599642863448,214.49103036481958,186.9428037205713
7,1988-01-03 14:40:12+00:00,254.53206713701056,280.63985287971565,295.7459935003255,289.5942171318642,292.40810443403086,281.42160134489427,261.24796432281477,261.0166532677531,262.6585593594712,254.6829983255522,246.27341421029507,235.84984195223245,234.87664815366892,224.13567309478174,208.52564041500548
8,1988-03-23 14:41:20+00:00,224.8010643496856,234.9428404851766,249.90281751299818,257.00107302157977,266.4737334899842,252.8608424317884,249.34818205349933,250.94286292776906,247.2857356706362,234.39596945535303,228.01311016761352,225.4488775173841,212.3880416863708,199.87421633267985,177.90884942931928
9,1988-04-08 14:41:26+00:00,230.30792151496954,246.19714620030058,264.6650193283078,261.244509939814,274.2970656163724,259.8118621858446,263.85957699272956,260.88024262306544,247.86120722945472,247.555674521335,236.09529116716482,227.39088750218127,221.0837301156862,210.000631955176,190.2535024951158
10,1988-04-24 14:41:31+00:00,191.81231427796172,,,,252.15049573147624,245.8089385296044,240.99413515784084,255.36370933391817,250.64042193169234,242.87973275452973,236.17979804413085,237.34089816367737,223.5021095745983,210.90057913254358,190.32396335527102
11,1988-11-02 14:41:57+00:00,225.90324649691075,236.2699089751429,243.11900989953674,251.0154308011693,245.5008915629497,245.19708919896027,237.93254553927332,239.77104146821972,245.89204720745812,252.86843488754292,234.1727971753599,221.05558389297755,220.49137249730222,215.16763152150554,202.8821792703254
12,1989-03-10 14:40:50+00:00,,,,,,,,,,,,,,,
13,1989-05-13 14:39:54+00:00,,,,,,252.1398647410988,229.47005812860672,229.5256885743894,209.47909662767972,206.45918254860612,203.7318882995125,194.7934067218486,173.0452736511891,183.4669684962158,144.8815388216345
14,1989-10-04 14:36:59+00:00,202.6633919815444,204.2680658130862,212.81277680891168,213.85700388627055,221.8053861520225,214.25057520748405,206.62596039431898,210.25856978906842,207.48650366017426,201.853452670635,210.46591508623288,211.027809468192,204.70062766717692,196.8624938009813,158.0902356045993
15,1989-12-23 14:34:34+00:00,227.92237289775727,242.35055695079217,258.5799663875558,256.9068282015804,247.46975077171928,244.002556564262,233.21979734999923,235.89192617910194,239.0278984957065,234.4388878047127,220.50783594477033,220.59831704352882,216.03564765478984,214.21742214677943,178.33492212076777
16,1990-01-08 14:34:00+00:00,,,,,,,,,,,,,,,
17,1990-02-09 14:33:01+00:00,,,,,,,,,238.99952170073726,234.82351927479064,227.30040164005194,223.60077561404785,215.8682504801214,205.46035712329387,188.9203520969104
18,1990-03-13 14:31:57+00:00,210.3969563935344,213.7103535674554,226.8005204666286,240.01238119457403,244.0280990694829,231.85461896298585,219.11503567415576,215.18775818419414,217.64938867923303,214.89697175824762,213.0063278454848,207.42387735701124,203.81184118859392,194.901699330771,170.1697893504945
19,1990-03-29 14:31:26+00:00,211.52300747325614,225.57229033820482,243.91441942474967,245.4700470976705,240.84141385763849,231.1062642218498,225.26379900915128,226.99485290044677,222.8559974604471,224.68884684368163,217.15391597360372,209.5038138618316,208.97381446635745,203.28327395155645,166.26731524409234
20,1990-04-14 14:31:34+00:00,211.22938289049344,213.4839275083157,218.6486331652314,225.39547677735175,237.50338319342205,236.3497915235731,228.67094854213735,234.07390557053193,232.13175652894355,225.81187411853256,216.84375605638684,216.2649768192558,217.92497305276822,201.03224525485518,160.07396892198295
21,1990-04-30 14:31:25+00:00,205.5934616332276,209.79271675100642,217.70655835576764,225.43093225169494,236.29768684470662,232.3688863414652,224.5417671646164,222.83920811787928,221.67350012398353,215.6595183738146,209.6170554066301,214.62636986035608,210.7327533515536,204.28250829622897,168.77502822109798
22,1990-05-16 14:31:37+00:00,,,,,,,,,,,,,,,
23,1990-06-17 14:31:30+00:00,,,,,,,,,,,,,,,
24,1990-07-19 14:31:24+00:00,,,,,,,,,,,,,,,
25,1991-01-27 14:31:54+00:00,,,,,,,,,,,,250.07342770538486,172.25214282459757,,154.85501491049618
26,1991-02-28 14:32:23+00:00,203.0961961736191,224.75846974706212,239.31970567280433,236.37866220667013,219.56782492895047,,220.06666034611115,216.9046074623346,222.85087448662318,226.17648132178653,222.5050513405817,223.87186615293675,218.973346025452,203.70522977697425,174.09856065536823
27,1991-04-01 14:32:59+00:00,218.2700874727827,232.3048914703537,234.82277051062343,233.49838257485078,238.27622131182468,227.7432970816155,227.22644406578922,227.12394341062665,226.98179282360184,224.91101734396182,208.51486536078949,211.45507739719793,213.2898168213655,205.2949431586042,180.77457263870767
28,1991-04-17 14:33:17+00:00,,,,,,,244.9963486341582,,219.98541563858586,200.09631439450717,196.43683802497569,190.4787041282913,193.01760415505282,192.8678189811958,
29,1991-05-03 14:33:36+00:00,,,,,,,,,,,,,,,
30,1991-10-26 14:35:29+00:00,204.39173434202067,206.11420931230373,205.16044855386937,203.0317734712669,208.79041816138005,206.79690021861103,188.83259815011832,202.29216360228278,208.2023703393311,206.67674978498715,208.5821082665575,,,,164.43488007061836
31,1992-01-30 14:35:41+00:00,,204.85223513900618,205.33942111660576,211.81113636684393,223.30978932008242,211.25722422426702,207.58549504933268,218.43546480628575,215.4541866507848,210.05498628262282,204.82748079963812,206.80287311264135,196.72472062282355,191.05348041235663,164.44288989249503
32,1992-03-18 14:35:32+00:00,208.0584837130453,222.8655471712284,219.18220552145988,228.0167590191591,234.38022351570984,220.76553830084333,229.0582269253576,228.64486417533368,235.46948212393386,227.19229638229328,220.51595340293005,209.52265431206754,212.70966225947913,205.86943586876896,200.1760917269481
33,1992-05-05 14:35:07+00:00,,179.30776172100872,186.12713119809843,189.5817448336594,203.5196740620984,194.06689996406215,195.31453641371508,201.3628814493183,206.30499529248712,199.3436307902561,197.60927064755631,200.31373188642914,190.63461830232103,183.2548221292126,175.62687967728806
34,1992-05-21 14:34:57+00:00,,,,,,,,,,,,,,,
35,1992-06-06 14:34:50+00:00,,,,,,,,,,,,,,,
36,1992-06-22 14:34:37+00:00,,,,,,,,,,,,,,,
37,1992-11-13 14:32:23+00:00,,206.14848470131062,214.2416497383499,218.3630448988732,207.05822736409112,210.01116651852817,215.2142773907955,210.70330767412918,219.2149559117944,231.34094028906904,228.95224933672628,221.83722202113603,219.6820998971217,209.76254964016061,202.30010203089327
38,1993-02-17 14:33:18+00:00,214.92785977012983,212.52522121058635,217.37995607148036,221.89351820770432,230.38749068682262,225.65035539237005,222.33822041789668,226.85759757192534,223.45658279017056,221.88727705131134,216.6045151672038,216.39315008125624,213.31404389853816,201.87836618179148,191.48776896775138
39,1993-03-05 14:33:27+00:00,232.49426071141082,241.5330171724886,249.22305877913882,249.9936483969143,253.66456717865697,243.96294708572358,238.51774062223927,237.8909389834522,242.42249918826,235.46406745002795,232.39519229246048,233.05325550763422,234.25573081771228,218.82390554830414,217.14567625377327
40,1993-03-21 14:33:30+00:00,,,,,,,,,,,,,,,
41,1993-04-06 14:33:35+00:00,196.87583015726685,208.2616410368618,223.5011282582706,214.50776942854054,218.16705726619145,220.81481953304564,214.29765243072416,222.44643505364587,218.21932984668265,212.51762389787746,208.88548579154934,206.82308284952865,184.1400449506132,186.35052316431387,189.14219218232125
42,1993-04-22 14:33:45+00:00,,,,,,,,,,,,,,,
43,1993-07-11 14:33:45+00:00,,,,,,,,,,,,,,,
44,1993-08-12 14:33:44+00:00,,,,,,,,,,,,,,,
45,1994-01-19 14:32:39+00:00,,,,,,,,,,,,,,,
46,1994-03-08 14:32:03+00:00,219.83444520345446,224.05018164795987,236.09558694968595,242.67645827804503,249.74916402547842,242.2050910689443,231.12783333657177,233.201915057338,224.9820828364651,220.53343646717195,214.57976330167213,214.03491490234524,211.48642401868364,203.9353569843216,194.9281890865215
47,1994-03-24 14:31:49+00:00,,,,,,,,,,,,,,,
