,dates,chi0240-0000,chi0240-0001,chi0240-0002,chi0240-0003,chi0240-0004,chi0240-0005,chi0240-0006,chi0240-0007
0,1985-07-27 14:08:05+00:00,232.53520762643498,228.37211838523842,205.59003772052387,207.27445392475997,214.154449984365,212.33503073582727,210.43812656849167,215.25920694272827
1,1986-02-04 14:05:35+00:00,,,,,192.59523767317182,210.99260633866123,212.39708301887265,219.40154137839843
2,1986-07-30 14:00:28+00:00,220.60639781813245,225.08760166283642,212.67428292013966,221.19964686027973,219.9836479437916,217.6056881601834,220.05936019433338,215.30388298379984
3,1986-08-15 13:59:53+00:00,221.27479169586982,218.29717994785162,208.49150978662436,214.4971535043436,217.24073292849542,221.8207247823156,225.30687367400193,230.06622231662894
4,1986-08-31 13:59:41+00:00,207.9944708496395,207.73816142543976,194.52111673037393,192.69002357686884,195.6132868518111,200.18407889692858,201.05639090984118,212.66104407926852
5,1986-09-16 13:59:10+00:00,221.61242086398948,220.45445948996476,205.55472479493935,214.94918705582546,222.30235042071877,224.59753984575664,217.6736342370025,223.76164131381265
6,1986-10-18 13:58:08+00:00,216.57640984447528,205.7066239700694,201.75703296051856,207.4137956999205,205.50304048594847,199.00604481143984,206.97560904882144,207.64171158607007
7,1986-11-03 13:57:34+00:00,228.1293967907446,230.00714653445408,216.34234768785186,213.85216542884345,215.19411183403878,219.42044360357568,216.50257267627723,224.53987736359232
8,1987-01-06 13:58:06+00:00,,,,,,194.22540977654793,197.17635465599992,202.01725296900568
9,1987-02-07 13:59:09+00:00,,,,,,,,
10,1987-03-27 14:00:57+00:00,,253.4679449406759,219.19898979138316,192.3527743469598,196.65593522655632,215.97675822585597,224.38766779981268,220.6969732151997
11,1987-11-06 14:06:32+00:00,217.81523198548953,211.9022577805166,203.00528849057378,209.91822485758044,209.30368147551357,211.65571857668778,208.29737731654743,215.23440236862828
12,1988-04-30 14:08:52+00:00,237.64676585934228,235.96034304793244,218.28296769933615,202.33013318025755,206.36003622755553,207.50922479629497,211.643532939225,214.48961054129543
13,1988-06-01 14:09:09+00:00,210.64327365980571,204.91783662674453,199.45279920904554,,187.9580286445857,209.96040429953499,215.6145583885136,214.91319158613072
14,1988-06-17 14:09:14+00:00,213.54840286105042,199.51859542836868,189.6523309271963,197.55747072026347,204.246482736376,201.00390657628873,208.593855076098,210.79445169564212
15,1988-08-20 14:09:24+00:00,229.10082859911543,222.67955741428509,210.0059055315849,219.66482900094567,218.70856093309882,214.67858544116714,210.45967951190042,210.81691316541094
16,1988-09-05 14:09:27+00:00,225.15499873267228,222.13187808590678,209.4514410865985,217.00918022689967,222.27342243078476,216.1543947485315,216.66155344174544,213.57672709046386
17,1988-09-21 14:08:58+00:00,227.52773424527908,221.43846623983995,209.97672969529182,217.02949946050404,222.31473233686805,220.34528547138362,224.32485930378996,223.55475992580472
18,1989-05-03 14:07:01+00:00,222.90879704935878,215.49653750653667,201.8828480020948,211.92185272099692,217.94300512795556,217.73412374435213,218.42311399863104,229.3209647757181
19,1989-08-07 14:05:33+00:00,209.90855946675967,198.77087828530642,191.21353406276856,200.6351108404361,210.27445271643558,209.7250859627473,213.02646562144892,220.85463096151184
20,1989-08-23 14:05:11+00:00,222.59131880622132,210.9973716310976,201.5012151710604,213.22789845897225,218.91362838098195,219.75371582988032,219.99958640559603,225.34992755469824
21,1989-09-24 14:04:23+00:00,216.3986049197616,209.95676916477322,204.6905258176174,216.2126962571359,221.98415034914456,221.4271356717116,221.7318695616376,229.89805218516787
22,1990-06-07 13:58:50+00:00,217.5671940019937,204.9497755936534,197.65250091600961,206.1972304906123,212.00372074253445,208.69440919179905,218.45056712704255,218.6381988166002
23,1990-07-09 13:58:47+00:00,216.07656004245143,207.62043299664228,199.98954489140235,211.48473463845997,219.4695724144233,221.63819330387557,217.81404418656666,216.56505729314208
